Time,mean,climatology,anomaly
1025740800,NaN,5.030851,NaN
1025827200,NaN,5.046049,NaN
1025913600,NaN,5.061247,NaN
1026000000,NaN,5.076445,NaN
1026086400,NaN,5.091643,NaN
1026172800,NaN,5.106841,NaN
1026259200,NaN,5.122039,NaN
1026345600,NaN,5.137238,NaN
1026432000,NaN,5.152436,NaN
1026518400,5.097898,5.167634,-0.069736
1026691200,4.791049,5.198030,-0.406981
1026777600,NaN,5.199508,NaN
1026864000,4.574760,5.200986,-0.626226
1026950400,NaN,5.202464,NaN
1027036800,NaN,5.203942,NaN
1027209600,NaN,5.206898,NaN
1027296000,NaN,5.208376,NaN
1027382400,NaN,5.209854,NaN
1027468800,NaN,5.211332,NaN
1027555200,NaN,5.212809,NaN
1027641600,NaN,5.214287,NaN
1027728000,NaN,5.215765,NaN
1027814400,NaN,5.217243,NaN
1027900800,NaN,5.218721,NaN
1028678400,NaN,5.232023,NaN
1028851200,NaN,5.234978,NaN
1028937600,NaN,5.236456,NaN
1029024000,NaN,5.237934,NaN
1029110400,NaN,5.239412,NaN
1029196800,NaN,5.240890,NaN
1029283200,4.238779,5.242368,-1.003589
1029456000,NaN,5.226800,NaN
1029542400,NaN,5.209755,NaN
1029628800,NaN,5.192709,NaN
1029715200,NaN,5.175663,NaN
1029888000,NaN,5.141572,NaN
1029974400,6.345094,5.124526,1.220568
1030060800,4.455194,5.107480,-0.652287
1030233600,3.870206,5.073389,-1.203183
1030320000,NaN,5.056343,NaN
1030406400,NaN,5.039298,NaN
1030492800,NaN,5.022252,NaN
1030579200,NaN,5.005206,NaN
1030665600,NaN,4.988160,NaN
1030752000,NaN,4.971115,NaN
1030924800,NaN,4.937023,NaN
1031011200,NaN,4.919978,NaN
1031097600,NaN,4.902932,NaN
1031270400,NaN,4.868841,NaN
1031356800,NaN,4.851795,NaN
1031443200,NaN,4.834749,NaN
1031616000,NaN,4.800658,NaN
1031702400,NaN,4.783612,NaN
1031875200,NaN,4.749521,NaN
1031961600,NaN,4.732475,NaN
1032048000,5.531384,4.715429,0.815955
1032134400,NaN,4.706802,NaN
1032220800,4.699222,4.698174,0.001048
1032307200,NaN,4.689546,NaN
1032393600,NaN,4.680919,NaN
1032480000,NaN,4.672291,NaN
1032566400,NaN,4.663664,NaN
1032652800,NaN,4.655036,NaN
1032739200,NaN,4.646408,NaN
1032825600,2.236061,4.637781,-2.401720
1032912000,NaN,4.629153,NaN
1032998400,3.102682,4.620526,-1.517844
1033084800,NaN,4.611898,NaN
1033171200,3.698801,4.603270,-0.904470
1033257600,NaN,4.594643,NaN
1033344000,NaN,4.586015,NaN
1033430400,NaN,4.577387,NaN
1033516800,NaN,4.568760,NaN
1033603200,2.799519,4.560132,-1.760613
1033689600,2.283621,4.551505,-2.267884
1033776000,3.440606,4.542877,-1.102271
1033862400,NaN,4.534249,NaN
1033948800,2.997561,4.525622,-1.528061
1034035200,2.931481,4.516994,-1.585513
1034121600,3.193756,4.508367,-1.314611
1034208000,NaN,4.499739,NaN
1034294400,NaN,4.491111,NaN
1034380800,4.208944,4.482484,-0.273539
1034467200,NaN,4.473856,NaN
1034553600,NaN,4.465229,NaN
1034640000,NaN,4.456601,NaN
1034726400,3.760937,4.472085,-0.711148
1034812800,4.132042,4.487569,-0.355527
1034899200,2.941391,4.503054,-1.561662
1034985600,3.561791,4.518538,-0.956747
1035072000,NaN,4.534022,NaN
1035158400,NaN,4.549506,NaN
