Time,mean,climatology,anomaly
1025740800,NaN,0.260974,NaN
1025827200,NaN,0.260714,NaN
1025913600,0.286712,0.260453,0.026260
1026000000,NaN,0.260192,NaN
1026086400,NaN,0.259931,NaN
1026172800,NaN,0.259670,NaN
1026259200,NaN,0.259410,NaN
1026345600,NaN,0.259149,NaN
1026432000,0.196296,0.258888,-0.062592
1026518400,NaN,0.258627,NaN
1026691200,NaN,0.258106,NaN
1026777600,NaN,0.254483,NaN
1026864000,NaN,0.250861,NaN
1026950400,NaN,0.247239,NaN
1027036800,NaN,0.243617,NaN
1027209600,0.532596,0.236372,0.296223
1027296000,0.630810,0.232750,0.398060
1027382400,NaN,0.229128,NaN
1027468800,NaN,0.225506,NaN
1027555200,NaN,0.221884,NaN
1027641600,NaN,0.218261,NaN
1027728000,NaN,0.214639,NaN
1027814400,NaN,0.211017,NaN
1027900800,NaN,0.207395,NaN
1028678400,NaN,0.174795,NaN
1028851200,NaN,0.167551,NaN
1028937600,NaN,0.163928,NaN
1029024000,NaN,0.160306,NaN
1029110400,NaN,0.156684,NaN
1029196800,NaN,0.153062,NaN
1029283200,NaN,0.149440,NaN
1029456000,0.173229,0.145027,0.028203
1029542400,NaN,0.144236,NaN
1029628800,NaN,0.143445,NaN
1029715200,NaN,0.142655,NaN
1029888000,NaN,0.141073,NaN
1029974400,NaN,0.140282,NaN
1030060800,0.093452,0.139492,-0.046040
1030233600,NaN,0.137910,NaN
1030320000,NaN,0.137120,NaN
1030406400,NaN,0.136329,NaN
1030492800,NaN,0.135538,NaN
1030579200,NaN,0.134747,NaN
1030665600,NaN,0.133957,NaN
1030752000,NaN,0.133166,NaN
1030924800,NaN,0.131585,NaN
1031011200,NaN,0.130794,NaN
1031097600,NaN,0.130003,NaN
1031270400,NaN,0.128422,NaN
1031356800,NaN,0.127631,NaN
1031443200,NaN,0.126840,NaN
1031616000,NaN,0.125259,NaN
1031702400,0.190962,0.124468,0.066494
1031875200,NaN,0.122887,NaN
1031961600,NaN,0.122096,NaN
1032048000,NaN,0.121305,NaN
1032134400,NaN,0.123193,NaN
1032220800,0.162051,0.125081,0.036970
1032307200,0.132266,0.126969,0.005296
