Time,mean,climatology,anomaly
1025740800,NaN,0.797283,NaN
1025827200,NaN,0.799202,NaN
1025913600,0.395574,0.801121,-0.405547
1026000000,0.172412,0.803040,-0.630628
1026086400,NaN,0.804959,NaN
1026172800,NaN,0.806878,NaN
1026259200,NaN,0.808797,NaN
1026345600,0.647066,0.810716,-0.163650
1026432000,NaN,0.812635,NaN
1026518400,0.604898,0.814555,-0.209657
1026691200,0.539355,0.818393,-0.279037
1026777600,0.890436,0.826076,0.064360
1026864000,0.830517,0.833760,-0.003243
1026950400,NaN,0.841443,NaN
1027036800,NaN,0.849126,NaN
1027209600,NaN,0.864493,NaN
1027296000,0.534577,0.872177,-0.337599
1027382400,1.510070,0.879860,0.630210
1027468800,0.317125,0.887544,-0.570419
1027555200,NaN,0.895227,NaN
1027641600,NaN,0.902911,NaN
1027728000,NaN,0.910594,NaN
1027814400,NaN,0.918277,NaN
1027900800,1.047883,0.925961,0.121922
1028678400,NaN,0.995112,NaN
1028851200,0.825659,1.010479,-0.184819
1028937600,NaN,1.018162,NaN
1029024000,NaN,1.025845,NaN
1029110400,NaN,1.033529,NaN
1029196800,NaN,1.041212,NaN
1029283200,0.646840,1.048896,-0.402056
1029456000,NaN,1.061301,NaN
1029542400,0.662128,1.066022,-0.403894
1029628800,2.406955,1.070744,1.336212
1029715200,NaN,1.075465,NaN
1029888000,NaN,1.084908,NaN
1029974400,0.665375,1.089629,-0.424254
1030060800,0.622126,1.094351,-0.472225
1030233600,0.654945,1.103794,-0.448849
1030320000,NaN,1.108515,NaN
1030406400,NaN,1.113236,NaN
1030492800,NaN,1.117958,NaN
1030579200,1.378997,1.122679,0.256318
1030665600,NaN,1.127401,NaN
1030752000,0.921360,1.132122,-0.210763
1030924800,NaN,1.141565,NaN
1031011200,2.285276,1.146286,1.138989
1031097600,0.724741,1.151008,-0.426267
1031270400,NaN,1.160451,NaN
1031356800,0.874489,1.165172,-0.290683
1031443200,0.595100,1.169894,-0.574793
1031616000,0.492906,1.179336,-0.686431
1031702400,NaN,1.184058,NaN
1031875200,NaN,1.193501,NaN
1031961600,NaN,1.198222,NaN
1032048000,0.936752,1.202944,-0.266191
1032134400,0.665459,1.205281,-0.539822
1032220800,0.613380,1.207619,-0.594239
1032307200,0.762702,1.209957,-0.447255
1032393600,NaN,1.212294,NaN
1032480000,NaN,1.214632,NaN
1032566400,NaN,1.216970,NaN
1032652800,NaN,1.219307,NaN
1032739200,NaN,1.221645,NaN
