Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.689843,NaN,NaN
1325721600,0.792401,NaN,NaN
1325808000,0.900683,NaN,NaN
1325894400,1.070285,NaN,NaN
1325980800,1.017007,NaN,NaN
1326067200,1.254027,NaN,NaN
1326153600,1.083300,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,0.707095,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.879079,0.768060,0.111018
1326672000,NaN,0.768182,NaN
1326758400,0.627987,0.768304,-0.140317
1326844800,0.663642,0.768425,-0.104784
1326931200,0.616683,0.768547,-0.151864
1327017600,0.729534,0.768669,-0.039134
1327104000,0.822189,0.768790,0.053398
1327190400,NaN,0.768912,NaN
1327276800,1.017604,0.769034,0.248570
1327363200,0.693708,0.769155,-0.075448
1327449600,0.686916,0.769277,-0.082361
1327536000,0.712409,0.769398,-0.056989
1327622400,0.783425,0.769520,0.013905
1327708800,0.688768,0.769642,-0.080874
1327795200,NaN,0.769763,NaN
1327881600,NaN,0.769885,NaN
1327968000,NaN,0.770007,NaN
1328054400,NaN,0.770128,NaN
1328140800,NaN,0.770250,NaN
1328227200,NaN,0.770372,NaN
1328313600,NaN,0.770493,NaN
1328400000,NaN,0.770615,NaN
1328486400,NaN,0.770737,NaN
1328572800,0.961271,0.770858,0.190412
1328659200,NaN,0.770980,NaN
1328745600,NaN,0.771102,NaN
1328832000,0.750530,0.771223,-0.020694
1328918400,NaN,0.771345,NaN
1329004800,1.442796,0.771467,0.671329
1329091200,0.695653,0.771588,-0.075936
1329177600,0.414810,0.771710,-0.356900
1329264000,NaN,0.771832,NaN
1329350400,NaN,0.770829,NaN
1329436800,0.878579,0.769826,0.108754
1329523200,0.954307,0.768822,0.185485
1329609600,0.430850,0.767819,-0.336969
1329696000,NaN,0.766816,NaN
1329782400,1.657985,0.765813,0.892172
1329868800,0.812814,0.764810,0.048004
1329955200,0.755605,0.763807,-0.008202
1330041600,0.804148,0.762804,0.041344
1330128000,0.850719,0.761801,0.088918
1330214400,NaN,0.760798,NaN
1330300800,0.900289,0.759795,0.140495
1330387200,0.798935,0.758792,0.040144
1330473600,0.977961,0.757789,0.220172
1330560000,0.822452,0.756785,0.065666
1330646400,NaN,0.755782,NaN
1330732800,0.546934,0.754779,-0.207845
1330819200,NaN,0.753776,NaN
1330905600,0.187553,0.752773,-0.565220
1330992000,NaN,0.751770,NaN
1331078400,NaN,0.750767,NaN
1331164800,NaN,0.749764,NaN
1331251200,1.616447,0.748761,0.867686
1331337600,0.716954,0.747758,-0.030804
1331424000,NaN,0.746755,NaN
1331510400,NaN,0.745752,NaN
1331596800,0.589175,0.744748,-0.155574
1331683200,0.803840,0.743745,0.060095
1331769600,NaN,0.745422,NaN
1331856000,0.616854,0.747099,-0.130246
1331942400,1.746713,0.748777,0.997937
1332028800,0.137919,0.750454,-0.612534
1332115200,0.739058,0.752131,-0.013073
1332201600,NaN,0.753808,NaN
1332288000,NaN,0.755485,NaN
1332374400,NaN,0.757162,NaN
1332460800,0.785011,0.758839,0.026172
1332720000,0.916695,0.763870,0.152825
1332806400,NaN,0.765547,NaN
1332892800,0.534077,0.767224,-0.233147
1332979200,0.612793,0.768901,-0.156108
1333065600,0.470768,0.770578,-0.299810
1333152000,0.677070,0.772255,-0.095185
1333238400,0.371171,0.773933,-0.402761
1333324800,0.424054,0.775610,-0.351556
1333411200,0.844160,0.777287,0.066873
1333497600,0.779971,0.778964,0.001008
1333584000,0.839579,0.780641,0.058938
1333670400,0.117513,0.782318,-0.664804
1333756800,NaN,0.783995,NaN
1333843200,NaN,0.785672,NaN
1333929600,0.890523,0.787349,0.103174
1334016000,0.823189,0.789026,0.034163
1334102400,0.768027,0.790703,-0.022676
1334188800,NaN,0.792380,NaN
1334275200,0.545250,0.794057,-0.248807
