Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.330722,NaN,NaN
2012-01-05,NaN,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,NaN,NaN,NaN
2012-01-08,NaN,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.493621,NaN,NaN
2012-01-12,0.707922,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,0.429040,NaN,NaN
2012-01-15,NaN,0.379051,NaN
2012-01-16,0.459268,0.376127,0.083141
2012-01-17,NaN,0.373203,NaN
2012-01-18,0.431938,0.370279,0.061659
2012-01-19,NaN,0.367355,NaN
2012-01-20,NaN,0.364430,NaN
2012-01-21,NaN,0.361506,NaN
2012-01-22,NaN,0.358582,NaN
2012-01-23,NaN,0.355658,NaN
2012-01-24,0.231972,0.352734,-0.120762
2012-01-25,NaN,0.349810,NaN
2012-01-26,NaN,0.346886,NaN
2012-01-27,0.307091,0.343961,-0.036871
2012-01-28,NaN,0.341037,NaN
2012-01-29,0.407655,0.338113,0.069542
2012-01-30,NaN,0.335189,NaN
2012-01-31,NaN,0.332265,NaN
2012-02-01,NaN,0.329341,NaN
2012-02-02,NaN,0.326416,NaN
2012-02-03,NaN,0.323492,NaN
2012-02-04,0.216442,0.320568,-0.104126
2012-02-05,NaN,0.317644,NaN
2012-02-06,NaN,0.314720,NaN
2012-02-07,NaN,0.311796,NaN
2012-02-08,0.291196,0.308872,-0.017675
2012-02-09,NaN,0.305947,NaN
2012-02-10,NaN,0.303023,NaN
2012-02-11,NaN,0.300099,NaN
2012-02-12,NaN,0.297175,NaN
2012-02-13,NaN,0.294251,NaN
2012-02-14,NaN,0.291327,NaN
2012-02-15,NaN,0.288403,NaN
2012-02-16,NaN,0.287015,NaN
2012-02-17,NaN,0.285627,NaN
2012-02-18,NaN,0.284239,NaN
2012-02-19,NaN,0.282851,NaN
2012-02-20,NaN,0.281463,NaN
2012-02-21,NaN,0.280075,NaN
2012-02-22,NaN,0.278687,NaN
2012-02-23,NaN,0.277299,NaN
2012-02-24,NaN,0.275911,NaN
2012-02-25,NaN,0.274523,NaN
2012-02-26,NaN,0.273135,NaN
2012-02-27,NaN,0.271747,NaN
2012-02-28,0.336521,0.270359,0.066162
2012-02-29,NaN,0.268971,NaN
2012-03-01,0.259075,0.267583,-0.008508
2012-03-02,0.241033,0.266195,-0.025163
2012-03-03,NaN,0.264807,NaN
2012-03-04,0.319998,0.263419,0.056578
2012-03-05,0.338261,0.262031,0.076230
2012-03-06,NaN,0.260643,NaN
2012-03-07,NaN,0.259256,NaN
2012-03-08,0.222632,0.257868,-0.035235
2012-03-09,NaN,0.256480,NaN
2012-03-10,NaN,0.255092,NaN
2012-03-11,NaN,0.253704,NaN
2012-03-12,NaN,0.252316,NaN
2012-03-13,0.159574,0.250928,-0.091354
2012-03-14,NaN,0.249540,NaN
2012-03-15,0.126460,0.246833,-0.120373
2012-03-16,NaN,0.244126,NaN
2012-03-17,0.152000,0.241419,-0.089419
2012-03-18,NaN,0.238712,NaN
2012-03-19,NaN,0.236005,NaN
2012-03-20,NaN,0.233298,NaN
2012-03-21,NaN,0.230591,NaN
2012-03-22,NaN,0.227884,NaN
2012-03-23,0.186274,0.225177,-0.038903
2012-03-26,0.112345,0.217057,-0.104711
2012-03-27,NaN,0.214350,NaN
2012-03-28,0.117603,0.211643,-0.094040
2012-03-29,0.118212,0.208936,-0.090724
2012-03-30,NaN,0.206229,NaN
2012-03-31,0.121066,0.203522,-0.082456
2012-04-01,0.140784,0.200815,-0.060031
2012-04-02,NaN,0.198108,NaN
2012-04-03,0.146263,0.195401,-0.049138
2012-04-04,NaN,0.192694,NaN
2012-04-05,NaN,0.189987,NaN
2012-04-06,NaN,0.187280,NaN
2012-04-07,0.107367,0.184573,-0.077206
2012-04-08,0.101693,0.181867,-0.080174
2012-04-09,0.085840,0.179160,-0.093320
2012-04-10,NaN,0.176453,NaN
2012-04-11,0.079797,0.173746,-0.093948
2012-04-12,NaN,0.171039,NaN
2012-04-13,0.091221,0.168332,-0.077111
2012-04-14,NaN,0.165625,NaN
2012-04-15,NaN,0.164821,NaN
2012-04-16,NaN,0.164018,NaN
2012-04-17,NaN,0.163215,NaN
2012-04-18,NaN,0.162411,NaN
2012-04-19,0.088720,0.161608,-0.072888
2012-04-20,NaN,0.160804,NaN
2012-04-21,NaN,0.160001,NaN
2012-04-22,0.131384,0.159197,-0.027813
2012-04-23,0.124178,0.158394,-0.034216
2012-04-24,0.104182,0.157590,-0.053408
2012-04-25,NaN,0.156787,NaN
2012-04-26,NaN,0.155983,NaN
2012-04-27,0.091183,0.155180,-0.063997
2012-04-28,0.094018,0.154377,-0.060359
2012-04-29,NaN,0.153573,NaN
2012-04-30,0.087709,0.152770,-0.065061
2012-05-01,NaN,0.151966,NaN
2012-05-02,0.094693,0.151163,-0.056469
2012-05-03,0.114034,0.150359,-0.036325
2012-05-04,0.118410,0.149556,-0.031146
2012-05-05,NaN,0.148752,NaN
2012-05-06,NaN,0.147949,NaN
2012-05-07,NaN,0.147146,NaN
2012-05-08,0.098538,0.146342,-0.047804
2012-05-09,0.123845,0.145539,-0.021693
2012-05-10,NaN,0.144735,NaN
2012-05-11,NaN,0.143932,NaN
2012-05-12,NaN,0.143128,NaN
2012-05-13,NaN,0.142325,NaN
2012-05-14,NaN,0.141521,NaN
2012-05-15,0.126853,0.143622,-0.016769
2012-05-16,0.104700,0.145722,-0.041022
2012-05-17,NaN,0.147822,NaN
2012-05-18,0.135086,0.149923,-0.014837
2012-05-19,0.124881,0.152023,-0.027142
2012-05-20,0.115966,0.154123,-0.038157
2012-05-21,0.125164,0.156224,-0.031060
2012-05-22,NaN,0.158324,NaN
2012-05-23,NaN,0.160424,NaN
2012-05-24,NaN,0.162525,NaN
2012-05-25,0.219074,0.164625,0.054450
2012-05-26,NaN,0.166725,NaN
2012-05-27,NaN,0.168825,NaN
2012-05-28,NaN,0.170926,NaN
2012-05-29,0.139396,0.173026,-0.033630
2012-05-30,NaN,0.175126,NaN
2012-05-31,0.163136,0.177227,-0.014091
2012-06-01,0.154967,0.179327,-0.024361
2012-06-02,NaN,0.181427,NaN
2012-06-03,0.204528,0.183528,0.021000
2012-06-04,0.212344,0.185628,0.026716
2012-06-05,NaN,0.187728,NaN
2012-06-06,0.232799,0.189829,0.042971
2012-06-07,NaN,0.191929,NaN
2012-06-08,NaN,0.194029,NaN
2012-06-09,0.167105,0.196130,-0.029025
2012-06-10,0.390151,0.198230,0.191921
