Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.238088,NaN,NaN
2012-01-05,NaN,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,NaN,NaN,NaN
2012-01-08,0.304733,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.319837,NaN,NaN
2012-01-12,0.480928,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,0.394083,NaN,NaN
2012-01-15,NaN,0.316855,NaN
2012-01-16,0.378889,0.315466,0.063423
2012-01-17,NaN,0.314077,NaN
2012-01-18,0.268568,0.312688,-0.044119
2012-01-19,NaN,0.311299,NaN
2012-01-20,NaN,0.309910,NaN
2012-01-21,0.223100,0.308521,-0.085421
2012-01-22,NaN,0.307132,NaN
2012-01-23,NaN,0.305743,NaN
2012-01-24,0.243686,0.304354,-0.060667
2012-01-25,0.242073,0.302965,-0.060892
2012-01-26,NaN,0.301576,NaN
2012-01-27,0.297705,0.300187,-0.002482
2012-01-28,NaN,0.298798,NaN
2012-01-29,NaN,0.297409,NaN
2012-01-30,NaN,0.296020,NaN
2012-01-31,NaN,0.294631,NaN
2012-02-01,NaN,0.293242,NaN
2012-02-02,NaN,0.291853,NaN
2012-02-03,NaN,0.290464,NaN
2012-02-04,NaN,0.289075,NaN
2012-02-05,NaN,0.287686,NaN
2012-02-06,NaN,0.286297,NaN
2012-02-07,0.217350,0.284908,-0.067558
2012-02-08,NaN,0.283519,NaN
2012-02-09,NaN,0.282129,NaN
2012-02-10,NaN,0.280740,NaN
2012-02-11,NaN,0.279351,NaN
2012-02-12,NaN,0.277962,NaN
2012-02-13,NaN,0.276573,NaN
2012-02-14,NaN,0.275184,NaN
2012-02-15,NaN,0.273795,NaN
2012-02-16,NaN,0.272713,NaN
2012-02-17,0.221210,0.271631,-0.050422
2012-02-18,NaN,0.270549,NaN
2012-02-19,NaN,0.269467,NaN
2012-02-20,NaN,0.268385,NaN
2012-02-21,NaN,0.267303,NaN
2012-02-22,NaN,0.266221,NaN
2012-02-23,NaN,0.265138,NaN
2012-02-24,NaN,0.264056,NaN
2012-02-25,NaN,0.262974,NaN
2012-02-26,NaN,0.261892,NaN
2012-02-27,NaN,0.260810,NaN
2012-02-28,NaN,0.259728,NaN
2012-02-29,NaN,0.258646,NaN
2012-03-01,0.228855,0.257564,-0.028709
2012-03-02,0.209441,0.256481,-0.047041
2012-03-03,NaN,0.255399,NaN
2012-03-04,0.240085,0.254317,-0.014233
2012-03-05,0.250064,0.253235,-0.003171
2012-03-06,NaN,0.252153,NaN
2012-03-07,NaN,0.251071,NaN
2012-03-08,0.216810,0.249989,-0.033178
2012-03-09,NaN,0.248907,NaN
2012-03-10,NaN,0.247824,NaN
2012-03-11,NaN,0.246742,NaN
2012-03-12,0.212468,0.245660,-0.033192
2012-03-13,0.187794,0.244578,-0.056784
2012-03-14,NaN,0.243496,NaN
2012-03-15,0.171922,0.241346,-0.069424
2012-03-16,0.166477,0.239196,-0.072719
2012-03-17,NaN,0.237046,NaN
2012-03-18,NaN,0.234897,NaN
2012-03-19,NaN,0.232747,NaN
2012-03-20,NaN,0.230597,NaN
2012-03-21,NaN,0.228447,NaN
2012-03-22,NaN,0.226297,NaN
2012-03-23,0.165232,0.224147,-0.058915
2012-03-26,0.146995,0.217698,-0.070703
2012-03-27,NaN,0.215548,NaN
2012-03-28,0.130721,0.213398,-0.082677
2012-03-29,NaN,0.211248,NaN
2012-03-30,NaN,0.209098,NaN
2012-03-31,0.134226,0.206949,-0.072723
2012-04-01,NaN,0.204799,NaN
2012-04-02,0.170709,0.202649,-0.031940
2012-04-03,NaN,0.200499,NaN
2012-04-04,NaN,0.198349,NaN
2012-04-05,NaN,0.196199,NaN
2012-04-06,0.144085,0.194050,-0.049965
2012-04-07,NaN,0.191900,NaN
2012-04-08,0.111202,0.189750,-0.078548
2012-04-09,NaN,0.187600,NaN
2012-04-10,NaN,0.185450,NaN
2012-04-11,0.102448,0.183300,-0.080852
2012-04-12,NaN,0.181151,NaN
2012-04-13,0.120495,0.179001,-0.058506
2012-04-14,NaN,0.176851,NaN
2012-04-15,NaN,0.176226,NaN
2012-04-16,NaN,0.175600,NaN
2012-04-17,NaN,0.174975,NaN
2012-04-18,NaN,0.174350,NaN
2012-04-19,0.114771,0.173725,-0.058954
2012-04-20,NaN,0.173100,NaN
2012-04-21,NaN,0.172474,NaN
2012-04-22,0.161877,0.171849,-0.009972
2012-04-23,0.135242,0.171224,-0.035982
2012-04-24,0.120537,0.170599,-0.050061
2012-04-25,NaN,0.169973,NaN
2012-04-26,NaN,0.169348,NaN
2012-04-27,0.108855,0.168723,-0.059868
2012-04-28,0.116954,0.168098,-0.051143
2012-04-29,0.104603,0.167473,-0.062869
2012-04-30,NaN,0.166847,NaN
2012-05-01,NaN,0.166222,NaN
2012-05-02,NaN,0.165597,NaN
2012-05-03,NaN,0.164972,NaN
2012-05-04,0.149221,0.164346,-0.015125
2012-05-05,NaN,0.163721,NaN
2012-05-06,NaN,0.163096,NaN
2012-05-07,0.125147,0.162471,-0.037324
2012-05-08,NaN,0.161846,NaN
2012-05-09,0.180682,0.161220,0.019462
2012-05-10,NaN,0.160595,NaN
2012-05-11,NaN,0.159970,NaN
2012-05-12,NaN,0.159345,NaN
2012-05-13,0.172533,0.158719,0.013813
2012-05-14,NaN,0.158094,NaN
2012-05-15,NaN,0.159854,NaN
2012-05-16,0.128754,0.161614,-0.032859
2012-05-17,NaN,0.163373,NaN
2012-05-18,0.153323,0.165133,-0.011809
2012-05-19,0.150342,0.166892,-0.016551
2012-05-20,0.149614,0.168652,-0.019038
2012-05-21,0.134374,0.170412,-0.036038
2012-05-22,NaN,0.172171,NaN
2012-05-23,NaN,0.173931,NaN
2012-05-24,NaN,0.175691,NaN
2012-05-25,0.174816,0.177450,-0.002634
2012-05-26,NaN,0.179210,NaN
2012-05-27,NaN,0.180970,NaN
2012-05-28,NaN,0.182729,NaN
2012-05-29,0.262954,0.184489,0.078465
2012-05-30,NaN,0.186249,NaN
2012-05-31,0.372753,0.188008,0.184745
2012-06-01,0.279455,0.189768,0.089687
2012-06-02,NaN,0.191528,NaN
2012-06-03,0.387676,0.193287,0.194389
2012-06-04,NaN,0.195047,NaN
2012-06-05,0.415574,0.196806,0.218768
2012-06-06,NaN,0.198566,NaN
2012-06-07,NaN,0.200326,NaN
2012-06-08,NaN,0.202085,NaN
2012-06-09,NaN,0.203845,NaN
2012-06-10,NaN,0.205605,NaN
2012-06-11,NaN,0.207364,NaN
2012-06-12,NaN,0.209124,NaN
2012-06-13,NaN,0.210884,NaN
2012-06-14,0.401035,0.212643,0.188392
2012-06-15,0.426525,0.215958,0.210567
2012-06-16,NaN,0.219273,NaN
2012-06-17,0.283188,0.222588,0.060601
2012-06-18,NaN,0.225903,NaN
2012-06-19,NaN,0.229217,NaN
2012-06-20,NaN,0.232532,NaN
2012-06-22,0.213468,0.239162,-0.025694
2012-06-23,NaN,0.242477,NaN
2012-06-24,NaN,0.245792,NaN
2012-06-25,NaN,0.249107,NaN
2012-06-26,0.167603,0.252421,-0.084818
2012-06-27,0.131352,0.255736,-0.124384
2012-06-28,NaN,0.259051,NaN
2012-06-29,NaN,0.262366,NaN
2012-06-30,NaN,0.265681,NaN
2012-07-01,NaN,0.268996,NaN
2012-07-02,NaN,0.272310,NaN
2012-07-03,0.108416,0.275625,-0.167210
2012-07-04,NaN,0.278940,NaN
2012-07-05,0.129674,0.282255,-0.152581
2012-07-06,0.152287,0.285570,-0.133283
2012-07-07,NaN,0.288885,NaN
2012-07-08,NaN,0.292199,NaN
2012-07-09,NaN,0.295514,NaN
2012-07-10,NaN,0.298829,NaN
2012-07-11,NaN,0.302144,NaN
2012-07-12,NaN,0.305459,NaN
2012-07-13,NaN,0.308774,NaN
2012-07-14,NaN,0.312088,NaN
2012-07-15,0.114287,0.308732,-0.194446
2012-07-16,0.176320,0.305376,-0.129055
2012-07-17,NaN,0.302019,NaN
2012-07-18,0.163483,0.298663,-0.135180
2012-07-19,0.137823,0.295307,-0.157484
2012-07-20,NaN,0.291950,NaN
2012-07-21,NaN,0.288594,NaN
2012-07-22,NaN,0.285238,NaN
2012-07-23,0.214149,0.281881,-0.067733
2012-07-24,0.188592,0.278525,-0.089933
2012-07-25,NaN,0.275169,NaN
2012-07-26,0.144772,0.271812,-0.127041
2012-07-27,NaN,0.268456,NaN
2012-07-28,NaN,0.265100,NaN
2012-07-29,NaN,0.261743,NaN
2012-07-30,NaN,0.258387,NaN
2012-07-31,NaN,0.255031,NaN
2012-08-01,0.294148,0.251674,0.042473
2012-08-02,NaN,0.248318,NaN
2012-08-03,0.399291,0.244962,0.154329
2012-08-04,NaN,0.241605,NaN
2012-08-05,NaN,0.238249,NaN
2012-08-06,NaN,0.234893,NaN
2012-08-07,0.362599,0.231536,0.131062
2012-08-08,NaN,0.228180,NaN
2012-08-09,0.321896,0.224824,0.097072
2012-08-10,NaN,0.221467,NaN
2012-08-11,NaN,0.218111,NaN
2012-08-12,0.409548,0.214755,0.194793
2012-08-13,0.277119,0.211398,0.065721
2012-08-14,0.238448,0.208042,0.030406
2012-08-15,NaN,0.205685,NaN
2012-08-16,NaN,0.203328,NaN
2012-08-17,0.254142,0.200971,0.053172
2012-08-18,NaN,0.198614,NaN
2012-08-19,NaN,0.196257,NaN
2012-08-20,0.244113,0.193900,0.050214
2012-08-21,NaN,0.191543,NaN
2012-08-22,NaN,0.189186,NaN
2012-08-23,NaN,0.186828,NaN
2012-08-24,NaN,0.184471,NaN
2012-08-25,NaN,0.182114,NaN
2012-08-26,NaN,0.179757,NaN
2012-08-27,NaN,0.177400,NaN
2012-08-28,NaN,0.175043,NaN
2012-08-29,NaN,0.172686,NaN
2012-08-30,NaN,0.170329,NaN
2012-08-31,NaN,0.167972,NaN
2012-09-01,NaN,0.165615,NaN
2012-09-02,0.174156,0.163258,0.010898
2012-09-03,0.183847,0.160901,0.022946
2012-09-04,NaN,0.158544,NaN
2012-09-05,NaN,0.156187,NaN
2012-09-06,NaN,0.153830,NaN
2012-09-07,0.127813,0.151473,-0.023660
2012-09-08,NaN,0.149116,NaN
2012-09-09,NaN,0.146759,NaN
2012-09-10,0.087071,0.144402,-0.057330
2012-09-11,NaN,0.142045,NaN
2012-09-12,NaN,0.139688,NaN
2012-09-13,NaN,0.137331,NaN
2012-09-14,NaN,0.134973,NaN
2012-09-15,NaN,0.135594,NaN
2012-09-16,NaN,0.136214,NaN
