Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.434377,NaN,NaN
1325721600,0.148604,NaN,NaN
1325808000,NaN,NaN,NaN
1325894400,NaN,NaN,NaN
1325980800,0.304023,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,0.299236,NaN,NaN
1326326400,0.479988,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,0.315593,NaN,NaN
1326585600,NaN,0.326162,NaN
1326672000,0.363513,0.324683,0.038830
1326758400,NaN,0.323203,NaN
1326844800,0.320685,0.321723,-0.001038
1326931200,NaN,0.320243,NaN
1327017600,NaN,0.318764,NaN
1327104000,NaN,0.317284,NaN
1327190400,NaN,0.315804,NaN
1327276800,NaN,0.314324,NaN
1327363200,0.248835,0.312844,-0.064009
1327449600,NaN,0.311365,NaN
1327536000,NaN,0.309885,NaN
1327622400,0.328935,0.308405,0.020530
1327708800,NaN,0.306925,NaN
1327795200,NaN,0.305446,NaN
1327881600,NaN,0.303966,NaN
1327968000,0.261094,0.302486,-0.041392
1328054400,NaN,0.301006,NaN
1328140800,NaN,0.299526,NaN
1328227200,0.241569,0.298047,-0.056478
1328313600,0.168740,0.296567,-0.127827
1328400000,NaN,0.295087,NaN
1328486400,NaN,0.293607,NaN
1328572800,0.256276,0.292128,-0.035851
1328659200,NaN,0.290648,NaN
1328745600,NaN,0.289168,NaN
1328832000,NaN,0.287688,NaN
1328918400,NaN,0.286208,NaN
1329004800,NaN,0.284729,NaN
1329091200,NaN,0.283249,NaN
1329177600,NaN,0.281769,NaN
1329264000,NaN,0.280289,NaN
1329350400,NaN,0.279360,NaN
1329436800,NaN,0.278431,NaN
1329523200,NaN,0.277501,NaN
1329609600,NaN,0.276572,NaN
1329696000,NaN,0.275643,NaN
1329782400,0.260680,0.274713,-0.014033
1329868800,NaN,0.273784,NaN
1329955200,NaN,0.272855,NaN
1330041600,NaN,0.271925,NaN
1330128000,NaN,0.270996,NaN
1330214400,NaN,0.270067,NaN
1330300800,NaN,0.269137,NaN
1330387200,0.176790,0.268208,-0.091418
1330473600,NaN,0.267279,NaN
1330560000,0.265634,0.266349,-0.000715
1330646400,0.274610,0.265420,0.009190
1330732800,NaN,0.264491,NaN
1330819200,0.267931,0.263561,0.004369
1330905600,0.296371,0.262632,0.033739
1330992000,0.108866,0.261703,-0.152836
1331078400,NaN,0.260773,NaN
1331164800,NaN,0.259844,NaN
1331251200,NaN,0.258915,NaN
1331337600,NaN,0.257985,NaN
1331424000,NaN,0.257056,NaN
1331510400,0.235777,0.256127,-0.020350
1331596800,0.191655,0.255197,-0.063542
1331683200,0.179347,0.254268,-0.074921
1331769600,0.157137,0.251990,-0.094853
1331856000,0.158194,0.249713,-0.091519
1331942400,NaN,0.247435,NaN
1332028800,NaN,0.245157,NaN
1332115200,NaN,0.242880,NaN
1332201600,NaN,0.240602,NaN
1332288000,NaN,0.238325,NaN
1332374400,0.176977,0.236047,-0.059070
1332460800,0.153580,0.233769,-0.080190
1332720000,0.142157,0.226936,-0.084780
1332806400,NaN,0.224659,NaN
1332892800,0.146039,0.222381,-0.076343
1332979200,NaN,0.220104,NaN
1333065600,NaN,0.217826,NaN
1333152000,0.144091,0.215548,-0.071457
1333238400,0.197412,0.213271,-0.015859
1333324800,0.183019,0.210993,-0.027974
1333411200,0.158906,0.208715,-0.049809
1333497600,NaN,0.206438,NaN
1333584000,0.147089,0.204160,-0.057072
1333670400,0.156756,0.201883,-0.045126
1333756800,0.102888,0.199605,-0.096717
1333843200,0.123532,0.197327,-0.073795
1333929600,NaN,0.195050,NaN
1334016000,0.130206,0.192772,-0.062566
1334102400,0.126614,0.190494,-0.063880
1334188800,NaN,0.188217,NaN
1334275200,0.128523,0.185939,-0.057416
1334361600,NaN,0.183662,NaN
1334448000,NaN,0.183718,NaN
1334534400,NaN,0.183775,NaN
1334620800,NaN,0.183832,NaN
