Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.282102,NaN,NaN
1325721600,NaN,NaN,NaN
1325808000,NaN,NaN,NaN
1325894400,NaN,NaN,NaN
1325980800,NaN,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,0.322538,NaN,NaN
1326326400,0.535666,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,0.365578,NaN,NaN
1326585600,NaN,0.294666,NaN
1326672000,0.321790,0.293746,0.028044
1326758400,NaN,0.292827,NaN
1326844800,0.262005,0.291907,-0.029902
1326931200,NaN,0.290987,NaN
1327017600,NaN,0.290068,NaN
1327104000,NaN,0.289148,NaN
1327190400,NaN,0.288228,NaN
1327276800,NaN,0.287308,NaN
1327363200,0.235677,0.286389,-0.050712
1327449600,0.244147,0.285469,-0.041322
1327536000,0.126457,0.284549,-0.158092
1327622400,0.285093,0.283630,0.001463
1327708800,NaN,0.282710,NaN
1327795200,NaN,0.281790,NaN
1327881600,NaN,0.280871,NaN
1327968000,NaN,0.279951,NaN
1328054400,NaN,0.279031,NaN
1328140800,NaN,0.278112,NaN
1328227200,0.243071,0.277192,-0.034121
1328313600,NaN,0.276272,NaN
1328400000,NaN,0.275353,NaN
1328486400,NaN,0.274433,NaN
1328572800,NaN,0.273513,NaN
1328659200,NaN,0.272594,NaN
1328745600,NaN,0.271674,NaN
1328832000,NaN,0.270754,NaN
1328918400,NaN,0.269835,NaN
1329004800,NaN,0.268915,NaN
1329091200,NaN,0.267995,NaN
1329177600,NaN,0.267076,NaN
1329264000,NaN,0.266156,NaN
1329350400,NaN,0.264620,NaN
1329436800,NaN,0.263084,NaN
1329523200,NaN,0.261548,NaN
1329609600,NaN,0.260012,NaN
1329696000,NaN,0.258476,NaN
1329782400,NaN,0.256940,NaN
1329868800,NaN,0.255403,NaN
1329955200,NaN,0.253867,NaN
1330041600,NaN,0.252331,NaN
1330128000,NaN,0.250795,NaN
1330214400,NaN,0.249259,NaN
1330300800,NaN,0.247723,NaN
1330387200,0.340975,0.246187,0.094788
1330473600,NaN,0.244651,NaN
1330560000,0.213908,0.243115,-0.029206
1330646400,0.195554,0.241579,-0.046025
1330732800,NaN,0.240043,NaN
1330819200,0.252724,0.238507,0.014218
1330905600,0.308540,0.236971,0.071569
1330992000,0.105821,0.235434,-0.129613
1331078400,NaN,0.233898,NaN
1331164800,0.194944,0.232362,-0.037418
1331251200,NaN,0.230826,NaN
1331337600,NaN,0.229290,NaN
1331424000,NaN,0.227754,NaN
1331510400,0.199001,0.226218,-0.027217
1331596800,0.172011,0.224682,-0.052671
1331683200,NaN,0.223146,NaN
1331769600,0.145278,0.221235,-0.075957
1331856000,0.142548,0.219324,-0.076776
1331942400,NaN,0.217413,NaN
1332028800,NaN,0.215502,NaN
1332115200,NaN,0.213591,NaN
1332201600,NaN,0.211681,NaN
1332288000,NaN,0.209770,NaN
1332374400,NaN,0.207859,NaN
1332460800,NaN,0.205948,NaN
1332720000,0.134156,0.200215,-0.066059
1332806400,NaN,0.198304,NaN
1332892800,0.130334,0.196393,-0.066060
1332979200,0.123931,0.194482,-0.070552
1333065600,NaN,0.192572,NaN
1333152000,NaN,0.190661,NaN
1333238400,0.156012,0.188750,-0.032738
1333324800,NaN,0.186839,NaN
1333411200,NaN,0.184928,NaN
1333497600,NaN,0.183017,NaN
1333584000,0.132280,0.181106,-0.048826
1333670400,NaN,0.179195,NaN
1333756800,NaN,0.177284,NaN
1333843200,0.098925,0.175374,-0.076449
1333929600,0.081074,0.173463,-0.092388
1334016000,NaN,0.171552,NaN
1334102400,0.086585,0.169641,-0.083056
1334188800,NaN,0.167730,NaN
1334275200,0.111832,0.165819,-0.053987
1334361600,0.094963,0.163908,-0.068945
1334448000,NaN,0.163163,NaN
1334534400,NaN,0.162417,NaN
1334620800,NaN,0.161671,NaN
1334707200,NaN,0.160926,NaN
1334793600,0.101550,0.160180,-0.058630
1334880000,NaN,0.159435,NaN
1334966400,NaN,0.158689,NaN
1335052800,0.140394,0.157944,-0.017550
1335139200,0.112704,0.157198,-0.044494
1335225600,0.101700,0.156453,-0.054753
1335312000,NaN,0.155707,NaN
1335398400,NaN,0.154961,NaN
1335484800,0.108626,0.154216,-0.045590
1335571200,0.112082,0.153470,-0.041388
1335657600,0.104347,0.152725,-0.048378
1335744000,0.101642,0.151979,-0.050338
1335830400,NaN,0.151234,NaN
1335916800,NaN,0.150488,NaN
1336003200,NaN,0.149742,NaN
1336089600,0.125986,0.148997,-0.023011
1336176000,0.113689,0.148251,-0.034562
1336262400,NaN,0.147506,NaN
1336348800,NaN,0.146760,NaN
1336435200,0.106187,0.146015,-0.039827
1336521600,NaN,0.145269,NaN
1336608000,NaN,0.144524,NaN
1336694400,NaN,0.143778,NaN
1336780800,NaN,0.143032,NaN
1336867200,NaN,0.142287,NaN
1336953600,NaN,0.141541,NaN
1337040000,0.132990,0.142805,-0.009815
1337126400,0.103507,0.144069,-0.040562
1337212800,NaN,0.145333,NaN
1337299200,0.150094,0.146597,0.003497
1337385600,0.143225,0.147861,-0.004636
1337472000,0.143633,0.149125,-0.005491
1337558400,0.125240,0.150389,-0.025149
1337644800,NaN,0.151653,NaN
1337731200,NaN,0.152916,NaN
1337817600,0.113888,0.154180,-0.040293
1337904000,0.130626,0.155444,-0.024818
1337990400,NaN,0.156708,NaN
1338076800,NaN,0.157972,NaN
1338163200,NaN,0.159236,NaN
1338249600,0.112842,0.160500,-0.047658
1338336000,NaN,0.161764,NaN
1338422400,NaN,0.163028,NaN
1338508800,0.204707,0.164292,0.040415
1338595200,NaN,0.165556,NaN
1338681600,0.280874,0.166820,0.114054
1338768000,NaN,0.168083,NaN
1338854400,0.375735,0.169347,0.206387
1338940800,NaN,0.170611,NaN
1339027200,NaN,0.171875,NaN
1339113600,NaN,0.173139,NaN
1339200000,0.266362,0.174403,0.091959
1339286400,0.363980,0.175667,0.188313
1339372800,NaN,0.176931,NaN
1339459200,NaN,0.178195,NaN
1339545600,NaN,0.179459,NaN
1339632000,NaN,0.180723,NaN
1339718400,0.293098,0.184142,0.108956
1339804800,NaN,0.187562,NaN
1339891200,0.233642,0.190982,0.042660
1339977600,NaN,0.194402,NaN
1340064000,NaN,0.197821,NaN
1340150400,NaN,0.201241,NaN
1340323200,0.250236,0.208081,0.042155
1340409600,NaN,0.211501,NaN
1340496000,NaN,0.214920,NaN
1340582400,0.110569,0.218340,-0.107771
1340668800,0.139963,0.221760,-0.081797
1340755200,0.134151,0.225180,-0.091028
1340841600,NaN,0.228599,NaN
1340928000,NaN,0.232019,NaN
1341014400,NaN,0.235439,NaN
1341100800,NaN,0.238859,NaN
1341187200,NaN,0.242278,NaN
1341273600,0.101921,0.245698,-0.143777
1341360000,NaN,0.249118,NaN
1341446400,NaN,0.252538,NaN
1341532800,0.130175,0.255957,-0.125782
1341619200,NaN,0.259377,NaN
1341705600,NaN,0.262797,NaN
1341792000,NaN,0.266217,NaN
1341878400,NaN,0.269637,NaN
1341964800,NaN,0.273056,NaN
1342051200,NaN,0.276476,NaN
1342137600,NaN,0.279896,NaN
1342224000,NaN,0.283316,NaN
1342310400,NaN,0.281473,NaN
1342396800,0.125513,0.279631,-0.154119
1342483200,0.243303,0.277789,-0.034486
1342569600,0.107294,0.275947,-0.168653
1342656000,NaN,0.274105,NaN
1342742400,NaN,0.272262,NaN
1342828800,NaN,0.270420,NaN
1342915200,NaN,0.268578,NaN
1343001600,0.283269,0.266736,0.016534
1343088000,0.274424,0.264893,0.009530
1343174400,NaN,0.263051,NaN
1343260800,NaN,0.261209,NaN
1343347200,NaN,0.259367,NaN
1343433600,NaN,0.257525,NaN
1343520000,0.241903,0.255682,-0.013780
1343606400,NaN,0.253840,NaN
1343692800,NaN,0.251998,NaN
1343779200,NaN,0.250156,NaN
1343865600,0.268443,0.248313,0.020130
1343952000,0.268361,0.246471,0.021890
1344038400,NaN,0.244629,NaN
1344124800,NaN,0.242787,NaN
1344211200,0.136110,0.240945,-0.104835
1344297600,NaN,0.239102,NaN
1344384000,0.137444,0.237260,-0.099816
1344470400,0.132567,0.235418,-0.102851
1344556800,NaN,0.233576,NaN
1344643200,NaN,0.231733,NaN
1344729600,0.197113,0.229891,-0.032778
1344816000,NaN,0.228049,NaN
1344902400,0.249372,0.226207,0.023166
1344988800,NaN,0.222808,NaN
1345075200,NaN,0.219410,NaN
1345161600,0.286549,0.216012,0.070537
1345248000,NaN,0.212613,NaN
1345334400,NaN,0.209215,NaN
1345420800,NaN,0.205817,NaN
1345507200,NaN,0.202418,NaN
1345593600,NaN,0.199020,NaN
