Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,1.203080,NaN,NaN
1325721600,0.887028,NaN,NaN
1325808000,0.728662,NaN,NaN
1325894400,0.772873,NaN,NaN
1325980800,0.770540,NaN,NaN
1326067200,2.231808,NaN,NaN
1326153600,0.749767,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,0.185888,NaN,NaN
1326412800,1.339038,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.846105,1.037569,-0.191464
1326672000,1.719875,1.029796,0.690079
1326758400,0.696868,1.022023,-0.325155
1326844800,0.646010,1.014250,-0.368240
1326931200,0.451783,1.006476,-0.554693
1327017600,0.675063,0.998703,-0.323640
1327104000,0.487241,0.990930,-0.503689
1327190400,0.491676,0.983157,-0.491481
1327276800,1.444283,0.975384,0.468900
1327363200,0.770255,0.967610,-0.197356
1327449600,0.369236,0.959837,-0.590601
1327536000,0.233129,0.952064,-0.718935
1327622400,0.942079,0.944291,-0.002212
1327708800,0.893506,0.936518,-0.043012
1327795200,0.199698,0.928744,-0.729046
1327881600,NaN,0.920971,NaN
1327968000,0.923744,0.913198,0.010546
1328054400,0.784971,0.905425,-0.120454
1328140800,1.211774,0.897652,0.314123
1328227200,0.216399,0.889878,-0.673479
1328313600,4.259122,0.882105,3.377017
1328400000,NaN,0.874332,NaN
1328486400,1.519156,0.866559,0.652598
1328572800,0.386497,0.858786,-0.472288
1328659200,NaN,0.851013,NaN
1328745600,0.768436,0.843239,-0.074803
1328832000,0.337453,0.835466,-0.498013
1328918400,NaN,0.827693,NaN
1329004800,0.959699,0.819920,0.139779
1329091200,2.798062,0.812147,1.985915
1329177600,1.805052,0.804373,1.000679
1329264000,0.908719,0.796600,0.112119
1329350400,0.866221,0.796897,0.069324
1329436800,1.499100,0.797193,0.701907
1329523200,1.577328,0.797489,0.779838
1329609600,0.585849,0.797786,-0.211936
1329696000,0.433110,0.798082,-0.364972
1329782400,0.216337,0.798378,-0.582041
1329868800,1.011930,0.798675,0.213256
1329955200,1.044849,0.798971,0.245878
1330041600,0.598358,0.799267,-0.200909
1330128000,0.476501,0.799564,-0.323063
1330214400,0.604253,0.799860,-0.195607
1330300800,0.389272,0.800156,-0.410884
1330387200,0.525339,0.800453,-0.275113
1330473600,0.392565,0.800749,-0.408184
1330560000,0.472468,0.801045,-0.328577
1330646400,0.530242,0.801342,-0.271100
1330732800,0.481437,0.801638,-0.320201
1330819200,0.228404,0.801934,-0.573530
1330905600,2.519790,0.802231,1.717559
1330992000,0.636157,0.802527,-0.166370
1331078400,0.527904,0.802823,-0.274920
1331164800,0.987861,0.803120,0.184742
1331251200,0.382625,0.803416,-0.420791
1331337600,0.761051,0.803712,-0.042661
1331424000,NaN,0.804009,NaN
1331510400,1.341756,0.804305,0.537451
1331596800,2.060530,0.804601,1.255929
1331683200,0.507649,0.804898,-0.297248
1331769600,0.683289,0.799474,-0.116185
1331856000,1.138674,0.794050,0.344624
1331942400,0.687554,0.788627,-0.101072
1332028800,0.642416,0.783203,-0.140787
1332115200,0.686897,0.777780,-0.090882
1332201600,0.661793,0.772356,-0.110563
1332288000,0.669920,0.766932,-0.097013
1332374400,0.163901,0.761509,-0.597608
1332460800,0.338734,0.756085,-0.417351
1332720000,0.576983,0.739814,-0.162831
1332806400,NaN,0.734390,NaN
1332892800,0.210848,0.728967,-0.518119
1332979200,1.037032,0.723543,0.313489
1333065600,0.244934,0.718120,-0.473186
1333152000,0.128092,0.712696,-0.584604
1333238400,0.120135,0.707272,-0.587137
1333324800,0.667231,0.701849,-0.034618
1333411200,0.619337,0.696425,-0.077088
1333497600,0.381924,0.691001,-0.309077
1333584000,0.729488,0.685578,0.043911
1333670400,0.097347,0.680154,-0.582807
1333756800,0.199403,0.674731,-0.475328
1333843200,1.465658,0.669307,0.796351
1333929600,1.164031,0.663883,0.500148
1334016000,0.511680,0.658460,-0.146780
1334102400,0.922618,0.653036,0.269582
1334188800,NaN,0.647612,NaN
1334275200,0.507045,0.642189,-0.135143
1334361600,0.211277,0.636765,-0.425488
1334448000,0.506562,0.636542,-0.129980
1334534400,0.689942,0.636319,0.053623
1334620800,NaN,0.636096,NaN
1334707200,0.174210,0.635872,-0.461663
1334793600,0.149111,0.635649,-0.486538
1334880000,1.044780,0.635426,0.409354
1334966400,NaN,0.635203,NaN
1335052800,NaN,0.634980,NaN
1335139200,NaN,0.634757,NaN
1335225600,1.278440,0.634534,0.643907
1335312000,0.941381,0.634310,0.307071
1335398400,0.951416,0.634087,0.317328
1335484800,NaN,0.633864,NaN
1335571200,NaN,0.633641,NaN
1335657600,NaN,0.633418,NaN
1335744000,NaN,0.633195,NaN
1335830400,0.199992,0.632971,-0.432980
1335916800,0.347999,0.632748,-0.284749
1336003200,NaN,0.632525,NaN
1336089600,0.256279,0.632302,-0.376023
1336176000,0.437801,0.632079,-0.194278
1336262400,0.352573,0.631856,-0.279283
1336348800,0.182237,0.631633,-0.449396
1336435200,0.625783,0.631409,-0.005627
1336521600,NaN,0.631186,NaN
1336608000,0.422361,0.630963,-0.208602
1336694400,0.318814,0.630740,-0.311926
1336780800,0.224086,0.630517,-0.406430
1336867200,0.538112,0.630294,-0.092181
1336953600,NaN,0.630070,NaN
1337040000,NaN,0.628891,NaN
1337126400,NaN,0.627711,NaN
1337212800,NaN,0.626531,NaN
1337299200,0.745513,0.625352,0.120162
1337385600,NaN,0.624172,NaN
1337472000,0.591896,0.622992,-0.031097
1337558400,NaN,0.621813,NaN
1337644800,0.403636,0.620633,-0.216998
1337731200,0.396707,0.619453,-0.222747
1337817600,NaN,0.618274,NaN
1337904000,0.185946,0.617094,-0.431148
1337990400,0.568006,0.615914,-0.047909
1338076800,0.702424,0.614735,0.087689
1338163200,0.374055,0.613555,-0.239500
1338249600,0.631387,0.612375,0.019011
1338336000,NaN,0.611196,NaN
1338422400,1.957696,0.610016,1.347680
1338508800,NaN,0.608836,NaN
1338595200,NaN,0.607657,NaN
1338681600,0.465073,0.606477,-0.141404
1338768000,NaN,0.605297,NaN
1338854400,NaN,0.604118,NaN
1338940800,NaN,0.602938,NaN
1339027200,NaN,0.601758,NaN
1339113600,0.782954,0.600579,0.182375
1339200000,NaN,0.599399,NaN
1339286400,NaN,0.598219,NaN
1339372800,0.431176,0.597040,-0.165864
1339459200,0.645961,0.595860,0.050101
1339545600,0.329383,0.594680,-0.265297
1339632000,1.489823,0.593501,0.896323
1339718400,0.293146,0.595317,-0.302171
1339804800,0.436238,0.597132,-0.160894
1339891200,0.931421,0.598948,0.332473
1339977600,0.465626,0.600764,-0.135138
1340064000,NaN,0.602579,NaN
1340150400,NaN,0.604395,NaN
1340323200,NaN,0.608027,NaN
1340409600,NaN,0.609842,NaN
1340496000,NaN,0.611658,NaN
1340582400,NaN,0.613474,NaN
1340668800,NaN,0.615290,NaN
1340755200,0.690973,0.617105,0.073868
1340841600,1.187854,0.618921,0.568933
1340928000,1.114899,0.620737,0.494162
1341014400,1.226391,0.622553,0.603839
1341100800,NaN,0.624368,NaN
1341187200,0.720536,0.626184,0.094352
1341273600,0.522893,0.628000,-0.105107
1341360000,0.137837,0.629815,-0.491978
1341446400,1.184345,0.631631,0.552714
1341532800,NaN,0.633447,NaN
1341619200,3.581474,0.635263,2.946211
1341705600,0.198476,0.637078,-0.438602
1341792000,NaN,0.638894,NaN
1341878400,NaN,0.640710,NaN
1341964800,NaN,0.642526,NaN
1342051200,NaN,0.644341,NaN
1342137600,2.447754,0.646157,1.801597
1342224000,0.475514,0.647973,-0.172459
1342310400,0.336900,0.653364,-0.316465
1342396800,1.755247,0.658756,1.096491
1342483200,NaN,0.664148,NaN
1342569600,0.123245,0.669539,-0.546295
1342656000,NaN,0.674931,NaN
1342742400,0.632852,0.680323,-0.047471
1342828800,1.160219,0.685715,0.474504
1342915200,NaN,0.691106,NaN
1343001600,0.712189,0.696498,0.015691
1343088000,NaN,0.701890,NaN
1343174400,NaN,0.707281,NaN
1343260800,0.559293,0.712673,-0.153380
1343347200,5.232765,0.718065,4.514700
1343433600,0.493883,0.723456,-0.229573
1343520000,NaN,0.728848,NaN
1343606400,0.767020,0.734240,0.032780
1343692800,0.675736,0.739631,-0.063895
1343779200,0.654945,0.745023,-0.090078
1343865600,0.082915,0.750415,-0.667500
1343952000,0.452554,0.755806,-0.303253
