Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.291105,NaN,NaN
2012-01-05,NaN,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,NaN,NaN,NaN
2012-01-08,NaN,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.334885,NaN,NaN
2012-01-12,0.523444,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,0.343285,NaN,NaN
2012-01-15,NaN,0.302011,NaN
2012-01-16,0.323503,0.300773,0.022730
2012-01-17,NaN,0.299535,NaN
2012-01-18,0.271957,0.298297,-0.026340
2012-01-19,NaN,0.297059,NaN
2012-01-20,NaN,0.295821,NaN
2012-01-21,NaN,0.294583,NaN
2012-01-22,NaN,0.293345,NaN
2012-01-23,NaN,0.292107,NaN
2012-01-24,0.222461,0.290869,-0.068409
2012-01-25,0.227206,0.289631,-0.062425
2012-01-26,NaN,0.288393,NaN
2012-01-27,0.283414,0.287155,-0.003741
2012-01-28,NaN,0.285917,NaN
2012-01-29,0.376625,0.284679,0.091946
2012-01-30,NaN,0.283441,NaN
2012-01-31,NaN,0.282203,NaN
2012-02-01,NaN,0.280966,NaN
2012-02-02,NaN,0.279728,NaN
2012-02-03,0.222998,0.278490,-0.055492
2012-02-04,NaN,0.277252,NaN
2012-02-05,NaN,0.276014,NaN
2012-02-06,NaN,0.274776,NaN
2012-02-07,NaN,0.273538,NaN
2012-02-08,0.253518,0.272300,-0.018781
2012-02-09,NaN,0.271062,NaN
2012-02-10,NaN,0.269824,NaN
2012-02-11,NaN,0.268586,NaN
2012-02-12,NaN,0.267348,NaN
2012-02-13,NaN,0.266110,NaN
2012-02-14,NaN,0.264872,NaN
2012-02-15,NaN,0.263634,NaN
2012-02-16,NaN,0.262032,NaN
2012-02-17,NaN,0.260429,NaN
2012-02-18,NaN,0.258826,NaN
2012-02-19,NaN,0.257224,NaN
2012-02-20,NaN,0.255621,NaN
2012-02-21,NaN,0.254018,NaN
2012-02-22,NaN,0.252416,NaN
2012-02-23,NaN,0.250813,NaN
2012-02-24,NaN,0.249210,NaN
2012-02-25,NaN,0.247608,NaN
2012-02-26,NaN,0.246005,NaN
2012-02-27,NaN,0.244402,NaN
2012-02-28,0.326387,0.242800,0.083587
2012-02-29,NaN,0.241197,NaN
2012-03-01,0.205264,0.239594,-0.034330
