Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.292270,NaN,NaN
1325721600,NaN,NaN,NaN
1325808000,NaN,NaN,NaN
1325894400,NaN,NaN,NaN
1325980800,0.303344,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,0.299625,NaN,NaN
1326326400,0.456270,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,0.315450,NaN,NaN
1326585600,NaN,0.309226,NaN
1326672000,0.305689,0.308027,-0.002338
1326758400,NaN,0.306828,NaN
1326844800,0.302774,0.305629,-0.002856
1326931200,NaN,0.304430,NaN
1327017600,NaN,0.303232,NaN
1327104000,NaN,0.302033,NaN
1327190400,NaN,0.300834,NaN
1327276800,NaN,0.299635,NaN
1327363200,0.226946,0.298436,-0.071491
1327449600,NaN,0.297238,NaN
1327536000,NaN,0.296039,NaN
1327622400,0.350646,0.294840,0.055806
1327708800,NaN,0.293641,NaN
1327795200,NaN,0.292442,NaN
1327881600,NaN,0.291244,NaN
1327968000,0.237796,0.290045,-0.052249
1328054400,NaN,0.288846,NaN
1328140800,NaN,0.287647,NaN
1328227200,0.324397,0.286449,0.037948
1328313600,NaN,0.285250,NaN
1328400000,NaN,0.284051,NaN
1328486400,NaN,0.282852,NaN
1328572800,0.234599,0.281653,-0.047055
1328659200,NaN,0.280455,NaN
1328745600,NaN,0.279256,NaN
1328832000,NaN,0.278057,NaN
1328918400,NaN,0.276858,NaN
1329004800,NaN,0.275659,NaN
1329091200,NaN,0.274461,NaN
1329177600,NaN,0.273262,NaN
1329264000,NaN,0.272063,NaN
1329350400,NaN,0.271044,NaN
1329436800,NaN,0.270025,NaN
1329523200,NaN,0.269006,NaN
1329609600,NaN,0.267987,NaN
1329696000,NaN,0.266968,NaN
1329782400,NaN,0.265949,NaN
1329868800,NaN,0.264930,NaN
1329955200,NaN,0.263911,NaN
1330041600,NaN,0.262892,NaN
1330128000,NaN,0.261873,NaN
1330214400,NaN,0.260854,NaN
1330300800,NaN,0.259835,NaN
1330387200,0.226705,0.258816,-0.032112
1330473600,NaN,0.257797,NaN
1330560000,0.309109,0.256778,0.052330
1330646400,0.268172,0.255759,0.012413
1330732800,NaN,0.254740,NaN
1330819200,0.303309,0.253722,0.049588
1330905600,0.274825,0.252703,0.022122
1330992000,NaN,0.251684,NaN
1331078400,NaN,0.250665,NaN
1331164800,NaN,0.249646,NaN
1331251200,NaN,0.248627,NaN
1331337600,NaN,0.247608,NaN
1331424000,NaN,0.246589,NaN
1331510400,0.208565,0.245570,-0.037005
1331596800,0.166127,0.244551,-0.078424
1331683200,0.137027,0.243532,-0.106505
1331769600,0.144718,0.241186,-0.096468
1331856000,0.141164,0.238840,-0.097676
1331942400,NaN,0.236495,NaN
1332028800,NaN,0.234149,NaN
1332115200,NaN,0.231803,NaN
1332201600,NaN,0.229457,NaN
1332288000,NaN,0.227112,NaN
1332374400,0.165028,0.224766,-0.059738
1332460800,0.130095,0.222420,-0.092325
1332720000,0.172484,0.215383,-0.042899
1332806400,NaN,0.213037,NaN
1332892800,NaN,0.210692,NaN
1332979200,0.103047,0.208346,-0.105299
1333065600,NaN,0.206000,NaN
1333152000,NaN,0.203655,NaN
1333238400,0.180380,0.201309,-0.020928
1333324800,0.180192,0.198963,-0.018771
1333411200,0.159729,0.196617,-0.036888
1333497600,NaN,0.194272,NaN
1333584000,0.145576,0.191926,-0.046350
1333670400,NaN,0.189580,NaN
1333756800,0.098681,0.187235,-0.088554
1333843200,0.103478,0.184889,-0.081411
1333929600,NaN,0.182543,NaN
1334016000,0.145754,0.180197,-0.034443
1334102400,0.126437,0.177852,-0.051415
1334188800,NaN,0.175506,NaN
1334275200,0.114482,0.173160,-0.058679
1334361600,NaN,0.170815,NaN
1334448000,NaN,0.170904,NaN
1334534400,NaN,0.170994,NaN
1334620800,NaN,0.171084,NaN
1334707200,0.107323,0.171174,-0.063851
1334793600,0.109880,0.171264,-0.061385
1334880000,NaN,0.171354,NaN
1334966400,NaN,0.171444,NaN
1335052800,0.156623,0.171534,-0.014911
1335139200,0.131549,0.171624,-0.040075
1335225600,0.118682,0.171714,-0.053032
1335312000,NaN,0.171804,NaN
1335398400,NaN,0.171894,NaN
1335484800,NaN,0.171983,NaN
1335571200,NaN,0.172073,NaN
