Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.814081,NaN,NaN
1325721600,0.737502,NaN,NaN
1325808000,0.396947,NaN,NaN
1325894400,0.482468,NaN,NaN
1325980800,0.459651,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.458633,0.594776,-0.136144
1326672000,NaN,0.595066,NaN
1326758400,0.513153,0.595357,-0.082204
1326844800,NaN,0.595647,NaN
1326931200,NaN,0.595937,NaN
1327017600,0.436647,0.596227,-0.159580
1327104000,0.170430,0.596517,-0.426087
1327190400,0.396352,0.596807,-0.200455
1327276800,0.418816,0.597097,-0.178282
1327363200,0.146192,0.597387,-0.451195
1327449600,0.161497,0.597678,-0.436181
1327536000,NaN,0.597968,NaN
1327622400,0.389448,0.598258,-0.208810
1327708800,0.332198,0.598548,-0.266350
1327795200,NaN,0.598838,NaN
1327881600,NaN,0.599128,NaN
1327968000,NaN,0.599418,NaN
1328054400,0.356295,0.599708,-0.243413
1328140800,NaN,0.599999,NaN
1328227200,NaN,0.600289,NaN
1328313600,NaN,0.600579,NaN
1328400000,NaN,0.600869,NaN
1328486400,NaN,0.601159,NaN
1328572800,NaN,0.601449,NaN
1328659200,NaN,0.601739,NaN
1328745600,NaN,0.602029,NaN
1328832000,NaN,0.602320,NaN
1328918400,NaN,0.602610,NaN
1329004800,0.592215,0.602900,-0.010684
1329091200,NaN,0.603190,NaN
1329177600,0.217931,0.603480,-0.385549
1329264000,0.445621,0.603770,-0.158149
1329350400,NaN,0.602177,NaN
1329436800,0.742525,0.600584,0.141941
1329523200,NaN,0.598991,NaN
1329609600,0.546926,0.597399,-0.050472
1329696000,NaN,0.595806,NaN
1329782400,NaN,0.594213,NaN
1329868800,0.210886,0.592620,-0.381734
1329955200,0.627772,0.591027,0.036745
1330041600,0.586699,0.589434,-0.002735
1330128000,NaN,0.587841,NaN
1330214400,NaN,0.586248,NaN
1330300800,0.403468,0.584655,-0.181187
1330387200,0.368367,0.583063,-0.214696
1330473600,NaN,0.581470,NaN
1330560000,0.398178,0.579877,-0.181699
1330646400,0.610198,0.578284,0.031914
1330732800,0.789762,0.576691,0.213071
1330819200,NaN,0.575098,NaN
1330905600,NaN,0.573505,NaN
1330992000,NaN,0.571912,NaN
1331078400,NaN,0.570319,NaN
1331164800,NaN,0.568727,NaN
1331251200,0.471131,0.567134,-0.096002
1331337600,0.336563,0.565541,-0.228977
1331424000,NaN,0.563948,NaN
1331510400,NaN,0.562355,NaN
1331596800,0.669625,0.560762,0.108863
1331683200,0.139487,0.559169,-0.419682
1331769600,0.136706,0.558009,-0.421303
1331856000,NaN,0.556848,NaN
1331942400,0.532663,0.555688,-0.023025
