Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.951898,NaN,NaN
2012-01-05,0.798323,NaN,NaN
2012-01-06,0.513151,NaN,NaN
2012-01-07,0.502552,NaN,NaN
2012-01-08,0.505919,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,1.077025,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,0.561999,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.490419,0.704653,-0.214234
2012-01-16,0.661854,0.703098,-0.041244
2012-01-17,0.522442,0.701543,-0.179102
2012-01-18,0.196950,0.699989,-0.503039
2012-01-19,NaN,0.698434,NaN
2012-01-20,0.511261,0.696879,-0.185618
2012-01-21,0.234069,0.695325,-0.461256
2012-01-22,0.428318,0.693770,-0.265452
2012-01-23,0.158841,0.692215,-0.533374
2012-01-24,0.386335,0.690660,-0.304325
2012-01-25,0.419363,0.689106,-0.269743
2012-01-26,0.559242,0.687551,-0.128309
2012-01-27,0.426374,0.685996,-0.259623
2012-01-28,0.705035,0.684441,0.020594
2012-01-29,NaN,0.682887,NaN
2012-01-30,NaN,0.681332,NaN
2012-01-31,NaN,0.679777,NaN
2012-02-01,0.634357,0.678223,-0.043866
2012-02-02,NaN,0.676668,NaN
2012-02-03,NaN,0.675113,NaN
2012-02-04,NaN,0.673558,NaN
2012-02-05,NaN,0.672004,NaN
2012-02-06,NaN,0.670449,NaN
2012-02-07,0.592351,0.668894,-0.076543
2012-02-08,NaN,0.667339,NaN
2012-02-09,0.235207,0.665785,-0.430578
2012-02-10,NaN,0.664230,NaN
2012-02-11,NaN,0.662675,NaN
2012-02-12,0.750577,0.661120,0.089457
2012-02-13,0.985183,0.659566,0.325618
2012-02-14,0.396110,0.658011,-0.261901
2012-02-15,0.476637,0.656456,-0.179819
2012-02-16,NaN,0.655104,NaN
2012-02-17,0.572001,0.653752,-0.081752
2012-02-18,0.661329,0.652401,0.008928
2012-02-19,0.582607,0.651049,-0.068441
2012-02-20,0.267998,0.649697,-0.381699
2012-02-21,NaN,0.648345,NaN
2012-02-22,0.359586,0.646993,-0.287407
2012-02-23,0.648013,0.645641,0.002372
2012-02-24,0.652827,0.644289,0.008538
2012-02-25,NaN,0.642937,NaN
2012-02-26,0.686146,0.641585,0.044560
2012-02-27,0.549384,0.640233,-0.090849
2012-02-28,0.510852,0.638882,-0.128030
2012-02-29,NaN,0.637530,NaN
2012-03-01,0.599947,0.636178,-0.036230
2012-03-02,0.453746,0.634826,-0.181079
2012-03-03,0.518676,0.633474,-0.114798
2012-03-04,NaN,0.632122,NaN
2012-03-05,0.895101,0.630770,0.264330
2012-03-06,NaN,0.629418,NaN
2012-03-07,NaN,0.628066,NaN
2012-03-08,0.961105,0.626714,0.334391
2012-03-09,0.483845,0.625363,-0.141518
2012-03-10,0.565357,0.624011,-0.058654
2012-03-11,NaN,0.622659,NaN
2012-03-12,0.507965,0.621307,-0.113342
2012-03-13,0.709913,0.619955,0.089958
2012-03-14,0.186551,0.618603,-0.432052
2012-03-15,0.159245,0.616705,-0.457460
2012-03-16,NaN,0.614806,NaN
2012-03-17,0.509242,0.612908,-0.103666
2012-03-18,0.542411,0.611010,-0.068599
2012-03-19,0.545124,0.609111,-0.063988
2012-03-20,0.586498,0.607213,-0.020715
2012-03-21,NaN,0.605315,NaN
2012-03-22,NaN,0.603417,NaN
2012-03-23,0.532972,0.601518,-0.068546
2012-03-26,0.548387,0.595823,-0.047436
2012-03-27,NaN,0.593925,NaN
2012-03-28,NaN,0.592027,NaN
2012-03-29,0.464319,0.590128,-0.125810
2012-03-30,NaN,0.588230,NaN
