Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,NaN,NaN,NaN
2012-01-05,0.572973,NaN,NaN
2012-01-06,0.342492,NaN,NaN
2012-01-07,0.333562,NaN,NaN
2012-01-08,0.366189,NaN,NaN
2012-01-09,0.979129,NaN,NaN
2012-01-10,0.721531,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,0.244244,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.314748,0.353203,-0.038454
2012-01-16,NaN,0.351272,NaN
2012-01-17,0.204508,0.349341,-0.144833
2012-01-18,0.214764,0.347410,-0.132646
2012-01-19,0.219057,0.345479,-0.126422
2012-01-20,0.238432,0.343548,-0.105116
2012-01-21,0.682214,0.341617,0.340597
2012-01-22,NaN,0.339686,NaN
2012-01-23,NaN,0.337755,NaN
2012-01-24,0.439275,0.335824,0.103451
2012-01-25,1.474949,0.333893,1.141055
2012-01-26,0.432053,0.331962,0.100091
2012-01-27,NaN,0.330031,NaN
2012-01-28,NaN,0.328100,NaN
2012-01-29,NaN,0.326169,NaN
2012-01-30,NaN,0.324238,NaN
2012-01-31,NaN,0.322307,NaN
2012-02-01,NaN,0.320376,NaN
2012-02-02,NaN,0.318445,NaN
2012-02-03,NaN,0.316515,NaN
2012-02-04,NaN,0.314584,NaN
2012-02-05,NaN,0.312653,NaN
2012-02-06,NaN,0.310722,NaN
2012-02-07,0.549160,0.308791,0.240370
2012-02-08,NaN,0.306860,NaN
2012-02-09,NaN,0.304929,NaN
2012-02-10,NaN,0.302998,NaN
2012-02-11,NaN,0.301067,NaN
2012-02-12,NaN,0.299136,NaN
2012-02-13,NaN,0.297205,NaN
2012-02-14,0.334112,0.295274,0.038838
2012-02-15,NaN,0.293343,NaN
2012-02-16,NaN,0.293570,NaN
2012-02-17,0.360159,0.293797,0.066362
2012-02-18,0.386049,0.294024,0.092026
2012-02-19,NaN,0.294250,NaN
2012-02-20,NaN,0.294477,NaN
2012-02-21,0.373067,0.294704,0.078363
2012-02-22,0.200080,0.294931,-0.094850
2012-02-23,0.281319,0.295157,-0.013838
2012-02-24,0.156685,0.295384,-0.138699
2012-02-25,0.106042,0.295611,-0.189569
2012-02-26,NaN,0.295838,NaN
2012-02-27,1.034541,0.296065,0.738477
2012-02-28,0.160098,0.296291,-0.136193
2012-02-29,NaN,0.296518,NaN
2012-03-01,0.132283,0.296745,-0.164462
2012-03-02,NaN,0.296972,NaN
2012-03-03,NaN,0.297198,NaN
2012-03-04,NaN,0.297425,NaN
2012-03-05,NaN,0.297652,NaN
2012-03-06,NaN,0.297879,NaN
2012-03-07,NaN,0.298106,NaN
2012-03-08,NaN,0.298332,NaN
2012-03-09,NaN,0.298559,NaN
2012-03-10,0.112530,0.298786,-0.186256
2012-03-11,NaN,0.299013,NaN
2012-03-12,NaN,0.299239,NaN
2012-03-13,NaN,0.299466,NaN
2012-03-14,0.552152,0.299693,0.252459
2012-03-15,NaN,0.299453,NaN
2012-03-16,0.125634,0.299213,-0.173579
2012-03-17,2.332700,0.298973,2.033727
2012-03-18,0.125785,0.298733,-0.172949
2012-03-19,0.383686,0.298493,0.085193
2012-03-20,NaN,0.298253,NaN
2012-03-21,NaN,0.298013,NaN
2012-03-22,NaN,0.297773,NaN
2012-03-23,NaN,0.297533,NaN
2012-03-26,0.299416,0.296813,0.002602
2012-03-27,NaN,0.296573,NaN
2012-03-28,NaN,0.296333,NaN
2012-03-29,1.142603,0.296093,0.846510
2012-03-30,0.231472,0.295853,-0.064381
2012-03-31,0.582438,0.295613,0.286825
2012-04-01,0.140092,0.295373,-0.155281
2012-04-02,NaN,0.295133,NaN
2012-04-03,0.251116,0.294893,-0.043778
2012-04-04,0.404110,0.294653,0.109456
2012-04-05,NaN,0.294413,NaN
2012-04-06,NaN,0.294173,NaN
2012-04-07,NaN,0.293933,NaN
2012-04-08,NaN,0.293693,NaN
2012-04-09,0.305272,0.293453,0.011818
2012-04-10,0.296269,0.293213,0.003056
2012-04-11,0.170732,0.292973,-0.122242
2012-04-12,NaN,0.292733,NaN
2012-04-13,NaN,0.292493,NaN
2012-04-14,NaN,0.292253,NaN
2012-04-15,0.225762,0.292972,-0.067210
2012-04-16,0.207727,0.293690,-0.085963
2012-04-17,NaN,0.294409,NaN
2012-04-18,NaN,0.295127,NaN
2012-04-19,0.649696,0.295846,0.353850
2012-04-20,NaN,0.296564,NaN
2012-04-21,NaN,0.297283,NaN
2012-04-22,NaN,0.298001,NaN
2012-04-23,NaN,0.298720,NaN
2012-04-24,0.228371,0.299438,-0.071067
