Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,1.602851,NaN,NaN
1325721600,1.251266,NaN,NaN
1325808000,0.738938,NaN,NaN
1325894400,0.694878,NaN,NaN
1325980800,0.708601,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,0.709799,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,1.006887,1.152705,-0.145818
1326672000,1.084118,1.143704,-0.059586
1326758400,0.810403,1.134703,-0.324300
1326844800,0.735345,1.125702,-0.390357
1326931200,0.882007,1.116701,-0.234694
1327017600,0.732141,1.107699,-0.375559
1327104000,0.693815,1.098698,-0.404884
1327190400,0.675369,1.089697,-0.414328
1327276800,0.745379,1.080696,-0.335317
1327363200,0.350973,1.071695,-0.720722
1327449600,0.551196,1.062694,-0.511497
1327536000,0.623873,1.053693,-0.429820
1327622400,NaN,1.044692,NaN
1327708800,0.683809,1.035691,-0.351881
1327795200,NaN,1.026689,NaN
1327881600,NaN,1.017688,NaN
1327968000,0.875588,1.008687,-0.133099
1328054400,0.511712,0.999686,-0.487974
1328140800,NaN,0.990685,NaN
1328227200,NaN,0.981684,NaN
1328313600,NaN,0.972683,NaN
1328400000,NaN,0.963682,NaN
1328486400,NaN,0.954681,NaN
1328572800,0.799945,0.945679,-0.145734
1328659200,NaN,0.936678,NaN
1328745600,0.815929,0.927677,-0.111749
1328832000,0.581019,0.918676,-0.337657
1328918400,NaN,0.909675,NaN
1329004800,1.216751,0.900674,0.316077
1329091200,1.110115,0.891673,0.218442
1329177600,NaN,0.882672,NaN
1329264000,0.770386,0.873671,-0.103284
1329350400,NaN,0.871388,NaN
1329436800,NaN,0.869105,NaN
1329523200,1.045598,0.866821,0.178776
1329609600,0.705288,0.864538,-0.159251
1329696000,0.797851,0.862255,-0.064405
1329782400,NaN,0.859972,NaN
1329868800,0.824119,0.857689,-0.033571
1329955200,0.713582,0.855406,-0.141824
1330041600,0.647408,0.853123,-0.205715
1330128000,0.879531,0.850840,0.028691
1330214400,NaN,0.848557,NaN
1330300800,0.744137,0.846274,-0.102137
1330387200,0.813932,0.843991,-0.030060
1330473600,NaN,0.841708,NaN
1330560000,0.733306,0.839425,-0.106119
1330646400,0.843237,0.837142,0.006095
1330732800,0.851730,0.834859,0.016872
1330819200,NaN,0.832576,NaN
1330905600,NaN,0.830293,NaN
1330992000,1.238747,0.828010,0.410737
1331078400,1.095414,0.825727,0.269687
1331164800,1.062593,0.823444,0.239149
1331251200,0.735221,0.821161,-0.085940
1331337600,0.825193,0.818878,0.006316
1331424000,NaN,0.816595,NaN
1331510400,1.143544,0.814312,0.329233
1331596800,0.477223,0.812029,-0.334806
1331683200,0.901414,0.809746,0.091668
1331769600,0.961666,0.807388,0.154278
1331856000,NaN,0.805030,NaN
1331942400,0.782856,0.802672,-0.019816
1332028800,0.711341,0.800314,-0.088973
1332115200,0.632722,0.797957,-0.165234
1332201600,0.900129,0.795599,0.104530
1332288000,NaN,0.793241,NaN
1332374400,NaN,0.790883,NaN
1332460800,0.545190,0.788525,-0.243335
1332720000,0.635325,0.781452,-0.146127
1332806400,NaN,0.779094,NaN
1332892800,NaN,0.776736,NaN
1332979200,NaN,0.774379,NaN
1333065600,NaN,0.772021,NaN
1333152000,NaN,0.769663,NaN
1333238400,NaN,0.767305,NaN
1333324800,0.729444,0.764948,-0.035504
1333411200,0.745880,0.762590,-0.016709
1333497600,0.799217,0.760232,0.038985
1333584000,0.880235,0.757874,0.122361
1333670400,NaN,0.755516,NaN
1333756800,0.507916,0.753159,-0.245243
1333843200,0.776756,0.750801,0.025955
1333929600,0.893411,0.748443,0.144968
1334016000,0.753669,0.746085,0.007584
1334102400,0.795561,0.743727,0.051833
1334188800,NaN,0.741370,NaN
1334275200,0.701820,0.739012,-0.037192
1334361600,0.572304,0.736654,-0.164350
1334448000,0.945380,0.743090,0.202290
1334534400,0.413602,0.749527,-0.335924
1334620800,NaN,0.755963,NaN
1334707200,0.605943,0.762399,-0.156456
1334793600,0.354650,0.768836,-0.414186
1334880000,0.545345,0.775272,-0.229927
