Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,1.602851,NaN,NaN
2012-01-05,1.251266,NaN,NaN
2012-01-06,0.738938,NaN,NaN
2012-01-07,0.694878,NaN,NaN
2012-01-08,0.708601,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,0.709799,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,1.006887,1.152705,-0.145818
2012-01-16,1.084118,1.143704,-0.059586
2012-01-17,0.810403,1.134703,-0.324300
2012-01-18,0.735345,1.125702,-0.390357
2012-01-19,0.882007,1.116701,-0.234694
2012-01-20,0.732141,1.107699,-0.375559
2012-01-21,0.693815,1.098698,-0.404884
2012-01-22,0.675369,1.089697,-0.414328
2012-01-23,0.745379,1.080696,-0.335317
2012-01-24,0.350973,1.071695,-0.720722
2012-01-25,0.551196,1.062694,-0.511497
2012-01-26,0.623873,1.053693,-0.429820
2012-01-27,NaN,1.044692,NaN
2012-01-28,0.683809,1.035691,-0.351881
2012-01-29,NaN,1.026689,NaN
2012-01-30,NaN,1.017688,NaN
2012-01-31,0.875588,1.008687,-0.133099
2012-02-01,0.511712,0.999686,-0.487974
2012-02-02,NaN,0.990685,NaN
2012-02-03,NaN,0.981684,NaN
2012-02-04,NaN,0.972683,NaN
2012-02-05,NaN,0.963682,NaN
2012-02-06,NaN,0.954681,NaN
2012-02-07,0.799945,0.945679,-0.145734
2012-02-08,NaN,0.936678,NaN
2012-02-09,0.815929,0.927677,-0.111749
2012-02-10,0.581019,0.918676,-0.337657
2012-02-11,NaN,0.909675,NaN
2012-02-12,1.216751,0.900674,0.316077
2012-02-13,1.110115,0.891673,0.218442
2012-02-14,NaN,0.882672,NaN
2012-02-15,0.770386,0.873671,-0.103284
2012-02-16,NaN,0.871388,NaN
2012-02-17,NaN,0.869105,NaN
2012-02-18,1.045598,0.866821,0.178776
2012-02-19,0.705288,0.864538,-0.159251
2012-02-20,0.797851,0.862255,-0.064405
2012-02-21,NaN,0.859972,NaN
2012-02-22,0.824119,0.857689,-0.033571
2012-02-23,0.713582,0.855406,-0.141824
2012-02-24,0.647408,0.853123,-0.205715
2012-02-25,0.879531,0.850840,0.028691
2012-02-26,NaN,0.848557,NaN
2012-02-27,0.744137,0.846274,-0.102137
2012-02-28,0.813932,0.843991,-0.030060
2012-02-29,NaN,0.841708,NaN
2012-03-01,0.733306,0.839425,-0.106119
2012-03-02,0.843237,0.837142,0.006095
2012-03-03,0.851730,0.834859,0.016872
2012-03-04,NaN,0.832576,NaN
2012-03-05,NaN,0.830293,NaN
2012-03-06,1.238747,0.828010,0.410737
2012-03-07,1.095414,0.825727,0.269687
2012-03-08,1.062593,0.823444,0.239149
2012-03-09,0.735221,0.821161,-0.085940
2012-03-10,0.825193,0.818878,0.006316
2012-03-11,NaN,0.816595,NaN
2012-03-12,1.143544,0.814312,0.329233
2012-03-13,0.477223,0.812029,-0.334806
2012-03-14,0.901414,0.809746,0.091668
2012-03-15,0.961666,0.807388,0.154278
2012-03-16,NaN,0.805030,NaN
2012-03-17,0.782856,0.802672,-0.019816
2012-03-18,0.711341,0.800314,-0.088973
2012-03-19,0.632722,0.797957,-0.165234
2012-03-20,0.900129,0.795599,0.104530
2012-03-21,NaN,0.793241,NaN
2012-03-22,NaN,0.790883,NaN
2012-03-23,0.545190,0.788525,-0.243335
2012-03-26,0.635325,0.781452,-0.146127
2012-03-27,NaN,0.779094,NaN
2012-03-28,NaN,0.776736,NaN
2012-03-29,NaN,0.774379,NaN
2012-03-30,NaN,0.772021,NaN
2012-03-31,NaN,0.769663,NaN
2012-04-01,NaN,0.767305,NaN
2012-04-02,0.729444,0.764948,-0.035504
2012-04-03,0.745880,0.762590,-0.016709
2012-04-04,0.799217,0.760232,0.038985
2012-04-05,0.880235,0.757874,0.122361
2012-04-06,NaN,0.755516,NaN
2012-04-07,0.507916,0.753159,-0.245243
2012-04-08,0.776756,0.750801,0.025955
2012-04-09,0.893411,0.748443,0.144968
2012-04-10,0.753669,0.746085,0.007584
2012-04-11,0.795561,0.743727,0.051833
2012-04-12,NaN,0.741370,NaN
2012-04-13,0.701820,0.739012,-0.037192
2012-04-14,0.572304,0.736654,-0.164350
2012-04-15,0.945380,0.743090,0.202290
2012-04-16,0.413602,0.749527,-0.335924
2012-04-17,NaN,0.755963,NaN
2012-04-18,0.605943,0.762399,-0.156456
2012-04-19,0.354650,0.768836,-0.414186
2012-04-20,0.545345,0.775272,-0.229927
2012-04-21,NaN,0.781708,NaN
2012-04-22,NaN,0.788145,NaN
2012-04-23,NaN,0.794581,NaN
2012-04-24,1.305938,0.801017,0.504921
2012-04-25,1.014945,0.807454,0.207492
2012-04-26,0.702064,0.813890,-0.111826
2012-04-27,NaN,0.820326,NaN
2012-04-28,NaN,0.826762,NaN
2012-04-29,NaN,0.833199,NaN
2012-04-30,NaN,0.839635,NaN
2012-05-01,0.750723,0.846071,-0.095348
2012-05-02,NaN,0.852508,NaN
2012-05-03,NaN,0.858944,NaN
2012-05-04,0.574379,0.865380,-0.291002
2012-05-05,0.663141,0.871817,-0.208676
2012-05-06,0.707692,0.878253,-0.170561
2012-05-07,0.250810,0.884689,-0.633879
2012-05-08,NaN,0.891126,NaN
2012-05-09,NaN,0.897562,NaN
2012-05-10,0.617233,0.903998,-0.286765
2012-05-11,NaN,0.910435,NaN
2012-05-12,0.954203,0.916871,0.037333
2012-05-13,NaN,0.923307,NaN
2012-05-14,NaN,0.929744,NaN
2012-05-15,NaN,0.924285,NaN
2012-05-16,NaN,0.918827,NaN
2012-05-17,NaN,0.913369,NaN
2012-05-18,1.103476,0.907911,0.195565
2012-05-19,NaN,0.902453,NaN
2012-05-20,1.067504,0.896995,0.170509
2012-05-21,NaN,0.891537,NaN
2012-05-22,0.977189,0.886078,0.091110
2012-05-23,0.918311,0.880620,0.037691
2012-05-24,NaN,0.875162,NaN
2012-05-25,NaN,0.869704,NaN
2012-05-26,0.814119,0.864246,-0.050126
2012-05-27,0.853108,0.858788,-0.005679
2012-05-28,0.599056,0.853330,-0.254274
2012-05-29,0.841301,0.847872,-0.006570
2012-05-30,NaN,0.842413,NaN
2012-05-31,NaN,0.836955,NaN
2012-06-01,NaN,0.831497,NaN
2012-06-02,NaN,0.826039,NaN
2012-06-03,NaN,0.820581,NaN
2012-06-04,NaN,0.815123,NaN
2012-06-05,NaN,0.809665,NaN
2012-06-06,NaN,0.804206,NaN
2012-06-07,NaN,0.798748,NaN
2012-06-08,0.790635,0.793290,-0.002655
2012-06-09,NaN,0.787832,NaN
2012-06-10,NaN,0.782374,NaN
2012-06-11,0.586209,0.776916,-0.190707
2012-06-12,0.821559,0.771458,0.050101
2012-06-13,0.694409,0.765999,-0.071590
2012-06-14,NaN,0.760541,NaN
2012-06-15,NaN,0.763833,NaN
2012-06-16,0.630791,0.767125,-0.136334
2012-06-17,0.934619,0.770417,0.164202
2012-06-18,0.567554,0.773709,-0.206155
2012-06-19,NaN,0.777001,NaN
2012-06-20,NaN,0.780293,NaN
2012-06-22,NaN,0.786877,NaN
2012-06-23,NaN,0.790168,NaN
2012-06-24,NaN,0.793460,NaN
2012-06-25,NaN,0.796752,NaN
2012-06-26,NaN,0.800044,NaN
2012-06-27,1.320959,0.803336,0.517623
2012-06-28,1.236634,0.806628,0.430006
2012-06-29,0.745610,0.809920,-0.064310
2012-06-30,1.092908,0.813212,0.279696
2012-07-01,NaN,0.816504,NaN
2012-07-02,0.739812,0.819796,-0.079984
2012-07-03,NaN,0.823087,NaN
2012-07-04,0.622445,0.826379,-0.203935
2012-07-05,0.852367,0.829671,0.022695
2012-07-06,NaN,0.832963,NaN
2012-07-07,NaN,0.836255,NaN
2012-07-08,0.617015,0.839547,-0.222532
2012-07-09,NaN,0.842839,NaN
2012-07-10,NaN,0.846131,NaN
2012-07-11,NaN,0.849423,NaN
2012-07-12,NaN,0.852715,NaN
2012-07-13,NaN,0.856006,NaN
2012-07-14,1.187864,0.859298,0.328566
2012-07-15,NaN,0.861277,NaN
2012-07-16,NaN,0.863255,NaN
2012-07-17,NaN,0.865233,NaN
2012-07-18,NaN,0.867211,NaN
2012-07-19,NaN,0.869189,NaN
2012-07-20,0.984505,0.871167,0.113338
2012-07-21,NaN,0.873145,NaN
2012-07-22,NaN,0.875124,NaN
2012-07-23,1.092547,0.877102,0.215445
2012-07-24,NaN,0.879080,NaN
2012-07-25,NaN,0.881058,NaN
2012-07-26,0.948624,0.883036,0.065588
2012-07-27,NaN,0.885014,NaN
2012-07-28,0.862466,0.886992,-0.024526
2012-07-29,NaN,0.888971,NaN
2012-07-30,0.939043,0.890949,0.048094
2012-07-31,1.001040,0.892927,0.108113
2012-08-01,0.927074,0.894905,0.032169
2012-08-02,0.821320,0.896883,-0.075563
2012-08-03,0.907120,0.898861,0.008259
2012-08-04,0.934230,0.900839,0.033391
2012-08-05,0.601338,0.902818,-0.301480
2012-08-06,NaN,0.904796,NaN
2012-08-07,NaN,0.906774,NaN
2012-08-08,0.977221,0.908752,0.068469
2012-08-09,0.772286,0.910730,-0.138444
2012-08-10,1.024802,0.912708,0.112094
2012-08-11,NaN,0.914686,NaN
2012-08-12,NaN,0.916665,NaN
2012-08-13,0.864697,0.918643,-0.053946
2012-08-14,NaN,0.920621,NaN
2012-08-15,0.703693,0.922230,-0.218537
2012-08-16,0.898261,0.923839,-0.025578
2012-08-17,0.980265,0.925447,0.054818
2012-08-18,NaN,0.927056,NaN
2012-08-19,0.581870,0.928665,-0.346796
2012-08-20,0.688789,0.930274,-0.241486
2012-08-21,0.711325,0.931883,-0.220558
2012-08-22,0.724619,0.933492,-0.208873
2012-08-23,NaN,0.935101,NaN
2012-08-24,0.770800,0.936710,-0.165910
2012-08-25,NaN,0.938319,NaN
2012-08-26,NaN,0.939928,NaN
2012-08-27,1.906779,0.941536,0.965242
2012-08-28,NaN,0.943145,NaN
2012-08-29,NaN,0.944754,NaN
2012-08-30,1.733685,0.946363,0.787321
2012-08-31,1.625013,0.947972,0.677041
2012-09-01,2.191798,0.949581,1.242217
2012-09-02,1.658379,0.951190,0.707189
2012-09-03,0.809340,0.952799,-0.143458
2012-09-04,0.942579,0.954408,-0.011829
2012-09-05,0.814201,0.956016,-0.141816
2012-09-06,1.122359,0.957625,0.164733
