Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,NaN,NaN,NaN
1325721600,0.256378,NaN,NaN
1325808000,0.299643,NaN,NaN
1325894400,0.270834,NaN,NaN
1325980800,0.238895,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,0.364032,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.252713,0.214939,0.037773
1326672000,NaN,0.213847,NaN
1326758400,0.175017,0.212755,-0.037738
1326844800,0.161381,0.211663,-0.050282
1326931200,0.239744,0.210571,0.029174
1327017600,0.166865,0.209478,-0.042614
1327104000,0.283987,0.208386,0.075601
1327190400,NaN,0.207294,NaN
1327276800,NaN,0.206202,NaN
1327363200,0.155464,0.205109,-0.049645
1327449600,0.136514,0.204017,-0.067503
1327536000,0.244401,0.202925,0.041476
1327622400,NaN,0.201833,NaN
1327708800,0.287898,0.200741,0.087157
1327795200,NaN,0.199648,NaN
1327881600,NaN,0.198556,NaN
1327968000,NaN,0.197464,NaN
1328054400,0.153755,0.196372,-0.042617
1328140800,NaN,0.195279,NaN
1328227200,NaN,0.194187,NaN
1328313600,NaN,0.193095,NaN
1328400000,NaN,0.192003,NaN
1328486400,NaN,0.190911,NaN
1328572800,0.187855,0.189818,-0.001964
1328659200,NaN,0.188726,NaN
1328745600,NaN,0.187634,NaN
1328832000,NaN,0.186542,NaN
1328918400,0.213923,0.185450,0.028473
1329004800,NaN,0.184357,NaN
1329091200,NaN,0.183265,NaN
1329177600,0.172830,0.182173,-0.009343
1329264000,0.151767,0.181081,-0.029314
1329350400,NaN,0.180582,NaN
1329436800,NaN,0.180082,NaN
1329523200,NaN,0.179583,NaN
1329609600,NaN,0.179084,NaN
1329696000,NaN,0.178585,NaN
1329782400,0.153951,0.178086,-0.024135
1329868800,0.244457,0.177587,0.066871
1329955200,0.155834,0.177088,-0.021254
1330041600,0.167682,0.176589,-0.008907
1330128000,NaN,0.176089,NaN
1330214400,NaN,0.175590,NaN
1330300800,NaN,0.175091,NaN
1330387200,0.117247,0.174592,-0.057345
1330473600,0.103643,0.174093,-0.070450
1330560000,NaN,0.173594,NaN
1330646400,NaN,0.173095,NaN
1330732800,NaN,0.172595,NaN
1330819200,NaN,0.172096,NaN
1330905600,0.140102,0.171597,-0.031495
1330992000,NaN,0.171098,NaN
1331078400,NaN,0.170599,NaN
1331164800,NaN,0.170100,NaN
1331251200,0.148174,0.169601,-0.021427
1331337600,NaN,0.169102,NaN
1331424000,NaN,0.168602,NaN
1331510400,0.132568,0.168103,-0.035535
1331596800,0.128251,0.167604,-0.039354
1331683200,0.078772,0.167105,-0.088333
1331769600,NaN,0.165333,NaN
1331856000,0.105455,0.163561,-0.058106
1331942400,NaN,0.161788,NaN
1332028800,NaN,0.160016,NaN
1332115200,0.186022,0.158244,0.027778
1332201600,NaN,0.156472,NaN
1332288000,0.087693,0.154700,-0.067007
1332374400,NaN,0.152928,NaN
1332460800,0.090093,0.151155,-0.061063
1332720000,0.092223,0.145839,-0.053616
1332806400,NaN,0.144067,NaN
1332892800,NaN,0.142294,NaN
1332979200,0.096072,0.140522,-0.044451
1333065600,0.102192,0.138750,-0.036558
1333152000,0.087336,0.136978,-0.049642
1333238400,0.108629,0.135206,-0.026576
1333324800,NaN,0.133433,NaN
1333411200,0.093309,0.131661,-0.038352
1333497600,0.128522,0.129889,-0.001367
1333584000,NaN,0.128117,NaN
1333670400,0.089078,0.126345,-0.037267
1333756800,NaN,0.124573,NaN
1333843200,0.131339,0.122800,0.008538
1333929600,NaN,0.121028,NaN
1334016000,NaN,0.119256,NaN
1334102400,NaN,0.117484,NaN
1334188800,NaN,0.115712,NaN
1334275200,NaN,0.113939,NaN
1334361600,NaN,0.112167,NaN
1334448000,0.199974,0.112855,0.087119
1334534400,0.223496,0.113543,0.109953
1334620800,NaN,0.114231,NaN
1334707200,NaN,0.114918,NaN
1334793600,NaN,0.115606,NaN
1334880000,NaN,0.116294,NaN
1334966400,NaN,0.116982,NaN
1335052800,0.131695,0.117670,0.014025
1335139200,NaN,0.118358,NaN
1335225600,0.380730,0.119045,0.261685
1335312000,0.211842,0.119733,0.092109
1335398400,0.138876,0.120421,0.018455
1335484800,NaN,0.121109,NaN
1335571200,NaN,0.121797,NaN
1335657600,NaN,0.122484,NaN
1335744000,NaN,0.123172,NaN
1335830400,NaN,0.123860,NaN
1335916800,0.106896,0.124548,-0.017652
1336003200,NaN,0.125236,NaN
1336089600,NaN,0.125923,NaN
1336176000,0.129387,0.126611,0.002776
1336262400,0.145179,0.127299,0.017879
