Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,NaN,NaN,NaN
2012-01-05,0.391434,NaN,NaN
2012-01-06,0.293338,NaN,NaN
2012-01-07,0.241213,NaN,NaN
2012-01-08,0.264739,NaN,NaN
2012-01-09,0.243510,NaN,NaN
2012-01-10,0.269234,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.228288,0.212671,0.015617
2012-01-16,NaN,0.212128,NaN
2012-01-17,0.253165,0.211585,0.041580
2012-01-18,0.179808,0.211041,-0.031233
2012-01-19,0.245994,0.210498,0.035496
2012-01-20,0.201645,0.209955,-0.008310
2012-01-21,0.296227,0.209412,0.086815
2012-01-22,NaN,0.208869,NaN
2012-01-23,NaN,0.208326,NaN
2012-01-24,0.138369,0.207782,-0.069414
2012-01-25,NaN,0.207239,NaN
2012-01-26,0.490492,0.206696,0.283796
2012-01-27,NaN,0.206153,NaN
2012-01-28,0.204442,0.205610,-0.001168
2012-01-29,NaN,0.205067,NaN
2012-01-30,NaN,0.204523,NaN
2012-01-31,NaN,0.203980,NaN
2012-02-01,NaN,0.203437,NaN
2012-02-02,NaN,0.202894,NaN
2012-02-03,NaN,0.202351,NaN
2012-02-04,NaN,0.201808,NaN
2012-02-05,NaN,0.201264,NaN
2012-02-06,NaN,0.200721,NaN
2012-02-07,0.193370,0.200178,-0.006808
2012-02-08,NaN,0.199635,NaN
2012-02-09,NaN,0.199092,NaN
2012-02-10,NaN,0.198549,NaN
2012-02-11,NaN,0.198005,NaN
2012-02-12,NaN,0.197462,NaN
2012-02-13,NaN,0.196919,NaN
2012-02-14,0.115026,0.196376,-0.081350
2012-02-15,0.147584,0.195833,-0.048249
2012-02-16,NaN,0.195211,NaN
2012-02-17,NaN,0.194589,NaN
2012-02-18,0.224377,0.193967,0.030410
2012-02-19,NaN,0.193345,NaN
2012-02-20,NaN,0.192723,NaN
2012-02-21,NaN,0.192101,NaN
2012-02-22,0.167719,0.191480,-0.023760
2012-02-23,0.143348,0.190858,-0.047510
2012-02-24,0.200384,0.190236,0.010148
2012-02-25,NaN,0.189614,NaN
2012-02-26,NaN,0.188992,NaN
2012-02-27,0.123930,0.188370,-0.064440
2012-02-28,0.162764,0.187748,-0.024984
2012-02-29,0.144631,0.187126,-0.042496
2012-03-01,0.112074,0.186504,-0.074431
2012-03-02,NaN,0.185882,NaN
2012-03-03,NaN,0.185260,NaN
2012-03-04,NaN,0.184639,NaN
2012-03-05,NaN,0.184017,NaN
2012-03-06,NaN,0.183395,NaN
2012-03-07,NaN,0.182773,NaN
2012-03-08,NaN,0.182151,NaN
2012-03-09,NaN,0.181529,NaN
2012-03-10,0.116892,0.180907,-0.064015
2012-03-11,NaN,0.180285,NaN
2012-03-12,NaN,0.179663,NaN
2012-03-13,NaN,0.179041,NaN
2012-03-14,0.121660,0.178420,-0.056759
2012-03-15,NaN,0.176931,NaN
2012-03-16,0.115079,0.175442,-0.060363
2012-03-17,NaN,0.173953,NaN
2012-03-18,0.107140,0.172464,-0.065325
2012-03-19,0.187702,0.170976,0.016726
2012-03-20,NaN,0.169487,NaN
2012-03-21,0.082505,0.167998,-0.085493
2012-03-22,NaN,0.166509,NaN
2012-03-23,0.091665,0.165021,-0.073356
2012-03-26,0.118266,0.160554,-0.042288
2012-03-27,NaN,0.159066,NaN
2012-03-28,NaN,0.157577,NaN
2012-03-29,0.178876,0.156088,0.022788
2012-03-30,0.168925,0.154599,0.014326
2012-03-31,0.091546,0.153110,-0.061565
2012-04-01,NaN,0.151622,NaN
2012-04-02,NaN,0.150133,NaN
2012-04-03,0.097568,0.148644,-0.051076
2012-04-04,0.162537,0.147155,0.015382
2012-04-05,NaN,0.145667,NaN
2012-04-06,NaN,0.144178,NaN
2012-04-07,NaN,0.142689,NaN
2012-04-08,0.136655,0.141200,-0.004546
2012-04-09,0.116970,0.139712,-0.022742
2012-04-10,0.147164,0.138223,0.008941
2012-04-11,0.171945,0.136734,0.035211
2012-04-12,NaN,0.135245,NaN
2012-04-13,NaN,0.133756,NaN
2012-04-14,NaN,0.132268,NaN
2012-04-15,NaN,0.132835,NaN
2012-04-16,NaN,0.133403,NaN
2012-04-17,NaN,0.133971,NaN
2012-04-18,NaN,0.134539,NaN
2012-04-19,NaN,0.135107,NaN
2012-04-20,0.084890,0.135675,-0.050785
2012-04-21,NaN,0.136242,NaN
2012-04-22,NaN,0.136810,NaN
2012-04-23,NaN,0.137378,NaN
2012-04-24,0.144559,0.137946,0.006613
