Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.294711,NaN,NaN
1325721600,NaN,NaN,NaN
1325808000,NaN,NaN,NaN
1325894400,0.326317,NaN,NaN
1325980800,NaN,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,0.307717,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,0.382941,NaN,NaN
1326585600,NaN,0.343166,NaN
1326672000,0.429121,0.340428,0.088693
1326758400,0.313734,0.337689,-0.023955
1326844800,0.356405,0.334950,0.021455
1326931200,NaN,0.332212,NaN
1327017600,NaN,0.329473,NaN
1327104000,NaN,0.326735,NaN
1327190400,NaN,0.323996,NaN
1327276800,NaN,0.321257,NaN
1327363200,0.242248,0.318519,-0.076271
1327449600,NaN,0.315780,NaN
1327536000,NaN,0.313042,NaN
1327622400,0.277655,0.310303,-0.032648
1327708800,NaN,0.307564,NaN
1327795200,0.333212,0.304826,0.028386
1327881600,NaN,0.302087,NaN
1327968000,NaN,0.299348,NaN
1328054400,NaN,0.296610,NaN
1328140800,NaN,0.293871,NaN
1328227200,NaN,0.291133,NaN
1328313600,0.230843,0.288394,-0.057551
1328400000,NaN,0.285655,NaN
1328486400,NaN,0.282917,NaN
1328572800,NaN,0.280178,NaN
1328659200,NaN,0.277440,NaN
1328745600,NaN,0.274701,NaN
1328832000,NaN,0.271962,NaN
1328918400,0.384838,0.269224,0.115614
1329004800,NaN,0.266485,NaN
1329091200,NaN,0.263746,NaN
1329177600,NaN,0.261008,NaN
1329264000,NaN,0.258269,NaN
1329350400,NaN,0.258097,NaN
1329436800,NaN,0.257925,NaN
1329523200,NaN,0.257753,NaN
1329609600,NaN,0.257581,NaN
1329696000,NaN,0.257409,NaN
1329782400,NaN,0.257237,NaN
1329868800,NaN,0.257065,NaN
1329955200,NaN,0.256893,NaN
1330041600,NaN,0.256721,NaN
1330128000,NaN,0.256549,NaN
1330214400,NaN,0.256377,NaN
1330300800,NaN,0.256205,NaN
1330387200,0.289711,0.256033,0.033678
1330473600,NaN,0.255861,NaN
1330560000,0.206307,0.255689,-0.049382
1330646400,0.226825,0.255517,-0.028692
1330732800,NaN,0.255345,NaN
1330819200,0.319523,0.255173,0.064350
1330905600,0.366550,0.255001,0.111549
1330992000,NaN,0.254829,NaN
1331078400,NaN,0.254657,NaN
1331164800,NaN,0.254485,NaN
1331251200,NaN,0.254313,NaN
1331337600,NaN,0.254141,NaN
1331424000,NaN,0.253969,NaN
1331510400,NaN,0.253797,NaN
1331596800,NaN,0.253625,NaN
1331683200,NaN,0.253453,NaN
1331769600,NaN,0.250217,NaN
1331856000,0.122682,0.246981,-0.124299
1331942400,NaN,0.243745,NaN
1332028800,NaN,0.240508,NaN
1332115200,NaN,0.237272,NaN
1332201600,NaN,0.234036,NaN
