Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.242769,NaN,NaN
2012-01-05,0.131218,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,NaN,NaN,NaN
2012-01-08,0.305525,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.292865,NaN,NaN
2012-01-12,0.572060,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,0.376119,NaN,NaN
2012-01-15,NaN,0.311845,NaN
2012-01-16,0.298413,0.310839,-0.012427
2012-01-17,NaN,0.309833,NaN
2012-01-18,0.320753,0.308827,0.011926
2012-01-19,NaN,0.307821,NaN
2012-01-20,NaN,0.306815,NaN
2012-01-21,0.239687,0.305809,-0.066123
2012-01-22,NaN,0.304803,NaN
2012-01-23,NaN,0.303797,NaN
2012-01-24,0.294525,0.302791,-0.008267
2012-01-25,NaN,0.301785,NaN
2012-01-26,NaN,0.300779,NaN
2012-01-27,0.311513,0.299773,0.011740
2012-01-28,NaN,0.298767,NaN
2012-01-29,NaN,0.297761,NaN
2012-01-30,NaN,0.296755,NaN
2012-01-31,NaN,0.295749,NaN
2012-02-01,NaN,0.294743,NaN
2012-02-02,NaN,0.293737,NaN
2012-02-03,NaN,0.292731,NaN
2012-02-04,NaN,0.291725,NaN
2012-02-05,NaN,0.290719,NaN
2012-02-06,NaN,0.289713,NaN
2012-02-07,0.208974,0.288707,-0.079733
2012-02-08,NaN,0.287701,NaN
2012-02-09,NaN,0.286695,NaN
2012-02-10,NaN,0.285689,NaN
2012-02-11,NaN,0.284683,NaN
2012-02-12,NaN,0.283677,NaN
2012-02-13,NaN,0.282671,NaN
2012-02-14,NaN,0.281665,NaN
2012-02-15,NaN,0.280659,NaN
2012-02-16,NaN,0.279845,NaN
2012-02-17,NaN,0.279031,NaN
2012-02-18,NaN,0.278216,NaN
2012-02-19,NaN,0.277402,NaN
2012-02-20,NaN,0.276587,NaN
2012-02-21,0.398648,0.275773,0.122875
2012-02-22,NaN,0.274958,NaN
2012-02-23,NaN,0.274144,NaN
2012-02-24,NaN,0.273330,NaN
2012-02-25,NaN,0.272515,NaN
2012-02-26,NaN,0.271701,NaN
2012-02-27,NaN,0.270886,NaN
2012-02-28,NaN,0.270072,NaN
2012-02-29,NaN,0.269257,NaN
2012-03-01,0.235043,0.268443,-0.033400
2012-03-02,0.209145,0.267629,-0.058483
2012-03-03,NaN,0.266814,NaN
2012-03-04,0.251352,0.266000,-0.014648
2012-03-05,0.278203,0.265185,0.013017
2012-03-06,NaN,0.264371,NaN
2012-03-07,NaN,0.263557,NaN
2012-03-08,0.197611,0.262742,-0.065131
2012-03-09,NaN,0.261928,NaN
2012-03-10,NaN,0.261113,NaN
2012-03-11,NaN,0.260299,NaN
2012-03-12,0.202377,0.259484,-0.057107
2012-03-13,0.174621,0.258670,-0.084049
2012-03-14,NaN,0.257856,NaN
2012-03-15,0.152686,0.255322,-0.102635
2012-03-16,0.166778,0.252788,-0.086009
2012-03-17,NaN,0.250254,NaN
2012-03-18,NaN,0.247720,NaN
2012-03-19,NaN,0.245186,NaN
2012-03-20,NaN,0.242652,NaN
2012-03-21,NaN,0.240118,NaN
2012-03-22,NaN,0.237584,NaN
2012-03-23,0.152439,0.235050,-0.082611
2012-03-26,0.146303,0.227448,-0.081145
2012-03-27,NaN,0.224914,NaN
2012-03-28,0.130001,0.222380,-0.092379
2012-03-29,NaN,0.219846,NaN
2012-03-30,NaN,0.217312,NaN
2012-03-31,NaN,0.214778,NaN
2012-04-01,0.180630,0.212244,-0.031614
2012-04-02,0.167829,0.209710,-0.041881
2012-04-03,NaN,0.207176,NaN
2012-04-04,NaN,0.204642,NaN
2012-04-05,0.145798,0.202108,-0.056310
2012-04-06,0.158270,0.199574,-0.041304
2012-04-07,NaN,0.197040,NaN
2012-04-08,0.124329,0.194506,-0.070177
2012-04-09,NaN,0.191972,NaN
2012-04-10,NaN,0.189438,NaN
2012-04-11,0.106940,0.186904,-0.079964
2012-04-12,NaN,0.184370,NaN
2012-04-13,0.124307,0.181836,-0.057530
2012-04-14,NaN,0.179302,NaN
2012-04-15,NaN,0.178947,NaN
2012-04-16,NaN,0.178592,NaN
