Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.328166,NaN,NaN
2012-01-05,NaN,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,NaN,NaN,NaN
2012-01-08,NaN,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.378707,NaN,NaN
2012-01-12,0.722845,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,0.446277,NaN,NaN
2012-01-15,NaN,0.333163,NaN
2012-01-16,0.328221,0.331252,-0.003031
2012-01-17,NaN,0.329341,NaN
2012-01-18,0.385128,0.327430,0.057698
2012-01-19,NaN,0.325519,NaN
2012-01-20,0.252512,0.323608,-0.071096
2012-01-21,NaN,0.321697,NaN
2012-01-22,NaN,0.319786,NaN
2012-01-23,NaN,0.317875,NaN
2012-01-24,0.227470,0.315964,-0.088495
2012-01-25,NaN,0.314053,NaN
2012-01-26,NaN,0.312142,NaN
2012-01-27,0.291339,0.310231,-0.018893
2012-01-28,NaN,0.308320,NaN
2012-01-29,0.366617,0.306409,0.060207
2012-01-30,NaN,0.304499,NaN
2012-01-31,NaN,0.302588,NaN
2012-02-01,NaN,0.300677,NaN
2012-02-02,NaN,0.298766,NaN
2012-02-03,NaN,0.296855,NaN
2012-02-04,0.225772,0.294944,-0.069172
2012-02-05,NaN,0.293033,NaN
2012-02-06,NaN,0.291122,NaN
2012-02-07,NaN,0.289211,NaN
2012-02-08,0.312614,0.287300,0.025314
2012-02-09,NaN,0.285389,NaN
2012-02-10,NaN,0.283478,NaN
2012-02-11,NaN,0.281567,NaN
2012-02-12,NaN,0.279656,NaN
2012-02-13,NaN,0.277745,NaN
2012-02-14,NaN,0.275834,NaN
2012-02-15,NaN,0.273923,NaN
2012-02-16,NaN,0.272603,NaN
2012-02-17,NaN,0.271282,NaN
2012-02-18,NaN,0.269962,NaN
2012-02-19,NaN,0.268641,NaN
2012-02-20,NaN,0.267321,NaN
2012-02-21,NaN,0.266001,NaN
2012-02-22,NaN,0.264680,NaN
2012-02-23,NaN,0.263360,NaN
2012-02-24,NaN,0.262039,NaN
2012-02-25,NaN,0.260719,NaN
2012-02-26,NaN,0.259398,NaN
2012-02-27,NaN,0.258078,NaN
2012-02-28,0.346552,0.256757,0.089795
2012-02-29,NaN,0.255437,NaN
2012-03-01,0.253607,0.254116,-0.000510
2012-03-02,0.262758,0.252796,0.009962
2012-03-03,NaN,0.251475,NaN
2012-03-04,0.296657,0.250155,0.046502
2012-03-05,0.299194,0.248835,0.050360
