Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.548359,NaN,NaN
1325721600,0.539899,NaN,NaN
1325808000,0.480506,NaN,NaN
1325894400,0.649003,NaN,NaN
1325980800,0.584067,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,2.201163,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,1.294218,0.554142,0.740077
1326672000,NaN,0.552420,NaN
1326758400,1.211821,0.550699,0.661122
1326844800,0.891535,0.548977,0.342557
1326931200,0.183723,0.547256,-0.363533
1327017600,1.214501,0.545534,0.668967
1327104000,0.253414,0.543813,-0.290398
1327190400,NaN,0.542091,NaN
1327276800,1.257753,0.540369,0.717383
1327363200,0.201666,0.538648,-0.336982
1327449600,0.170944,0.536926,-0.365983
1327536000,NaN,0.535205,NaN
1327622400,0.223148,0.533483,-0.310336
1327708800,0.240855,0.531762,-0.290907
1327795200,NaN,0.530040,NaN
1327881600,NaN,0.528319,NaN
1327968000,NaN,0.526597,NaN
1328054400,NaN,0.524876,NaN
1328140800,NaN,0.523154,NaN
1328227200,NaN,0.521432,NaN
1328313600,NaN,0.519711,NaN
1328400000,NaN,0.517989,NaN
1328486400,NaN,0.516268,NaN
1328572800,NaN,0.514546,NaN
1328659200,NaN,0.512825,NaN
1328745600,NaN,0.511103,NaN
1328832000,NaN,0.509382,NaN
1328918400,NaN,0.507660,NaN
1329004800,NaN,0.505938,NaN
1329091200,NaN,0.504217,NaN
1329177600,NaN,0.502495,NaN
1329264000,0.181461,0.500774,-0.319312
1329350400,NaN,0.498680,NaN
1329436800,0.156782,0.496585,-0.339803
1329523200,0.156181,0.494491,-0.338310
1329609600,0.334768,0.492397,-0.157629
1329696000,NaN,0.490303,NaN
1329782400,NaN,0.488209,NaN
1329868800,0.665057,0.486114,0.178943
1329955200,0.238304,0.484020,-0.245716
1330041600,0.160001,0.481926,-0.321925
1330128000,NaN,0.479832,NaN
1330214400,NaN,0.477737,NaN
1330300800,NaN,0.475643,NaN
1330387200,0.148373,0.473549,-0.325176
1330473600,0.092980,0.471455,-0.378474
1330560000,0.139957,0.469361,-0.329404
1330646400,0.150680,0.467266,-0.316587
1330732800,0.156107,0.465172,-0.309065
1330819200,NaN,0.463078,NaN
1330905600,0.468066,0.460984,0.007082
1330992000,NaN,0.458889,NaN
1331078400,NaN,0.456795,NaN
1331164800,NaN,0.454701,NaN
1331251200,NaN,0.452607,NaN
1331337600,0.453055,0.450513,0.002543
1331424000,NaN,0.448418,NaN
1331510400,NaN,0.446324,NaN
1331596800,0.143295,0.444230,-0.300935
1331683200,0.200367,0.442136,-0.241769
1331769600,0.531717,0.439329,0.092387
1331856000,NaN,0.436523,NaN
1331942400,0.256707,0.433717,-0.177010
1332028800,0.678985,0.430911,0.248074
1332115200,0.137979,0.428104,-0.290125
1332201600,NaN,0.425298,NaN
1332288000,NaN,0.422492,NaN
1332374400,NaN,0.419686,NaN
1332460800,0.096162,0.416879,-0.320717
1332720000,0.177585,0.408461,-0.230876
1332806400,NaN,0.405654,NaN
1332892800,NaN,0.402848,NaN
1332979200,0.215417,0.400042,-0.184625
