Time,mean,climatology,anomaly
1325548800,3.087867,NaN,NaN
1325635200,5.154289,NaN,NaN
1325721600,5.275331,NaN,NaN
1325808000,6.751190,NaN,NaN
1325894400,6.680918,NaN,NaN
1325980800,7.055134,NaN,NaN
1326067200,13.439480,NaN,NaN
1326153600,6.297165,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,5.320240,4.339390,0.980850
1326672000,NaN,4.332095,NaN
1326758400,6.325498,4.324800,2.000698
1326844800,6.788667,4.317505,2.471162
1326931200,7.137409,4.310210,2.827199
1327017600,10.498128,4.302915,6.195213
1327104000,6.967998,4.295620,2.672378
1327190400,10.051356,4.288324,5.763032
1327276800,5.273182,4.281029,0.992153
1327363200,4.301984,4.273734,0.028250
1327449600,4.261654,4.266439,-0.004785
1327536000,4.262940,4.259144,0.003797
1327622400,NaN,4.251849,NaN
1327708800,4.410627,4.244554,0.166074
1327795200,NaN,4.237259,NaN
1327881600,NaN,4.229963,NaN
1327968000,4.966849,4.222668,0.744181
1328054400,NaN,4.215373,NaN
1328140800,NaN,4.208078,NaN
1328227200,NaN,4.200783,NaN
1328313600,5.155223,4.193488,0.961735
1328400000,NaN,4.186193,NaN
1328486400,NaN,4.178897,NaN
1328572800,6.940710,4.171602,2.769108
1328659200,NaN,4.164307,NaN
1328745600,4.650867,4.157012,0.493854
1328832000,5.673623,4.149717,1.523906
1328918400,NaN,4.142422,NaN
1329004800,3.028232,4.135127,-1.106895
1329091200,NaN,4.127832,NaN
1329177600,3.264692,4.120536,-0.855844
1329264000,4.468637,4.113241,0.355396
1329350400,NaN,4.093059,NaN
1329436800,NaN,4.072877,NaN
1329523200,NaN,4.052694,NaN
1329609600,4.439024,4.032512,0.406512
1329696000,NaN,4.012330,NaN
1329782400,NaN,3.992147,NaN
1329868800,5.676148,3.971965,1.704183
1329955200,5.917630,3.951783,1.965847
1330041600,7.748468,3.931600,3.816867
1330128000,6.104218,3.911418,2.192799
1330214400,NaN,3.891236,NaN
1330300800,6.966366,3.871054,3.095313
1330387200,6.946041,3.850871,3.095169
1330473600,8.532401,3.830689,4.701712
1330560000,3.894741,3.810507,0.084234
1330646400,3.893795,3.790324,0.103471
1330732800,8.665735,3.770142,4.895593
1330819200,NaN,3.749960,NaN
1330905600,3.591627,3.729777,-0.138151
1330992000,NaN,3.709595,NaN
1331078400,NaN,3.689413,NaN
1331164800,2.308375,3.669230,-1.360855
1331251200,NaN,3.649048,NaN
1331337600,5.426091,3.628866,1.797225
1331424000,NaN,3.608683,NaN
1331510400,5.272326,3.588501,1.683825
1331596800,NaN,3.568319,NaN
1331683200,3.997337,3.548136,0.449200
1331769600,3.578135,3.533013,0.045122
1331856000,NaN,3.517890,NaN
1331942400,3.023983,3.502767,-0.478784
1332028800,3.813720,3.487644,0.326076
1332115200,3.850185,3.472521,0.377664
1332201600,3.727255,3.457397,0.269857
1332288000,NaN,3.442274,NaN
1332374400,NaN,3.427151,NaN
1332460800,2.662588,3.412028,-0.749440
1332720000,3.318362,3.366658,-0.048297
1332806400,NaN,3.351535,NaN
1332892800,2.883893,3.336412,-0.452519
1332979200,3.151615,3.321289,-0.169674
1333065600,NaN,3.306166,NaN
1333152000,4.327701,3.291043,1.036658
1333238400,NaN,3.275919,NaN
1333324800,3.646955,3.260796,0.386158
1333411200,4.159545,3.245673,0.913872
1333497600,3.800512,3.230550,0.569962
1333584000,3.472675,3.215427,0.257248
1333670400,NaN,3.200304,NaN
1333756800,NaN,3.185180,NaN
1333843200,1.660124,3.170057,-1.509933
1333929600,3.462503,3.154934,0.307569
1334016000,2.602486,3.139811,-0.537325
1334102400,3.242966,3.124688,0.118278
1334188800,NaN,3.109565,NaN
1334275200,2.514621,3.094442,-0.579821
1334361600,NaN,3.079318,NaN
1334448000,NaN,3.079443,NaN
1334534400,2.479454,3.079568,-0.600114
1334620800,NaN,3.079692,NaN
1334707200,NaN,3.079817,NaN
1334793600,NaN,3.079941,NaN
1334880000,2.758302,3.080066,-0.321764
1334966400,NaN,3.080190,NaN
1335052800,NaN,3.080315,NaN
1335139200,NaN,3.080440,NaN
1335225600,2.491273,3.080564,-0.589291
1335312000,2.280579,3.080689,-0.800110
1335398400,2.351999,3.080813,-0.728814
1335484800,NaN,3.080938,NaN
1335571200,NaN,3.081063,NaN
1335657600,NaN,3.081187,NaN
1335744000,NaN,3.081312,NaN
1335830400,NaN,3.081436,NaN
1335916800,3.940123,3.081561,0.858562
1336003200,NaN,3.081685,NaN
1336089600,NaN,3.081810,NaN
1336176000,2.691083,3.081935,-0.390852
1336262400,2.694125,3.082059,-0.387934
1336348800,2.678905,3.082184,-0.403279
1336435200,NaN,3.082308,NaN
1336521600,NaN,3.082433,NaN
1336608000,4.612171,3.082558,1.529614
1336694400,4.775464,3.082682,1.692781
1336780800,NaN,3.082807,NaN
1336867200,NaN,3.082931,NaN
1336953600,NaN,3.083056,NaN
1337040000,2.120338,3.107045,-0.986707
1337126400,NaN,3.131034,NaN
1337212800,NaN,3.155024,NaN
1337299200,4.570194,3.179013,1.391181
1337385600,NaN,3.203002,NaN
1337472000,NaN,3.226991,NaN
1337558400,4.878897,3.250981,1.627916
1337644800,2.101849,3.274970,-1.173121
1337731200,4.980029,3.298959,1.681070
1337817600,NaN,3.322948,NaN
1337904000,NaN,3.346938,NaN
1337990400,3.531594,3.370927,0.160667
1338076800,5.128878,3.394916,1.733961
1338163200,4.115643,3.418905,0.696737
1338249600,4.862524,3.442895,1.419629
1338336000,NaN,3.466884,NaN
1338422400,NaN,3.490873,NaN
1338508800,NaN,3.514863,NaN
1338595200,NaN,3.538852,NaN
1338681600,NaN,3.562841,NaN
1338768000,NaN,3.586830,NaN
1338854400,NaN,3.610820,NaN
1338940800,NaN,3.634809,NaN
1339027200,NaN,3.658798,NaN
1339113600,4.587679,3.682787,0.904892
1339200000,NaN,3.706777,NaN
1339286400,NaN,3.730766,NaN
1339372800,NaN,3.754755,NaN
1339459200,9.551449,3.778744,5.772704
1339545600,NaN,3.802734,NaN
1339632000,4.692050,3.826723,0.865327
1339718400,NaN,3.825471,NaN
1339804800,2.884277,3.824219,-0.939941
1339891200,NaN,3.822967,NaN
1339977600,2.353457,3.821714,-1.468257
1340064000,NaN,3.820462,NaN
1340150400,NaN,3.819210,NaN
1340323200,NaN,3.816706,NaN
1340409600,NaN,3.815454,NaN
1340496000,NaN,3.814202,NaN
1340582400,NaN,3.812949,NaN
1340668800,NaN,3.811697,NaN
1340755200,NaN,3.810445,NaN
1340841600,NaN,3.809193,NaN
1340928000,2.765611,3.807941,-1.042330
1341014400,NaN,3.806689,NaN
1341100800,NaN,3.805437,NaN
1341187200,3.425588,3.804184,-0.378596
1341273600,1.992812,3.802932,-1.810120
1341360000,NaN,3.801680,NaN
1341446400,NaN,3.800428,NaN
1341532800,NaN,3.799176,NaN
1341619200,NaN,3.797924,NaN
1341705600,NaN,3.796672,NaN
1341792000,NaN,3.795419,NaN
1341878400,NaN,3.794167,NaN
1341964800,NaN,3.792915,NaN
1342051200,NaN,3.791663,NaN
1342137600,NaN,3.790411,NaN
1342224000,NaN,3.789159,NaN
1342310400,NaN,3.805002,NaN
1342396800,3.609121,3.820846,-0.211725
1342483200,NaN,3.836689,NaN
1342569600,NaN,3.852533,NaN
1342656000,NaN,3.868377,NaN
1342742400,2.758016,3.884220,-1.126204
1342828800,NaN,3.900064,NaN
1342915200,NaN,3.915907,NaN
1343001600,2.793343,3.931751,-1.138408
1343088000,NaN,3.947595,NaN
1343174400,NaN,3.963438,NaN
1343260800,3.009425,3.979282,-0.969857
1343347200,NaN,3.995125,NaN
1343433600,NaN,4.010969,NaN
1343520000,NaN,4.026813,NaN
1343606400,4.264028,4.042656,0.221372
1343692800,2.896550,4.058500,-1.161950
1343779200,2.595873,4.074343,-1.478470
1343865600,NaN,4.090187,NaN
1343952000,NaN,4.106030,NaN
1344038400,3.109484,4.121874,-1.012390
1344124800,NaN,4.137718,NaN
1344211200,NaN,4.153561,NaN
1344297600,NaN,4.169405,NaN
1344384000,NaN,4.185248,NaN
1344470400,5.491479,4.201092,1.290387
1344556800,NaN,4.216936,NaN
1344643200,NaN,4.232779,NaN
1344729600,NaN,4.248623,NaN
1344816000,NaN,4.264466,NaN
1344902400,NaN,4.280310,NaN
1344988800,NaN,4.335166,NaN
1345075200,NaN,4.390022,NaN
1345161600,3.017525,4.444878,-1.427354
1345248000,NaN,4.499734,NaN
1345334400,2.911059,4.554590,-1.643532
1345420800,3.249283,4.609447,-1.360163
1345507200,2.969489,4.664303,-1.694814
1345593600,NaN,4.719159,NaN
1345680000,NaN,4.774015,NaN
1345766400,NaN,4.828871,NaN
1345852800,NaN,4.883727,NaN
1345939200,NaN,4.938583,NaN
1346025600,NaN,4.993439,NaN
1346112000,NaN,5.048295,NaN
1346198400,NaN,5.103151,NaN
1346284800,NaN,5.158008,NaN
1346371200,NaN,5.212864,NaN
1346457600,2.853086,5.267720,-2.414634
1346544000,NaN,5.322576,NaN
1346630400,NaN,5.377432,NaN
