Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.336618,NaN,NaN
1325721600,0.229618,NaN,NaN
1325808000,NaN,NaN,NaN
1325894400,NaN,NaN,NaN
1325980800,NaN,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,0.364712,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,0.588065,NaN,NaN
1326499200,0.520182,NaN,NaN
1326585600,NaN,0.386329,NaN
1326672000,0.483525,0.385110,0.098415
1326758400,NaN,0.383891,NaN
1326844800,NaN,0.382672,NaN
1326931200,NaN,0.381453,NaN
1327017600,NaN,0.380234,NaN
1327104000,NaN,0.379016,NaN
1327190400,NaN,0.377797,NaN
1327276800,NaN,0.376578,NaN
1327363200,NaN,0.375359,NaN
1327449600,NaN,0.374140,NaN
1327536000,NaN,0.372921,NaN
1327622400,0.443748,0.371703,0.072045
1327708800,NaN,0.370484,NaN
1327795200,NaN,0.369265,NaN
1327881600,NaN,0.368046,NaN
1327968000,NaN,0.366827,NaN
1328054400,NaN,0.365608,NaN
1328140800,0.271882,0.364390,-0.092508
1328227200,NaN,0.363171,NaN
1328313600,NaN,0.361952,NaN
1328400000,NaN,0.360733,NaN
1328486400,NaN,0.359514,NaN
1328572800,NaN,0.358295,NaN
1328659200,NaN,0.357077,NaN
1328745600,NaN,0.355858,NaN
1328832000,NaN,0.354639,NaN
1328918400,NaN,0.353420,NaN
1329004800,NaN,0.352201,NaN
1329091200,NaN,0.350982,NaN
1329177600,NaN,0.349763,NaN
1329264000,NaN,0.348545,NaN
1329350400,NaN,0.347258,NaN
1329436800,NaN,0.345971,NaN
1329523200,NaN,0.344685,NaN
1329609600,NaN,0.343398,NaN
1329696000,NaN,0.342111,NaN
1329782400,0.410825,0.340824,0.070001
1329868800,NaN,0.339538,NaN
1329955200,NaN,0.338251,NaN
1330041600,NaN,0.336964,NaN
1330128000,NaN,0.335678,NaN
1330214400,NaN,0.334391,NaN
1330300800,NaN,0.333104,NaN
1330387200,NaN,0.331818,NaN
1330473600,NaN,0.330531,NaN
1330560000,NaN,0.329244,NaN
1330646400,NaN,0.327957,NaN
1330732800,NaN,0.326671,NaN
1330819200,0.346915,0.325384,0.021531
1330905600,0.380518,0.324097,0.056420
1330992000,0.330248,0.322811,0.007437
1331078400,NaN,0.321524,NaN
1331164800,NaN,0.320237,NaN
1331251200,NaN,0.318951,NaN
1331337600,NaN,0.317664,NaN
1331424000,NaN,0.316377,NaN
1331510400,NaN,0.315090,NaN
1331596800,0.212222,0.313804,-0.101582
1331683200,NaN,0.312517,NaN
1331769600,NaN,0.311451,NaN
1331856000,0.222952,0.310384,-0.087433
1331942400,NaN,0.309318,NaN
1332028800,NaN,0.308252,NaN
1332115200,NaN,0.307186,NaN
1332201600,NaN,0.306119,NaN
1332288000,NaN,0.305053,NaN
1332374400,0.265033,0.303987,-0.038954
1332460800,0.200977,0.302921,-0.101944
1332720000,0.154312,0.299722,-0.145410
1332806400,NaN,0.298655,NaN
1332892800,NaN,0.297589,NaN
1332979200,NaN,0.296523,NaN
1333065600,NaN,0.295457,NaN
1333152000,NaN,0.294390,NaN
1333238400,0.232266,0.293324,-0.061058
1333324800,0.237874,0.292258,-0.054384
1333411200,0.198288,0.291192,-0.092903
