Date,Mean,Climatology,Anomaly
2012-01-03,1.144345,NaN,NaN
2012-01-04,0.464919,NaN,NaN
2012-01-05,NaN,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,NaN,NaN,NaN
2012-01-08,NaN,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.589665,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,1.179938,NaN,NaN
2012-01-14,0.736149,NaN,NaN
2012-01-15,NaN,0.908693,NaN
2012-01-16,0.446564,0.905815,-0.459252
2012-01-17,NaN,0.902938,NaN
2012-01-18,0.708303,0.900060,-0.191757
2012-01-19,NaN,0.897183,NaN
2012-01-20,0.407098,0.894305,-0.487207
2012-01-21,NaN,0.891428,NaN
2012-01-22,NaN,0.888550,NaN
2012-01-23,NaN,0.885672,NaN
2012-01-24,NaN,0.882795,NaN
2012-01-25,NaN,0.879917,NaN
2012-01-26,NaN,0.877040,NaN
2012-01-27,1.905302,0.874162,1.031140
2012-01-28,1.875178,0.871285,1.003893
2012-01-29,NaN,0.868407,NaN
2012-01-30,NaN,0.865530,NaN
2012-01-31,NaN,0.862652,NaN
2012-02-01,NaN,0.859774,NaN
2012-02-02,NaN,0.856897,NaN
2012-02-03,NaN,0.854019,NaN
2012-02-04,0.383028,0.851142,-0.468114
2012-02-05,NaN,0.848264,NaN
2012-02-06,NaN,0.845387,NaN
2012-02-07,0.449331,0.842509,-0.393178
2012-02-08,NaN,0.839632,NaN
2012-02-09,NaN,0.836754,NaN
2012-02-10,NaN,0.833876,NaN
2012-02-11,NaN,0.830999,NaN
2012-02-12,NaN,0.828121,NaN
2012-02-13,NaN,0.825244,NaN
2012-02-14,NaN,0.822366,NaN
2012-02-15,NaN,0.819489,NaN
2012-02-16,NaN,0.819971,NaN
2012-02-17,NaN,0.820454,NaN
2012-02-18,NaN,0.820936,NaN
2012-02-19,NaN,0.821419,NaN
2012-02-20,NaN,0.821902,NaN
2012-02-21,NaN,0.822384,NaN
2012-02-22,NaN,0.822867,NaN
2012-02-23,NaN,0.823350,NaN
2012-02-24,NaN,0.823832,NaN
2012-02-25,NaN,0.824315,NaN
2012-02-26,NaN,0.824797,NaN
2012-02-27,NaN,0.825280,NaN
2012-02-28,NaN,0.825763,NaN
2012-02-29,NaN,0.826245,NaN
2012-03-01,0.420918,0.826728,-0.405809
2012-03-02,0.359458,0.827210,-0.467753
2012-03-03,NaN,0.827693,NaN
2012-03-04,0.553407,0.828176,-0.274769
2012-03-05,0.952891,0.828658,0.124233
2012-03-06,0.392294,0.829141,-0.436847
2012-03-07,NaN,0.829623,NaN
2012-03-08,0.310070,0.830106,-0.520036
2012-03-09,NaN,0.830589,NaN
2012-03-10,NaN,0.831071,NaN
2012-03-11,NaN,0.831554,NaN
2012-03-12,NaN,0.832037,NaN
2012-03-13,0.168424,0.832519,-0.664095
2012-03-14,NaN,0.833002,NaN
2012-03-15,NaN,0.824640,NaN
2012-03-16,0.126301,0.816279,-0.689978
2012-03-17,NaN,0.807917,NaN
2012-03-18,NaN,0.799556,NaN
2012-03-19,NaN,0.791194,NaN
2012-03-20,NaN,0.782833,NaN
2012-03-21,NaN,0.774471,NaN
2012-03-22,NaN,0.766110,NaN
2012-03-23,NaN,0.757748,NaN
2012-03-26,0.139279,0.732663,-0.593384
2012-03-27,0.135916,0.724302,-0.588385
2012-03-28,NaN,0.715940,NaN
2012-03-29,0.140823,0.707579,-0.566756
2012-03-30,NaN,0.699217,NaN
2012-03-31,NaN,0.690856,NaN
2012-04-01,0.166374,0.682494,-0.516120
2012-04-02,NaN,0.674133,NaN
2012-04-03,0.166174,0.665771,-0.499597
2012-04-04,NaN,0.657410,NaN
2012-04-05,NaN,0.649048,NaN
2012-04-06,0.144049,0.640687,-0.496638
2012-04-07,0.133409,0.632325,-0.498916
2012-04-08,0.113376,0.623964,-0.510587
2012-04-09,0.104616,0.615602,-0.510986
2012-04-10,NaN,0.607240,NaN
2012-04-11,0.092766,0.598879,-0.506113
2012-04-12,NaN,0.590517,NaN
2012-04-13,NaN,0.582156,NaN
2012-04-14,0.089123,0.573794,-0.484672
2012-04-15,NaN,0.562223,NaN
2012-04-16,NaN,0.550652,NaN
2012-04-17,NaN,0.539081,NaN
2012-04-18,NaN,0.527510,NaN
2012-04-19,0.119371,0.515939,-0.396568
2012-04-20,0.105849,0.504368,-0.398519
2012-04-21,NaN,0.492797,NaN
2012-04-22,0.185896,0.481226,-0.295331
2012-04-23,0.507634,0.469655,0.037979
2012-04-24,0.295322,0.458084,-0.162762
2012-04-25,0.233325,0.446513,-0.213188
2012-04-26,NaN,0.434942,NaN
2012-04-27,NaN,0.423371,NaN
2012-04-28,0.226212,0.411800,-0.185588
2012-04-29,0.118295,0.400229,-0.281935
2012-04-30,NaN,0.388658,NaN
2012-05-01,NaN,0.377087,NaN
2012-05-02,NaN,0.365516,NaN
2012-05-03,0.113643,0.353945,-0.240302
2012-05-04,NaN,0.342374,NaN
2012-05-05,0.102886,0.330803,-0.227917
2012-05-06,NaN,0.319232,NaN
2012-05-07,0.100447,0.307661,-0.207214
2012-05-08,NaN,0.296090,NaN
2012-05-09,0.191139,0.284519,-0.093380
2012-05-10,0.194035,0.272948,-0.078913
2012-05-11,NaN,0.261377,NaN
2012-05-12,NaN,0.249806,NaN
2012-05-13,0.171560,0.238235,-0.066675
2012-05-14,NaN,0.226664,NaN
2012-05-15,NaN,0.239205,NaN
2012-05-16,NaN,0.251747,NaN
2012-05-17,NaN,0.264289,NaN
2012-05-18,NaN,0.276830,NaN
2012-05-19,NaN,0.289372,NaN
2012-05-20,0.125102,0.301913,-0.176811
2012-05-21,0.160337,0.314455,-0.154118
2012-05-22,NaN,0.326997,NaN
2012-05-23,NaN,0.339538,NaN
2012-05-24,NaN,0.352080,NaN
2012-05-25,NaN,0.364621,NaN
2012-05-26,0.300941,0.377163,-0.076222
2012-05-27,NaN,0.389705,NaN
2012-05-28,NaN,0.402246,NaN
2012-05-29,0.193702,0.414788,-0.221086
2012-05-30,0.773545,0.427329,0.346216
2012-05-31,0.425108,0.439871,-0.014763
2012-06-01,0.436020,0.452413,-0.016393
2012-06-02,NaN,0.464954,NaN
2012-06-03,NaN,0.477496,NaN
2012-06-04,0.178310,0.490037,-0.311727
2012-06-05,NaN,0.502579,NaN
2012-06-06,0.141434,0.515121,-0.373687
2012-06-07,NaN,0.527662,NaN
2012-06-08,NaN,0.540204,NaN
2012-06-09,NaN,0.552745,NaN
2012-06-10,NaN,0.565287,NaN
2012-06-11,NaN,0.577829,NaN
2012-06-12,NaN,0.590370,NaN
2012-06-13,NaN,0.602912,NaN
2012-06-14,NaN,0.615453,NaN
2012-06-15,NaN,0.630429,NaN
2012-06-16,NaN,0.645405,NaN
2012-06-17,NaN,0.660381,NaN
2012-06-18,NaN,0.675357,NaN
2012-06-19,NaN,0.690332,NaN
2012-06-20,NaN,0.705308,NaN
2012-06-22,NaN,0.735260,NaN
2012-06-23,NaN,0.750235,NaN
2012-06-24,NaN,0.765211,NaN
2012-06-25,NaN,0.780187,NaN
2012-06-26,NaN,0.795163,NaN
2012-06-27,0.153283,0.810139,-0.656856
2012-06-28,0.130641,0.825114,-0.694474
2012-06-29,NaN,0.840090,NaN
2012-06-30,NaN,0.855066,NaN
2012-07-01,NaN,0.870042,NaN
2012-07-02,0.311002,0.885018,-0.574015
2012-07-03,0.210131,0.899993,-0.689862
2012-07-04,NaN,0.914969,NaN
2012-07-05,NaN,0.929945,NaN
2012-07-06,0.299998,0.944921,-0.644923
2012-07-07,NaN,0.959896,NaN
2012-07-08,NaN,0.974872,NaN
2012-07-09,NaN,0.989848,NaN
2012-07-10,NaN,1.004824,NaN
2012-07-11,NaN,1.019800,NaN
2012-07-12,NaN,1.034775,NaN
2012-07-13,NaN,1.049751,NaN
2012-07-14,0.206546,1.064727,-0.858181
2012-07-15,NaN,1.053107,NaN
2012-07-16,0.133542,1.041487,-0.907945
2012-07-17,NaN,1.029867,NaN
2012-07-18,NaN,1.018247,NaN
2012-07-19,NaN,1.006627,NaN
2012-07-20,NaN,0.995007,NaN
2012-07-21,NaN,0.983387,NaN
2012-07-22,NaN,0.971767,NaN
2012-07-23,NaN,0.960146,NaN
2012-07-24,0.606092,0.948526,-0.342434
2012-07-25,NaN,0.936906,NaN
2012-07-26,NaN,0.925286,NaN
2012-07-27,0.637449,0.913666,-0.276217
2012-07-28,NaN,0.902046,NaN
2012-07-29,NaN,0.890426,NaN
2012-07-30,0.606774,0.878806,-0.272032
2012-07-31,NaN,0.867186,NaN
2012-08-01,NaN,0.855566,NaN
2012-08-02,NaN,0.843946,NaN
2012-08-03,0.548837,0.832326,-0.283489
2012-08-04,NaN,0.820706,NaN
2012-08-05,NaN,0.809086,NaN
2012-08-06,0.435673,0.797466,-0.361793
2012-08-07,0.395719,0.785846,-0.390126
2012-08-08,0.288303,0.774226,-0.485923
2012-08-09,0.364543,0.762606,-0.398063
2012-08-10,NaN,0.750986,NaN
2012-08-11,NaN,0.739365,NaN
2012-08-12,0.330951,0.727745,-0.396795
2012-08-13,0.389825,0.716125,-0.326301
2012-08-14,NaN,0.704505,NaN
2012-08-15,NaN,0.692487,NaN
2012-08-16,NaN,0.680469,NaN
2012-08-17,NaN,0.668450,NaN
2012-08-18,NaN,0.656432,NaN
2012-08-19,NaN,0.644414,NaN
2012-08-20,NaN,0.632395,NaN
2012-08-21,NaN,0.620377,NaN
2012-08-22,NaN,0.608358,NaN
2012-08-23,NaN,0.596340,NaN
2012-08-24,NaN,0.584322,NaN
2012-08-25,0.504583,0.572303,-0.067721
2012-08-26,NaN,0.560285,NaN
2012-08-27,NaN,0.548267,NaN
2012-08-28,NaN,0.536248,NaN
2012-08-29,NaN,0.524230,NaN
2012-08-30,NaN,0.512212,NaN
2012-08-31,0.266729,0.500193,-0.233464
2012-09-01,NaN,0.488175,NaN
2012-09-02,0.237409,0.476156,-0.238747
2012-09-03,NaN,0.464138,NaN
2012-09-04,0.216655,0.452120,-0.235465
2012-09-05,NaN,0.440101,NaN
2012-09-06,NaN,0.428083,NaN
2012-09-07,0.209203,0.416065,-0.206862
2012-09-08,NaN,0.404046,NaN
2012-09-09,NaN,0.392028,NaN
2012-09-10,0.155507,0.380010,-0.224503
2012-09-11,NaN,0.367991,NaN
2012-09-12,NaN,0.355973,NaN
2012-09-13,NaN,0.343954,NaN
2012-09-14,0.134755,0.331936,-0.197181
2012-09-15,NaN,0.331054,NaN
2012-09-16,NaN,0.330171,NaN
2012-09-17,NaN,0.329288,NaN
2012-09-18,NaN,0.328406,NaN
2012-09-19,NaN,0.327523,NaN
2012-09-20,NaN,0.326641,NaN
2012-09-21,NaN,0.325758,NaN
2012-09-22,0.168019,0.324876,-0.156856
2012-09-23,0.140082,0.323993,-0.183911
2012-09-24,NaN,0.323111,NaN
2012-09-25,NaN,0.322228,NaN
2012-09-26,NaN,0.321346,NaN
2012-09-27,NaN,0.320463,NaN
2012-09-28,NaN,0.319581,NaN
2012-09-29,NaN,0.318698,NaN
2012-09-30,NaN,0.317815,NaN
2012-10-01,NaN,0.316933,NaN
2012-10-02,0.124124,0.316050,-0.191926
2012-10-03,0.143712,0.315168,-0.171455
2012-10-04,0.168521,0.314285,-0.145764
2012-10-05,0.237860,0.313403,-0.075542
2012-10-06,NaN,0.312520,NaN
2012-10-07,NaN,0.311638,NaN
2012-10-08,0.143468,0.310755,-0.167287
2012-10-09,NaN,0.309873,NaN
2012-10-10,0.185890,0.308990,-0.123100
2012-10-11,0.166617,0.308108,-0.141491
2012-10-12,0.133528,0.307225,-0.173697
2012-10-13,0.164925,0.306342,-0.141417
2012-10-14,NaN,0.305460,NaN
2012-10-15,NaN,0.317829,NaN
2012-10-16,NaN,0.330197,NaN
2012-10-17,0.161200,0.342566,-0.181366
2012-10-18,NaN,0.354934,NaN
2012-10-19,0.255917,0.367303,-0.111386
2012-10-20,0.219356,0.379672,-0.160316
2012-10-21,0.193545,0.392040,-0.198495
2012-10-22,NaN,0.404409,NaN
2012-10-23,0.162958,0.416777,-0.253820
2012-10-24,0.175502,0.429146,-0.253644
2012-10-25,0.189953,0.441515,-0.251562
2012-10-26,0.302379,0.453883,-0.151504
