Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.403703,NaN,NaN
2012-01-05,NaN,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,0.211605,NaN,NaN
2012-01-08,NaN,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.362756,NaN,NaN
2012-01-12,0.698194,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,0.414951,NaN,NaN
2012-01-15,NaN,0.336227,NaN
2012-01-16,0.331508,0.334271,-0.002763
2012-01-17,NaN,0.332314,NaN
2012-01-18,0.371172,0.330358,0.040814
2012-01-19,NaN,0.328402,NaN
2012-01-20,0.276278,0.326445,-0.050167
2012-01-21,NaN,0.324489,NaN
2012-01-22,NaN,0.322532,NaN
2012-01-23,NaN,0.320576,NaN
2012-01-24,0.244601,0.318619,-0.074019
2012-01-25,0.235853,0.316663,-0.080810
2012-01-26,NaN,0.314707,NaN
2012-01-27,0.278540,0.312750,-0.034210
2012-01-28,NaN,0.310794,NaN
2012-01-29,0.417358,0.308837,0.108521
2012-01-30,NaN,0.306881,NaN
2012-01-31,NaN,0.304924,NaN
2012-02-01,NaN,0.302968,NaN
2012-02-02,NaN,0.301012,NaN
2012-02-03,NaN,0.299055,NaN
2012-02-04,0.234270,0.297099,-0.062829
2012-02-05,NaN,0.295142,NaN
2012-02-06,NaN,0.293186,NaN
2012-02-07,NaN,0.291229,NaN
2012-02-08,0.321635,0.289273,0.032362
2012-02-09,NaN,0.287316,NaN
2012-02-10,NaN,0.285360,NaN
2012-02-11,NaN,0.283404,NaN
2012-02-12,NaN,0.281447,NaN
2012-02-13,NaN,0.279491,NaN
2012-02-14,NaN,0.277534,NaN
2012-02-15,NaN,0.275578,NaN
2012-02-16,NaN,0.273880,NaN
2012-02-17,NaN,0.272181,NaN
2012-02-18,NaN,0.270483,NaN
2012-02-19,NaN,0.268784,NaN
2012-02-20,NaN,0.267086,NaN
2012-02-21,NaN,0.265388,NaN
2012-02-22,NaN,0.263689,NaN
2012-02-23,NaN,0.261991,NaN
2012-02-24,NaN,0.260293,NaN
2012-02-25,NaN,0.258594,NaN
2012-02-26,NaN,0.256896,NaN
2012-02-27,NaN,0.255198,NaN
2012-02-28,0.341801,0.253499,0.088301
2012-02-29,NaN,0.251801,NaN
2012-03-01,0.231708,0.250103,-0.018395
2012-03-02,0.238019,0.248404,-0.010385
2012-03-03,NaN,0.246706,NaN
2012-03-04,0.330633,0.245008,0.085625
2012-03-05,0.363419,0.243309,0.120109
2012-03-06,NaN,0.241611,NaN
2012-03-07,NaN,0.239913,NaN
2012-03-08,0.200876,0.238214,-0.037338
2012-03-09,NaN,0.236516,NaN
2012-03-10,NaN,0.234818,NaN
2012-03-11,NaN,0.233119,NaN
2012-03-12,NaN,0.231421,NaN
2012-03-13,0.152749,0.229723,-0.076973
2012-03-14,NaN,0.228024,NaN
2012-03-15,0.115877,0.225853,-0.109976
2012-03-16,NaN,0.223683,NaN
2012-03-17,0.177626,0.221512,-0.043886
2012-03-18,NaN,0.219341,NaN
2012-03-19,NaN,0.217170,NaN
2012-03-20,NaN,0.214999,NaN
2012-03-21,NaN,0.212828,NaN
2012-03-22,NaN,0.210657,NaN
2012-03-23,NaN,0.208486,NaN
2012-03-26,0.113137,0.201974,-0.088836
2012-03-27,NaN,0.199803,NaN
2012-03-28,0.100080,0.197632,-0.097552
2012-03-29,0.107916,0.195461,-0.087545
2012-03-30,NaN,0.193290,NaN
2012-03-31,NaN,0.191119,NaN
2012-04-01,0.127379,0.188948,-0.061569
2012-04-02,NaN,0.186777,NaN
2012-04-03,NaN,0.184606,NaN
2012-04-04,NaN,0.182436,NaN
2012-04-05,NaN,0.180265,NaN
2012-04-06,NaN,0.178094,NaN
2012-04-07,0.089192,0.175923,-0.086731
2012-04-08,0.095776,0.173752,-0.077976
2012-04-09,0.087283,0.171581,-0.084298
2012-04-10,NaN,0.169410,NaN
2012-04-11,0.081817,0.167239,-0.085423
2012-04-12,NaN,0.165068,NaN
2012-04-13,0.087078,0.162898,-0.075819
2012-04-14,NaN,0.160727,NaN
2012-04-15,NaN,0.159935,NaN
2012-04-16,NaN,0.159143,NaN
2012-04-17,NaN,0.158351,NaN
2012-04-18,NaN,0.157560,NaN
2012-04-19,0.101445,0.156768,-0.055323
2012-04-20,NaN,0.155976,NaN
2012-04-21,NaN,0.155184,NaN
2012-04-22,0.154674,0.154393,0.000281
2012-04-23,0.132799,0.153601,-0.020802
2012-04-24,0.102807,0.152809,-0.050002
2012-04-25,NaN,0.152017,NaN
2012-04-26,NaN,0.151226,NaN
2012-04-27,0.087631,0.150434,-0.062803
2012-04-28,0.090844,0.149642,-0.058798
2012-04-29,NaN,0.148850,NaN
2012-04-30,NaN,0.148058,NaN
2012-05-01,NaN,0.147267,NaN
2012-05-02,NaN,0.146475,NaN
2012-05-03,0.112366,0.145683,-0.033317
2012-05-04,NaN,0.144891,NaN
2012-05-05,NaN,0.144100,NaN
2012-05-06,NaN,0.143308,NaN
2012-05-07,NaN,0.142516,NaN
2012-05-08,0.103516,0.141724,-0.038208
2012-05-09,0.103957,0.140933,-0.036976
2012-05-10,NaN,0.140141,NaN
2012-05-11,NaN,0.139349,NaN
2012-05-12,NaN,0.138557,NaN
2012-05-13,NaN,0.137766,NaN
2012-05-14,0.146113,0.136974,0.009139
2012-05-15,0.140058,0.138327,0.001730
2012-05-16,0.108343,0.139681,-0.031338
2012-05-17,NaN,0.141035,NaN
2012-05-18,0.131394,0.142388,-0.010995
2012-05-19,NaN,0.143742,NaN
2012-05-20,0.119113,0.145096,-0.025983
2012-05-21,0.127050,0.146449,-0.019400
2012-05-22,NaN,0.147803,NaN
2012-05-23,NaN,0.149157,NaN
2012-05-24,NaN,0.150510,NaN
2012-05-25,0.176646,0.151864,0.024782
2012-05-26,NaN,0.153218,NaN
2012-05-27,NaN,0.154571,NaN
2012-05-28,NaN,0.155925,NaN
2012-05-29,0.129027,0.157279,-0.028252
2012-05-30,NaN,0.158632,NaN
2012-05-31,0.164038,0.159986,0.004052
2012-06-01,0.132169,0.161340,-0.029171
2012-06-02,NaN,0.162693,NaN
2012-06-03,0.176519,0.164047,0.012472
2012-06-04,0.187087,0.165401,0.021686
2012-06-05,NaN,0.166754,NaN
2012-06-06,0.285613,0.168108,0.117505
2012-06-07,NaN,0.169462,NaN
2012-06-08,NaN,0.170815,NaN
2012-06-09,NaN,0.172169,NaN
2012-06-10,0.328563,0.173523,0.155041
2012-06-11,NaN,0.174876,NaN
2012-06-12,NaN,0.176230,NaN
2012-06-13,NaN,0.177584,NaN
2012-06-14,NaN,0.178937,NaN
2012-06-15,NaN,0.184256,NaN
2012-06-16,0.266357,0.189575,0.076782
2012-06-17,NaN,0.194894,NaN
2012-06-18,NaN,0.200213,NaN
2012-06-19,NaN,0.205532,NaN
2012-06-20,NaN,0.210851,NaN
2012-06-22,NaN,0.221488,NaN
2012-06-23,NaN,0.226807,NaN
2012-06-24,NaN,0.232126,NaN
2012-06-25,0.088990,0.237445,-0.148456
2012-06-26,0.092000,0.242764,-0.150764
2012-06-27,0.087849,0.248083,-0.160234
2012-06-28,NaN,0.253402,NaN
2012-06-29,NaN,0.258721,NaN
2012-06-30,NaN,0.264040,NaN
2012-07-01,NaN,0.269358,NaN
2012-07-02,NaN,0.274677,NaN
2012-07-03,0.111174,0.279996,-0.168822
2012-07-04,NaN,0.285315,NaN
2012-07-05,0.121976,0.290634,-0.168658
2012-07-06,0.150137,0.295953,-0.145816
2012-07-07,NaN,0.301272,NaN
2012-07-08,0.074698,0.306591,-0.231892
2012-07-09,NaN,0.311910,NaN
2012-07-10,NaN,0.317228,NaN
2012-07-11,NaN,0.322547,NaN
2012-07-12,NaN,0.327866,NaN
2012-07-13,NaN,0.333185,NaN
2012-07-14,0.098633,0.338504,-0.239871
2012-07-15,NaN,0.336093,NaN
2012-07-16,NaN,0.333682,NaN
2012-07-17,NaN,0.331271,NaN
2012-07-18,NaN,0.328860,NaN
2012-07-19,NaN,0.326448,NaN
2012-07-20,NaN,0.324037,NaN
2012-07-21,NaN,0.321626,NaN
2012-07-22,NaN,0.319215,NaN
2012-07-23,NaN,0.316804,NaN
2012-07-24,0.174754,0.314393,-0.139638
2012-07-25,NaN,0.311982,NaN
2012-07-26,NaN,0.309571,NaN
2012-07-27,NaN,0.307159,NaN
2012-07-28,NaN,0.304748,NaN
2012-07-29,0.289974,0.302337,-0.012364
2012-07-30,0.272065,0.299926,-0.027861
2012-07-31,NaN,0.297515,NaN
2012-08-01,NaN,0.295104,NaN
2012-08-02,NaN,0.292693,NaN
2012-08-03,NaN,0.290282,NaN
2012-08-04,NaN,0.287871,NaN
2012-08-05,NaN,0.285459,NaN
2012-08-06,0.268823,0.283048,-0.014226
2012-08-07,0.272250,0.280637,-0.008387
2012-08-08,0.344802,0.278226,0.066576
2012-08-09,0.391588,0.275815,0.115773
2012-08-10,NaN,0.273404,NaN
2012-08-11,NaN,0.270993,NaN
2012-08-12,0.288102,0.268582,0.019520
2012-08-13,0.232313,0.266171,-0.033857
2012-08-14,0.324733,0.263759,0.060974
2012-08-15,0.300256,0.259682,0.040574
2012-08-16,NaN,0.255605,NaN
2012-08-17,NaN,0.251528,NaN
2012-08-18,NaN,0.247450,NaN
2012-08-19,NaN,0.243373,NaN
2012-08-20,NaN,0.239296,NaN
2012-08-21,NaN,0.235219,NaN
2012-08-22,NaN,0.231141,NaN
2012-08-23,NaN,0.227064,NaN
2012-08-24,NaN,0.222987,NaN
2012-08-25,NaN,0.218910,NaN
2012-08-26,NaN,0.214832,NaN
2012-08-27,NaN,0.210755,NaN
2012-08-28,NaN,0.206678,NaN
2012-08-29,NaN,0.202600,NaN
2012-08-30,NaN,0.198523,NaN
2012-08-31,NaN,0.194446,NaN
2012-09-01,NaN,0.190369,NaN
2012-09-02,0.240859,0.186291,0.054568
2012-09-03,0.255227,0.182214,0.073013
2012-09-04,NaN,0.178137,NaN
2012-09-05,0.188420,0.174060,0.014360
2012-09-06,NaN,0.169982,NaN
2012-09-07,NaN,0.165905,NaN
2012-09-08,0.116389,0.161828,-0.045439
2012-09-09,NaN,0.157751,NaN
2012-09-10,NaN,0.153673,NaN
2012-09-11,NaN,0.149596,NaN
2012-09-12,NaN,0.145519,NaN
2012-09-13,0.128387,0.141442,-0.013054
2012-09-14,NaN,0.137364,NaN
2012-09-15,NaN,0.138222,NaN
2012-09-16,NaN,0.139080,NaN
2012-09-17,NaN,0.139938,NaN
2012-09-18,NaN,0.140796,NaN
2012-09-19,NaN,0.141654,NaN
2012-09-20,NaN,0.142512,NaN
2012-09-21,NaN,0.143370,NaN
2012-09-22,NaN,0.144228,NaN
2012-09-23,0.115140,0.145086,-0.029945
2012-09-24,NaN,0.145944,NaN
2012-09-25,NaN,0.146801,NaN
2012-09-26,NaN,0.147659,NaN
2012-09-27,NaN,0.148517,NaN
2012-09-28,NaN,0.149375,NaN
2012-09-29,NaN,0.150233,NaN
2012-09-30,NaN,0.151091,NaN
2012-10-01,NaN,0.151949,NaN
2012-10-02,0.125660,0.152807,-0.027147
2012-10-03,0.096196,0.153665,-0.057469
2012-10-04,0.122059,0.154523,-0.032464
2012-10-05,0.100425,0.155381,-0.054955
2012-10-06,0.110733,0.156239,-0.045506
2012-10-07,NaN,0.157097,NaN
2012-10-08,NaN,0.157955,NaN
2012-10-09,NaN,0.158812,NaN
2012-10-10,NaN,0.159670,NaN
2012-10-11,0.118249,0.160528,-0.042279
2012-10-12,0.099264,0.161386,-0.062122
2012-10-13,0.104676,0.162244,-0.057568
2012-10-14,NaN,0.163102,NaN
2012-10-15,NaN,0.164837,NaN
2012-10-16,NaN,0.166571,NaN
2012-10-17,0.108439,0.168305,-0.059866
2012-10-18,NaN,0.170040,NaN
2012-10-19,0.109251,0.171774,-0.062523
2012-10-20,0.116673,0.173509,-0.056836
2012-10-21,0.105472,0.175243,-0.069771
2012-10-22,NaN,0.176977,NaN
2012-10-23,NaN,0.178712,NaN
2012-10-24,NaN,0.180446,NaN
2012-10-25,0.104965,0.182181,-0.077215
2012-10-26,NaN,0.183915,NaN
2012-10-27,NaN,0.185649,NaN
2012-10-28,0.147065,0.187384,-0.040319
2012-10-29,0.171914,0.189118,-0.017204
2012-10-30,0.140645,0.190853,-0.050207
2012-10-31,0.147667,0.192587,-0.044920
2012-11-01,0.086933,0.194322,-0.107389
2012-11-02,0.118132,0.196056,-0.077924
2012-11-03,NaN,0.197790,NaN
2012-11-04,NaN,0.199525,NaN
2012-11-05,NaN,0.201259,NaN
2012-11-06,0.143804,0.202994,-0.059189
2012-11-07,0.129272,0.204728,-0.075456
2012-11-08,0.125486,0.206462,-0.080976
2012-11-09,NaN,0.208197,NaN
2012-11-10,NaN,0.209931,NaN
2012-11-11,NaN,0.211666,NaN
2012-11-12,NaN,0.213400,NaN
2012-11-13,NaN,0.215135,NaN
2012-11-14,0.159055,0.216869,-0.057814
2012-11-15,0.160465,0.219488,-0.059023
2012-11-16,NaN,0.222106,NaN
2012-11-17,NaN,0.224725,NaN
2012-11-18,0.157105,0.227343,-0.070238
2012-11-19,NaN,0.229962,NaN
2012-11-20,0.161027,0.232580,-0.071553
2012-11-21,0.138055,0.235199,-0.097144
2012-11-23,NaN,0.240436,NaN
2012-11-24,NaN,0.243055,NaN
2012-11-25,NaN,0.245673,NaN
2012-11-26,NaN,0.248292,NaN
2012-11-27,NaN,0.250910,NaN
2012-11-28,NaN,0.253529,NaN
2012-11-29,0.170473,0.256148,-0.085674
