Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.581192,NaN,NaN
2012-01-05,NaN,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,0.352599,NaN,NaN
2012-01-08,NaN,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.561489,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,0.558511,NaN,NaN
2012-01-15,NaN,0.553668,NaN
2012-01-16,0.590649,0.552605,0.038044
2012-01-17,NaN,0.551542,NaN
2012-01-18,0.568803,0.550480,0.018323
2012-01-19,0.525580,0.549417,-0.023837
2012-01-20,NaN,0.548354,NaN
2012-01-21,0.393393,0.547291,-0.153898
2012-01-22,NaN,0.546228,NaN
2012-01-23,NaN,0.545165,NaN
2012-01-24,0.351322,0.544102,-0.192780
2012-01-25,NaN,0.543039,NaN
2012-01-26,0.254395,0.541976,-0.287581
2012-01-27,0.425746,0.540913,-0.115167
2012-01-28,NaN,0.539850,NaN
2012-01-29,0.536594,0.538787,-0.002193
2012-01-30,NaN,0.537724,NaN
2012-01-31,NaN,0.536661,NaN
2012-02-01,NaN,0.535598,NaN
2012-02-02,NaN,0.534535,NaN
2012-02-03,NaN,0.533472,NaN
2012-02-04,NaN,0.532409,NaN
2012-02-05,NaN,0.531346,NaN
2012-02-06,NaN,0.530283,NaN
2012-02-07,0.303360,0.529220,-0.225860
2012-02-08,0.417772,0.528157,-0.110385
2012-02-09,NaN,0.527095,NaN
2012-02-10,NaN,0.526032,NaN
2012-02-11,NaN,0.524969,NaN
2012-02-12,NaN,0.523906,NaN
2012-02-13,NaN,0.522843,NaN
2012-02-14,0.694786,0.521780,0.173006
2012-02-15,NaN,0.520717,NaN
2012-02-16,NaN,0.514937,NaN
2012-02-17,NaN,0.509158,NaN
2012-02-18,NaN,0.503378,NaN
2012-02-19,NaN,0.497599,NaN
2012-02-20,NaN,0.491819,NaN
2012-02-21,NaN,0.486040,NaN
2012-02-22,NaN,0.480260,NaN
2012-02-23,NaN,0.474481,NaN
2012-02-24,NaN,0.468701,NaN
2012-02-25,NaN,0.462922,NaN
2012-02-26,NaN,0.457142,NaN
2012-02-27,NaN,0.451362,NaN
2012-02-28,NaN,0.445583,NaN
2012-02-29,NaN,0.439803,NaN
2012-03-01,0.244606,0.434024,-0.189418
2012-03-02,0.233907,0.428244,-0.194338
2012-03-03,NaN,0.422465,NaN
2012-03-04,0.418780,0.416685,0.002095
2012-03-05,0.540883,0.410906,0.129977
2012-03-06,NaN,0.405126,NaN
2012-03-07,NaN,0.399347,NaN
2012-03-08,0.197177,0.393567,-0.196390
2012-03-09,NaN,0.387788,NaN
2012-03-10,NaN,0.382008,NaN
2012-03-11,NaN,0.376229,NaN
2012-03-12,0.233091,0.370449,-0.137358
2012-03-13,0.185385,0.364670,-0.179285
2012-03-14,NaN,0.358890,NaN
2012-03-15,0.125363,0.354429,-0.229066
2012-03-16,NaN,0.349967,NaN
2012-03-17,NaN,0.345506,NaN
2012-03-18,NaN,0.341045,NaN
2012-03-19,NaN,0.336583,NaN
2012-03-20,NaN,0.332122,NaN
2012-03-21,NaN,0.327661,NaN
2012-03-22,NaN,0.323200,NaN
2012-03-23,0.189137,0.318738,-0.129601
2012-03-26,0.128811,0.305354,-0.176544
2012-03-27,NaN,0.300893,NaN
2012-03-28,0.123889,0.296432,-0.172543
2012-03-29,NaN,0.291970,NaN
2012-03-30,NaN,0.287509,NaN
2012-03-31,0.134028,0.283048,-0.149020
2012-04-01,0.140981,0.278586,-0.137606
2012-04-02,NaN,0.274125,NaN
2012-04-03,NaN,0.269664,NaN
2012-04-04,NaN,0.265203,NaN
2012-04-05,NaN,0.260741,NaN
2012-04-06,NaN,0.256280,NaN
2012-04-07,0.115256,0.251819,-0.136562
2012-04-08,0.119684,0.247357,-0.127674
2012-04-09,0.118829,0.242896,-0.124067
2012-04-10,0.126800,0.238435,-0.111635
2012-04-11,0.104026,0.233973,-0.129947
2012-04-12,NaN,0.229512,NaN
2012-04-13,0.101133,0.225051,-0.123918
2012-04-14,0.077575,0.220589,-0.143014
2012-04-15,NaN,0.219681,NaN
2012-04-16,NaN,0.218772,NaN
2012-04-17,NaN,0.217864,NaN
2012-04-18,0.093444,0.216955,-0.123511
2012-04-19,0.100156,0.216047,-0.115891
2012-04-20,NaN,0.215138,NaN
2012-04-21,NaN,0.214230,NaN
