Time,mean,climatology,anomaly
1325548800,2.746665,NaN,NaN
1325635200,1.843805,NaN,NaN
1325721600,1.796550,NaN,NaN
1325808000,1.335086,NaN,NaN
1325894400,1.209345,NaN,NaN
1325980800,1.180732,NaN,NaN
1326067200,1.232924,NaN,NaN
1326153600,0.967576,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,0.609239,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,1.412673,1.226563,0.186110
1326672000,1.406468,1.215731,0.190737
1326758400,0.970395,1.204899,-0.234504
1326844800,0.834250,1.194066,-0.359816
1326931200,0.946894,1.183234,-0.236340
1327017600,0.969641,1.172401,-0.202761
1327104000,0.819944,1.161569,-0.341625
1327190400,0.808755,1.150737,-0.341982
1327276800,0.774859,1.139904,-0.365046
1327363200,0.795208,1.129072,-0.333864
1327449600,0.833048,1.118240,-0.285192
1327536000,0.914353,1.107407,-0.193054
1327622400,NaN,1.096575,NaN
1327708800,0.891486,1.085742,-0.194257
1327795200,0.455974,1.074910,-0.618936
1327881600,NaN,1.064078,NaN
1327968000,0.903744,1.053245,-0.149501
1328054400,0.818604,1.042413,-0.223808
1328140800,1.029818,1.031581,-0.001763
1328227200,NaN,1.020748,NaN
1328313600,0.962966,1.009916,-0.046949
1328400000,NaN,0.999083,NaN
1328486400,1.125743,0.988251,0.137491
1328572800,1.047537,0.977419,0.070119
1328659200,NaN,0.966586,NaN
1328745600,1.113628,0.955754,0.157874
1328832000,1.134391,0.944922,0.189470
1328918400,0.515733,0.934089,-0.418356
1329004800,2.039590,0.923257,1.116334
1329091200,2.452943,0.912424,1.540519
1329177600,1.259351,0.901592,0.357759
1329264000,1.334592,0.890760,0.443832
1329350400,NaN,0.884124,NaN
1329436800,0.828130,0.877488,-0.049359
1329523200,0.941926,0.870853,0.071073
1329609600,0.900188,0.864217,0.035971
1329696000,1.335999,0.857581,0.478418
1329782400,1.461913,0.850945,0.610968
1329868800,1.095020,0.844310,0.250711
1329955200,0.987066,0.837674,0.149392
1330041600,0.964663,0.831038,0.133624
1330128000,0.810054,0.824403,-0.014349
1330214400,NaN,0.817767,NaN
1330300800,1.048709,0.811131,0.237578
1330387200,0.903184,0.804496,0.098689
1330473600,0.905254,0.797860,0.107394
1330560000,0.706848,0.791224,-0.084376
1330646400,0.776721,0.784588,-0.007868
1330732800,0.789257,0.777953,0.011304
1330819200,1.444927,0.771317,0.673610
1330905600,1.739366,0.764681,0.974685
1330992000,0.830647,0.758046,0.072602
1331078400,1.158170,0.751410,0.406761
1331164800,1.023872,0.744774,0.279098
1331251200,0.936803,0.738138,0.198664
1331337600,0.939704,0.731503,0.208201
1331424000,0.481106,0.724867,-0.243761
1331510400,0.968668,0.718231,0.250437
1331596800,0.821050,0.711596,0.109454
1331683200,0.796450,0.704960,0.091490
1331769600,0.692226,0.702060,-0.009834
1331856000,NaN,0.699160,NaN
1331942400,0.801294,0.696259,0.105035
1332028800,0.775461,0.693359,0.082102
1332115200,0.797991,0.690459,0.107532
1332201600,0.744981,0.687559,0.057422
1332288000,NaN,0.684659,NaN
1332374400,NaN,0.681759,NaN
1332460800,0.717536,0.678858,0.038678
1332720000,0.766414,0.670158,0.096256
1332806400,NaN,0.667258,NaN
1332892800,0.691408,0.664358,0.027050
1332979200,0.803671,0.661457,0.142214
1333065600,0.625100,0.658557,-0.033457
1333152000,0.786331,0.655657,0.130674
1333238400,NaN,0.652757,NaN
1333324800,0.634931,0.649857,-0.014926
1333411200,0.639738,0.646957,-0.007219
1333497600,0.630388,0.644056,-0.013668
1333584000,0.654522,0.641156,0.013366
1333670400,NaN,0.638256,NaN
1333756800,NaN,0.635356,NaN
1333843200,0.695623,0.632456,0.063168
1333929600,0.916557,0.629556,0.287001
1334016000,0.642874,0.626655,0.016219
1334102400,0.590392,0.623755,-0.033364
1334188800,NaN,0.620855,NaN
1334275200,0.571592,0.617955,-0.046363
1334361600,0.188152,0.615055,-0.426902
1334448000,0.661183,0.618038,0.043145
1334534400,0.647605,0.621021,0.026585
1334620800,NaN,0.624004,NaN
1334707200,0.670116,0.626987,0.043129
1334793600,0.476506,0.629970,-0.153464
1334880000,0.719777,0.632953,0.086824
1334966400,NaN,0.635936,NaN
1335052800,NaN,0.638919,NaN
1335139200,NaN,0.641902,NaN
1335225600,1.343252,0.644885,0.698366
1335312000,1.053104,0.647868,0.405235
1335398400,0.892231,0.650852,0.241379
1335484800,0.706742,0.653835,0.052908
1335571200,NaN,0.656818,NaN
1335657600,NaN,0.659801,NaN
1335744000,0.266932,0.662784,-0.395852
1335830400,1.076118,0.665767,0.410352
1335916800,0.772987,0.668750,0.104237
1336003200,NaN,0.671733,NaN
1336089600,NaN,0.674716,NaN
1336176000,0.612366,0.677699,-0.065333
1336262400,0.791848,0.680682,0.111166
1336348800,0.589067,0.683665,-0.094598
1336435200,NaN,0.686648,NaN
1336521600,NaN,0.689631,NaN
1336608000,0.578642,0.692614,-0.113972
1336694400,0.700647,0.695598,0.005050
1336780800,0.571105,0.698581,-0.127475
1336867200,NaN,0.701564,NaN
1336953600,NaN,0.704547,NaN
1337040000,0.611310,0.703887,-0.092578
