Date,Mean,Climatology,Anomaly
2012-01-03,2.746665,NaN,NaN
2012-01-04,1.843805,NaN,NaN
2012-01-05,1.796550,NaN,NaN
2012-01-06,1.335086,NaN,NaN
2012-01-07,1.209345,NaN,NaN
2012-01-08,1.180732,NaN,NaN
2012-01-09,1.232924,NaN,NaN
2012-01-10,0.967576,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,0.609239,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,1.412673,1.226563,0.186110
2012-01-16,1.406468,1.215731,0.190737
2012-01-17,0.970395,1.204899,-0.234504
2012-01-18,0.834250,1.194066,-0.359816
2012-01-19,0.946894,1.183234,-0.236340
2012-01-20,0.969641,1.172401,-0.202761
2012-01-21,0.819944,1.161569,-0.341625
2012-01-22,0.808755,1.150737,-0.341982
2012-01-23,0.774859,1.139904,-0.365046
2012-01-24,0.795208,1.129072,-0.333864
2012-01-25,0.833048,1.118240,-0.285192
2012-01-26,0.914353,1.107407,-0.193054
2012-01-27,NaN,1.096575,NaN
2012-01-28,0.891486,1.085742,-0.194257
2012-01-29,0.455974,1.074910,-0.618936
2012-01-30,NaN,1.064078,NaN
2012-01-31,0.903744,1.053245,-0.149501
2012-02-01,0.818604,1.042413,-0.223808
2012-02-02,1.029818,1.031581,-0.001763
2012-02-03,NaN,1.020748,NaN
2012-02-04,0.962966,1.009916,-0.046949
2012-02-05,NaN,0.999083,NaN
2012-02-06,1.125743,0.988251,0.137491
2012-02-07,1.047537,0.977419,0.070119
2012-02-08,NaN,0.966586,NaN
2012-02-09,1.113628,0.955754,0.157874
2012-02-10,1.134391,0.944922,0.189470
2012-02-11,0.515733,0.934089,-0.418356
2012-02-12,2.039590,0.923257,1.116334
2012-02-13,2.452943,0.912424,1.540519
2012-02-14,1.259351,0.901592,0.357759
2012-02-15,1.334592,0.890760,0.443832
2012-02-16,NaN,0.884124,NaN
2012-02-17,0.828130,0.877488,-0.049359
2012-02-18,0.941926,0.870853,0.071073
2012-02-19,0.900188,0.864217,0.035971
2012-02-20,1.335999,0.857581,0.478418
2012-02-21,1.461913,0.850945,0.610968
2012-02-22,1.095020,0.844310,0.250711
2012-02-23,0.987066,0.837674,0.149392
2012-02-24,0.964663,0.831038,0.133624
2012-02-25,0.810054,0.824403,-0.014349
2012-02-26,NaN,0.817767,NaN
2012-02-27,1.048709,0.811131,0.237578
2012-02-28,0.903184,0.804496,0.098689
2012-02-29,0.905254,0.797860,0.107394
2012-03-01,0.706848,0.791224,-0.084376
2012-03-02,0.776721,0.784588,-0.007868
2012-03-03,0.789257,0.777953,0.011304
2012-03-04,1.444927,0.771317,0.673610
2012-03-05,1.739366,0.764681,0.974685
