Time,mean,climatology,anomaly
1025740800,27.689999,28.794519,-1.104520
1025827200,NaN,28.836377,NaN
1025913600,NaN,28.878236,NaN
1026000000,NaN,28.920094,NaN
1026086400,NaN,28.961953,NaN
1026172800,28.014999,29.003811,-0.988812
1026259200,28.064999,29.045669,-0.980671
1026345600,28.590000,29.087528,-0.497528
1026432000,NaN,29.129386,NaN
1026518400,NaN,29.171245,NaN
1026604800,28.305000,29.213103,-0.908103
1026691200,28.820000,29.254962,-0.434962
1026777600,28.449999,29.273074,-0.823075
1026864000,29.039999,29.291186,-0.251187
1026950400,28.885000,29.309298,-0.424298
1027036800,29.820000,29.327410,0.492589
1027123200,29.820000,29.345523,0.474477
1027209600,29.804998,29.363635,0.441364
1027296000,29.892498,29.381747,0.510751
1027382400,NaN,29.399859,NaN
1027468800,NaN,29.417971,NaN
1027555200,NaN,29.436083,NaN
1027641600,29.664999,29.454195,0.210804
1027728000,29.802500,29.472308,0.330192
1027814400,29.859999,29.490420,0.369579
1027900800,30.045000,29.508532,0.536468
1028678400,NaN,29.671541,NaN
1028764800,NaN,29.689654,NaN
1028851200,29.180000,29.707766,-0.527765
1028937600,NaN,29.725878,NaN
1029024000,NaN,29.743990,NaN
1029110400,NaN,29.762102,NaN
1029196800,NaN,29.780214,NaN
1029283200,NaN,29.798327,NaN
1029369600,NaN,29.816439,NaN
1029456000,29.024998,29.787339,-0.762341
1029542400,29.019999,29.758238,-0.738240
1029628800,29.705000,29.729138,-0.024138
1029715200,29.599998,29.700038,-0.100039
1029801600,29.779999,29.670938,0.109061
1029888000,28.680000,29.641837,-0.961837
1029974400,NaN,29.612737,NaN
1030060800,29.777500,29.583637,0.193863
1030147200,NaN,29.554537,NaN
1030233600,29.865000,29.525437,0.339563
1030320000,NaN,29.496336,NaN
1030406400,NaN,29.467236,NaN
1030492800,NaN,29.438136,NaN
1030579200,NaN,29.409036,NaN
1030665600,29.332499,29.379936,-0.047437
1030752000,NaN,29.350835,NaN
1030838400,NaN,29.321735,NaN
1030924800,NaN,29.292635,NaN
1031011200,NaN,29.263535,NaN
1031097600,NaN,29.234434,NaN
1031184000,NaN,29.205334,NaN
1031270400,NaN,29.176234,NaN
1031356800,NaN,29.147134,NaN
1031443200,28.730000,29.118034,-0.388034
1031529600,NaN,29.088933,NaN
1031616000,NaN,29.059833,NaN
1031702400,NaN,29.030733,NaN
1031788800,28.715000,29.001633,-0.286633
1031875200,28.865000,28.972532,-0.107533
1031961600,28.875000,28.943432,-0.068432
1032048000,28.830000,28.914332,-0.084332
1032134400,NaN,28.866415,NaN
1032220800,NaN,28.818498,NaN
1032307200,NaN,28.770582,NaN
1032393600,28.844999,28.722665,0.122335
1032480000,NaN,28.674748,NaN
1032566400,28.109999,28.626831,-0.516832
1032652800,28.754999,28.578914,0.176085
1032739200,NaN,28.530997,NaN
1032825600,NaN,28.483081,NaN
1032912000,NaN,28.435164,NaN
1032998400,NaN,28.387247,NaN
1033084800,NaN,28.339330,NaN
1033171200,28.189999,28.291413,-0.101415
1033257600,27.994999,28.243496,-0.248498
1033344000,NaN,28.195580,NaN
1033430400,27.619999,28.147663,-0.527664
1033516800,27.959999,28.099746,-0.139747
1033603200,NaN,28.051829,NaN
1033689600,NaN,28.003912,NaN
1033776000,NaN,27.955995,NaN
1033862400,27.285000,27.908079,-0.623079
1033948800,27.387501,27.860162,-0.472661
1034035200,27.500000,27.812245,-0.312245
1034121600,NaN,27.764328,NaN
1034208000,NaN,27.716411,NaN
1034294400,NaN,27.668494,NaN
1034380800,27.119999,27.620578,-0.500579
1034467200,27.549999,27.572661,-0.022662
1034553600,NaN,27.524744,NaN
1034640000,NaN,27.476827,NaN
1034726400,26.910000,27.396780,-0.486780
1034812800,26.504999,27.316733,-0.811734
1034899200,26.609999,27.236686,-0.626687
1034985600,NaN,27.156639,NaN
1035072000,25.670000,27.076592,-1.406592
1035158400,NaN,26.996545,NaN
1035244800,26.459999,26.916498,-0.456499
1035331200,NaN,26.836451,NaN
1035417600,26.199999,26.756404,-0.556405
1035504000,NaN,26.676357,NaN
1035590400,NaN,26.596310,NaN
1035676800,NaN,26.516263,NaN
1035763200,NaN,26.436216,NaN
1035849600,NaN,26.356169,NaN
1035936000,NaN,26.276122,NaN
1036022400,25.484999,26.196075,-0.711076
1036108800,NaN,26.116027,NaN
1036195200,NaN,26.035980,NaN
1036281600,NaN,25.955933,NaN
1036368000,NaN,25.875886,NaN
1036454400,NaN,25.795839,NaN
1036540800,NaN,25.715792,NaN
1036627200,25.904999,25.635745,0.269254
1036713600,NaN,25.555698,NaN
1036800000,NaN,25.475651,NaN
1036886400,NaN,25.395604,NaN
1036972800,25.657499,25.315557,0.341942
1037059200,NaN,25.235510,NaN
1037145600,25.359999,25.155463,0.204536
1037232000,25.064999,25.075416,-0.010417
1037318400,NaN,24.995369,NaN
1037404800,NaN,24.923213,NaN
1037491200,NaN,24.851057,NaN
1037577600,24.549999,24.778901,-0.228902
1037664000,NaN,24.706746,NaN
1037750400,NaN,24.634590,NaN
1037836800,24.090000,24.562434,-0.472434
1037923200,23.910000,24.490278,-0.580278
1038009600,23.119999,24.418122,-1.298123
1038096000,23.869999,24.345966,-0.475967
1038182400,NaN,24.273811,NaN
1038268800,23.555000,24.201655,-0.646654
1038355200,NaN,24.129499,NaN
1038441600,NaN,24.057343,NaN
1038528000,NaN,23.985187,NaN
1038614400,NaN,23.913031,NaN
1038700800,23.744999,23.840876,-0.095877
1038787200,23.465000,23.768720,-0.303720
1038873600,NaN,23.696564,NaN
1038960000,NaN,23.624408,NaN
1039046400,NaN,23.552252,NaN
1039132800,NaN,23.480096,NaN
