Time,mean,climatology,anomaly
1025740800,27.699999,28.800022,-1.100023
1025827200,27.824999,28.835379,-1.010380
1025913600,NaN,28.870736,NaN
1026000000,28.494999,28.906093,-0.411094
1026086400,NaN,28.941450,NaN
1026172800,28.037498,28.976807,-0.939308
1026259200,NaN,29.012164,NaN
1026345600,28.715000,29.047521,-0.332520
1026432000,NaN,29.082878,NaN
1026518400,NaN,29.118235,NaN
1026604800,NaN,29.153592,NaN
1026691200,29.174999,29.188949,-0.013949
1026777600,NaN,29.205825,NaN
1026864000,NaN,29.222702,NaN
1026950400,29.234999,29.239578,-0.004580
1027036800,NaN,29.256455,NaN
1027123200,29.719999,29.273332,0.446668
1027209600,NaN,29.290208,NaN
1027296000,29.865000,29.307085,0.557915
1027382400,29.990000,29.323961,0.666039
1027468800,29.205000,29.340838,-0.135838
1027555200,NaN,29.357714,NaN
1027641600,29.594999,29.374591,0.220408
1027728000,29.974998,29.391467,0.583531
1027814400,NaN,29.408344,NaN
1027900800,29.862499,29.425221,0.437279
1028678400,NaN,29.577110,NaN
1028764800,NaN,29.593986,NaN
1028851200,29.594999,29.610863,-0.015864
1028937600,NaN,29.627739,NaN
1029024000,NaN,29.644616,NaN
1029110400,NaN,29.661493,NaN
1029196800,NaN,29.678369,NaN
1029283200,NaN,29.695246,NaN
1029369600,NaN,29.712122,NaN
1029456000,28.559999,29.689015,-1.129015
1029542400,28.644999,29.665907,-1.020908
1029628800,29.285000,29.642799,-0.357799
1029715200,NaN,29.619691,NaN
1029801600,NaN,29.596584,NaN
1029888000,NaN,29.573476,NaN
1029974400,29.564999,29.550368,0.014630
1030060800,29.934999,29.527261,0.407739
1030147200,29.574999,29.504153,0.070846
1030233600,29.889999,29.481045,0.408954
1030320000,30.164999,29.457937,0.707062
1030406400,NaN,29.434830,NaN
1030492800,NaN,29.411722,NaN
1030579200,30.059999,29.388614,0.671385
1030665600,NaN,29.365506,NaN
1030752000,NaN,29.342399,NaN
1030838400,NaN,29.319291,NaN
1030924800,NaN,29.296183,NaN
1031011200,NaN,29.273076,NaN
1031097600,NaN,29.249968,NaN
1031184000,NaN,29.226860,NaN
1031270400,NaN,29.203752,NaN
1031356800,NaN,29.180645,NaN
1031443200,NaN,29.157537,NaN
1031529600,NaN,29.134429,NaN
1031616000,NaN,29.111322,NaN
1031702400,NaN,29.088214,NaN
1031788800,28.379999,29.065106,-0.685107
1031875200,NaN,29.041998,NaN
1031961600,28.930000,29.018891,-0.088890
1032048000,28.580000,28.995783,-0.415783
1032134400,NaN,28.952521,NaN
1032220800,NaN,28.909260,NaN
1032307200,NaN,28.865998,NaN
1032393600,28.439999,28.822736,-0.382738
1032480000,NaN,28.779474,NaN
1032566400,NaN,28.736213,NaN
1032652800,28.625000,28.692951,-0.067951
1032739200,NaN,28.649689,NaN
1032825600,NaN,28.606428,NaN
1032912000,NaN,28.563166,NaN
1032998400,NaN,28.519904,NaN
1033084800,28.129999,28.476643,-0.346643
1033171200,28.094999,28.433381,-0.338381
1033257600,27.920000,28.390119,-0.470119
1033344000,27.869999,28.346857,-0.476858
1033430400,28.062500,28.303596,-0.241096
1033516800,NaN,28.260334,NaN
1033603200,NaN,28.217072,NaN
1033689600,NaN,28.173811,NaN
1033776000,NaN,28.130549,NaN
1033862400,27.980000,28.087287,-0.107288
1033948800,27.959999,28.044025,-0.084026
1034035200,27.735001,28.000764,-0.265763
1034121600,NaN,27.957502,NaN
