Date,Mean,Climatology,Anomaly
2002-07-04,27.699999,28.800022,-1.100023
2002-07-05,27.824999,28.835379,-1.010380
2002-07-06,NaN,28.870736,NaN
2002-07-07,28.494999,28.906093,-0.411094
2002-07-08,NaN,28.941450,NaN
2002-07-09,28.037498,28.976807,-0.939308
2002-07-10,NaN,29.012164,NaN
2002-07-11,28.715000,29.047521,-0.332520
2002-07-12,NaN,29.082878,NaN
2002-07-13,NaN,29.118235,NaN
2002-07-14,NaN,29.153592,NaN
2002-07-15,29.174999,29.188949,-0.013949
2002-07-16,NaN,29.205825,NaN
2002-07-17,NaN,29.222702,NaN
2002-07-18,29.234999,29.239578,-0.004580
2002-07-19,NaN,29.256455,NaN
2002-07-20,29.719999,29.273332,0.446668
2002-07-21,NaN,29.290208,NaN
2002-07-22,29.865000,29.307085,0.557915
2002-07-23,29.990000,29.323961,0.666039
2002-07-24,29.205000,29.340838,-0.135838
2002-07-25,NaN,29.357714,NaN
2002-07-26,29.594999,29.374591,0.220408
2002-07-27,29.974998,29.391467,0.583531
2002-07-28,NaN,29.408344,NaN
2002-07-29,29.862499,29.425221,0.437279
2002-08-07,NaN,29.577110,NaN
2002-08-08,NaN,29.593986,NaN
2002-08-09,29.594999,29.610863,-0.015864
2002-08-10,NaN,29.627739,NaN
2002-08-11,NaN,29.644616,NaN
2002-08-12,NaN,29.661493,NaN
2002-08-13,NaN,29.678369,NaN
2002-08-14,NaN,29.695246,NaN
2002-08-15,NaN,29.712122,NaN
2002-08-16,28.559999,29.689015,-1.129015
2002-08-17,28.644999,29.665907,-1.020908
2002-08-18,29.285000,29.642799,-0.357799
2002-08-19,NaN,29.619691,NaN
2002-08-20,NaN,29.596584,NaN
2002-08-21,NaN,29.573476,NaN
2002-08-22,29.564999,29.550368,0.014630
2002-08-23,29.934999,29.527261,0.407739
2002-08-24,29.574999,29.504153,0.070846
2002-08-25,29.889999,29.481045,0.408954
2002-08-26,30.164999,29.457937,0.707062
2002-08-27,NaN,29.434830,NaN
2002-08-28,NaN,29.411722,NaN
2002-08-29,30.059999,29.388614,0.671385
2002-08-30,NaN,29.365506,NaN
2002-08-31,NaN,29.342399,NaN
2002-09-01,NaN,29.319291,NaN
2002-09-02,NaN,29.296183,NaN
2002-09-03,NaN,29.273076,NaN
2002-09-04,NaN,29.249968,NaN
2002-09-05,NaN,29.226860,NaN
2002-09-06,NaN,29.203752,NaN
2002-09-07,NaN,29.180645,NaN
2002-09-08,NaN,29.157537,NaN
2002-09-09,NaN,29.134429,NaN
2002-09-10,NaN,29.111322,NaN
2002-09-11,NaN,29.088214,NaN
2002-09-12,28.379999,29.065106,-0.685107
2002-09-13,NaN,29.041998,NaN
2002-09-14,28.930000,29.018891,-0.088890
2002-09-15,28.580000,28.995783,-0.415783
2002-09-16,NaN,28.952521,NaN
2002-09-17,NaN,28.909260,NaN
2002-09-18,NaN,28.865998,NaN
2002-09-19,28.439999,28.822736,-0.382738
2002-09-20,NaN,28.779474,NaN
2002-09-21,NaN,28.736213,NaN
2002-09-22,28.625000,28.692951,-0.067951
2002-09-23,NaN,28.649689,NaN
2002-09-24,NaN,28.606428,NaN
2002-09-25,NaN,28.563166,NaN
2002-09-26,NaN,28.519904,NaN
2002-09-27,28.129999,28.476643,-0.346643
2002-09-28,28.094999,28.433381,-0.338381
2002-09-29,27.920000,28.390119,-0.470119
2002-09-30,27.869999,28.346857,-0.476858
2002-10-01,28.062500,28.303596,-0.241096
2002-10-02,NaN,28.260334,NaN
2002-10-03,NaN,28.217072,NaN
2002-10-04,NaN,28.173811,NaN
2002-10-05,NaN,28.130549,NaN
2002-10-06,27.980000,28.087287,-0.107288
2002-10-07,27.959999,28.044025,-0.084026
2002-10-08,27.735001,28.000764,-0.265763
2002-10-09,NaN,27.957502,NaN
2002-10-10,NaN,27.914240,NaN
2002-10-11,NaN,27.870979,NaN
2002-10-12,27.115000,27.827717,-0.712717
