Time,mean,climatology,anomaly
1025740800,27.914999,28.419366,-0.504367
1025827200,NaN,28.442869,NaN
1025913600,27.299999,28.466372,-1.166373
1026000000,28.045000,28.489875,-0.444875
1026086400,28.160000,28.513378,-0.353379
1026172800,28.712500,28.536882,0.175618
1026259200,28.449999,28.560385,-0.110386
1026345600,28.885000,28.583888,0.301112
1026432000,NaN,28.607391,NaN
1026518400,29.070000,28.630894,0.439106
1026604800,28.334999,28.654397,-0.319398
1026691200,28.959999,28.677900,0.282099
1026777600,NaN,28.694256,NaN
1026864000,28.014999,28.710611,-0.695612
1026950400,28.494999,28.726966,-0.231967
1027036800,28.824999,28.743322,0.081677
1027123200,29.054998,28.759677,0.295321
1027209600,28.869999,28.776032,0.093967
1027296000,29.219999,28.792388,0.427612
1027382400,29.324999,28.808743,0.516256
1027468800,29.750000,28.825098,0.924902
1027555200,NaN,28.841453,NaN
1027641600,29.414999,28.857809,0.557190
1027728000,29.237499,28.874164,0.363335
1027814400,29.314999,28.890519,0.424479
1027900800,29.154999,28.906875,0.248124
1028678400,29.584999,29.054073,0.530927
1028764800,29.695000,29.070428,0.624572
1028851200,29.304998,29.086783,0.218215
1028937600,29.490000,29.103138,0.386861
1029024000,28.992500,29.119494,-0.126993
1029110400,29.639999,29.135849,0.504150
1029196800,28.802498,29.152204,-0.349706
1029283200,29.045000,29.168560,-0.123560
1029369600,28.754999,29.184915,-0.429916
1029456000,28.594999,29.173021,-0.578021
1029542400,29.000000,29.161127,-0.161127
1029628800,29.299999,29.149232,0.150767
1029715200,29.559999,29.137338,0.422661
1029801600,28.844999,29.125444,-0.280445
1029888000,29.684999,29.113550,0.571450
1029974400,29.439999,29.101655,0.338343
1030060800,29.590000,29.089761,0.500239
1030147200,29.500000,29.077867,0.422133
1030233600,29.875000,29.065973,0.809027
1030320000,29.609999,29.054078,0.555920
1030406400,30.215000,29.042184,1.172816
1030492800,29.330000,29.030290,0.299710
1030579200,30.039999,29.018396,1.021603
1030665600,29.809999,29.006502,0.803498
1030752000,29.672501,28.994607,0.677893
1030838400,29.650000,28.982713,0.667287
1030924800,29.590000,28.970819,0.619181
1031011200,29.644999,28.958925,0.686074
1031097600,29.609999,28.947030,0.662968
1031184000,NaN,28.935136,NaN
1031270400,28.974998,28.923242,0.051757
1031356800,NaN,28.911348,NaN
1031443200,28.029999,28.899453,-0.869455
1031529600,NaN,28.887559,NaN
1031616000,27.529999,28.875665,-1.345666
1031702400,27.574999,28.863771,-1.288772
1031788800,27.594999,28.851877,-1.256877
1031875200,28.184999,28.839982,-0.654983
1031961600,28.385000,28.828088,-0.443088
1032048000,27.907499,28.816194,-0.908695
1032134400,NaN,28.736995,NaN
1032220800,NaN,28.657796,NaN
1032307200,27.754999,28.578597,-0.823598
1032393600,28.234999,28.499398,-0.264399
1032480000,NaN,28.420199,NaN
1032566400,28.144999,28.341000,-0.196001
1032652800,27.949999,28.261801,-0.311802
1032739200,NaN,28.182602,NaN
1032825600,27.320000,28.103403,-0.783403
1032912000,26.945000,28.024203,-1.079204
1032998400,27.029999,27.945004,-0.915006
1033084800,26.789999,27.865805,-1.075806
1033171200,27.355000,27.786606,-0.431607
1033257600,27.115000,27.707407,-0.592408
1033344000,27.404999,27.628208,-0.223210
1033430400,27.254999,27.549009,-0.294010
1033516800,27.404999,27.469810,-0.064811
1033603200,27.570000,27.390611,0.179389
1033689600,27.375000,27.311412,0.063588
1033776000,27.295000,27.232213,0.062787
1033862400,27.670000,27.153014,0.516986
1033948800,27.789999,27.073815,0.716184
1034035200,27.840000,26.994616,0.845384
1034121600,27.629999,26.915417,0.714582
1034208000,27.195000,26.836218,0.358782
1034294400,27.199999,26.757019,0.442980
1034380800,26.904999,26.677820,0.227179
1034467200,27.234999,26.598621,0.636378
1034553600,NaN,26.519422,NaN
1034640000,NaN,26.440223,NaN
1034726400,26.004999,26.302850,-0.297851
1034812800,25.644999,26.165478,-0.520479
1034899200,NaN,26.028105,NaN
1034985600,24.955000,25.890733,-0.935733
1035072000,NaN,25.753360,NaN
1035158400,24.465000,25.615988,-1.150988
1035244800,24.652500,25.478615,-0.826115
1035331200,NaN,25.341243,NaN
1035417600,24.699999,25.203870,-0.503871
1035504000,NaN,25.066498,NaN
1035590400,NaN,24.929125,NaN
1035676800,NaN,24.791753,NaN
1035763200,NaN,24.654380,NaN
1035849600,NaN,24.517008,NaN
1035936000,23.939999,24.379635,-0.439636
1036022400,23.869999,24.242263,-0.372264
1036108800,NaN,24.104890,NaN
1036195200,NaN,23.967518,NaN
1036281600,NaN,23.830145,NaN
1036368000,NaN,23.692773,NaN
1036454400,NaN,23.555400,NaN
1036540800,21.785000,23.418028,-1.633028
1036627200,22.555000,23.280655,-0.725655
1036713600,NaN,23.143283,NaN
1036800000,21.627499,23.005910,-1.378411
1036886400,NaN,22.868537,NaN
1036972800,22.109999,22.731165,-0.621166
1037059200,22.129999,22.593792,-0.463793
1037145600,21.734999,22.456420,-0.721421
1037232000,21.305000,22.319047,-1.014047
1037318400,21.590000,22.181675,-0.591675
1037404800,21.244999,22.050205,-0.805206
1037491200,20.719999,21.918735,-1.198735
1037577600,20.404999,21.787264,-1.382266
1037664000,NaN,21.655794,NaN
1037750400,20.590000,21.524324,-0.934324
1037836800,20.635000,21.392854,-0.757854
1037923200,20.379999,21.261384,-0.881384
1038009600,20.250000,21.129913,-0.879913
1038096000,20.484999,20.998443,-0.513444
1038182400,20.570000,20.866973,-0.296973
1038268800,NaN,20.735503,NaN
1038355200,NaN,20.604033,NaN
1038441600,NaN,20.472562,NaN
1038528000,17.317499,20.341092,-3.023593
1038614400,NaN,20.209622,NaN
1038700800,20.840000,20.078152,0.761848
1038787200,18.359999,19.946682,-1.586683
1038873600,NaN,19.815211,NaN
1038960000,18.244999,19.683741,-1.438742
1039046400,NaN,19.552271,NaN
1039132800,17.430000,19.420801,-1.990800
1039219200,NaN,19.289331,NaN
1039305600,NaN,19.157860,NaN
1039392000,NaN,19.026390,NaN
1039478400,15.940000,18.894920,-2.954920
1039564800,NaN,18.763450,NaN
1039651200,NaN,18.631980,NaN
1039737600,16.127499,18.500509,-2.373011
1039824000,15.389999,18.369039,-2.979040
1039910400,16.270000,18.237569,-1.967569
1039996800,16.660000,18.154883,-1.494883
1040083200,17.244999,18.072196,-0.827197
1040169600,19.205000,17.989510,1.215490
1040256000,NaN,17.906823,NaN
1040342400,17.000000,17.824137,-0.824137
1040428800,17.199999,17.741450,-0.541451
1040515200,18.869999,17.658764,1.211235
1040601600,NaN,17.576077,NaN
1040688000,NaN,17.493391,NaN
1040774400,NaN,17.410704,NaN
1040860800,NaN,17.328018,NaN
1040947200,NaN,17.245331,NaN
1041033600,17.195000,17.162645,0.032355
1041120000,17.125000,17.079958,0.045042
1041206400,NaN,16.997272,NaN
1041292800,17.350000,16.914585,0.435415
1041379200,17.129999,16.831899,0.298100
1041465600,17.250000,16.749212,0.500788
1041552000,17.879999,16.666526,1.213473
1041638400,17.934999,16.583839,1.351160
1041724800,17.805000,16.501153,1.303847
1041811200,NaN,16.418466,NaN
1041897600,NaN,16.335780,NaN
1041984000,17.445000,16.253093,1.191906
1042070400,NaN,16.170407,NaN
1042156800,17.547501,16.087720,1.459780
1042243200,NaN,16.005034,NaN
1042329600,NaN,15.922348,NaN
1042416000,NaN,15.839661,NaN
1042502400,15.820000,15.756975,0.063025
1042588800,16.315001,15.674288,0.640712
1042675200,16.820000,15.674879,1.145121
1042761600,16.295000,15.675469,0.619531
1042848000,15.570000,15.676060,-0.106060
1042934400,15.855000,15.676650,0.178349
1043020800,NaN,15.677241,NaN
1043107200,17.844999,15.677831,2.167168
1043193600,NaN,15.678422,NaN
1043280000,15.455000,15.679012,-0.224012
1043366400,14.514999,15.679603,-1.164603
1043452800,NaN,15.680193,NaN
1043539200,NaN,15.680784,NaN
1043625600,NaN,15.681374,NaN
1043712000,13.865000,15.681965,-1.816965
1043798400,14.580000,15.682555,-1.102555
1043884800,NaN,15.683146,NaN
1043971200,12.980000,15.683736,-2.703736
1044057600,13.179999,15.684327,-2.504327
1044144000,NaN,15.684917,NaN
1044230400,NaN,15.685508,NaN
1044316800,14.737499,15.686098,-0.948599
1044403200,NaN,15.686689,NaN
1044489600,NaN,15.687279,NaN
1044576000,NaN,15.687870,NaN
1044662400,NaN,15.688460,NaN
1044748800,NaN,15.689051,NaN
1044835200,12.724999,15.689641,-2.964642
1044921600,13.255000,15.690232,-2.435231
1045008000,NaN,15.690822,NaN
1045094400,NaN,15.691412,NaN
1045180800,NaN,15.692003,NaN
1045267200,NaN,15.692593,NaN
1045353600,13.660000,15.779351,-2.119351
1045440000,13.190000,15.866108,-2.676108
1045526400,13.259999,15.952865,-2.692866
1045612800,NaN,16.039623,NaN
1045699200,14.360000,16.126380,-1.766380
1045785600,NaN,16.213137,NaN
1045872000,14.575000,16.299894,-1.724894
1045958400,15.549999,16.386652,-0.836652
1046044800,16.330000,16.473409,-0.143409
1046131200,NaN,16.560166,NaN
1046217600,NaN,16.646923,NaN
1046304000,NaN,16.733681,NaN
1046390400,NaN,16.820438,NaN
1046476800,NaN,16.907195,NaN
1046563200,NaN,16.993952,NaN
1046649600,NaN,17.080710,NaN
1046736000,NaN,17.167467,NaN
1046822400,NaN,17.254224,NaN
1046908800,NaN,17.340981,NaN
1046995200,NaN,17.427739,NaN
1047081600,NaN,17.514496,NaN
1047168000,NaN,17.601253,NaN
1047254400,NaN,17.688010,NaN
1047340800,NaN,17.774768,NaN
1047427200,NaN,17.861525,NaN
1047513600,15.645000,17.948282,-2.303283
1047686400,NaN,18.121797,NaN
1047772800,NaN,18.226667,NaN
1047859200,16.795000,18.331537,-1.536537
1047945600,NaN,18.436407,NaN
1048032000,16.930000,18.541278,-1.611277
1048118400,18.174999,18.646148,-0.471149
1048204800,18.025000,18.751018,-0.726018
1048291200,18.385000,18.855888,-0.470888
1048377600,17.795000,18.960759,-1.165758
1048464000,18.100000,19.065629,-0.965628
1048550400,NaN,19.170499,NaN
1048636800,NaN,19.275369,NaN
1048723200,18.805000,19.380239,-0.575239
1048809600,19.635000,19.485110,0.149891
1048896000,NaN,19.589980,NaN
1048982400,17.164999,19.694850,-2.529851
1049068800,17.025000,19.799720,-2.774721
1049155200,NaN,19.904591,NaN
1049241600,16.990000,20.009461,-3.019461
1049328000,NaN,20.114331,NaN
1049414400,17.709999,20.219201,-2.509202
1049500800,NaN,20.324071,NaN
1049587200,NaN,20.428942,NaN
1049673600,NaN,20.533812,NaN
1049760000,NaN,20.638682,NaN
1049846400,18.350000,20.743552,-2.393552
1049932800,17.785000,20.848423,-3.063423
1050019200,NaN,20.953293,NaN
1050105600,18.484999,21.058163,-2.573164
1050192000,18.994999,21.163033,-2.168034
1050278400,19.180000,21.267904,-2.087903
1050364800,19.775000,21.372774,-1.597774
1050451200,19.744999,21.493938,-1.748939
1050537600,20.879999,21.615101,-0.735102
1050624000,20.240000,21.736265,-1.496265
1050710400,NaN,21.857429,NaN
1050796800,20.180000,21.978593,-1.798593
1050883200,NaN,22.099757,NaN
1050969600,20.779999,22.220921,-1.440922
1051056000,NaN,22.342084,NaN
1051142400,NaN,22.463248,NaN
1051228800,NaN,22.584412,NaN
1051315200,22.615000,22.705576,-0.090576
1051401600,22.285000,22.826740,-0.541740
1051488000,22.020000,22.947904,-0.927903
1051574400,NaN,23.069067,NaN
1051660800,22.344999,23.190231,-0.845232
1051747200,NaN,23.311395,NaN
1051833600,NaN,23.432559,NaN
1051920000,23.920000,23.553723,0.366277
1052006400,23.240000,23.674887,-0.434887
1052092800,25.125000,23.796050,1.328950
1052179200,NaN,23.917214,NaN
1052265600,24.455000,24.038378,0.416622
1052352000,NaN,24.159542,NaN
1052438400,24.785000,24.280706,0.504294
1052524800,25.164999,24.401870,0.763129
1052611200,25.480000,24.523033,0.956966
1052697600,NaN,24.644197,NaN
1052784000,NaN,24.765361,NaN
1052870400,NaN,24.886525,NaN
1052956800,24.709999,25.007689,-0.297690
1053043200,26.312500,25.103338,1.209162
1053129600,NaN,25.198987,NaN
1053216000,26.490000,25.294636,1.195364
1053302400,26.764999,25.390285,1.374715
1053388800,26.594999,25.485933,1.109066
1053475200,26.709999,25.581582,1.128417
1053561600,27.164999,25.677231,1.487768
1053648000,27.150000,25.772880,1.377119
1053734400,27.109999,25.868529,1.241469
1053820800,26.594999,25.964178,0.630821
1053907200,27.129999,26.059827,1.070172
1053993600,NaN,26.155476,NaN
1054080000,26.934999,26.251125,0.683874
1054166400,27.045000,26.346774,0.698226
1054252800,27.465000,26.442423,1.022577
1054339200,27.699999,26.538072,1.161927
1054425600,27.500000,26.633721,0.866279
1054512000,27.004999,26.729370,0.275629
1054598400,27.340000,26.825019,0.514981
1054684800,NaN,26.920668,NaN
1054771200,27.519999,27.016317,0.503682
1054857600,27.224998,27.111966,0.113033
1054944000,27.559999,27.207614,0.352385
1055030400,27.869999,27.303263,0.566736
1055116800,27.820000,27.398912,0.421087
1055203200,NaN,27.494561,NaN
1055289600,27.389999,27.590210,-0.200211
1055376000,NaN,27.685859,NaN
1055462400,27.115000,27.781508,-0.666508
1055548800,NaN,27.877157,NaN
1055635200,NaN,27.972806,NaN
1055721600,27.680000,27.996309,-0.316309
1055808000,27.889999,28.019812,-0.129813
1055894400,27.930000,28.043315,-0.113315
1055980800,28.174999,28.066819,0.108181
1056067200,28.394999,28.090322,0.304677
1056153600,28.734999,28.113825,0.621174
1056240000,28.414999,28.137328,0.277671
1056326400,29.195000,28.160831,1.034169
1056412800,28.359999,28.184334,0.175664
1056499200,28.869999,28.207837,0.662161
1056585600,28.545000,28.231341,0.313659
1056672000,NaN,28.254844,NaN
1056758400,29.064999,28.278347,0.786652
1056844800,NaN,28.301850,NaN
1056931200,29.314999,28.325353,0.989645
1057017600,29.054998,28.348856,0.706142
1057104000,29.309999,28.372359,0.937640
1057190400,29.137501,28.395863,0.741638
1057276800,28.449999,28.419366,0.030633
1057363200,NaN,28.442869,NaN
1057449600,28.795000,28.466372,0.328628
1057536000,29.199999,28.489875,0.710124
1057622400,NaN,28.513378,NaN
1057708800,NaN,28.536882,NaN
1057795200,28.730000,28.560385,0.169615
1057881600,28.434999,28.583888,-0.148888
1057968000,29.344999,28.607391,0.737608
1058054400,29.615000,28.630894,0.984106
1058140800,29.529999,28.654397,0.875602
1058227200,NaN,28.677900,NaN
1058313600,28.635000,28.694256,-0.059255
1058400000,27.549999,28.710611,-1.160612
1058486400,28.514999,28.726966,-0.211967
1058572800,28.705000,28.743322,-0.038322
1058659200,29.070000,28.759677,0.310323
1058745600,29.289999,28.776032,0.513967
1058832000,29.094999,28.792388,0.302612
1058918400,29.250000,28.808743,0.441257
1059004800,27.785000,28.825098,-1.040098
1059091200,28.920000,28.841453,0.078547
1059177600,28.469999,28.857809,-0.387809
1059264000,28.490000,28.874164,-0.384164
1059350400,28.500000,28.890519,-0.390519
1059436800,28.070000,28.906875,-0.836875
1059523200,28.865000,28.923230,-0.058230
1059609600,28.844999,28.939585,-0.094586
1059696000,28.105000,28.955941,-0.850941
1059782400,28.635000,28.972296,-0.337296
1059868800,28.680000,28.988651,-0.308651
1059955200,28.484999,29.005007,-0.520008
1060041600,27.972500,29.021362,-1.048862
1060128000,28.680000,29.037717,-0.357717
1060214400,28.359999,29.054073,-0.694074
1060300800,28.559999,29.070428,-0.510428
1060387200,NaN,29.086783,NaN
1060473600,28.400000,29.103138,-0.703139
1060560000,28.332500,29.119494,-0.786993
1060646400,27.389999,29.135849,-1.745850
1060732800,NaN,29.152204,NaN
1060819200,NaN,29.168560,NaN
1060905600,28.189999,29.184915,-0.994916
1060992000,NaN,29.173021,NaN
1061078400,28.414999,29.161127,-0.746128
1061164800,28.465000,29.149232,-0.684232
1061251200,28.910000,29.137338,-0.227338
1061337600,28.875000,29.125444,-0.250444
1061424000,28.750000,29.113550,-0.363550
1061510400,28.799999,29.101655,-0.301656
1061596800,28.529999,29.089761,-0.559762
1061683200,29.025000,29.077867,-0.052867
1061769600,28.974998,29.065973,-0.090974
1061856000,28.660000,29.054078,-0.394079
1061942400,29.250000,29.042184,0.207816
1062028800,29.394999,29.030290,0.364709
1062115200,29.830000,29.018396,0.811604
1062201600,29.240000,29.006502,0.233498
1062288000,NaN,28.994607,NaN
1062374400,NaN,28.982713,NaN
1062460800,29.314999,28.970819,0.344180
1062547200,28.924999,28.958925,-0.033925
1062633600,29.504999,28.947030,0.557969
1062720000,28.980000,28.935136,0.044863
1062806400,29.170000,28.923242,0.246758
1062892800,29.105000,28.911348,0.193652
1062979200,29.035000,28.899453,0.135546
1063065600,28.949999,28.887559,0.062440
1063152000,28.564999,28.875665,-0.310666
1063238400,28.510000,28.863771,-0.353771
1063324800,29.019999,28.851877,0.168122
1063411200,28.205000,28.839982,-0.634982
1063497600,28.695000,28.828088,-0.133088
1063584000,NaN,28.816194,NaN
1063670400,28.480000,28.736995,-0.256995
1063756800,28.400000,28.657796,-0.257796
1063843200,NaN,28.578597,NaN
1063929600,NaN,28.499398,NaN
1064016000,NaN,28.420199,NaN
1064102400,NaN,28.341000,NaN
1064188800,NaN,28.261801,NaN
1064275200,27.059999,28.182602,-1.122602
1064361600,26.805000,28.103403,-1.298402
1064448000,27.047501,28.024203,-0.976703
1064534400,NaN,27.945004,NaN
1064620800,27.340000,27.865805,-0.525805
1064707200,27.764999,27.786606,-0.021607
1064793600,27.570000,27.707407,-0.137408
1064880000,26.805000,27.628208,-0.823208
1064966400,26.730000,27.549009,-0.819010
1065052800,26.400000,27.469810,-1.069811
1065139200,25.684999,27.390611,-1.705612
1065225600,25.500000,27.311412,-1.811412
1065312000,25.480000,27.232213,-1.752214
1065398400,25.574999,27.153014,-1.578015
1065484800,25.394999,27.073815,-1.678816
1065571200,25.764999,26.994616,-1.229617
1065657600,25.715000,26.915417,-1.200417
1065744000,26.334999,26.836218,-0.501219
1065830400,26.025000,26.757019,-0.732019
1065916800,NaN,26.677820,NaN
1066003200,25.709999,26.598621,-0.888622
1066089600,25.459999,26.519422,-1.059423
1066176000,25.639999,26.440223,-0.800223
1066262400,25.664999,26.302850,-0.637851
1066348800,25.934999,26.165478,-0.230478
1066435200,25.785000,26.028105,-0.243105
1066521600,25.695000,25.890733,-0.195733
1066608000,25.272499,25.753360,-0.480861
1066694400,24.855000,25.615988,-0.760988
1066780800,25.125000,25.478615,-0.353615
1066867200,25.250000,25.341243,-0.091243
1066953600,25.439999,25.203870,0.236128
1067040000,25.135000,25.066498,0.068503
1067126400,NaN,24.929125,NaN
1067212800,NaN,24.791753,NaN
1067299200,23.834999,24.654380,-0.819381
1067385600,23.039999,24.517008,-1.477009
1067472000,24.119999,24.379635,-0.259636
1067558400,24.289999,24.242263,0.047736
1067644800,24.404999,24.104890,0.300109
1067731200,24.484999,23.967518,0.517481
1067817600,24.494999,23.830145,0.664854
1067904000,24.475000,23.692773,0.782228
1067990400,24.580000,23.555400,1.024600
1068076800,24.660000,23.418028,1.241972
1068163200,NaN,23.280655,NaN
1068249600,NaN,23.143283,NaN
1068336000,NaN,23.005910,NaN
1068422400,NaN,22.868537,NaN
1068508800,23.969999,22.731165,1.238834
1068595200,23.990000,22.593792,1.396207
1068681600,24.115000,22.456420,1.658580
1068768000,23.559999,22.319047,1.240952
1068854400,23.564999,22.181675,1.383324
1068940800,23.637501,22.050205,1.587296
1069027200,23.199999,21.918735,1.281264
1069113600,NaN,21.787264,NaN
1069200000,23.254999,21.655794,1.599205
1069286400,22.789999,21.524324,1.265675
1069372800,23.172501,21.392854,1.779647
1069459200,23.504999,21.261384,2.243616
1069545600,23.680000,21.129913,2.550087
1069632000,23.725000,20.998443,2.726557
1069718400,22.519999,20.866973,1.653026
1069804800,22.834999,20.735503,2.099496
1069891200,22.934999,20.604033,2.330967
1069977600,22.465000,20.472562,1.992438
1070064000,21.834999,20.341092,1.493907
1070150400,21.510000,20.209622,1.300378
1070236800,21.779999,20.078152,1.701847
1070323200,21.385000,19.946682,1.438319
1070409600,21.740000,19.815211,1.924788
1070496000,21.145000,19.683741,1.461259
1070582400,20.904999,19.552271,1.352728
1070668800,20.344999,19.420801,0.924199
1070755200,17.807499,19.289331,-1.481832
1070841600,19.139999,19.157860,-0.017861
1070928000,19.709999,19.026390,0.683609
1071014400,19.469999,18.894920,0.575079
1071100800,19.379999,18.763450,0.616549
1071187200,NaN,18.631980,NaN
1071273600,NaN,18.500509,NaN
1071360000,18.545000,18.369039,0.175961
1071446400,19.004999,18.237569,0.767430
1071532800,18.244999,18.154883,0.090116
1071619200,17.830000,18.072196,-0.242196
1071705600,17.449999,17.989510,-0.539511
1071792000,18.065001,17.906823,0.158177
1071878400,17.475000,17.824137,-0.349136
1071964800,17.934999,17.741450,0.193549
1072051200,17.799999,17.658764,0.141236
1072137600,17.490000,17.576077,-0.086077
1072224000,17.334999,17.493391,-0.158392
1072310400,NaN,17.410704,NaN
1072396800,17.799999,17.328018,0.471982
1072483200,17.400000,17.245331,0.154668
1072569600,NaN,17.162645,NaN
1072656000,NaN,17.079958,NaN
1072742400,16.639999,16.997272,-0.357272
1072828800,NaN,16.914585,NaN
1072915200,16.945000,16.831899,0.113101
1073001600,NaN,16.749212,NaN
1073088000,NaN,16.666526,NaN
1073174400,NaN,16.583839,NaN
1073260800,NaN,16.501153,NaN
1073347200,NaN,16.418466,NaN
1073433600,NaN,16.335780,NaN
1073520000,NaN,16.253093,NaN
1073606400,NaN,16.170407,NaN
1073692800,14.679999,16.087720,-1.407721
1073779200,14.620000,16.005034,-1.385034
1073865600,NaN,15.922348,NaN
1073952000,15.165000,15.839661,-0.674661
1074038400,NaN,15.756975,NaN
1074124800,NaN,15.674288,NaN
1074211200,NaN,15.674879,NaN
1074297600,14.462500,15.675469,-1.212969
1074384000,14.455000,15.676060,-1.221060
1074470400,14.309999,15.676650,-1.366651
1074556800,13.945000,15.677241,-1.732241
1074643200,NaN,15.677831,NaN
1074729600,NaN,15.678422,NaN
1074816000,NaN,15.679012,NaN
1074902400,NaN,15.679603,NaN
1074988800,NaN,15.680193,NaN
1075075200,14.960000,15.680784,-0.720784
1075161600,14.969999,15.681374,-0.711375
1075248000,14.410000,15.681965,-1.271965
1075334400,NaN,15.682555,NaN
1075420800,NaN,15.683146,NaN
1075507200,NaN,15.683736,NaN
1075593600,14.670000,15.684327,-1.014326
1075680000,15.995000,15.684917,0.310083
1075766400,14.170000,15.685508,-1.515507
1075852800,NaN,15.686098,NaN
1075939200,NaN,15.686689,NaN
1076025600,NaN,15.687279,NaN
1076112000,13.575000,15.687870,-2.112870
1076198400,NaN,15.688460,NaN
1076284800,NaN,15.689051,NaN
1076371200,NaN,15.689641,NaN
1076457600,NaN,15.690232,NaN
1076544000,NaN,15.690822,NaN
1076630400,NaN,15.691412,NaN
1076716800,NaN,15.692003,NaN
1076803200,12.120000,15.692593,-3.572594
1076889600,12.022499,15.779351,-3.756852
1076976000,12.675000,15.866108,-3.191108
1077062400,12.849999,15.952865,-3.102866
1077148800,13.799999,16.039623,-2.239623
1077235200,NaN,16.126380,NaN
1077321600,14.679999,16.213137,-1.533138
1077408000,NaN,16.299894,NaN
1077494400,NaN,16.386652,NaN
1077580800,NaN,16.473409,NaN
1077667200,14.370000,16.560166,-2.190166
1077753600,13.920000,16.646923,-2.726923
1077840000,13.724999,16.733681,-3.008681
1077926400,14.355000,16.820438,-2.465438
1078012800,NaN,16.907195,NaN
1078099200,NaN,16.993952,NaN
1078185600,NaN,17.080710,NaN
1078272000,NaN,17.167467,NaN
