Date,Mean,Climatology,Anomaly
2002-07-04,28.160000,28.812737,-0.652737
2002-07-05,28.455000,28.841539,-0.386539
2002-07-06,28.644999,28.870340,-0.225342
2002-07-07,29.215000,28.899142,0.315858
2002-07-08,NaN,28.927944,NaN
2002-07-09,29.150000,28.956745,0.193254
2002-07-10,28.959999,28.985547,-0.025548
2002-07-11,29.824999,29.014349,0.810650
2002-07-12,NaN,29.043151,NaN
2002-07-13,29.264999,29.071952,0.193047
2002-07-14,NaN,29.100754,NaN
2002-07-15,NaN,29.129556,NaN
2002-07-16,NaN,29.147668,NaN
2002-07-17,28.059999,29.165779,-1.105780
2002-07-18,28.635000,29.183891,-0.548891
2002-07-19,28.680000,29.202003,-0.522002
2002-07-20,29.160000,29.220114,-0.060114
2002-07-21,29.709999,29.238226,0.471773
2002-07-22,29.644999,29.256338,0.388661
2002-07-23,29.679998,29.274449,0.405549
2002-07-24,29.719999,29.292561,0.427438
2002-07-25,29.629999,29.310673,0.319326
2002-07-26,NaN,29.328785,NaN
2002-07-27,29.234999,29.346896,-0.111898
2002-07-28,29.264999,29.365008,-0.100009
2002-07-29,29.309999,29.383120,-0.073120
2002-08-07,29.019999,29.546125,-0.526126
2002-08-08,29.074999,29.564237,-0.489238
2002-08-09,29.404999,29.582348,-0.177349
2002-08-10,29.547501,29.600460,-0.052959
2002-08-11,29.394999,29.618572,-0.223573
2002-08-12,29.570000,29.636683,-0.066684
2002-08-13,28.924999,29.654795,-0.729796
2002-08-14,29.230000,29.672907,-0.442907
2002-08-15,NaN,29.691018,NaN
2002-08-16,28.689999,29.657558,-0.967559
2002-08-17,28.914999,29.624097,-0.709098
2002-08-18,29.084999,29.590636,-0.505637
2002-08-19,29.189999,29.557176,-0.367177
2002-08-20,29.019999,29.523715,-0.503717
2002-08-21,29.525000,29.490254,0.034745
2002-08-22,29.465000,29.456794,0.008206
2002-08-23,29.795000,29.423333,0.371667
2002-08-24,29.980000,29.389872,0.590127
2002-08-25,30.119999,29.356412,0.763587
2002-08-26,NaN,29.322951,NaN
2002-08-27,30.080000,29.289490,0.790509
