Date,Mean,Climatology,Anomaly
2002-07-04,28.885000,28.719391,0.165610
2002-07-05,28.934999,28.754313,0.180687
2002-07-06,NaN,28.789235,NaN
2002-07-07,28.144999,28.824157,-0.679159
2002-07-08,NaN,28.859079,NaN
2002-07-09,28.625000,28.894002,-0.269002
2002-07-10,NaN,28.928924,NaN
2002-07-11,28.014999,28.963846,-0.948847
2002-07-12,NaN,28.998768,NaN
2002-07-13,28.555000,29.033690,-0.478690
2002-07-14,28.594999,29.068612,-0.473613
2002-07-15,28.605000,29.103535,-0.498535
2002-07-16,28.594999,29.121774,-0.526774
2002-07-17,28.445000,29.140013,-0.695013
2002-07-18,NaN,29.158252,NaN
2002-07-19,28.635000,29.176491,-0.541491
2002-07-20,29.004999,29.194730,-0.189731
2002-07-21,NaN,29.212969,NaN
2002-07-22,NaN,29.231208,NaN
2002-07-23,28.930000,29.249447,-0.319447
2002-07-24,28.539999,29.267686,-0.727687
2002-07-25,28.840000,29.285925,-0.445925
2002-07-26,NaN,29.304164,NaN
2002-07-27,NaN,29.322404,NaN
2002-07-28,29.112499,29.340643,-0.228143
2002-07-29,28.795000,29.358882,-0.563882
2002-08-07,NaN,29.523033,NaN
2002-08-08,NaN,29.541272,NaN
2002-08-09,29.529999,29.559511,-0.029513
2002-08-10,29.692499,29.577751,0.114749
2002-08-11,NaN,29.595990,NaN
2002-08-12,28.924999,29.614229,-0.689229
2002-08-13,29.317499,29.632468,-0.314969
2002-08-14,NaN,29.650707,NaN
2002-08-15,NaN,29.668946,NaN
2002-08-16,29.025000,29.654269,-0.629269
2002-08-17,NaN,29.639592,NaN
2002-08-18,29.394999,29.624916,-0.229917
2002-08-19,29.619999,29.610239,0.009760
2002-08-20,28.904999,29.595562,-0.690563
2002-08-21,29.494999,29.580885,-0.085886
2002-08-22,29.609999,29.566209,0.043790
2002-08-23,29.525000,29.551532,-0.026532
2002-08-24,29.699999,29.536855,0.163144
2002-08-25,29.695000,29.522178,0.172821
2002-08-26,29.994999,29.507502,0.487497
2002-08-27,29.429998,29.492825,-0.062826
2002-08-28,28.680000,29.478148,-0.798148
2002-08-29,29.875000,29.463471,0.411529
2002-08-30,NaN,29.448794,NaN
2002-08-31,29.259998,29.434118,-0.174119
2002-09-01,NaN,29.419441,NaN
2002-09-02,28.769999,29.404764,-0.634766
2002-09-03,29.437500,29.390087,0.047413
2002-09-04,NaN,29.375411,NaN
2002-09-05,NaN,29.360734,NaN
2002-09-06,NaN,29.346057,NaN
2002-09-07,NaN,29.331380,NaN
2002-09-08,NaN,29.316704,NaN
2002-09-09,NaN,29.302027,NaN
2002-09-10,NaN,29.287350,NaN
2002-09-11,28.500000,29.272673,-0.772673
2002-09-12,NaN,29.257997,NaN
2002-09-13,NaN,29.243320,NaN
2002-09-14,28.930000,29.228643,-0.298643
2002-09-15,28.549999,29.213966,-0.663967
2002-09-16,NaN,29.175357,NaN
2002-09-17,NaN,29.136747,NaN
2002-09-18,29.349998,29.098138,0.251861
2002-09-19,NaN,29.059528,NaN
2002-09-20,NaN,29.020918,NaN
2002-09-21,NaN,28.982309,NaN
2002-09-22,NaN,28.943699,NaN
2002-09-23,NaN,28.905090,NaN
2002-09-24,NaN,28.866480,NaN
2002-09-25,NaN,28.827870,NaN
2002-09-26,NaN,28.789261,NaN
2002-09-27,NaN,28.750651,NaN
2002-09-28,28.490000,28.712042,-0.222042
2002-09-29,NaN,28.673432,NaN
2002-09-30,28.799999,28.634823,0.165177
2002-10-01,27.504999,28.596213,-1.091214
2002-10-02,NaN,28.557603,NaN
2002-10-03,27.875000,28.518994,-0.643994
2002-10-04,NaN,28.480384,NaN
2002-10-05,28.504999,28.441775,0.063225
2002-10-06,28.555000,28.403165,0.151835
2002-10-07,28.074999,28.364555,-0.289557
2002-10-08,27.844999,28.325946,-0.480946
2002-10-09,28.457500,28.287336,0.170164
2002-10-10,NaN,28.248727,NaN
2002-10-11,28.279999,28.210117,0.069882
2002-10-12,28.299999,28.171507,0.128492
2002-10-13,28.754999,28.132898,0.622101
2002-10-14,28.830000,28.094288,0.735712
2002-10-15,28.215000,28.055679,0.159322
2002-10-16,28.504999,27.984135,0.520864
2002-10-17,28.474998,27.912592,0.562407
2002-10-18,27.859999,27.841049,0.018950
2002-10-19,NaN,27.769505,NaN
2002-10-20,NaN,27.697962,NaN
2002-10-21,NaN,27.626419,NaN
2002-10-22,27.715000,27.554875,0.160125
2002-10-23,27.549999,27.483332,0.066667
2002-10-24,27.939999,27.411789,0.528210
2002-10-25,27.939999,27.340245,0.599753
2002-10-26,NaN,27.268702,NaN
2002-10-27,28.205000,27.197158,1.007841
2002-10-28,27.334999,27.125615,0.209384
2002-10-29,27.599998,27.054072,0.545927
2002-10-30,27.324999,26.982528,0.342470
2002-10-31,28.029999,26.910985,1.119014
2002-11-01,NaN,26.839442,NaN
2002-11-02,27.529999,26.767898,0.762100
2002-11-03,27.480000,26.696355,0.783644
