Time,mean,climatology,anomaly
1025740800,NaN,29.848094,NaN
1025827200,30.445000,29.866430,0.578569
1025913600,NaN,29.884766,NaN
1026000000,NaN,29.903102,NaN
1026086400,28.990000,29.921438,-0.931438
1026172800,NaN,29.939774,NaN
1026259200,NaN,29.958110,NaN
1026345600,27.862499,29.976446,-2.113947
1026432000,NaN,29.994782,NaN
1026518400,29.144999,30.013118,-0.868120
1026604800,29.730000,30.031454,-0.301455
1026691200,NaN,30.049790,NaN
1026777600,31.184999,30.059177,1.125822
1026864000,31.094999,30.068564,1.026435
1026950400,31.135000,30.077951,1.057049
1027036800,30.465000,30.087338,0.377662
1027123200,31.025000,30.096726,0.928274
1027209600,30.394999,30.106113,0.288886
1027296000,NaN,30.115500,NaN
1027382400,NaN,30.124887,NaN
1027468800,NaN,30.134274,NaN
1027555200,NaN,30.143661,NaN
1027641600,NaN,30.153048,NaN
1027728000,28.980000,30.162435,-1.182435
1027814400,29.602499,30.171822,-0.569323
1027900800,29.275000,30.181209,-0.906210
1028678400,NaN,30.265693,NaN
1028764800,29.992500,30.275080,-0.282580
1028851200,30.314999,30.284467,0.030532
1028937600,NaN,30.293854,NaN
1029024000,NaN,30.303241,NaN
1029110400,29.299999,30.312628,-1.012629
1029196800,29.299999,30.322015,-1.022016
1029283200,NaN,30.331402,NaN
1029369600,NaN,30.340789,NaN
1029456000,NaN,30.314103,NaN
1029542400,NaN,30.287416,NaN
1029628800,29.404999,30.260730,-0.855731
1029715200,30.080000,30.234043,-0.154043
1029801600,29.365000,30.207356,-0.842357
1029888000,NaN,30.180670,NaN
1029974400,29.404999,30.153983,-0.748985
1030060800,29.554998,30.127297,-0.572298
1030147200,NaN,30.100610,NaN
1030233600,29.664999,30.073924,-0.408925
1030320000,30.314999,30.047237,0.267762
1030406400,30.644999,30.020550,0.624448
1030492800,NaN,29.993864,NaN
1030579200,29.465000,29.967177,-0.502177
1030665600,NaN,29.940491,NaN
1030752000,28.415001,29.913804,-1.498803
1030838400,NaN,29.887118,NaN
1030924800,29.559999,29.860431,-0.300432
1031011200,NaN,29.833744,NaN
1031097600,NaN,29.807058,NaN
1031184000,NaN,29.780371,NaN
1031270400,NaN,29.753685,NaN
1031356800,NaN,29.726998,NaN
1031443200,NaN,29.700312,NaN
1031529600,NaN,29.673625,NaN
1031616000,NaN,29.646938,NaN
1031702400,NaN,29.620252,NaN
1031788800,NaN,29.593565,NaN
1031875200,NaN,29.566879,NaN
1031961600,28.297499,29.540192,-1.242693
1032048000,NaN,29.513506,NaN
1032134400,28.660000,29.458195,-0.798195
1032220800,NaN,29.402884,NaN
1032307200,29.539999,29.347574,0.192425
1032393600,29.029999,29.292263,-0.262265
1032480000,28.359999,29.236953,-0.876954
1032566400,NaN,29.181642,NaN
1032652800,NaN,29.126332,NaN
1032739200,NaN,29.071021,NaN
1032825600,NaN,29.015711,NaN
1032912000,NaN,28.960400,NaN
1032998400,NaN,28.905090,NaN
1033084800,29.209999,28.849779,0.360220
1033171200,29.389999,28.794469,0.595531
1033257600,29.385000,28.739158,0.645842
1033344000,29.187500,28.683848,0.503652
1033430400,NaN,28.628537,NaN
1033516800,NaN,28.573227,NaN
1033603200,NaN,28.517916,NaN
1033689600,28.657499,28.462605,0.194894
1033776000,28.695000,28.407295,0.287705
1033862400,29.094999,28.351984,0.743015
1033948800,28.827499,28.296674,0.530826
1034035200,28.855000,28.241363,0.613636
1034121600,28.814999,28.186053,0.628946
1034208000,28.234999,28.130742,0.104256
1034294400,28.984999,28.075432,0.909567
1034380800,29.375000,28.020121,1.354879
1034467200,NaN,27.964811,NaN
