Date,Mean,Climatology,Anomaly
2002-07-04,28.215000,28.734018,-0.519018
2002-07-05,NaN,28.771899,NaN
2002-07-06,NaN,28.809780,NaN
2002-07-07,28.734999,28.847661,-0.112663
2002-07-08,28.262501,28.885542,-0.623042
2002-07-09,NaN,28.923423,NaN
2002-07-10,NaN,28.961304,NaN
2002-07-11,28.234999,28.999186,-0.764187
2002-07-12,NaN,29.037067,NaN
2002-07-13,NaN,29.074948,NaN
2002-07-14,NaN,29.112829,NaN
2002-07-15,29.119999,29.150710,-0.030711
2002-07-16,NaN,29.165950,NaN
2002-07-17,NaN,29.181191,NaN
2002-07-18,29.195000,29.196432,-0.001432
2002-07-19,29.400000,29.211673,0.188327
2002-07-20,30.189999,29.226914,0.963085
2002-07-21,NaN,29.242154,NaN
2002-07-22,30.689999,29.257395,1.432603
2002-07-23,30.795000,29.272636,1.522364
2002-07-24,30.705000,29.287877,1.417123
2002-07-25,NaN,29.303118,NaN
2002-07-26,NaN,29.318358,NaN
2002-07-27,29.924999,29.333599,0.591400
2002-07-28,29.184999,29.348840,-0.163840
2002-07-29,29.509998,29.364081,0.145918
2002-08-07,NaN,29.501248,NaN
2002-08-08,NaN,29.516489,NaN
2002-08-09,28.734999,29.531729,-0.796731
2002-08-10,NaN,29.546970,NaN
2002-08-11,NaN,29.562211,NaN
2002-08-12,NaN,29.577452,NaN
2002-08-13,NaN,29.592692,NaN
2002-08-14,NaN,29.607933,NaN
2002-08-15,NaN,29.623174,NaN
2002-08-16,NaN,29.602647,NaN
2002-08-17,29.019999,29.582119,-0.562121
2002-08-18,29.504999,29.561592,-0.056593
2002-08-19,NaN,29.541065,NaN
2002-08-20,NaN,29.520538,NaN
2002-08-21,NaN,29.500010,NaN
2002-08-22,29.660000,29.479483,0.180517
2002-08-23,29.519999,29.458956,0.061043
2002-08-24,29.379999,29.438428,-0.058429
2002-08-25,30.230000,29.417901,0.812098
2002-08-26,30.209999,29.397374,0.812625
2002-08-27,NaN,29.376846,NaN
2002-08-28,NaN,29.356319,NaN
2002-08-29,NaN,29.335792,NaN
2002-08-30,NaN,29.315265,NaN
2002-08-31,NaN,29.294737,NaN
2002-09-01,29.670000,29.274210,0.395790
2002-09-02,NaN,29.253683,NaN
2002-09-03,NaN,29.233155,NaN
2002-09-04,NaN,29.212628,NaN
2002-09-05,NaN,29.192101,NaN
2002-09-06,NaN,29.171574,NaN
2002-09-07,NaN,29.151046,NaN
2002-09-08,NaN,29.130519,NaN
2002-09-09,28.650000,29.109992,-0.459992
2002-09-10,NaN,29.089464,NaN
2002-09-11,NaN,29.068937,NaN
2002-09-12,28.744999,29.048410,-0.303411
2002-09-13,28.809999,29.027882,-0.217883
2002-09-14,28.934999,29.007355,-0.072356
2002-09-15,28.080000,28.986828,-0.906828
2002-09-16,NaN,28.939931,NaN
2002-09-17,NaN,28.893033,NaN
2002-09-18,NaN,28.846136,NaN
2002-09-19,28.555000,28.799238,-0.244238
2002-09-20,NaN,28.752341,NaN
2002-09-21,NaN,28.705444,NaN
2002-09-22,28.644999,28.658546,-0.013548
2002-09-23,NaN,28.611649,NaN
2002-09-24,NaN,28.564751,NaN
2002-09-25,NaN,28.517854,NaN
2002-09-26,NaN,28.470957,NaN
2002-09-27,27.914999,28.424059,-0.509060
2002-09-28,28.004999,28.377162,-0.372163
2002-09-29,28.045000,28.330265,-0.285264
2002-09-30,27.959999,28.283367,-0.323368
2002-10-01,27.795000,28.236470,-0.441470
2002-10-02,NaN,28.189572,NaN
2002-10-03,NaN,28.142675,NaN
2002-10-04,NaN,28.095778,NaN
2002-10-05,27.549999,28.048880,-0.498881
2002-10-06,27.840000,28.001983,-0.161983
2002-10-07,27.599998,27.955085,-0.355087
2002-10-08,27.969999,27.908188,0.061811
2002-10-09,NaN,27.861291,NaN
2002-10-10,NaN,27.814393,NaN
2002-10-11,NaN,27.767496,NaN
2002-10-12,27.047501,27.720599,-0.673098
2002-10-13,27.744999,27.673701,0.071298
2002-10-14,NaN,27.626804,NaN
2002-10-15,NaN,27.579906,NaN
2002-10-16,26.955000,27.500175,-0.545175
2002-10-17,26.129999,27.420444,-1.290445
2002-10-18,NaN,27.340713,NaN
2002-10-19,NaN,27.260982,NaN
2002-10-20,NaN,27.181251,NaN
2002-10-21,NaN,27.101520,NaN
2002-10-22,NaN,27.021789,NaN
2002-10-23,NaN,26.942057,NaN
2002-10-24,NaN,26.862326,NaN
2002-10-25,NaN,26.782595,NaN
2002-10-26,NaN,26.702864,NaN
2002-10-27,NaN,26.623133,NaN
2002-10-28,NaN,26.543402,NaN
2002-10-29,NaN,26.463671,NaN
2002-10-30,26.260000,26.383940,-0.123939
2002-10-31,NaN,26.304208,NaN
2002-11-01,NaN,26.224477,NaN
2002-11-02,NaN,26.144746,NaN
2002-11-03,NaN,26.065015,NaN
2002-11-04,NaN,25.985284,NaN
2002-11-05,NaN,25.905553,NaN
2002-11-06,26.260000,25.825822,0.434179
2002-11-07,26.049999,25.746091,0.303909
2002-11-08,NaN,25.666359,NaN
2002-11-09,NaN,25.586628,NaN
2002-11-10,NaN,25.506897,NaN
2002-11-11,26.150000,25.427166,0.722834
2002-11-12,NaN,25.347435,NaN
2002-11-13,25.764999,25.267704,0.497296
2002-11-14,NaN,25.187973,NaN
2002-11-15,25.404999,25.108242,0.296757
2002-11-16,NaN,25.035915,NaN
2002-11-17,NaN,24.963589,NaN
2002-11-18,25.049999,24.891262,0.158737
2002-11-19,NaN,24.818936,NaN
2002-11-20,NaN,24.746610,NaN
2002-11-21,24.100000,24.674283,-0.574283
2002-11-22,24.525000,24.601957,-0.076957
2002-11-23,23.900000,24.529630,-0.629631
2002-11-24,23.789999,24.457304,-0.667305
2002-11-25,24.109999,24.384978,-0.274979
2002-11-26,NaN,24.312651,NaN
2002-11-27,NaN,24.240325,NaN
2002-11-28,NaN,24.167998,NaN
2002-11-29,NaN,24.095672,NaN
2002-11-30,NaN,24.023346,NaN
2002-12-01,NaN,23.951019,NaN
2002-12-02,NaN,23.878693,NaN
2002-12-03,NaN,23.806366,NaN
2002-12-04,NaN,23.734040,NaN
2002-12-05,NaN,23.661714,NaN
2002-12-06,NaN,23.589387,NaN
2002-12-07,NaN,23.517061,NaN
2002-12-08,NaN,23.444734,NaN
2002-12-09,NaN,23.372408,NaN
2002-12-10,NaN,23.300082,NaN
2002-12-11,NaN,23.227755,NaN
2002-12-12,NaN,23.155429,NaN
2002-12-13,22.189999,23.083102,-0.893104
2002-12-14,NaN,23.010776,NaN
2002-12-15,21.469999,22.938450,-1.468450
2002-12-16,21.600000,22.888022,-1.288022
2002-12-17,22.279999,22.837595,-0.557596
2002-12-18,21.980000,22.787168,-0.807169
2002-12-19,NaN,22.736741,NaN
2002-12-20,22.540001,22.686314,-0.146313
2002-12-21,NaN,22.635887,NaN
2002-12-22,21.035000,22.585460,-1.550460
2002-12-23,NaN,22.535032,NaN
2002-12-24,NaN,22.484605,NaN
2002-12-25,NaN,22.434178,NaN
2002-12-26,NaN,22.383751,NaN
2002-12-27,NaN,22.333324,NaN
2002-12-28,NaN,22.282897,NaN
2002-12-29,NaN,22.232469,NaN
2002-12-30,NaN,22.182042,NaN
2002-12-31,NaN,22.131615,NaN
2003-01-01,21.270000,22.081188,-0.811188
2003-01-02,NaN,22.030761,NaN
2003-01-03,20.330000,21.980334,-1.650334
2003-01-04,20.000000,21.929907,-1.929907
2003-01-05,20.334999,21.879479,-1.544480
2003-01-06,NaN,21.829052,NaN
2003-01-07,NaN,21.778625,NaN
2003-01-08,19.889999,21.728198,-1.838199
2003-01-09,20.004999,21.677771,-1.672772
2003-01-10,NaN,21.627344,NaN
2003-01-11,NaN,21.576916,NaN
2003-01-12,NaN,21.526489,NaN
2003-01-13,NaN,21.476062,NaN
2003-01-14,NaN,21.425635,NaN
2003-01-15,NaN,21.375208,NaN
2003-01-16,NaN,21.357926,NaN
2003-01-17,NaN,21.340643,NaN
2003-01-18,NaN,21.323361,NaN
2003-01-19,19.199999,21.306079,-2.106080
2003-01-20,19.859999,21.288797,-1.428798
2003-01-21,20.625000,21.271514,-0.646514
2003-01-22,NaN,21.254232,NaN
2003-01-23,NaN,21.236950,NaN
2003-01-24,NaN,21.219667,NaN
2003-01-25,NaN,21.202385,NaN
2003-01-26,NaN,21.185103,NaN
2003-01-27,NaN,21.167821,NaN
2003-01-28,NaN,21.150538,NaN
2003-01-29,NaN,21.133256,NaN
2003-01-30,NaN,21.115974,NaN
2003-01-31,NaN,21.098692,NaN
2003-02-01,20.230000,21.081409,-0.851410
2003-02-02,20.309999,21.064127,-0.754128
2003-02-03,NaN,21.046845,NaN
2003-02-04,19.990000,21.029563,-1.039563
2003-02-05,NaN,21.012280,NaN
2003-02-06,NaN,20.994998,NaN
2003-02-07,NaN,20.977716,NaN
2003-02-08,NaN,20.960433,NaN
2003-02-09,NaN,20.943151,NaN
2003-02-10,NaN,20.925869,NaN
2003-02-11,20.090000,20.908587,-0.818587
2003-02-12,NaN,20.891304,NaN
2003-02-13,NaN,20.874022,NaN
2003-02-14,NaN,20.856740,NaN
2003-02-15,NaN,20.839458,NaN
2003-02-16,NaN,20.848788,NaN
2003-02-17,NaN,20.858119,NaN
2003-02-18,19.555000,20.867449,-1.312449
2003-02-19,NaN,20.876780,NaN
2003-02-20,NaN,20.886111,NaN
2003-02-21,NaN,20.895441,NaN
2003-02-22,19.924999,20.904772,-0.979772
2003-02-23,NaN,20.914102,NaN
2003-02-24,NaN,20.923433,NaN
2003-02-25,NaN,20.932763,NaN
2003-02-26,NaN,20.942094,NaN
2003-02-27,NaN,20.951425,NaN
2003-02-28,NaN,20.960755,NaN
2003-03-01,NaN,20.970086,NaN
2003-03-02,NaN,20.979416,NaN
2003-03-03,NaN,20.988747,NaN
2003-03-04,NaN,20.998077,NaN
2003-03-05,NaN,21.007408,NaN
2003-03-06,NaN,21.016739,NaN
2003-03-07,NaN,21.026069,NaN
2003-03-08,NaN,21.035400,NaN
2003-03-09,NaN,21.044730,NaN
2003-03-10,NaN,21.054061,NaN
2003-03-11,NaN,21.063392,NaN
2003-03-12,NaN,21.072722,NaN
2003-03-13,NaN,21.082053,NaN
2003-03-15,NaN,21.100714,NaN
2003-03-16,NaN,21.140319,NaN
2003-03-17,NaN,21.179924,NaN
2003-03-18,NaN,21.219529,NaN
2003-03-19,NaN,21.259134,NaN
2003-03-20,NaN,21.298739,NaN
2003-03-21,NaN,21.338344,NaN
2003-03-22,NaN,21.377949,NaN
2003-03-23,20.885000,21.417554,-0.532554
2003-03-24,20.805000,21.457159,-0.652159
2003-03-25,NaN,21.496764,NaN
2003-03-26,NaN,21.536369,NaN
2003-03-27,NaN,21.575974,NaN
2003-03-28,NaN,21.615579,NaN
2003-03-29,NaN,21.655184,NaN
2003-03-30,NaN,21.694789,NaN
2003-03-31,NaN,21.734394,NaN
2003-04-01,NaN,21.773999,NaN
2003-04-02,NaN,21.813604,NaN
2003-04-03,NaN,21.853209,NaN
2003-04-04,NaN,21.892814,NaN
2003-04-05,NaN,21.932419,NaN
2003-04-06,NaN,21.972024,NaN
2003-04-07,NaN,22.011629,NaN
2003-04-08,NaN,22.051234,NaN
2003-04-09,20.545000,22.090839,-1.545839
2003-04-10,NaN,22.130444,NaN
2003-04-11,NaN,22.170049,NaN
2003-04-12,NaN,22.209654,NaN
2003-04-13,20.285000,22.249259,-1.964260
2003-04-14,20.605000,22.288864,-1.683865
2003-04-15,20.605000,22.328469,-1.723470
2003-04-16,20.689999,22.417185,-1.727187
2003-04-17,20.832500,22.505901,-1.673401
2003-04-18,NaN,22.594617,NaN
2003-04-19,NaN,22.683333,NaN
2003-04-20,21.209999,22.772048,-1.562049
2003-04-21,NaN,22.860764,NaN
2003-04-22,NaN,22.949480,NaN
2003-04-23,NaN,23.038196,NaN
2003-04-24,NaN,23.126912,NaN
2003-04-25,NaN,23.215627,NaN
2003-04-26,22.875000,23.304343,-0.429343
2003-04-27,22.695000,23.393059,-0.698059
2003-04-28,NaN,23.481775,NaN
2003-04-29,NaN,23.570490,NaN
2003-04-30,NaN,23.659206,NaN
2003-05-01,22.455000,23.747922,-1.292922
2003-05-02,NaN,23.836638,NaN
2003-05-03,NaN,23.925354,NaN
2003-05-04,NaN,24.014069,NaN
2003-05-05,23.990000,24.102785,-0.112785
2003-05-06,24.084999,24.191501,-0.106502
2003-05-07,NaN,24.280217,NaN
2003-05-08,23.385000,24.368933,-0.983932
2003-05-09,NaN,24.457648,NaN
2003-05-10,NaN,24.546364,NaN
2003-05-11,NaN,24.635080,NaN
2003-05-12,NaN,24.723796,NaN
2003-05-13,NaN,24.812512,NaN
2003-05-14,NaN,24.901227,NaN
2003-05-15,25.590000,24.989943,0.600057
2003-05-16,NaN,25.087502,NaN
2003-05-17,26.059999,25.185062,0.874938
2003-05-18,NaN,25.282621,NaN
2003-05-19,27.039999,25.380180,1.659819
2003-05-20,26.545000,25.477739,1.067261
2003-05-21,25.930000,25.575298,0.354702
2003-05-22,NaN,25.672858,NaN
2003-05-23,26.664999,25.770417,0.894582
2003-05-24,26.375000,25.867976,0.507024
2003-05-25,NaN,25.965535,NaN
2003-05-26,25.795000,26.063094,-0.268094
2003-05-27,NaN,26.160654,NaN
2003-05-28,NaN,26.258213,NaN
2003-05-29,NaN,26.355772,NaN
2003-05-30,NaN,26.453331,NaN
2003-05-31,26.644999,26.550890,0.094108
2003-06-01,NaN,26.648450,NaN
2003-06-02,26.379999,26.746009,-0.366010
2003-06-03,27.019999,26.843568,0.176430
2003-06-04,NaN,26.941127,NaN
2003-06-05,26.974998,27.038686,-0.063688
2003-06-06,NaN,27.136246,NaN
2003-06-07,27.519999,27.233805,0.286194
2003-06-08,28.160000,27.331364,0.828636
2003-06-09,28.224998,27.428923,0.796075
2003-06-10,28.224998,27.526483,0.698516
2003-06-11,27.139999,27.624042,-0.484042
2003-06-12,NaN,27.721601,NaN
2003-06-13,NaN,27.819160,NaN
2003-06-14,NaN,27.916719,NaN
2003-06-15,NaN,28.014279,NaN
2003-06-16,27.555000,28.052160,-0.497159
2003-06-17,NaN,28.090041,NaN
2003-06-18,NaN,28.127922,NaN
2003-06-19,28.424999,28.165803,0.259197
2003-06-20,NaN,28.203684,NaN
2003-06-21,NaN,28.241565,NaN
2003-06-22,27.459999,28.279446,-0.819447
2003-06-23,28.869999,28.317327,0.552672
2003-06-24,NaN,28.355208,NaN
2003-06-25,28.587498,28.393089,0.194409
2003-06-26,28.635000,28.430970,0.204030
2003-06-27,28.949999,28.468851,0.481148
2003-06-28,NaN,28.506732,NaN
2003-06-29,28.914999,28.544613,0.370386
2003-06-30,NaN,28.582494,NaN
2003-07-01,NaN,28.620375,NaN
2003-07-02,28.599998,28.658256,-0.058258
2003-07-03,NaN,28.696137,NaN
2003-07-04,NaN,28.734018,NaN
2003-07-05,NaN,28.771899,NaN
2003-07-06,28.820000,28.809780,0.010219
2003-07-07,28.882500,28.847661,0.034838
2003-07-08,NaN,28.885542,NaN
2003-07-09,28.934999,28.923423,0.011576
2003-07-10,NaN,28.961304,NaN
2003-07-11,29.170000,28.999186,0.170815
2003-07-12,28.889999,29.037067,-0.147067
2003-07-13,NaN,29.074948,NaN
2003-07-14,NaN,29.112829,NaN
2003-07-15,NaN,29.150710,NaN
2003-07-16,NaN,29.165950,NaN
2003-07-17,NaN,29.181191,NaN
2003-07-18,NaN,29.196432,NaN
2003-07-19,28.004999,29.211673,-1.206674
2003-07-20,27.920000,29.226914,-1.306913
2003-07-21,29.025000,29.242154,-0.217155
2003-07-22,NaN,29.257395,NaN
2003-07-23,NaN,29.272636,NaN
2003-07-24,NaN,29.287877,NaN
2003-07-25,29.064999,29.303118,-0.238119
2003-07-26,NaN,29.318358,NaN
2003-07-27,28.674999,29.333599,-0.658600
2003-07-28,NaN,29.348840,NaN
2003-07-29,29.094999,29.364081,-0.269081
2003-07-30,NaN,29.379321,NaN
2003-07-31,28.920000,29.394562,-0.474562
2003-08-01,NaN,29.409803,NaN
2003-08-02,NaN,29.425044,NaN
2003-08-03,29.574999,29.440285,0.134714
2003-08-04,NaN,29.455525,NaN
2003-08-05,29.764999,29.470766,0.294233
2003-08-06,29.139999,29.486007,-0.346008
2003-08-07,29.730000,29.501248,0.228752
2003-08-08,NaN,29.516489,NaN
2003-08-09,29.267498,29.531729,-0.264231
2003-08-10,NaN,29.546970,NaN
2003-08-11,NaN,29.562211,NaN
2003-08-12,NaN,29.577452,NaN
2003-08-13,NaN,29.592692,NaN
2003-08-14,NaN,29.607933,NaN
2003-08-15,NaN,29.623174,NaN
2003-08-16,NaN,29.602647,NaN
2003-08-17,28.934999,29.582119,-0.647120
2003-08-18,NaN,29.561592,NaN
2003-08-19,29.340000,29.541065,-0.201065
2003-08-20,29.320000,29.520538,-0.200538
2003-08-21,29.275000,29.500010,-0.225011
2003-08-22,NaN,29.479483,NaN
2003-08-23,29.164999,29.458956,-0.293957
2003-08-24,29.599998,29.438428,0.161570
2003-08-25,28.795000,29.417901,-0.622901
2003-08-26,29.775000,29.397374,0.377626
2003-08-27,NaN,29.376846,NaN
2003-08-28,29.275000,29.356319,-0.081320
2003-08-29,NaN,29.335792,NaN
2003-08-30,28.969999,29.315265,-0.345265
2003-08-31,NaN,29.294737,NaN
2003-09-01,NaN,29.274210,NaN
2003-09-02,29.109999,29.253683,-0.143684
2003-09-03,NaN,29.233155,NaN
2003-09-04,29.154999,29.212628,-0.057629
2003-09-05,NaN,29.192101,NaN
2003-09-06,29.084999,29.171574,-0.086574
2003-09-07,NaN,29.151046,NaN
2003-09-08,NaN,29.130519,NaN
2003-09-09,28.414999,29.109992,-0.694993
2003-09-10,28.994999,29.089464,-0.094465
2003-09-11,29.304998,29.068937,0.236061
2003-09-12,NaN,29.048410,NaN
2003-09-13,28.695000,29.027882,-0.332883
2003-09-14,28.677498,29.007355,-0.329857
2003-09-15,NaN,28.986828,NaN
2003-09-16,NaN,28.939931,NaN
2003-09-17,NaN,28.893033,NaN
2003-09-18,NaN,28.846136,NaN
2003-09-19,NaN,28.799238,NaN
2003-09-20,NaN,28.752341,NaN
2003-09-21,NaN,28.705444,NaN
2003-09-22,NaN,28.658546,NaN
2003-09-23,NaN,28.611649,NaN
2003-09-24,NaN,28.564751,NaN
2003-09-25,28.090000,28.517854,-0.427854
2003-09-26,NaN,28.470957,NaN
2003-09-27,28.209999,28.424059,-0.214060
2003-09-28,28.189999,28.377162,-0.187163
2003-09-29,27.945000,28.330265,-0.385265
2003-09-30,27.349998,28.283367,-0.933369
2003-10-01,NaN,28.236470,NaN
2003-10-02,NaN,28.189572,NaN
2003-10-03,26.855000,28.142675,-1.287675
2003-10-04,26.904999,28.095778,-1.190779
2003-10-05,NaN,28.048880,NaN
2003-10-06,26.977501,28.001983,-1.024482
2003-10-07,NaN,27.955085,NaN
2003-10-08,NaN,27.908188,NaN
2003-10-09,NaN,27.861291,NaN
2003-10-10,NaN,27.814393,NaN
2003-10-11,26.680000,27.767496,-1.087496
2003-10-12,NaN,27.720599,NaN
2003-10-13,26.404999,27.673701,-1.268702
2003-10-14,NaN,27.626804,NaN
2003-10-15,NaN,27.579906,NaN
2003-10-16,NaN,27.500175,NaN
2003-10-17,NaN,27.420444,NaN
2003-10-18,NaN,27.340713,NaN
2003-10-19,NaN,27.260982,NaN
2003-10-20,NaN,27.181251,NaN
2003-10-21,NaN,27.101520,NaN
2003-10-22,26.445000,27.021789,-0.576789
2003-10-23,26.309999,26.942057,-0.632058
2003-10-24,25.904999,26.862326,-0.957328
2003-10-25,NaN,26.782595,NaN
2003-10-26,NaN,26.702864,NaN
2003-10-27,NaN,26.623133,NaN
2003-10-28,NaN,26.543402,NaN
2003-10-29,25.240000,26.463671,-1.223671
2003-10-30,NaN,26.383940,NaN
2003-10-31,26.584999,26.304208,0.280791
2003-11-01,25.275000,26.224477,-0.949478
2003-11-02,26.559999,26.144746,0.415253
2003-11-03,NaN,26.065015,NaN
2003-11-04,26.455000,25.985284,0.469716
2003-11-05,26.619999,25.905553,0.714446
2003-11-06,NaN,25.825822,NaN
2003-11-07,NaN,25.746091,NaN
2003-11-08,NaN,25.666359,NaN
2003-11-09,25.769999,25.586628,0.183370
2003-11-10,26.049999,25.506897,0.543102
2003-11-11,NaN,25.427166,NaN
2003-11-12,NaN,25.347435,NaN
2003-11-13,26.195000,25.267704,0.927296
2003-11-14,26.010000,25.187973,0.822028
2003-11-15,25.549999,25.108242,0.441758
2003-11-16,25.549999,25.035915,0.514084
2003-11-17,NaN,24.963589,NaN
2003-11-18,NaN,24.891262,NaN
2003-11-19,25.330000,24.818936,0.511064
2003-11-20,25.045000,24.746610,0.298390
2003-11-21,24.689999,24.674283,0.015715
2003-11-22,NaN,24.601957,NaN
2003-11-23,24.740000,24.529630,0.210369
2003-11-24,NaN,24.457304,NaN
2003-11-25,NaN,24.384978,NaN
2003-11-26,NaN,24.312651,NaN
2003-11-27,NaN,24.240325,NaN
2003-11-28,NaN,24.167998,NaN
2003-11-29,NaN,24.095672,NaN
2003-11-30,NaN,24.023346,NaN
2003-12-01,NaN,23.951019,NaN
2003-12-02,NaN,23.878693,NaN
2003-12-03,NaN,23.806366,NaN
2003-12-04,NaN,23.734040,NaN
2003-12-05,22.965000,23.661714,-0.696713
2003-12-06,NaN,23.589387,NaN
2003-12-07,NaN,23.517061,NaN
2003-12-08,NaN,23.444734,NaN
2003-12-09,NaN,23.372408,NaN
2003-12-10,NaN,23.300082,NaN
2003-12-11,22.629999,23.227755,-0.597756
2003-12-12,NaN,23.155429,NaN
2003-12-13,NaN,23.083102,NaN
2003-12-14,NaN,23.010776,NaN
2003-12-15,22.150000,22.938450,-0.788450
2003-12-16,NaN,22.888022,NaN
2003-12-17,22.014999,22.837595,-0.822596
2003-12-18,21.764999,22.787168,-1.022169
2003-12-19,21.830000,22.736741,-0.906741
2003-12-20,21.789999,22.686314,-0.896315
2003-12-21,22.000000,22.635887,-0.635887
2003-12-22,NaN,22.585460,NaN
2003-12-23,NaN,22.535032,NaN
2003-12-24,NaN,22.484605,NaN
2003-12-25,NaN,22.434178,NaN
2003-12-26,NaN,22.383751,NaN
2003-12-27,NaN,22.333324,NaN
2003-12-28,NaN,22.282897,NaN
2003-12-29,NaN,22.232469,NaN
2003-12-30,NaN,22.182042,NaN
2003-12-31,NaN,22.131615,NaN
2004-01-01,21.385000,22.081188,-0.696188
2004-01-02,NaN,22.030761,NaN
2004-01-03,NaN,21.980334,NaN
2004-01-04,NaN,21.929907,NaN
2004-01-05,NaN,21.879479,NaN
2004-01-06,NaN,21.829052,NaN
2004-01-07,NaN,21.778625,NaN
2004-01-08,NaN,21.728198,NaN
2004-01-09,NaN,21.677771,NaN
2004-01-10,NaN,21.627344,NaN
2004-01-11,NaN,21.576916,NaN
2004-01-12,NaN,21.526489,NaN
2004-01-13,21.240000,21.476062,-0.236062
2004-01-14,NaN,21.425635,NaN
2004-01-15,NaN,21.375208,NaN
2004-01-16,NaN,21.357926,NaN
2004-01-17,NaN,21.340643,NaN
2004-01-18,21.520000,21.323361,0.196639
2004-01-19,NaN,21.306079,NaN
2004-01-20,NaN,21.288797,NaN
2004-01-21,NaN,21.271514,NaN
2004-01-22,21.529999,21.254232,0.275767
2004-01-23,NaN,21.236950,NaN
2004-01-24,NaN,21.219667,NaN
2004-01-25,NaN,21.202385,NaN
2004-01-26,NaN,21.185103,NaN
2004-01-27,20.990000,21.167821,-0.177821
2004-01-28,20.599998,21.150538,-0.550540
2004-01-29,NaN,21.133256,NaN
2004-01-30,NaN,21.115974,NaN
2004-01-31,NaN,21.098692,NaN
2004-02-01,NaN,21.081409,NaN
2004-02-02,20.969999,21.064127,-0.094128
2004-02-03,20.084999,21.046845,-0.961846
2004-02-04,NaN,21.029563,NaN
2004-02-05,NaN,21.012280,NaN
2004-02-06,NaN,20.994998,NaN
2004-02-07,20.809999,20.977716,-0.167716
2004-02-08,NaN,20.960433,NaN
2004-02-09,NaN,20.943151,NaN
2004-02-10,NaN,20.925869,NaN
2004-02-11,NaN,20.908587,NaN
2004-02-12,NaN,20.891304,NaN
2004-02-13,NaN,20.874022,NaN
2004-02-14,NaN,20.856740,NaN
2004-02-15,NaN,20.839458,NaN
2004-02-16,NaN,20.848788,NaN
2004-02-17,20.070000,20.858119,-0.788119
2004-02-18,NaN,20.867449,NaN
2004-02-19,21.199999,20.876780,0.323219
2004-02-20,NaN,20.886111,NaN
2004-02-21,NaN,20.895441,NaN
2004-02-22,NaN,20.904772,NaN
2004-02-23,NaN,20.914102,NaN
2004-02-24,NaN,20.923433,NaN
2004-02-25,NaN,20.932763,NaN
2004-02-26,NaN,20.942094,NaN
2004-02-27,NaN,20.951425,NaN
2004-02-28,NaN,20.960755,NaN
2004-02-29,NaN,20.970086,NaN
2004-03-01,20.275000,20.979416,-0.704417
2004-03-02,20.215000,20.988747,-0.773747
2004-03-03,NaN,20.998077,NaN
2004-03-04,20.924999,21.007408,-0.082409
2004-03-05,NaN,21.016739,NaN
2004-03-06,NaN,21.026069,NaN
2004-03-07,NaN,21.035400,NaN
2004-03-08,20.264999,21.044730,-0.779731
2004-03-09,20.002499,21.054061,-1.051562
2004-03-10,20.234999,21.063392,-0.828393
2004-03-11,20.430000,21.072722,-0.642722
2004-03-12,NaN,21.082053,NaN
2004-03-13,NaN,21.091383,NaN
2004-03-14,20.614998,21.100714,-0.485716
2004-03-15,NaN,21.140319,NaN
2004-03-16,NaN,21.179924,NaN
2004-03-17,21.055000,21.219529,-0.164529
2004-03-18,NaN,21.259134,NaN
2004-03-19,21.529999,21.298739,0.231260
2004-03-20,21.480000,21.338344,0.141656
2004-03-21,21.635000,21.377949,0.257051
2004-03-22,NaN,21.417554,NaN
2004-03-23,NaN,21.457159,NaN
2004-03-24,NaN,21.496764,NaN
