Time,mean,climatology,anomaly
1025740800,NaN,28.835269,NaN
1025827200,NaN,28.874680,NaN
1025913600,NaN,28.914091,NaN
1026000000,NaN,28.953502,NaN
1026086400,NaN,28.992913,NaN
1026172800,28.264999,29.032324,-0.767325
1026259200,NaN,29.071735,NaN
1026345600,28.799999,29.111146,-0.311147
1026432000,NaN,29.150557,NaN
1026518400,NaN,29.189969,NaN
1026604800,27.764999,29.229380,-1.464380
1026691200,29.160000,29.268791,-0.108791
1026777600,NaN,29.284301,NaN
1026864000,28.730000,29.299812,-0.569813
1026950400,29.295000,29.315323,-0.020323
1027036800,29.492500,29.330834,0.161667
1027123200,29.840000,29.346345,0.493656
1027209600,NaN,29.361855,NaN
1027296000,30.049999,29.377366,0.672633
1027382400,29.719999,29.392877,0.327122
1027468800,NaN,29.408388,NaN
1027555200,NaN,29.423899,NaN
1027641600,NaN,29.439409,NaN
1027728000,29.230000,29.454920,-0.224921
1027814400,29.267498,29.470431,-0.202933
1027900800,30.230000,29.485942,0.744058
1028678400,NaN,29.625539,NaN
1028764800,NaN,29.641050,NaN
1028851200,29.750000,29.656561,0.093439
1028937600,NaN,29.672072,NaN
1029024000,28.769999,29.687582,-0.917584
1029110400,NaN,29.703093,NaN
1029196800,NaN,29.718604,NaN
1029283200,NaN,29.734115,NaN
1029369600,NaN,29.749626,NaN
1029456000,NaN,29.728180,NaN
1029542400,29.109999,29.706734,-0.596736
1029628800,29.255001,29.685289,-0.430288
1029715200,29.219999,29.663843,-0.443844
1029801600,NaN,29.642398,NaN
1029888000,28.817499,29.620952,-0.803453
1029974400,29.115000,29.599506,-0.484507
1030060800,30.045000,29.578061,0.466939
1030147200,29.304998,29.556615,-0.251617
1030233600,30.010000,29.535170,0.474831
1030320000,29.724998,29.513724,0.211275
1030406400,29.984999,29.492278,0.492720
1030492800,29.144999,29.470833,-0.325834
1030579200,29.834999,29.449387,0.385612
1030665600,NaN,29.427942,NaN
1030752000,NaN,29.406496,NaN
1030838400,29.514999,29.385050,0.129949
1030924800,NaN,29.363605,NaN
1031011200,NaN,29.342159,NaN
1031097600,NaN,29.320713,NaN
1031184000,NaN,29.299268,NaN
1031270400,NaN,29.277822,NaN
1031356800,NaN,29.256377,NaN
1031443200,NaN,29.234931,NaN
1031529600,NaN,29.213485,NaN
1031616000,NaN,29.192040,NaN
1031702400,28.049999,29.170594,-1.120595
1031788800,28.459999,29.149149,-0.689150
1031875200,28.635000,29.127703,-0.492703
1031961600,29.039999,29.106257,-0.066258
1032048000,NaN,29.084812,NaN
1032134400,NaN,29.037971,NaN
1032220800,NaN,28.991131,NaN
1032307200,NaN,28.944290,NaN
1032393600,28.957500,28.897450,0.060051
1032480000,NaN,28.850609,NaN
1032566400,NaN,28.803769,NaN
1032652800,28.959999,28.756928,0.203071
1032739200,NaN,28.710088,NaN
1032825600,NaN,28.663247,NaN
1032912000,NaN,28.616406,NaN
1032998400,NaN,28.569566,NaN
1033084800,NaN,28.522725,NaN
1033171200,28.129999,28.475885,-0.345886
1033257600,28.004999,28.429044,-0.424045
1033344000,27.875000,28.382204,-0.507204
1033430400,28.115000,28.335363,-0.220363
1033516800,NaN,28.288523,NaN
1033603200,NaN,28.241682,NaN
1033689600,NaN,28.194842,NaN
1033776000,27.769999,28.148001,-0.378003
1033862400,27.439999,28.101161,-0.661162
1033948800,27.510000,28.054320,-0.544320
1034035200,NaN,28.007479,NaN
1034121600,NaN,27.960639,NaN
1034208000,NaN,27.913798,NaN
1034294400,NaN,27.866958,NaN
1034380800,27.855000,27.820117,0.034882
1034467200,28.254999,27.773277,0.481722
1034553600,NaN,27.726436,NaN
1034640000,NaN,27.679596,NaN
1034726400,27.389999,27.602488,-0.212488
1034812800,27.174999,27.525380,-0.350380
1034899200,NaN,27.448271,NaN
1034985600,NaN,27.371163,NaN
1035072000,26.994999,27.294055,-0.299056
1035158400,NaN,27.216947,NaN
1035244800,NaN,27.139839,NaN
1035331200,NaN,27.062731,NaN
1035417600,26.619999,26.985623,-0.365624
1035504000,NaN,26.908515,NaN
1035590400,NaN,26.831407,NaN
1035676800,NaN,26.754299,NaN
1035763200,NaN,26.677191,NaN
1035849600,NaN,26.600083,NaN
1035936000,26.330000,26.522975,-0.192975
1036022400,26.439999,26.445867,-0.005868
1036108800,NaN,26.368758,NaN
1036195200,NaN,26.291650,NaN
1036281600,NaN,26.214542,NaN
1036368000,NaN,26.137434,NaN
1036454400,NaN,26.060326,NaN
1036540800,26.025000,25.983218,0.041782
1036627200,25.769999,25.906110,-0.136111
1036713600,NaN,25.829002,NaN
1036800000,NaN,25.751894,NaN
1036886400,NaN,25.674786,NaN
1036972800,NaN,25.597678,NaN
1037059200,NaN,25.520570,NaN
1037145600,25.434999,25.443462,-0.008462
1037232000,NaN,25.366353,NaN
1037318400,NaN,25.289245,NaN
1037404800,NaN,25.217468,NaN
1037491200,NaN,25.145691,NaN
1037577600,24.990000,25.073913,-0.083914
1037664000,NaN,25.002136,NaN
1037750400,NaN,24.930359,NaN
1037836800,24.619999,24.858581,-0.238582
1037923200,24.664999,24.786804,-0.121805
1038009600,24.574999,24.715026,-0.140028
1038096000,24.299999,24.643249,-0.343250
1038182400,24.340000,24.571472,-0.231472
1038268800,NaN,24.499694,NaN
1038355200,NaN,24.427917,NaN
1038441600,NaN,24.356140,NaN
1038528000,23.400000,24.284362,-0.884363
1038614400,NaN,24.212585,NaN
1038700800,23.824999,24.140808,-0.315809
1038787200,23.725000,24.069030,-0.344030
1038873600,NaN,23.997253,NaN
1038960000,NaN,23.925475,NaN
1039046400,NaN,23.853698,NaN
1039132800,NaN,23.781921,NaN
1039219200,NaN,23.710143,NaN
1039305600,NaN,23.638366,NaN
1039392000,NaN,23.566589,NaN
1039478400,NaN,23.494811,NaN
1039564800,NaN,23.423034,NaN
1039651200,NaN,23.351256,NaN
1039737600,22.650000,23.279479,-0.629479
1039824000,NaN,23.207702,NaN
1039910400,21.859999,23.135924,-1.275926
1039996800,22.740000,23.086168,-0.346168
1040083200,NaN,23.036411,NaN
1040169600,NaN,22.986654,NaN
1040256000,NaN,22.936897,NaN
1040342400,NaN,22.887141,NaN
1040428800,22.094999,22.837384,-0.742384
1040515200,21.830000,22.787627,-0.957627
1040601600,NaN,22.737870,NaN
1040688000,NaN,22.688113,NaN
1040774400,NaN,22.638357,NaN
1040860800,NaN,22.588600,NaN
1040947200,NaN,22.538843,NaN
1041033600,NaN,22.489086,NaN
1041120000,21.389999,22.439330,-1.049330
1041206400,NaN,22.389573,NaN
1041292800,NaN,22.339816,NaN
1041379200,21.395000,22.290059,-0.895059
1041465600,NaN,22.240303,NaN
1041552000,20.877499,22.190546,-1.313047
1041638400,20.969999,22.140789,-1.170790
1041724800,NaN,22.091032,NaN
1041811200,NaN,22.041276,NaN
1041897600,NaN,21.991519,NaN
1041984000,20.924999,21.941762,-1.016763
1042070400,20.924999,21.892005,-0.967006
1042156800,NaN,21.842249,NaN
1042243200,NaN,21.792492,NaN
1042329600,NaN,21.742735,NaN
1042416000,NaN,21.692978,NaN
1042502400,20.670000,21.643221,-0.973221
1042588800,NaN,21.593465,NaN
1042675200,NaN,21.578900,NaN
1042761600,NaN,21.564335,NaN
1042848000,NaN,21.549771,NaN
1042934400,20.410000,21.535206,-1.125206
1043020800,20.439999,21.520641,-1.080643
1043107200,NaN,21.506077,NaN
1043193600,NaN,21.491512,NaN
1043280000,NaN,21.476947,NaN
1043366400,NaN,21.462383,NaN
1043452800,NaN,21.447818,NaN
1043539200,NaN,21.433253,NaN
1043625600,NaN,21.418689,NaN
1043712000,NaN,21.404124,NaN
1043798400,NaN,21.389559,NaN
1043884800,19.834999,21.374995,-1.539996
1043971200,NaN,21.360430,NaN
1044057600,NaN,21.345865,NaN
1044144000,20.029999,21.331301,-1.301302
1044230400,NaN,21.316736,NaN
1044316800,NaN,21.302171,NaN
1044403200,NaN,21.287607,NaN
1044489600,NaN,21.273042,NaN
1044576000,NaN,21.258477,NaN
1044662400,NaN,21.243913,NaN
1044748800,NaN,21.229348,NaN
1044835200,NaN,21.214783,NaN
1044921600,20.389999,21.200219,-0.810219
1045008000,NaN,21.185654,NaN
1045094400,NaN,21.171089,NaN
1045180800,NaN,21.156525,NaN
1045267200,20.750000,21.141960,-0.391960
1045353600,NaN,21.157606,NaN
1045440000,NaN,21.173253,NaN
1045526400,19.824999,21.188899,-1.363900
1045612800,NaN,21.204546,NaN
1045699200,NaN,21.220192,NaN
1045785600,NaN,21.235839,NaN
1045872000,NaN,21.251485,NaN
1045958400,20.094999,21.267132,-1.172132
1046044800,20.094999,21.282778,-1.187779
1046131200,NaN,21.298424,NaN
1046217600,NaN,21.314071,NaN
1046304000,NaN,21.329717,NaN
1046390400,NaN,21.345364,NaN
1046476800,NaN,21.361010,NaN
