Date,Mean,Climatology,Anomaly
2002-07-04,NaN,28.966018,NaN
2002-07-05,29.317499,28.997605,0.319895
2002-07-06,28.594999,29.029192,-0.434192
2002-07-07,29.039999,29.060779,-0.020780
2002-07-08,29.074999,29.092366,-0.017367
2002-07-09,28.724998,29.123953,-0.398955
2002-07-10,28.144999,29.155540,-1.010542
2002-07-11,28.119999,29.187127,-1.067128
2002-07-12,NaN,29.218714,NaN
2002-07-13,28.930000,29.250301,-0.320301
2002-07-14,29.049999,29.281888,-0.231889
2002-07-15,29.019999,29.313476,-0.293477
2002-07-16,29.327499,29.329716,-0.002217
2002-07-17,29.049999,29.345956,-0.295957
2002-07-18,29.554998,29.362197,0.192802
2002-07-19,29.064999,29.378437,-0.313438
2002-07-20,29.164999,29.394677,-0.229678
2002-07-21,30.094999,29.410918,0.684082
2002-07-22,NaN,29.427158,NaN
2002-07-23,29.144999,29.443398,-0.298400
2002-07-24,28.939999,29.459639,-0.519640
2002-07-25,28.959999,29.475879,-0.515880
2002-07-26,28.715000,29.492119,-0.777119
2002-07-27,28.875000,29.508360,-0.633360
2002-07-28,29.287498,29.524600,-0.237102
2002-07-29,29.219999,29.540840,-0.320841
2002-08-07,29.584999,29.687004,-0.102004
2002-08-08,29.660000,29.703244,-0.043244
2002-08-09,29.689999,29.719484,-0.029486
2002-08-10,29.644999,29.735725,-0.090726
2002-08-11,NaN,29.751965,NaN
2002-08-12,29.514999,29.768205,-0.253206
2002-08-13,29.764999,29.784446,-0.019446
2002-08-14,29.644999,29.800686,-0.155687
2002-08-15,29.357498,29.816926,-0.459428
2002-08-16,28.945000,29.798786,-0.853786
2002-08-17,29.314999,29.780646,-0.465647
2002-08-18,29.299999,29.762506,-0.462507
2002-08-19,29.609999,29.744366,-0.134367
2002-08-20,29.264999,29.726226,-0.461226
2002-08-21,29.309999,29.708085,-0.398086
2002-08-22,29.455000,29.689945,-0.234945
2002-08-23,29.490000,29.671805,-0.181805
2002-08-24,29.619999,29.653665,-0.033666
2002-08-25,29.619999,29.635525,-0.015526
2002-08-26,30.045000,29.617385,0.427615
2002-08-27,29.865000,29.599245,0.265755
2002-08-28,29.639999,29.581104,0.058895
2002-08-29,29.885000,29.562964,0.322036
2002-08-30,29.157499,29.544824,-0.387325
2002-08-31,29.090000,29.526684,-0.436684
2002-09-01,29.144999,29.508544,-0.363545
2002-09-02,29.199999,29.490404,-0.290405
2002-09-03,29.285000,29.472264,-0.187264
2002-09-04,28.730000,29.454123,-0.724124
2002-09-05,NaN,29.435983,NaN
2002-09-06,NaN,29.417843,NaN
2002-09-07,28.629999,29.399703,-0.769704
2002-09-08,NaN,29.381563,NaN
2002-09-09,28.570000,29.363423,-0.793423
2002-09-10,28.394999,29.345282,-0.950284
2002-09-11,28.934999,29.327142,-0.392143
2002-09-12,NaN,29.309002,NaN
2002-09-13,28.410000,29.290862,-0.880862
2002-09-14,28.715000,29.272722,-0.557722
2002-09-15,28.549999,29.254582,-0.704582
2002-09-16,29.070000,29.213327,-0.143327
2002-09-17,29.073750,29.172072,-0.098322
2002-09-18,29.410000,29.130817,0.279183
