Time,mean,climatology,anomaly
1025740800,NaN,28.788568,NaN
1025827200,NaN,28.827898,NaN
1025913600,NaN,28.867228,NaN
1026000000,NaN,28.906558,NaN
1026086400,NaN,28.945888,NaN
1026172800,NaN,28.985218,NaN
1026259200,NaN,29.024548,NaN
1026345600,29.000000,29.063878,-0.063878
1026432000,NaN,29.103208,NaN
1026518400,NaN,29.142538,NaN
1026604800,NaN,29.181868,NaN
1026691200,29.084999,29.221198,-0.136199
1026777600,NaN,29.238233,NaN
1026864000,29.064999,29.255268,-0.190269
1026950400,29.129999,29.272303,-0.142304
1027036800,29.500000,29.289338,0.210662
1027123200,29.660000,29.306373,0.353627
1027209600,NaN,29.323408,NaN
1027296000,29.699999,29.340443,0.359556
1027382400,30.160000,29.357478,0.802522
1027468800,29.580000,29.374513,0.205487
1027555200,NaN,29.391548,NaN
1027641600,NaN,29.408583,NaN
1027728000,NaN,29.425618,NaN
1027814400,NaN,29.442652,NaN
1027900800,29.804998,29.459687,0.345311
1028678400,NaN,29.613002,NaN
1028764800,NaN,29.630037,NaN
1028851200,29.260000,29.647072,-0.387071
1028937600,NaN,29.664107,NaN
1029024000,NaN,29.681142,NaN
1029110400,NaN,29.698177,NaN
1029196800,NaN,29.715211,NaN
1029283200,NaN,29.732246,NaN
1029369600,NaN,29.749281,NaN
1029456000,NaN,29.725990,NaN
1029542400,28.535000,29.702700,-1.167700
1029628800,29.324999,29.679409,-0.354410
1029715200,29.234999,29.656118,-0.421119
1029801600,NaN,29.632827,NaN
1029888000,28.759998,29.609536,-0.849538
1029974400,29.750000,29.586245,0.163755
1030060800,30.109999,29.562954,0.547045
1030147200,29.929998,29.539663,0.390335
1030233600,30.035000,29.516372,0.518628
1030320000,29.250000,29.493081,-0.243081
1030406400,29.289999,29.469791,-0.179792
1030492800,NaN,29.446500,NaN
1030579200,29.955000,29.423209,0.531791
1030665600,NaN,29.399918,NaN
1030752000,NaN,29.376627,NaN
1030838400,NaN,29.353336,NaN
1030924800,NaN,29.330045,NaN
1031011200,NaN,29.306754,NaN
1031097600,NaN,29.283463,NaN
1031184000,NaN,29.260172,NaN
1031270400,NaN,29.236881,NaN
1031356800,NaN,29.213591,NaN
