Time,mean,climatology,anomaly
1025740800,28.605000,29.041078,-0.436078
1025827200,29.054998,29.070947,-0.015949
1025913600,NaN,29.100816,NaN
1026000000,28.594999,29.130686,-0.535686
1026086400,NaN,29.160555,NaN
1026172800,NaN,29.190425,NaN
1026259200,NaN,29.220294,NaN
1026345600,NaN,29.250163,NaN
1026432000,NaN,29.280033,NaN
1026518400,29.355000,29.309902,0.045098
1026604800,29.439999,29.339771,0.100227
1026691200,28.934999,29.369641,-0.434641
1026777600,29.115000,29.385155,-0.270155
1026864000,29.039999,29.400668,-0.360669
1026950400,NaN,29.416182,NaN
1027036800,28.754999,29.431696,-0.676697
1027123200,28.695000,29.447209,-0.752210
1027209600,28.772499,29.462723,-0.690224
1027296000,NaN,29.478237,NaN
1027382400,28.282499,29.493751,-1.211251
1027468800,28.764999,29.509264,-0.744265
1027555200,28.402500,29.524778,-1.122278
1027641600,28.650000,29.540292,-0.890292
1027728000,NaN,29.555805,NaN
1027814400,28.750000,29.571319,-0.821319
1027900800,NaN,29.586833,NaN
1028678400,NaN,29.726456,NaN
1028764800,29.295000,29.741970,-0.446970
1028851200,NaN,29.757484,NaN
1028937600,NaN,29.772997,NaN
1029024000,NaN,29.788511,NaN
1029110400,29.539999,29.804025,-0.264026
1029196800,29.869999,29.819539,0.050460
1029283200,NaN,29.835052,NaN
1029369600,NaN,29.850566,NaN
1029456000,NaN,29.834873,NaN
1029542400,NaN,29.819180,NaN
1029628800,29.164999,29.803487,-0.638488
1029715200,29.079998,29.787794,-0.707796
1029801600,28.840000,29.772101,-0.932100
1029888000,28.555000,29.756407,-1.201407
1029974400,29.119999,29.740714,-0.620715
1030060800,NaN,29.725021,NaN
1030147200,29.365000,29.709328,-0.344328
1030233600,NaN,29.693635,NaN
1030320000,29.484999,29.677942,-0.192943
1030406400,29.654999,29.662249,-0.007250
1030492800,NaN,29.646556,NaN
1030579200,29.254999,29.630863,-0.375863
1030665600,NaN,29.615170,NaN
1030752000,NaN,29.599476,NaN
1030838400,28.680000,29.583783,-0.903783
1030924800,NaN,29.568090,NaN
1031011200,NaN,29.552397,NaN
1031097600,NaN,29.536704,NaN
1031184000,NaN,29.521011,NaN
1031270400,NaN,29.505318,NaN
1031356800,NaN,29.489625,NaN
1031443200,NaN,29.473932,NaN
1031529600,NaN,29.458239,NaN
1031616000,NaN,29.442546,NaN
1031702400,NaN,29.426852,NaN
1031788800,NaN,29.411159,NaN
1031875200,NaN,29.395466,NaN
1031961600,NaN,29.379773,NaN
1032048000,NaN,29.364080,NaN
1032134400,NaN,29.323942,NaN
1032220800,29.250000,29.283805,-0.033805
1032307200,29.105000,29.243667,-0.138667
1032393600,29.025000,29.203529,-0.178530
1032480000,NaN,29.163391,NaN
1032566400,NaN,29.123254,NaN
1032652800,NaN,29.083116,NaN
1032739200,NaN,29.042978,NaN
1032825600,NaN,29.002841,NaN
1032912000,NaN,28.962703,NaN
1032998400,NaN,28.922565,NaN
1033084800,28.507500,28.882427,-0.374928
1033171200,NaN,28.842290,NaN
1033257600,NaN,28.802152,NaN
1033344000,28.580000,28.762014,-0.182014
1033430400,NaN,28.721877,NaN
1033516800,NaN,28.681739,NaN
1033603200,27.590000,28.641601,-1.051601
1033689600,28.539999,28.601463,-0.061464
1033776000,28.414999,28.561326,-0.146327
1033862400,28.740000,28.521188,0.218812
1033948800,NaN,28.481050,NaN
1034035200,28.535000,28.440912,0.094087
1034121600,28.775000,28.400775,0.374225
1034208000,NaN,28.360637,NaN
1034294400,28.757500,28.320499,0.437000
1034380800,28.289999,28.280362,0.009637
1034467200,28.490000,28.240224,0.249776
1034553600,28.900000,28.200086,0.699913
1034640000,NaN,28.159948,NaN
1034726400,NaN,28.099216,NaN
1034812800,27.574999,28.038484,-0.463486
1034899200,27.885000,27.977753,-0.092752
1034985600,NaN,27.917021,NaN
1035072000,NaN,27.856289,NaN
1035158400,26.820000,27.795557,-0.975557
1035244800,27.859999,27.734825,0.125174
1035331200,28.055000,27.674093,0.380908
1035417600,NaN,27.613361,NaN
1035504000,27.557499,27.552629,0.004870
1035590400,NaN,27.491897,NaN
1035676800,28.077499,27.431165,0.646335
1035763200,27.039999,27.370433,-0.330434
1035849600,27.919998,27.309701,0.610297
1035936000,27.209999,27.248969,-0.038970
1036022400,27.969999,27.188237,0.781763
1036108800,NaN,27.127505,NaN
1036195200,27.510000,27.066773,0.443227
1036281600,28.014999,27.006041,1.008959
1036368000,27.775000,26.945309,0.829691
1036454400,27.769999,26.884577,0.885422
1036540800,27.955000,26.823845,1.131155
1036627200,NaN,26.763113,NaN
1036713600,27.154999,26.702381,0.452618
1036800000,26.959999,26.641649,0.318350
1036886400,NaN,26.580917,NaN
1036972800,NaN,26.520185,NaN
1037059200,27.635000,26.459453,1.175547
1037145600,NaN,26.398721,NaN
1037232000,27.105000,26.337989,0.767011
1037318400,NaN,26.277257,NaN
1037404800,NaN,26.229622,NaN
1037491200,NaN,26.181988,NaN
1037577600,NaN,26.134354,NaN
1037664000,25.594999,26.086719,-0.491720
1037750400,NaN,26.039085,NaN
1037836800,NaN,25.991450,NaN
1037923200,NaN,25.943816,NaN
1038009600,25.379999,25.896181,-0.516182
1038096000,25.305000,25.848547,-0.543546
1038182400,25.494999,25.800912,-0.305913
1038268800,NaN,25.753278,NaN
1038355200,NaN,25.705643,NaN
1038441600,24.564999,25.658009,-1.093010
1038528000,NaN,25.610374,NaN
1038614400,24.629999,25.562740,-0.932741
1038700800,24.734999,25.515105,-0.780106
1038787200,NaN,25.467471,NaN
1038873600,24.410000,25.419836,-1.009836
1038960000,NaN,25.372202,NaN
1039046400,24.459999,25.324567,-0.864568
1039132800,24.269999,25.276933,-1.006934
1039219200,NaN,25.229298,NaN
1039305600,24.074999,25.181664,-1.106665
1039392000,NaN,25.134029,NaN
1039478400,NaN,25.086395,NaN
1039564800,NaN,25.038760,NaN
1039651200,NaN,24.991126,NaN
1039737600,NaN,24.943491,NaN
1039824000,NaN,24.895857,NaN
1039910400,NaN,24.848222,NaN
1039996800,24.359999,24.810686,-0.450687
1040083200,24.052500,24.773150,-0.720650
1040169600,NaN,24.735614,NaN
1040256000,23.664999,24.698077,-1.033078
1040342400,23.449999,24.660541,-1.210542
1040428800,23.830000,24.623005,-0.793005
1040515200,NaN,24.585469,NaN
1040601600,23.584999,24.547932,-0.962933
1040688000,23.930000,24.510396,-0.580396
1040774400,24.154999,24.472860,-0.317861
1040860800,NaN,24.435323,NaN
1040947200,23.484999,24.397787,-0.912788
1041033600,23.639999,24.360251,-0.720252
1041120000,NaN,24.322715,NaN
1041206400,NaN,24.285178,NaN
1041292800,23.844999,24.247642,-0.402643
1041379200,NaN,24.210106,NaN
1041465600,NaN,24.172570,NaN
1041552000,NaN,24.135033,NaN
1041638400,22.205000,24.097497,-1.892497
1041724800,22.299999,24.059961,-1.759962
1041811200,NaN,24.022425,NaN
1041897600,NaN,23.984888,NaN
1041984000,22.119999,23.947352,-1.827353
1042070400,22.574999,23.909816,-1.334817
1042156800,22.500000,23.872279,-1.372279
1042243200,NaN,23.834743,NaN
