Time,mean,climatology,anomaly
1025740800,28.840000,29.021092,-0.181092
1025827200,29.480000,29.048894,0.431106
1025913600,NaN,29.076696,NaN
1026000000,28.697498,29.104497,-0.406999
1026086400,NaN,29.132299,NaN
1026172800,NaN,29.160101,NaN
1026259200,28.215000,29.187903,-0.972903
1026345600,28.154999,29.215704,-1.060706
1026432000,NaN,29.243506,NaN
1026518400,29.039999,29.271308,-0.231309
1026604800,29.404999,29.299110,0.105889
1026691200,29.049999,29.326912,-0.276912
1026777600,28.959999,29.342170,-0.382171
1026864000,28.927500,29.357428,-0.429929
1026950400,NaN,29.372687,NaN
1027036800,28.799999,29.387945,-0.587946
1027123200,28.927500,29.403204,-0.475704
1027209600,28.792500,29.418462,-0.625963
1027296000,NaN,29.433720,NaN
1027382400,28.737499,29.448979,-0.711480
1027468800,28.760000,29.464237,-0.704237
1027555200,28.629999,29.479496,-0.849497
1027641600,28.465000,29.494754,-1.029754
1027728000,28.094999,29.510013,-1.415013
1027814400,28.965000,29.525271,-0.560271
1027900800,NaN,29.540529,NaN
1028678400,NaN,29.677855,NaN
1028764800,29.400000,29.693114,-0.293114
1028851200,29.804998,29.708372,0.096626
1028937600,29.469999,29.723631,-0.253631
1029024000,NaN,29.738889,NaN
1029110400,29.480000,29.754147,-0.274148
1029196800,29.817499,29.769406,0.048093
1029283200,NaN,29.784664,NaN
1029369600,NaN,29.799923,NaN
1029456000,NaN,29.784116,NaN
1029542400,NaN,29.768309,NaN
1029628800,29.160000,29.752502,-0.592502
1029715200,29.385000,29.736695,-0.351694
1029801600,29.150000,29.720888,-0.570888
1029888000,28.715000,29.705080,-0.990080
1029974400,29.292500,29.689273,-0.396774
1030060800,29.160000,29.673466,-0.513467
1030147200,29.309999,29.657659,-0.347660
1030233600,29.389999,29.641852,-0.251853
1030320000,29.535000,29.626045,-0.091045
1030406400,29.654999,29.610238,0.044761
1030492800,29.484999,29.594431,-0.109432
1030579200,29.410000,29.578624,-0.168624
1030665600,29.070000,29.562817,-0.492817
1030752000,NaN,29.547010,NaN
1030838400,28.859999,29.531203,-0.671204
1030924800,28.695000,29.515396,-0.820396
1031011200,NaN,29.499589,NaN
1031097600,28.930000,29.483782,-0.553782
1031184000,NaN,29.467975,NaN
1031270400,NaN,29.452168,NaN
1031356800,NaN,29.436361,NaN
1031443200,NaN,29.420554,NaN
1031529600,NaN,29.404747,NaN
1031616000,NaN,29.388940,NaN
