Date,Mean,Climatology,Anomaly
2002-07-04,28.840000,29.021092,-0.181092
2002-07-05,29.480000,29.048894,0.431106
2002-07-06,NaN,29.076696,NaN
2002-07-07,28.697498,29.104497,-0.406999
2002-07-08,NaN,29.132299,NaN
2002-07-09,NaN,29.160101,NaN
2002-07-10,28.215000,29.187903,-0.972903
2002-07-11,28.154999,29.215704,-1.060706
2002-07-12,NaN,29.243506,NaN
2002-07-13,29.039999,29.271308,-0.231309
2002-07-14,29.404999,29.299110,0.105889
2002-07-15,29.049999,29.326912,-0.276912
2002-07-16,28.959999,29.342170,-0.382171
2002-07-17,28.927500,29.357428,-0.429929
2002-07-18,NaN,29.372687,NaN
2002-07-19,28.799999,29.387945,-0.587946
2002-07-20,28.927500,29.403204,-0.475704
2002-07-21,28.792500,29.418462,-0.625963
2002-07-22,NaN,29.433720,NaN
2002-07-23,28.737499,29.448979,-0.711480
2002-07-24,28.760000,29.464237,-0.704237
2002-07-25,28.629999,29.479496,-0.849497
2002-07-26,28.465000,29.494754,-1.029754
2002-07-27,28.094999,29.510013,-1.415013
2002-07-28,28.965000,29.525271,-0.560271
2002-07-29,NaN,29.540529,NaN
2002-08-07,NaN,29.677855,NaN
2002-08-08,29.400000,29.693114,-0.293114
2002-08-09,29.804998,29.708372,0.096626
2002-08-10,29.469999,29.723631,-0.253631
2002-08-11,NaN,29.738889,NaN
2002-08-12,29.480000,29.754147,-0.274148
2002-08-13,29.817499,29.769406,0.048093
2002-08-14,NaN,29.784664,NaN
2002-08-15,NaN,29.799923,NaN
2002-08-16,NaN,29.784116,NaN
2002-08-17,NaN,29.768309,NaN
2002-08-18,29.160000,29.752502,-0.592502
2002-08-19,29.385000,29.736695,-0.351694
2002-08-20,29.150000,29.720888,-0.570888
2002-08-21,28.715000,29.705080,-0.990080
2002-08-22,29.292500,29.689273,-0.396774
2002-08-23,29.160000,29.673466,-0.513467
2002-08-24,29.309999,29.657659,-0.347660
2002-08-25,29.389999,29.641852,-0.251853
2002-08-26,29.535000,29.626045,-0.091045
2002-08-27,29.654999,29.610238,0.044761
2002-08-28,29.484999,29.594431,-0.109432
2002-08-29,29.410000,29.578624,-0.168624
2002-08-30,29.070000,29.562817,-0.492817
2002-08-31,NaN,29.547010,NaN
2002-09-01,28.859999,29.531203,-0.671204
2002-09-02,28.695000,29.515396,-0.820396
2002-09-03,NaN,29.499589,NaN
2002-09-04,28.930000,29.483782,-0.553782
2002-09-05,NaN,29.467975,NaN
2002-09-06,NaN,29.452168,NaN
2002-09-07,NaN,29.436361,NaN
2002-09-08,NaN,29.420554,NaN
2002-09-09,NaN,29.404747,NaN
2002-09-10,NaN,29.388940,NaN
2002-09-11,NaN,29.373133,NaN
2002-09-12,NaN,29.357325,NaN
2002-09-13,NaN,29.341518,NaN
2002-09-14,28.959999,29.325711,-0.365712
2002-09-15,NaN,29.309904,NaN
2002-09-16,29.012501,29.270311,-0.257810
2002-09-17,29.144999,29.230718,-0.085720
2002-09-18,29.375000,29.191125,0.183875
2002-09-19,28.994999,29.151532,-0.156533
2002-09-20,NaN,29.111939,NaN
2002-09-21,NaN,29.072346,NaN
2002-09-22,NaN,29.032753,NaN
2002-09-23,NaN,28.993159,NaN
2002-09-24,NaN,28.953566,NaN
2002-09-25,NaN,28.913973,NaN
2002-09-26,NaN,28.874380,NaN
2002-09-27,28.535000,28.834787,-0.299787
2002-09-28,28.584999,28.795194,-0.210195
2002-09-29,NaN,28.755601,NaN
2002-09-30,28.584999,28.716008,-0.131009
2002-10-01,NaN,28.676415,NaN
2002-10-02,NaN,28.636821,NaN
2002-10-03,27.974998,28.597228,-0.622230
2002-10-04,28.500000,28.557635,-0.057635
2002-10-05,28.430000,28.518042,-0.088042
2002-10-06,28.695000,28.478449,0.216551
2002-10-07,28.365000,28.438856,-0.073856
2002-10-08,28.385000,28.399263,-0.014263
2002-10-09,28.664999,28.359670,0.305329
2002-10-10,28.625000,28.320077,0.304923
2002-10-11,28.619999,28.280483,0.339516
2002-10-12,28.289999,28.240890,0.049109
2002-10-13,28.635000,28.201297,0.433703
2002-10-14,28.750000,28.161704,0.588296
2002-10-15,NaN,28.122111,NaN
2002-10-16,27.549999,28.061952,-0.511952
2002-10-17,27.465000,28.001792,-0.536792
2002-10-18,27.849998,27.941633,-0.091634
2002-10-19,NaN,27.881474,NaN
2002-10-20,NaN,27.821314,NaN
2002-10-21,26.820000,27.761155,-0.941155
2002-10-22,27.830000,27.700996,0.129004
2002-10-23,28.035000,27.640836,0.394164
2002-10-24,27.734999,27.580677,0.154322
2002-10-25,27.667500,27.520518,0.146982
2002-10-26,27.424999,27.460358,-0.035359
2002-10-27,28.090000,27.400199,0.689801
2002-10-28,27.379999,27.340040,0.039960
2002-10-29,27.965000,27.279880,0.685120
2002-10-30,27.260000,27.219721,0.040279
2002-10-31,28.039999,27.159562,0.880438
