Time,mean,climatology,anomaly
1025740800,NaN,28.910943,NaN
1025827200,28.894999,28.940922,-0.045924
1025913600,NaN,28.970901,NaN
1026000000,NaN,29.000880,NaN
1026086400,NaN,29.030859,NaN
1026172800,NaN,29.060838,NaN
1026259200,NaN,29.090817,NaN
1026345600,27.812500,29.120796,-1.308296
1026432000,NaN,29.150775,NaN
1026518400,NaN,29.180754,NaN
1026604800,28.809999,29.210733,-0.400734
1026691200,NaN,29.240712,NaN
1026777600,29.295000,29.257091,0.037909
1026864000,28.689999,29.273470,-0.583472
1026950400,28.885000,29.289849,-0.404849
1027036800,NaN,29.306228,NaN
1027123200,28.744999,29.322607,-0.577608
1027209600,NaN,29.338986,NaN
1027296000,NaN,29.355365,NaN
1027382400,NaN,29.371744,NaN
1027468800,NaN,29.388123,NaN
1027555200,28.750000,29.404502,-0.654502
1027641600,NaN,29.420881,NaN
1027728000,NaN,29.437260,NaN
1027814400,28.969999,29.453639,-0.483640
1027900800,29.167500,29.470018,-0.302519
1028678400,NaN,29.617430,NaN
1028764800,29.094999,29.633809,-0.538809
1028851200,NaN,29.650188,NaN
1028937600,NaN,29.666567,NaN
1029024000,NaN,29.682946,NaN
1029110400,29.505001,29.699325,-0.194324
1029196800,NaN,29.715704,NaN
1029283200,NaN,29.732083,NaN
1029369600,29.469999,29.748462,-0.278462
1029456000,NaN,29.733863,NaN
1029542400,29.320000,29.719263,-0.399264
1029628800,28.779999,29.704664,-0.924665
1029715200,29.635000,29.690065,-0.055065
1029801600,29.254999,29.675466,-0.420467
1029888000,29.074999,29.660867,-0.585868
1029974400,29.295000,29.646268,-0.351268
1030060800,29.375000,29.631669,-0.256669
1030147200,NaN,29.617070,NaN
1030233600,29.240000,29.602470,-0.362471
1030320000,NaN,29.587871,NaN
1030406400,29.705000,29.573272,0.131728
1030492800,NaN,29.558673,NaN
1030579200,28.967499,29.544074,-0.576575
1030665600,NaN,29.529475,NaN
1030752000,NaN,29.514876,NaN
1030838400,NaN,29.500277,NaN
1030924800,28.519999,29.485678,-0.965679
1031011200,NaN,29.471078,NaN
1031097600,28.684999,29.456479,-0.771480
1031184000,NaN,29.441880,NaN
1031270400,NaN,29.427281,NaN
1031356800,NaN,29.412682,NaN
1031443200,NaN,29.398083,NaN
1031529600,NaN,29.383484,NaN
1031616000,NaN,29.368885,NaN
1031702400,NaN,29.354285,NaN
1031788800,NaN,29.339686,NaN
1031875200,28.775000,29.325087,-0.550088
1031961600,NaN,29.310488,NaN
1032048000,NaN,29.295889,NaN
1032134400,29.244999,29.257842,-0.012843
1032220800,NaN,29.219795,NaN
1032307200,29.449999,29.181748,0.268250
1032393600,NaN,29.143702,NaN
1032480000,29.234999,29.105655,0.129344
1032566400,28.984999,29.067608,-0.082609
1032652800,28.215000,29.029561,-0.814561
1032739200,NaN,28.991514,NaN
1032825600,NaN,28.953468,NaN
1032912000,NaN,28.915421,NaN
1032998400,NaN,28.877374,NaN
1033084800,28.635000,28.839327,-0.204327
1033171200,28.500000,28.801280,-0.301280
1033257600,NaN,28.763233,NaN
1033344000,27.609999,28.725187,-1.115188
1033430400,NaN,28.687140,NaN
1033516800,28.482498,28.649093,-0.166595
1033603200,NaN,28.611046,NaN
1033689600,28.605000,28.572999,0.032000
1033776000,28.529999,28.534952,-0.004954
1033862400,28.844999,28.496906,0.348094
1033948800,NaN,28.458859,NaN
1034035200,28.320000,28.420812,-0.100812
1034121600,28.459999,28.382765,0.077234
1034208000,27.580000,28.344718,-0.764718
1034294400,28.342499,28.306671,0.035827
1034380800,28.764999,28.268625,0.496375
1034467200,28.549999,28.230578,0.319422
1034553600,NaN,28.192531,NaN
1034640000,NaN,28.154484,NaN
1034726400,NaN,28.097595,NaN
1034812800,27.389999,28.040707,-0.650707
1034899200,27.737499,27.983818,-0.246319
1034985600,NaN,27.926929,NaN
1035072000,NaN,27.870040,NaN
1035158400,26.792500,27.813152,-1.020652
1035244800,27.430000,27.756263,-0.326263
1035331200,27.410000,27.699374,-0.289374
1035417600,NaN,27.642486,NaN
1035504000,27.260000,27.585597,-0.325597
1035590400,26.984999,27.528708,-0.543709
1035676800,27.917500,27.471819,0.445680
1035763200,27.469999,27.414931,0.055069
1035849600,28.084999,27.358042,0.726957
1035936000,27.805000,27.301153,0.503847
1036022400,28.079998,27.244265,0.835733
1036108800,28.269999,27.187376,1.082623
1036195200,27.857498,27.130487,0.727011
1036281600,27.594999,27.073598,0.521401
1036368000,NaN,27.016710,NaN
1036454400,27.744999,26.959821,0.785178
1036540800,NaN,26.902932,NaN
1036627200,NaN,26.846044,NaN
1036713600,NaN,26.789155,NaN
1036800000,27.330000,26.732266,0.597734
1036886400,27.199999,26.675377,0.524621
1036972800,27.449999,26.618489,0.831510
1037059200,27.584999,26.561600,1.023399
1037145600,27.549999,26.504711,1.045288
1037232000,27.139999,26.447823,0.692177
1037318400,NaN,26.390934,NaN
1037404800,25.625000,26.344924,-0.719924
1037491200,NaN,26.298914,NaN
1037577600,NaN,26.252904,NaN
1037664000,NaN,26.206894,NaN
1037750400,NaN,26.160884,NaN
1037836800,NaN,26.114875,NaN
1037923200,NaN,26.068865,NaN
1038009600,25.855000,26.022855,-0.167855
1038096000,NaN,25.976845,NaN
1038182400,NaN,25.930835,NaN
