Time,mean,climatology,anomaly
1025740800,NaN,28.982969,NaN
1025827200,28.570000,29.013639,-0.443639
1025913600,28.820000,29.044308,-0.224308
1026000000,NaN,29.074977,NaN
1026086400,NaN,29.105646,NaN
1026172800,NaN,29.136316,NaN
1026259200,NaN,29.166985,NaN
1026345600,28.119999,29.197654,-1.077655
1026432000,NaN,29.228323,NaN
1026518400,28.930000,29.258992,-0.328992
1026604800,29.074999,29.289662,-0.214663
1026691200,NaN,29.320331,NaN
1026777600,29.855000,29.335051,0.519948
1026864000,28.930000,29.349772,-0.419771
1026950400,29.097500,29.364492,-0.266992
1027036800,31.184999,29.379213,1.805787
1027123200,29.105000,29.393933,-0.288933
1027209600,29.279999,29.408653,-0.128655
1027296000,NaN,29.423374,NaN
1027382400,NaN,29.438094,NaN
1027468800,NaN,29.452815,NaN
1027555200,NaN,29.467535,NaN
1027641600,NaN,29.482255,NaN
1027728000,NaN,29.496976,NaN
1027814400,29.025000,29.511696,-0.486697
1027900800,28.994999,29.526417,-0.531418
1028678400,NaN,29.658900,NaN
1028764800,28.959999,29.673621,-0.713621
1028851200,29.580000,29.688341,-0.108341
1028937600,NaN,29.703061,NaN
1029024000,NaN,29.717782,NaN
1029110400,29.665001,29.732502,-0.067501
1029196800,NaN,29.747223,NaN
1029283200,NaN,29.761943,NaN
1029369600,NaN,29.776663,NaN
1029456000,NaN,29.759219,NaN
1029542400,NaN,29.741774,NaN
1029628800,29.389999,29.724329,-0.334330
1029715200,29.804998,29.706884,0.098114
1029801600,29.554998,29.689440,-0.134441
1029888000,28.894999,29.671995,-0.776996
1029974400,29.580000,29.654550,-0.074550
1030060800,29.599998,29.637105,-0.037107
1030147200,NaN,29.619661,NaN
1030233600,29.289999,29.602216,-0.312217
1030320000,29.879999,29.584771,0.295228
1030406400,30.037498,29.567326,0.470172
1030492800,NaN,29.549882,NaN
1030579200,29.559999,29.532437,0.027562
1030665600,29.105000,29.514992,-0.409993
1030752000,NaN,29.497548,NaN
1030838400,NaN,29.480103,NaN
1030924800,28.769999,29.462658,-0.692660
1031011200,28.740000,29.445213,-0.705214
1031097600,NaN,29.427769,NaN
1031184000,NaN,29.410324,NaN
1031270400,NaN,29.392879,NaN
1031356800,NaN,29.375434,NaN
1031443200,NaN,29.357990,NaN
1031529600,NaN,29.340545,NaN
1031616000,NaN,29.323100,NaN
1031702400,NaN,29.305655,NaN
1031788800,NaN,29.288211,NaN
1031875200,28.400000,29.270766,-0.870766
1031961600,28.750000,29.253321,-0.503321
1032048000,NaN,29.235876,NaN
1032134400,28.969999,29.201143,-0.231143
1032220800,NaN,29.166409,NaN
1032307200,29.344999,29.131676,0.213324
1032393600,NaN,29.096942,NaN
1032480000,29.064999,29.062208,0.002790
1032566400,NaN,29.027475,NaN
1032652800,27.945000,28.992741,-1.047741
1032739200,NaN,28.958007,NaN
1032825600,NaN,28.923274,NaN
1032912000,NaN,28.888540,NaN
1032998400,NaN,28.853806,NaN
1033084800,28.820000,28.819073,0.000927
1033171200,28.674999,28.784339,-0.109340
1033257600,NaN,28.749605,NaN
1033344000,28.684999,28.714872,-0.029872
1033430400,NaN,28.680138,NaN
1033516800,27.980000,28.645404,-0.665405
1033603200,NaN,28.610671,NaN
1033689600,28.539999,28.575937,-0.035938
1033776000,28.505001,28.541203,-0.036202
1033862400,28.719999,28.506470,0.213529
1033948800,28.549999,28.471736,0.078263
1034035200,28.449999,28.437003,0.012996
1034121600,28.320000,28.402269,-0.082269
1034208000,NaN,28.367535,NaN
1034294400,28.397499,28.332802,0.064698
1034380800,28.622499,28.298068,0.324432
1034467200,28.299999,28.263334,0.036665
1034553600,28.814999,28.228601,0.586398
1034640000,NaN,28.193867,NaN
1034726400,NaN,28.136096,NaN
1034812800,27.504999,28.078325,-0.573326
1034899200,27.865000,28.020554,-0.155554
1034985600,NaN,27.962783,NaN
1035072000,NaN,27.905012,NaN
1035158400,26.430000,27.847241,-1.417241
1035244800,27.650000,27.789470,-0.139470
1035331200,27.660000,27.731699,-0.071699
1035417600,27.490000,27.673928,-0.183928
1035504000,27.689999,27.616157,0.073842
1035590400,27.125000,27.558386,-0.433386
1035676800,27.990000,27.500615,0.489385
1035763200,27.994999,27.442844,0.552155
1035849600,28.045000,27.385073,0.659927
1035936000,27.254999,27.327302,-0.072303
1036022400,28.000000,27.269531,0.730469
1036108800,27.912498,27.211760,0.700738
1036195200,27.695000,27.153989,0.541011
1036281600,27.474998,27.096218,0.378780
1036368000,NaN,27.038447,NaN
1036454400,27.629999,26.980676,0.649323
1036540800,26.844999,26.922905,-0.077906
