Time,mean,climatology,anomaly
1025740800,28.074999,28.782162,-0.707163
1025827200,NaN,28.821297,NaN
1025913600,NaN,28.860433,NaN
1026000000,28.730000,28.899568,-0.169568
1026086400,28.170000,28.938703,-0.768703
1026172800,NaN,28.977838,NaN
1026259200,NaN,29.016973,NaN
1026345600,28.545000,29.056109,-0.511108
1026432000,NaN,29.095244,NaN
1026518400,NaN,29.134379,NaN
1026604800,NaN,29.173514,NaN
1026691200,29.000000,29.212649,-0.212649
1026777600,NaN,29.227241,NaN
1026864000,NaN,29.241832,NaN
1026950400,29.199999,29.256423,-0.056425
1027036800,29.115000,29.271015,-0.156015
1027123200,29.719999,29.285606,0.434393
1027209600,29.684999,29.300198,0.384802
1027296000,29.910000,29.314789,0.595211
1027382400,30.764999,29.329380,1.435619
1027468800,30.340000,29.343972,0.996029
1027555200,NaN,29.358563,NaN
1027641600,NaN,29.373154,NaN
1027728000,29.869999,29.387746,0.482253
1027814400,NaN,29.402337,NaN
1027900800,29.934999,29.416928,0.518071
1028678400,NaN,29.548251,NaN
1028764800,NaN,29.562842,NaN
1028851200,NaN,29.577433,NaN
1028937600,NaN,29.592025,NaN
1029024000,NaN,29.606616,NaN
1029110400,NaN,29.621207,NaN
1029196800,NaN,29.635799,NaN
1029283200,NaN,29.650390,NaN
1029369600,NaN,29.664982,NaN
1029456000,28.504999,29.643694,-1.138694
1029542400,28.949999,29.622405,-0.672407
1029628800,NaN,29.601117,NaN
1029715200,28.914999,29.579829,-0.664830
1029801600,NaN,29.558541,NaN
1029888000,NaN,29.537253,NaN
1029974400,29.744999,29.515965,0.229034
1030060800,29.609999,29.494677,0.115322
1030147200,28.799999,29.473389,-0.673390
1030233600,30.385000,29.452101,0.932899
1030320000,30.195000,29.430813,0.764187
1030406400,NaN,29.409525,NaN
1030492800,NaN,29.388237,NaN
1030579200,NaN,29.366949,NaN
1030665600,NaN,29.345661,NaN
1030752000,NaN,29.324373,NaN
1030838400,29.549999,29.303085,0.246915
1030924800,29.465000,29.281797,0.183203
1031011200,NaN,29.260509,NaN
1031097600,NaN,29.239221,NaN
1031184000,NaN,29.217933,NaN
1031270400,NaN,29.196644,NaN
1031356800,NaN,29.175356,NaN
1031443200,NaN,29.154068,NaN
1031529600,NaN,29.132780,NaN
1031616000,NaN,29.111492,NaN
1031702400,NaN,29.090204,NaN
1031788800,28.629999,29.068916,-0.438917
1031875200,NaN,29.047628,NaN
1031961600,29.084999,29.026340,0.058659
1032048000,NaN,29.005052,NaN
1032134400,NaN,28.958841,NaN
1032220800,NaN,28.912631,NaN
1032307200,NaN,28.866420,NaN
1032393600,28.562500,28.820210,-0.257710
1032480000,NaN,28.773999,NaN
1032566400,NaN,28.727788,NaN
1032652800,28.632500,28.681578,-0.049078
1032739200,NaN,28.635367,NaN
1032825600,NaN,28.589157,NaN
1032912000,NaN,28.542946,NaN
1032998400,NaN,28.496735,NaN
1033084800,27.949999,28.450525,-0.500526
1033171200,28.080000,28.404314,-0.324314
1033257600,28.074999,28.358104,-0.283105
1033344000,27.630001,28.311893,-0.681892
