Time,mean,climatology,anomaly
1025740800,NaN,28.785091,NaN
1025827200,27.615000,28.824852,-1.209852
1025913600,NaN,28.864613,NaN
1026000000,NaN,28.904374,NaN
1026086400,NaN,28.944135,NaN
1026172800,NaN,28.983897,NaN
1026259200,27.900000,29.023658,-1.123658
1026345600,28.910000,29.063419,-0.153419
1026432000,NaN,29.103180,NaN
1026518400,NaN,29.142941,NaN
1026604800,NaN,29.182702,NaN
1026691200,28.904999,29.222464,-0.317465
1026777600,NaN,29.239833,NaN
1026864000,29.250000,29.257202,-0.007202
1026950400,NaN,29.274571,NaN
1027036800,29.340000,29.291940,0.048060
1027123200,29.570000,29.309309,0.260691
1027209600,29.439999,29.326678,0.113321
1027296000,29.889999,29.344047,0.545953
1027382400,29.980000,29.361416,0.618584
1027468800,NaN,29.378785,NaN
1027555200,NaN,29.396154,NaN
1027641600,NaN,29.413523,NaN
1027728000,NaN,29.430892,NaN
1027814400,29.635000,29.448261,0.186739
1027900800,30.025000,29.465630,0.559369
1028678400,NaN,29.621952,NaN
1028764800,NaN,29.639321,NaN
1028851200,NaN,29.656690,NaN
1028937600,NaN,29.674059,NaN
1029024000,29.529999,29.691428,-0.161429
1029110400,29.355000,29.708797,-0.353797
1029196800,NaN,29.726166,NaN
1029283200,NaN,29.743535,NaN
1029369600,NaN,29.760904,NaN
1029456000,28.650000,29.735802,-1.085802
1029542400,NaN,29.710700,NaN
1029628800,29.709999,29.685598,0.024401
1029715200,29.139999,29.660495,-0.520496
1029801600,NaN,29.635393,NaN
1029888000,NaN,29.610291,NaN
1029974400,NaN,29.585189,NaN
1030060800,29.570000,29.560087,0.009913
1030147200,NaN,29.534985,NaN
1030233600,30.122499,29.509883,0.612617
1030320000,29.389999,29.484780,-0.094781
1030406400,NaN,29.459678,NaN
1030492800,29.349998,29.434576,-0.084578
1030579200,NaN,29.409474,NaN
1030665600,NaN,29.384372,NaN
1030752000,NaN,29.359270,NaN
1030838400,NaN,29.334168,NaN
1030924800,NaN,29.309065,NaN
1031011200,NaN,29.283963,NaN
1031097600,NaN,29.258861,NaN
1031184000,NaN,29.233759,NaN
1031270400,NaN,29.208657,NaN
1031356800,NaN,29.183555,NaN
1031443200,NaN,29.158453,NaN
1031529600,NaN,29.133350,NaN
1031616000,NaN,29.108248,NaN
1031702400,NaN,29.083146,NaN
1031788800,28.660000,29.058044,-0.398044
1031875200,28.709999,29.032942,-0.322943
1031961600,28.924999,29.007840,-0.082840
1032048000,28.747499,28.982737,-0.235238
1032134400,NaN,28.935100,NaN
1032220800,NaN,28.887462,NaN
1032307200,27.590000,28.839825,-1.249825
1032393600,NaN,28.792187,NaN
1032480000,28.830000,28.744550,0.085450
1032566400,28.414999,28.696912,-0.281913
1032652800,28.809999,28.649275,0.160725
1032739200,NaN,28.601637,NaN
1032825600,NaN,28.553999,NaN
1032912000,NaN,28.506362,NaN
1032998400,NaN,28.458724,NaN
1033084800,NaN,28.411087,NaN
1033171200,NaN,28.363449,NaN
1033257600,NaN,28.315812,NaN
1033344000,28.084999,28.268174,-0.183175
1033430400,28.084999,28.220536,-0.135537
1033516800,NaN,28.172899,NaN
1033603200,NaN,28.125261,NaN
1033689600,NaN,28.077624,NaN
1033776000,NaN,28.029986,NaN
1033862400,27.264999,27.982349,-0.717349
1033948800,28.000000,27.934711,0.065289
1034035200,27.684999,27.887073,-0.202074
1034121600,NaN,27.839436,NaN
1034208000,NaN,27.791798,NaN
1034294400,NaN,27.744161,NaN
1034380800,27.080000,27.696523,-0.616523
1034467200,27.482500,27.648886,-0.166386
1034553600,NaN,27.601248,NaN
1034640000,NaN,27.553610,NaN
1034726400,26.449999,27.474403,-1.024404
1034812800,26.064999,27.395196,-1.330197
1034899200,26.465000,27.315989,-0.850988
1034985600,NaN,27.236781,NaN
1035072000,26.379999,27.157574,-0.777575
1035158400,NaN,27.078367,NaN
1035244800,NaN,26.999160,NaN
1035331200,NaN,26.919952,NaN
1035417600,26.099998,26.840745,-0.740747
1035504000,NaN,26.761538,NaN
1035590400,NaN,26.682330,NaN
1035676800,NaN,26.603123,NaN
1035763200,NaN,26.523916,NaN
1035849600,NaN,26.444709,NaN
1035936000,25.639999,26.365501,-0.725502
1036022400,26.674999,26.286294,0.388705
1036108800,NaN,26.207087,NaN
1036195200,NaN,26.127880,NaN
1036281600,NaN,26.048672,NaN
1036368000,NaN,25.969465,NaN
1036454400,NaN,25.890258,NaN
1036540800,NaN,25.811050,NaN
1036627200,25.754999,25.731843,0.023156
1036713600,NaN,25.652636,NaN
1036800000,NaN,25.573429,NaN
1036886400,NaN,25.494221,NaN
1036972800,NaN,25.415014,NaN
1037059200,NaN,25.335807,NaN
1037145600,25.160000,25.256599,-0.096600
1037232000,NaN,25.177392,NaN
1037318400,NaN,25.098185,NaN
1037404800,NaN,25.029060,NaN
1037491200,NaN,24.959934,NaN
1037577600,24.750000,24.890809,-0.140809
1037664000,NaN,24.821684,NaN
1037750400,NaN,24.752558,NaN
1037836800,24.330000,24.683433,-0.353433
1037923200,24.514999,24.614308,-0.099308
1038009600,NaN,24.545183,NaN
1038096000,NaN,24.476057,NaN
1038182400,NaN,24.406932,NaN
1038268800,NaN,24.337807,NaN
1038355200,NaN,24.268681,NaN
1038441600,NaN,24.199556,NaN
1038528000,23.345001,24.130431,-0.785430
1038614400,NaN,24.061305,NaN
1038700800,22.867500,23.992180,-1.124680
1038787200,23.320000,23.923055,-0.603055
1038873600,NaN,23.853930,NaN
1038960000,NaN,23.784804,NaN
