Time,mean,climatology,anomaly
1025740800,NaN,28.611922,NaN
1025827200,NaN,28.647077,NaN
1025913600,NaN,28.682233,NaN
1026000000,28.227499,28.717388,-0.489889
1026086400,NaN,28.752544,NaN
1026172800,NaN,28.787699,NaN
1026259200,NaN,28.822855,NaN
1026345600,NaN,28.858010,NaN
1026432000,NaN,28.893166,NaN
1026518400,NaN,28.928321,NaN
1026604800,28.014999,28.963477,-0.948477
1026691200,NaN,28.998632,NaN
1026777600,29.202499,29.013708,0.188792
1026864000,28.974998,29.028783,-0.053785
1026950400,29.537498,29.043859,0.493640
1027036800,28.934999,29.058934,-0.123935
1027123200,28.230000,29.074010,-0.844010
1027209600,NaN,29.089085,NaN
1027296000,NaN,29.104161,NaN
1027382400,NaN,29.119236,NaN
1027468800,NaN,29.134312,NaN
1027555200,28.990000,29.149388,-0.159388
1027641600,28.019999,29.164463,-1.144465
1027728000,NaN,29.179539,NaN
1027814400,29.087500,29.194614,-0.107114
1027900800,29.082500,29.209690,-0.127189
1028678400,NaN,29.345369,NaN
1028764800,NaN,29.360445,NaN
1028851200,NaN,29.375520,NaN
1028937600,29.512501,29.390596,0.121905
1029024000,28.619999,29.405671,-0.785673
1029110400,28.859999,29.420747,-0.560748
1029196800,NaN,29.435822,NaN
1029283200,28.934999,29.450898,-0.515899
1029369600,NaN,29.465974,NaN
1029456000,NaN,29.452317,NaN
1029542400,NaN,29.438660,NaN
1029628800,NaN,29.425003,NaN
1029715200,29.385000,29.411346,-0.026346
1029801600,NaN,29.397689,NaN
1029888000,NaN,29.384032,NaN
1029974400,NaN,29.370376,NaN
1030060800,NaN,29.356719,NaN
1030147200,29.299999,29.343062,-0.043063
1030233600,NaN,29.329405,NaN
1030320000,29.075001,29.315748,-0.240748
1030406400,29.070000,29.302091,-0.232092
1030492800,NaN,29.288435,NaN
1030579200,29.212498,29.274778,-0.062280
1030665600,NaN,29.261121,NaN
1030752000,NaN,29.247464,NaN
1030838400,NaN,29.233807,NaN
1030924800,29.652500,29.220150,0.432350
1031011200,NaN,29.206494,NaN
1031097600,NaN,29.192837,NaN
1031184000,NaN,29.179180,NaN
1031270400,NaN,29.165523,NaN
1031356800,NaN,29.151866,NaN
1031443200,29.260000,29.138209,0.121791
1031529600,29.320000,29.124552,0.195447
1031616000,29.459999,29.110896,0.349103
1031702400,NaN,29.097239,NaN
1031788800,NaN,29.083582,NaN
1031875200,NaN,29.069925,NaN
1031961600,NaN,29.056268,NaN
1032048000,NaN,29.042611,NaN
1032134400,29.205000,29.012180,0.192820
1032220800,NaN,28.981748,NaN
1032307200,29.172501,28.951317,0.221184
1032393600,NaN,28.920885,NaN
1032480000,29.119999,28.890454,0.229545
1032566400,28.882500,28.860022,0.022477
1032652800,29.002499,28.829591,0.172908
1032739200,NaN,28.799159,NaN
1032825600,NaN,28.768728,NaN
1032912000,NaN,28.738296,NaN
1032998400,NaN,28.707865,NaN
1033084800,28.500000,28.677433,-0.177433
1033171200,28.322498,28.647002,-0.324503
1033257600,28.355000,28.616570,-0.261571
1033344000,28.434999,28.586139,-0.151139
1033430400,NaN,28.555707,NaN
1033516800,28.240000,28.525276,-0.285276
1033603200,NaN,28.494844,NaN
1033689600,NaN,28.464413,NaN
1033776000,27.939999,28.433981,-0.493983
1033862400,28.154999,28.403550,-0.248551
1033948800,27.894999,28.373118,-0.478120
1034035200,27.980000,28.342687,-0.362687
1034121600,28.195000,28.312255,-0.117255
1034208000,27.619999,28.281824,-0.661825
1034294400,27.790001,28.251392,-0.461391
1034380800,28.014999,28.220961,-0.205961
1034467200,28.224998,28.190529,0.034469
1034553600,NaN,28.160098,NaN
1034640000,NaN,28.129666,NaN
1034726400,28.004999,28.077796,-0.072797
1034812800,NaN,28.025926,NaN
1034899200,27.934999,27.974056,-0.039056
1034985600,NaN,27.922186,NaN
1035072000,NaN,27.870315,NaN
1035158400,NaN,27.818445,NaN
1035244800,27.625000,27.766575,-0.141575
1035331200,27.494999,27.714705,-0.219706
1035417600,27.654999,27.662835,-0.007836
1035504000,26.885000,27.610965,-0.725965
1035590400,27.170000,27.559095,-0.389095
1035676800,27.875000,27.507225,0.367775
1035763200,27.785000,27.455354,0.329645
1035849600,28.010000,27.403484,0.606516
1035936000,NaN,27.351614,NaN
1036022400,27.789999,27.299744,0.490255
1036108800,NaN,27.247874,NaN
1036195200,NaN,27.196004,NaN
1036281600,27.775000,27.144134,0.630866
1036368000,NaN,27.092264,NaN
1036454400,28.144999,27.040393,1.104605
1036540800,25.939999,26.988523,-1.048525
1036627200,27.840000,26.936653,0.903347
1036713600,27.665001,26.884783,0.780218
1036800000,25.574999,26.832913,-1.257914
1036886400,27.439999,26.781043,0.658956
1036972800,27.709999,26.729173,0.980826
1037059200,27.144999,26.677303,0.467696
1037145600,27.689999,26.625432,1.064566
1037232000,26.965000,26.573562,0.391438
1037318400,NaN,26.521692,NaN
1037404800,NaN,26.476287,NaN
1037491200,NaN,26.430881,NaN
1037577600,27.105000,26.385476,0.719524
1037664000,NaN,26.340071,NaN
1037750400,NaN,26.294665,NaN
1037836800,NaN,26.249260,NaN
1037923200,NaN,26.203854,NaN
1038009600,26.552498,26.158449,0.394049
1038096000,25.955000,26.113044,-0.158044
1038182400,25.974998,26.067638,-0.092640
1038268800,NaN,26.022233,NaN
1038355200,25.644999,25.976827,-0.331829
1038441600,NaN,25.931422,NaN
1038528000,26.269999,25.886017,0.383982
1038614400,25.840000,25.840611,-0.000611
1038700800,NaN,25.795206,NaN
1038787200,NaN,25.749800,NaN
1038873600,NaN,25.704395,NaN
1038960000,NaN,25.658989,NaN
1039046400,25.424999,25.613584,-0.188585
1039132800,NaN,25.568179,NaN
1039219200,NaN,25.522773,NaN
1039305600,NaN,25.477368,NaN
1039392000,NaN,25.431962,NaN
1039478400,NaN,25.386557,NaN
1039564800,24.180000,25.341152,-1.161151
1039651200,NaN,25.295746,NaN
1039737600,NaN,25.250341,NaN
1039824000,23.692499,25.204935,-1.512436
1039910400,23.344999,25.159530,-1.814531
1039996800,25.115000,25.126547,-0.011547
1040083200,24.969999,25.093565,-0.123565
1040169600,NaN,25.060582,NaN
1040256000,NaN,25.027599,NaN
1040342400,24.969999,24.994616,-0.024617
1040428800,24.502499,24.961634,-0.459135
1040515200,NaN,24.928651,NaN
1040601600,24.769999,24.895668,-0.125670
1040688000,NaN,24.862685,NaN
1040774400,NaN,24.829703,NaN
1040860800,25.269999,24.796720,0.473279
1040947200,NaN,24.763737,NaN
1041033600,22.914999,24.730754,-1.815755
1041120000,24.519999,24.697772,-0.177773
1041206400,24.074999,24.664789,-0.589790
1041292800,NaN,24.631806,NaN
1041379200,NaN,24.598823,NaN
1041465600,NaN,24.565841,NaN
1041552000,NaN,24.532858,NaN
1041638400,25.055000,24.499875,0.555125
1041724800,24.150000,24.466893,-0.316893
1041811200,23.677500,24.433910,-0.756410
1041897600,NaN,24.400927,NaN
1041984000,23.295000,24.367944,-1.072944
1042070400,24.605000,24.334962,0.270038
1042156800,24.350000,24.301979,0.048022
1042243200,NaN,24.268996,NaN
1042329600,NaN,24.236013,NaN
1042416000,NaN,24.203031,NaN
1042502400,NaN,24.170048,NaN
1042588800,NaN,24.137065,NaN
1042675200,NaN,24.123618,NaN
1042761600,23.424999,24.110171,-0.685172
1042848000,23.494999,24.096724,-0.601725
1042934400,22.885000,24.083276,-1.198276
1043020800,22.820000,24.069829,-1.249830
1043107200,22.189999,24.056382,-1.866383
1043193600,22.082500,24.042935,-1.960434
1043280000,NaN,24.029488,NaN
1043366400,21.924999,24.016040,-2.091041
1043452800,NaN,24.002593,NaN
1043539200,21.895000,23.989146,-2.094146
1043625600,NaN,23.975699,NaN
1043712000,NaN,23.962252,NaN
1043798400,NaN,23.948804,NaN
1043884800,NaN,23.935357,NaN
1043971200,NaN,23.921910,NaN
1044057600,21.785000,23.908463,-2.123463
1044144000,22.367500,23.895016,-1.527515
1044230400,NaN,23.881568,NaN
1044316800,22.365000,23.868121,-1.503122
1044403200,22.379999,23.854674,-1.474675
1044489600,NaN,23.841227,NaN
1044576000,24.072498,23.827780,0.244719
1044662400,NaN,23.814332,NaN
1044748800,NaN,23.800885,NaN
1044835200,22.160000,23.787438,-1.627438
1044921600,22.680000,23.773991,-1.093991
1045008000,22.712500,23.760544,-1.048044
1045094400,22.555000,23.747097,-1.192096
1045180800,23.164999,23.733649,-0.568650
1045267200,NaN,23.720202,NaN
1045353600,22.197500,23.735043,-1.537543
1045440000,NaN,23.749883,NaN
1045526400,24.955000,23.764724,1.190276
1045612800,NaN,23.779565,NaN
1045699200,NaN,23.794405,NaN
1045785600,NaN,23.809246,NaN
1045872000,22.805000,23.824087,-1.019087
1045958400,NaN,23.838928,NaN
1046044800,NaN,23.853768,NaN
1046131200,NaN,23.868609,NaN
1046217600,NaN,23.883450,NaN
1046304000,23.145000,23.898290,-0.753290
1046390400,NaN,23.913131,NaN
1046476800,23.072498,23.927972,-0.855473
1046563200,NaN,23.942812,NaN
1046649600,NaN,23.957653,NaN
1046736000,NaN,23.972494,NaN
1046822400,24.035000,23.987334,0.047666
1046908800,26.152500,24.002175,2.150325
1046995200,26.010000,24.017016,1.992985
1047081600,26.074999,24.031856,2.043143
1047168000,25.574999,24.046697,1.528302
1047254400,NaN,24.061538,NaN
1047340800,NaN,24.076378,NaN
1047427200,NaN,24.091219,NaN
1047513600,NaN,24.106060,NaN
1047686400,NaN,24.135741,NaN
1047772800,24.969999,24.167525,0.802474
1047859200,NaN,24.199309,NaN
1047945600,24.384998,24.231093,0.153905
1048032000,NaN,24.262877,NaN
1048118400,NaN,24.294661,NaN
1048204800,NaN,24.326445,NaN
1048291200,24.525000,24.358230,0.166770
1048377600,NaN,24.390014,NaN
1048464000,NaN,24.421798,NaN
1048550400,25.404999,24.453582,0.951417
1048636800,NaN,24.485366,NaN
1048723200,NaN,24.517150,NaN
1048809600,NaN,24.548934,NaN
1048896000,24.477501,24.580718,-0.103217
1048982400,24.389999,24.612502,-0.222503
1049068800,NaN,24.644286,NaN
1049155200,NaN,24.676070,NaN
1049241600,24.150000,24.707855,-0.557855
1049328000,23.529999,24.739639,-1.209640
1049414400,NaN,24.771423,NaN
1049500800,24.492500,24.803207,-0.310706
1049587200,NaN,24.834991,NaN
1049673600,NaN,24.866775,NaN
1049760000,NaN,24.898559,NaN
1049846400,NaN,24.930343,NaN
1049932800,NaN,24.962127,NaN
1050019200,NaN,24.993911,NaN
1050105600,25.079998,25.025695,0.054303
1050192000,NaN,25.057479,NaN
1050278400,25.472500,25.089264,0.383236
1050364800,NaN,25.121048,NaN
1050451200,NaN,25.166235,NaN
1050537600,NaN,25.211422,NaN
1050624000,24.975000,25.256610,-0.281609
1050710400,25.660000,25.301797,0.358203
1050796800,NaN,25.346984,NaN
1050883200,NaN,25.392171,NaN
1050969600,24.900000,25.437359,-0.537359
1051056000,25.287498,25.482546,-0.195047
1051142400,25.059999,25.527733,-0.467734
1051228800,24.840000,25.572920,-0.732920
1051315200,NaN,25.618108,NaN
1051401600,25.629999,25.663295,-0.033296
1051488000,NaN,25.708482,NaN
1051574400,NaN,25.753670,NaN
1051660800,25.622499,25.798857,-0.176357
1051747200,NaN,25.844044,NaN
1051833600,26.497499,25.889231,0.608268
1051920000,26.414999,25.934419,0.480580
1052006400,26.184999,25.979606,0.205393
1052092800,26.279999,26.024793,0.255206
1052179200,NaN,26.069981,NaN
1052265600,NaN,26.115168,NaN
1052352000,26.285000,26.160355,0.124645
1052438400,26.170000,26.205542,-0.035542
1052524800,27.115000,26.250730,0.864270
1052611200,27.219999,26.295917,0.924082
1052697600,NaN,26.341104,NaN
1052784000,27.205000,26.386291,0.818708
1052870400,27.129999,26.431479,0.698520
1052956800,NaN,26.476666,NaN
1053043200,27.455000,26.523998,0.931002
1053129600,27.295000,26.571331,0.723669
1053216000,NaN,26.618663,NaN
1053302400,27.605000,26.665995,0.939004
1053388800,27.309999,26.713328,0.596672
1053475200,27.859999,26.760660,1.099339
1053561600,NaN,26.807992,NaN
1053648000,NaN,26.855325,NaN
1053734400,NaN,26.902657,NaN
1053820800,NaN,26.949989,NaN
1053907200,27.512499,26.997321,0.515177
1053993600,27.375000,27.044654,0.330346
1054080000,NaN,27.091986,NaN
1054166400,NaN,27.139318,NaN
1054252800,27.080000,27.186651,-0.106651
1054339200,NaN,27.233983,NaN
1054425600,26.564999,27.281315,-0.716317
1054512000,26.402500,27.328648,-0.926147
1054598400,NaN,27.375980,NaN
1054684800,NaN,27.423312,NaN
1054771200,NaN,27.470645,NaN
1054857600,27.480000,27.517977,-0.037977
1054944000,27.459999,27.565309,-0.105310
1055030400,27.664999,27.612641,0.052358
1055116800,NaN,27.659974,NaN
1055203200,28.224998,27.707306,0.517692
1055289600,28.469999,27.754638,0.715361
1055376000,NaN,27.801971,NaN
1055462400,28.742500,27.849303,0.893197
1055548800,28.385000,27.896635,0.488365
1055635200,NaN,27.943968,NaN
1055721600,NaN,27.979123,NaN
1055808000,28.367500,28.014279,0.353222
1055894400,NaN,28.049434,NaN
1055980800,NaN,28.084590,NaN
1056067200,NaN,28.119745,NaN
1056153600,NaN,28.154901,NaN
1056240000,28.135000,28.190056,-0.055056
1056326400,NaN,28.225212,NaN
1056412800,NaN,28.260367,NaN
1056499200,NaN,28.295523,NaN
1056585600,27.449999,28.330678,-0.880679
1056672000,28.622499,28.365834,0.256666
1056758400,NaN,28.400989,NaN
1056844800,NaN,28.436144,NaN
1056931200,NaN,28.471300,NaN
1057017600,27.862499,28.506455,-0.643956
1057104000,NaN,28.541611,NaN
1057190400,NaN,28.576766,NaN
1057276800,28.764999,28.611922,0.153077
1057363200,NaN,28.647077,NaN
1057449600,NaN,28.682233,NaN
1057536000,NaN,28.717388,NaN
1057622400,NaN,28.752544,NaN
1057708800,NaN,28.787699,NaN
1057795200,NaN,28.822855,NaN
1057881600,NaN,28.858010,NaN
1057968000,NaN,28.893166,NaN
1058054400,28.637499,28.928321,-0.290822
1058140800,28.639999,28.963477,-0.323477
1058227200,NaN,28.998632,NaN
1058313600,NaN,29.013708,NaN
1058400000,NaN,29.028783,NaN
1058486400,NaN,29.043859,NaN
1058572800,28.809999,29.058934,-0.248935
1058659200,28.629999,29.074010,-0.444011
1058745600,29.059999,29.089085,-0.029086
1058832000,29.135000,29.104161,0.030839
1058918400,28.139999,29.119236,-0.979237
1059004800,NaN,29.134312,NaN
1059091200,NaN,29.149388,NaN
1059177600,28.799999,29.164463,-0.364464
1059264000,28.480000,29.179539,-0.699539
1059350400,29.355000,29.194614,0.160385
1059436800,NaN,29.209690,NaN
1059523200,28.852499,29.224765,-0.372266
1059609600,28.934999,29.239841,-0.304841
1059696000,NaN,29.254916,NaN
1059782400,NaN,29.269992,NaN
1059868800,NaN,29.285067,NaN
1059955200,28.900000,29.300143,-0.400143
1060041600,NaN,29.315218,NaN
1060128000,NaN,29.330294,NaN
1060214400,NaN,29.345369,NaN
1060300800,NaN,29.360445,NaN
1060387200,NaN,29.375520,NaN
1060473600,NaN,29.390596,NaN
1060560000,28.439999,29.405671,-0.965673
1060646400,NaN,29.420747,NaN
1060732800,NaN,29.435822,NaN
1060819200,NaN,29.450898,NaN
1060905600,NaN,29.465974,NaN
1060992000,29.615000,29.452317,0.162683
1061078400,NaN,29.438660,NaN
1061164800,NaN,29.425003,NaN
1061251200,NaN,29.411346,NaN
1061337600,28.799999,29.397689,-0.597690
1061424000,NaN,29.384032,NaN
1061510400,NaN,29.370376,NaN
1061596800,29.090000,29.356719,-0.266719
1061683200,28.660000,29.343062,-0.683062
1061769600,28.980000,29.329405,-0.349406
1061856000,29.224998,29.315748,-0.090750
1061942400,NaN,29.302091,NaN
1062028800,NaN,29.288435,NaN
1062115200,28.849998,29.274778,-0.424779
1062201600,28.750000,29.261121,-0.511121
1062288000,28.587498,29.247464,-0.659966
1062374400,NaN,29.233807,NaN
1062460800,NaN,29.220150,NaN
1062547200,28.492500,29.206494,-0.713993
1062633600,NaN,29.192837,NaN
1062720000,28.695000,29.179180,-0.484180
1062806400,NaN,29.165523,NaN
1062892800,NaN,29.151866,NaN
1062979200,28.974998,29.138209,-0.163211
1063065600,NaN,29.124552,NaN
1063152000,28.769999,29.110896,-0.340897
1063238400,28.139999,29.097239,-0.957239
1063324800,28.762501,29.083582,-0.321081
1063411200,NaN,29.069925,NaN
1063497600,NaN,29.056268,NaN
1063584000,29.254999,29.042611,0.212388
1063670400,29.125000,29.012180,0.112820
1063756800,28.862499,28.981748,-0.119249
1063843200,28.070000,28.951317,-0.881317
1063929600,29.139999,28.920885,0.219114
1064016000,NaN,28.890454,NaN
1064102400,NaN,28.860022,NaN
1064188800,28.439999,28.829591,-0.389592
1064275200,NaN,28.799159,NaN
1064361600,NaN,28.768728,NaN
1064448000,NaN,28.738296,NaN
1064534400,NaN,28.707865,NaN
1064620800,28.689999,28.677433,0.012565
1064707200,28.879999,28.647002,0.232997
1064793600,NaN,28.616570,NaN
1064880000,NaN,28.586139,NaN
1064966400,NaN,28.555707,NaN
1065052800,NaN,28.525276,NaN
1065139200,NaN,28.494844,NaN
1065225600,NaN,28.464413,NaN
1065312000,NaN,28.433981,NaN
1065398400,NaN,28.403550,NaN
1065484800,28.910000,28.373118,0.536882
1065571200,NaN,28.342687,NaN
1065657600,28.170000,28.312255,-0.142255
1065744000,NaN,28.281824,NaN
1065830400,NaN,28.251392,NaN
1065916800,28.430000,28.220961,0.209040
1066003200,28.414999,28.190529,0.224470
1066089600,28.494999,28.160098,0.334901
1066176000,NaN,28.129666,NaN
1066262400,28.724998,28.077796,0.647203
1066348800,NaN,28.025926,NaN
1066435200,28.129999,27.974056,0.155943
1066521600,NaN,27.922186,NaN
1066608000,NaN,27.870315,NaN
1066694400,NaN,27.818445,NaN
1066780800,NaN,27.766575,NaN
1066867200,28.117500,27.714705,0.402795
1066953600,27.855000,27.662835,0.192165
