Time,mean,climatology,anomaly
1025740800,28.177500,28.769360,-0.591860
1025827200,NaN,28.805537,NaN
1025913600,NaN,28.841715,NaN
1026000000,27.684999,28.877893,-1.192894
1026086400,NaN,28.914071,NaN
1026172800,27.809999,28.950249,-1.140249
1026259200,NaN,28.986426,NaN
1026345600,28.670000,29.022604,-0.352604
1026432000,NaN,29.058782,NaN
1026518400,NaN,29.094960,NaN
1026604800,NaN,29.131138,NaN
1026691200,28.974998,29.167316,-0.192317
1026777600,NaN,29.183611,NaN
1026864000,NaN,29.199906,NaN
1026950400,29.209999,29.216201,-0.006202
1027036800,29.244999,29.232496,0.012503
1027123200,29.490000,29.248791,0.241208
1027209600,NaN,29.265086,NaN
1027296000,29.847500,29.281382,0.566118
1027382400,30.275000,29.297677,0.977323
1027468800,29.879999,29.313972,0.566027
1027555200,NaN,29.330267,NaN
1027641600,29.744999,29.346562,0.398437
1027728000,NaN,29.362857,NaN
1027814400,29.564999,29.379153,0.185846
1027900800,30.080000,29.395448,0.684552
1028678400,NaN,29.542104,NaN
1028764800,NaN,29.558399,NaN
1028851200,NaN,29.574694,NaN
1028937600,NaN,29.590990,NaN
1029024000,NaN,29.607285,NaN
1029110400,29.215000,29.623580,-0.408580
1029196800,NaN,29.639875,NaN
1029283200,NaN,29.656170,NaN
1029369600,NaN,29.672465,NaN
1029456000,28.357498,29.651256,-1.293758
1029542400,28.955000,29.630046,-0.675046
1029628800,29.109999,29.608837,-0.498838
1029715200,NaN,29.587627,NaN
1029801600,NaN,29.566418,NaN
1029888000,NaN,29.545208,NaN
1029974400,NaN,29.523999,NaN
1030060800,29.730000,29.502789,0.227210
1030147200,29.900000,29.481580,0.418420
1030233600,29.709999,29.460370,0.249629
1030320000,30.230000,29.439160,0.790839
1030406400,NaN,29.417951,NaN
1030492800,NaN,29.396741,NaN
1030579200,30.035000,29.375532,0.659468
1030665600,NaN,29.354322,NaN
1030752000,NaN,29.333113,NaN
1030838400,29.510000,29.311903,0.198097
1030924800,NaN,29.290694,NaN
1031011200,NaN,29.269484,NaN
1031097600,29.094999,29.248274,-0.153275
1031184000,NaN,29.227065,NaN
1031270400,NaN,29.205855,NaN
1031356800,NaN,29.184646,NaN
1031443200,NaN,29.163436,NaN
1031529600,NaN,29.142227,NaN
1031616000,NaN,29.121017,NaN
1031702400,NaN,29.099808,NaN
1031788800,28.664999,29.078598,-0.413599
1031875200,28.084999,29.057389,-0.972389
1031961600,28.769999,29.036179,-0.266180
1032048000,NaN,29.014969,NaN
1032134400,NaN,28.969707,NaN
1032220800,NaN,28.924445,NaN
1032307200,NaN,28.879182,NaN
1032393600,NaN,28.833920,NaN
1032480000,NaN,28.788657,NaN
1032566400,NaN,28.743395,NaN
1032652800,28.535000,28.698133,-0.163133
1032739200,NaN,28.652870,NaN
1032825600,NaN,28.607608,NaN
1032912000,NaN,28.562345,NaN
1032998400,NaN,28.517083,NaN
1033084800,28.025000,28.471821,-0.446821
1033171200,28.144999,28.426558,-0.281560
1033257600,28.055000,28.381296,-0.326296
1033344000,27.740000,28.336033,-0.596034
1033430400,27.807499,28.290771,-0.483272
1033516800,NaN,28.245509,NaN
1033603200,NaN,28.200246,NaN
1033689600,NaN,28.154984,NaN
1033776000,NaN,28.109721,NaN
1033862400,27.840000,28.064459,-0.224459
1033948800,27.914999,28.019197,-0.104198
1034035200,27.865000,27.973934,-0.108934
1034121600,NaN,27.928672,NaN
1034208000,NaN,27.883409,NaN
1034294400,27.039999,27.838147,-0.798148
1034380800,27.199999,27.792885,-0.592886
1034467200,27.549999,27.747622,-0.197623
1034553600,NaN,27.702360,NaN
1034640000,NaN,27.657097,NaN
1034726400,26.859999,27.572566,-0.712568
1034812800,26.029999,27.488035,-1.458036
1034899200,NaN,27.403504,NaN
1034985600,NaN,27.318973,NaN
1035072000,NaN,27.234442,NaN
1035158400,NaN,27.149911,NaN
1035244800,NaN,27.065379,NaN
1035331200,26.760000,26.980848,-0.220848
1035417600,NaN,26.896317,NaN
1035504000,NaN,26.811786,NaN
1035590400,NaN,26.727255,NaN
1035676800,NaN,26.642724,NaN
1035763200,NaN,26.558193,NaN
1035849600,NaN,26.473661,NaN
1035936000,NaN,26.389130,NaN
1036022400,NaN,26.304599,NaN
1036108800,NaN,26.220068,NaN
1036195200,NaN,26.135537,NaN
1036281600,NaN,26.051006,NaN
1036368000,NaN,25.966475,NaN
1036454400,NaN,25.881943,NaN
1036540800,25.974998,25.797412,0.177586
1036627200,25.969999,25.712881,0.257118
1036713600,NaN,25.628350,NaN
1036800000,NaN,25.543819,NaN
1036886400,NaN,25.459288,NaN
1036972800,26.019999,25.374757,0.645242
1037059200,NaN,25.290225,NaN
1037145600,NaN,25.205694,NaN
1037232000,NaN,25.121163,NaN
1037318400,NaN,25.036632,NaN
1037404800,NaN,24.968319,NaN
1037491200,NaN,24.900006,NaN
1037577600,24.775000,24.831693,-0.056693
1037664000,NaN,24.763380,NaN
1037750400,NaN,24.695066,NaN
1037836800,NaN,24.626753,NaN
1037923200,24.750000,24.558440,0.191560
1038009600,24.404999,24.490127,-0.085128
1038096000,NaN,24.421814,NaN
1038182400,24.094999,24.353501,-0.258501
1038268800,NaN,24.285188,NaN
1038355200,NaN,24.216874,NaN
1038441600,NaN,24.148561,NaN
1038528000,22.904999,24.080248,-1.175249
1038614400,NaN,24.011935,NaN
1038700800,NaN,23.943622,NaN
1038787200,23.724998,23.875309,-0.150310
1038873600,NaN,23.806996,NaN
1038960000,NaN,23.738683,NaN
1039046400,NaN,23.670369,NaN
1039132800,NaN,23.602056,NaN
1039219200,NaN,23.533743,NaN
1039305600,NaN,23.465430,NaN
1039392000,NaN,23.397117,NaN
1039478400,NaN,23.328804,NaN
1039564800,NaN,23.260491,NaN
1039651200,NaN,23.192177,NaN
1039737600,23.007500,23.123864,-0.116365
1039824000,NaN,23.055551,NaN
1039910400,21.625000,22.987238,-1.362238
1039996800,22.344999,22.933402,-0.588402
1040083200,NaN,22.879565,NaN
1040169600,22.004999,22.825729,-0.820730
1040256000,NaN,22.771893,NaN
1040342400,NaN,22.718056,NaN
1040428800,NaN,22.664220,NaN
1040515200,21.807499,22.610384,-0.802885
1040601600,NaN,22.556547,NaN
1040688000,NaN,22.502711,NaN
1040774400,NaN,22.448875,NaN
1040860800,NaN,22.395038,NaN
1040947200,NaN,22.341202,NaN
1041033600,NaN,22.287366,NaN
1041120000,20.984999,22.233529,-1.248531
1041206400,NaN,22.179693,NaN
1041292800,NaN,22.125857,NaN
1041379200,20.770000,22.072020,-1.302020
1041465600,NaN,22.018184,NaN
1041552000,20.650000,21.964348,-1.314348
1041638400,20.344999,21.910511,-1.565512
1041724800,20.010000,21.856675,-1.846675
1041811200,NaN,21.802839,NaN
1041897600,NaN,21.749002,NaN
1041984000,20.059999,21.695166,-1.635166
1042070400,20.215000,21.641330,-1.426329
1042156800,NaN,21.587493,NaN
1042243200,19.654999,21.533657,-1.878658
1042329600,NaN,21.479821,NaN
1042416000,NaN,21.425984,NaN
1042502400,19.820000,21.372148,-1.552148
1042588800,NaN,21.318312,NaN
1042675200,NaN,21.303283,NaN
1042761600,NaN,21.288255,NaN
1042848000,NaN,21.273227,NaN
1042934400,19.445000,21.258199,-1.813199
1043020800,NaN,21.243170,NaN
1043107200,20.049999,21.228142,-1.178143
1043193600,NaN,21.213114,NaN
1043280000,NaN,21.198086,NaN
1043366400,NaN,21.183058,NaN
1043452800,NaN,21.168029,NaN
1043539200,NaN,21.153001,NaN
1043625600,NaN,21.137973,NaN
1043712000,NaN,21.122945,NaN
1043798400,NaN,21.107916,NaN
1043884800,NaN,21.092888,NaN
1043971200,NaN,21.077860,NaN
1044057600,NaN,21.062832,NaN
1044144000,20.064999,21.047804,-0.982805
1044230400,NaN,21.032775,NaN
1044316800,20.115000,21.017747,-0.902747
1044403200,NaN,21.002719,NaN
1044489600,NaN,20.987691,NaN
1044576000,NaN,20.972662,NaN
1044662400,NaN,20.957634,NaN
1044748800,NaN,20.942606,NaN
1044835200,NaN,20.927578,NaN
1044921600,20.084999,20.912550,-0.827550
1045008000,NaN,20.897521,NaN
1045094400,NaN,20.882493,NaN
1045180800,NaN,20.867465,NaN
1045267200,NaN,20.852437,NaN
1045353600,NaN,20.862566,NaN
1045440000,NaN,20.872695,NaN
1045526400,19.730000,20.882824,-1.152824
1045612800,NaN,20.892953,NaN
1045699200,NaN,20.903082,NaN
1045785600,NaN,20.913211,NaN
1045872000,NaN,20.923340,NaN
1045958400,19.510000,20.933469,-1.423469
1046044800,19.510000,20.943599,-1.433598
1046131200,NaN,20.953728,NaN
1046217600,NaN,20.963857,NaN
1046304000,NaN,20.973986,NaN
1046390400,NaN,20.984115,NaN
1046476800,NaN,20.994244,NaN
1046563200,NaN,21.004373,NaN
1046649600,NaN,21.014502,NaN
1046736000,NaN,21.024631,NaN
1046822400,NaN,21.034760,NaN
1046908800,NaN,21.044890,NaN
1046995200,NaN,21.055019,NaN
1047081600,NaN,21.065148,NaN
1047168000,NaN,21.075277,NaN
1047254400,20.169998,21.085406,-0.915408
1047340800,NaN,21.095535,NaN
1047427200,NaN,21.105664,NaN
1047513600,NaN,21.115793,NaN
1047686400,NaN,21.136052,NaN
1047772800,NaN,21.174076,NaN
1047859200,NaN,21.212100,NaN
1047945600,NaN,21.250125,NaN
1048032000,NaN,21.288149,NaN
1048118400,NaN,21.326173,NaN
1048204800,NaN,21.364198,NaN
1048291200,NaN,21.402222,NaN
1048377600,NaN,21.440247,NaN
1048464000,NaN,21.478271,NaN
1048550400,NaN,21.516295,NaN
1048636800,NaN,21.554320,NaN
1048723200,NaN,21.592344,NaN
1048809600,21.039999,21.630368,-0.590369
1048896000,NaN,21.668393,NaN
1048982400,NaN,21.706417,NaN
1049068800,NaN,21.744442,NaN
1049155200,NaN,21.782466,NaN
1049241600,NaN,21.820490,NaN
1049328000,NaN,21.858515,NaN
1049414400,20.889999,21.896539,-1.006540
1049500800,NaN,21.934563,NaN
1049587200,NaN,21.972588,NaN
