Time,mean,climatology,anomaly
1025740800,NaN,27.750508,NaN
1025827200,NaN,27.788461,NaN
1025913600,NaN,27.826413,NaN
1026000000,27.139999,27.864365,-0.724365
1026086400,NaN,27.902317,NaN
1026172800,NaN,27.940269,NaN
1026259200,NaN,27.978221,NaN
1026345600,NaN,28.016174,NaN
1026432000,NaN,28.054126,NaN
1026518400,26.840000,28.092078,-1.252078
1026604800,NaN,28.130030,NaN
1026691200,NaN,28.167982,NaN
1026777600,27.605000,28.180372,-0.575372
1026864000,NaN,28.192761,NaN
1026950400,28.019999,28.205150,-0.185152
1027036800,27.525000,28.217539,-0.692540
1027123200,NaN,28.229929,NaN
1027209600,NaN,28.242318,NaN
1027296000,NaN,28.254707,NaN
1027382400,NaN,28.267097,NaN
1027468800,NaN,28.279486,NaN
1027555200,NaN,28.291875,NaN
1027641600,NaN,28.304265,NaN
1027728000,NaN,28.316654,NaN
1027814400,28.519999,28.329043,0.190955
1027900800,NaN,28.341433,NaN
1028678400,NaN,28.452936,NaN
1028764800,28.219999,28.465326,-0.245326
1028851200,27.619999,28.477715,-0.857716
1028937600,28.599998,28.490104,0.109894
1029024000,NaN,28.502494,NaN
1029110400,NaN,28.514883,NaN
1029196800,NaN,28.527272,NaN
1029283200,28.539999,28.539662,0.000337
1029369600,NaN,28.552051,NaN
1029456000,NaN,28.545373,NaN
1029542400,NaN,28.538694,NaN
1029628800,27.769999,28.532016,-0.762017
1029715200,29.064999,28.525337,0.539661
1029801600,27.852499,28.518659,-0.666160
1029888000,28.309999,28.511981,-0.201981
1029974400,28.260000,28.505302,-0.245302
1030060800,NaN,28.498624,NaN
1030147200,28.562500,28.491946,0.070554
1030233600,NaN,28.485267,NaN
1030320000,28.549999,28.478589,0.071410
1030406400,27.535000,28.471911,-0.936911
1030492800,NaN,28.465232,NaN
1030579200,27.974998,28.458554,-0.483555
1030665600,NaN,28.451876,NaN
1030752000,NaN,28.445197,NaN
1030838400,NaN,28.438519,NaN
1030924800,28.109999,28.431841,-0.321842
1031011200,NaN,28.425162,NaN
1031097600,NaN,28.418484,NaN
1031184000,NaN,28.411805,NaN
1031270400,NaN,28.405127,NaN
1031356800,NaN,28.398449,NaN
1031443200,28.769999,28.391770,0.378228
1031529600,29.019999,28.385092,0.634906
1031616000,28.972500,28.378414,0.594086
1031702400,NaN,28.371735,NaN
1031788800,NaN,28.365057,NaN
1031875200,NaN,28.358379,NaN
1031961600,NaN,28.351700,NaN
1032048000,NaN,28.345022,NaN
1032134400,NaN,28.314055,NaN
1032220800,NaN,28.283088,NaN
1032307200,28.855000,28.252121,0.602879
1032393600,NaN,28.221153,NaN
1032480000,29.035000,28.190186,0.844814
1032566400,NaN,28.159219,NaN
1032652800,28.334999,28.128252,0.206747
1032739200,NaN,28.097285,NaN
1032825600,NaN,28.066318,NaN
1032912000,NaN,28.035351,NaN
1032998400,NaN,28.004383,NaN
1033084800,28.494999,27.973416,0.521583
1033171200,27.414999,27.942449,-0.527450
1033257600,27.217499,27.911482,-0.693983
1033344000,27.027500,27.880515,-0.853015
1033430400,27.144999,27.849548,-0.704549
1033516800,27.974998,27.818581,0.156418
1033603200,NaN,27.787613,NaN
1033689600,NaN,27.756646,NaN
1033776000,28.000000,27.725679,0.274321
1033862400,28.080000,27.694712,0.385288
1033948800,28.129999,27.663745,0.466254
1034035200,28.004999,27.632778,0.372222
1034121600,28.055000,27.601811,0.453190
1034208000,28.019999,27.570843,0.449155
1034294400,NaN,27.539876,NaN
1034380800,NaN,27.508909,NaN
1034467200,28.330000,27.477942,0.852058
1034553600,NaN,27.446975,NaN
1034640000,NaN,27.416008,NaN
1034726400,28.289999,27.349688,0.940311
1034812800,NaN,27.283368,NaN
1034899200,26.955000,27.217048,-0.262048
1034985600,NaN,27.150728,NaN
1035072000,NaN,27.084409,NaN
1035158400,NaN,27.018089,NaN
1035244800,27.287498,26.951769,0.335730
1035331200,NaN,26.885449,NaN
1035417600,27.564999,26.819129,0.745869
1035504000,NaN,26.752809,NaN
1035590400,27.064999,26.686490,0.378509
1035676800,27.805000,26.620170,1.184830
1035763200,27.799999,26.553850,1.246149
1035849600,27.829998,26.487530,1.342468
1035936000,NaN,26.421210,NaN
1036022400,27.549999,26.354891,1.195109
1036108800,NaN,26.288571,NaN
1036195200,NaN,26.222251,NaN
1036281600,27.014999,26.155931,0.859068
1036368000,NaN,26.089611,NaN
1036454400,26.840000,26.023291,0.816709
1036540800,26.795000,25.956972,0.838028
1036627200,25.805000,25.890652,-0.085652
1036713600,NaN,25.824332,NaN
1036800000,NaN,25.758012,NaN
1036886400,26.224998,25.691692,0.533306
