Date,Mean,Climatology,Anomaly
2002-07-04,NaN,27.750508,NaN
2002-07-05,NaN,27.788461,NaN
2002-07-06,NaN,27.826413,NaN
2002-07-07,27.139999,27.864365,-0.724365
2002-07-08,NaN,27.902317,NaN
2002-07-09,NaN,27.940269,NaN
2002-07-10,NaN,27.978221,NaN
2002-07-11,NaN,28.016174,NaN
2002-07-12,NaN,28.054126,NaN
2002-07-13,26.840000,28.092078,-1.252078
2002-07-14,NaN,28.130030,NaN
2002-07-15,NaN,28.167982,NaN
2002-07-16,27.605000,28.180372,-0.575372
2002-07-17,NaN,28.192761,NaN
2002-07-18,28.019999,28.205150,-0.185152
2002-07-19,27.525000,28.217539,-0.692540
2002-07-20,NaN,28.229929,NaN
2002-07-21,NaN,28.242318,NaN
2002-07-22,NaN,28.254707,NaN
2002-07-23,NaN,28.267097,NaN
2002-07-24,NaN,28.279486,NaN
2002-07-25,NaN,28.291875,NaN
2002-07-26,NaN,28.304265,NaN
2002-07-27,NaN,28.316654,NaN
2002-07-28,28.519999,28.329043,0.190955
2002-07-29,NaN,28.341433,NaN
2002-08-07,NaN,28.452936,NaN
2002-08-08,28.219999,28.465326,-0.245326
2002-08-09,27.619999,28.477715,-0.857716
2002-08-10,28.599998,28.490104,0.109894
2002-08-11,NaN,28.502494,NaN
2002-08-12,NaN,28.514883,NaN
2002-08-13,NaN,28.527272,NaN
2002-08-14,28.539999,28.539662,0.000337
2002-08-15,NaN,28.552051,NaN
2002-08-16,NaN,28.545373,NaN
2002-08-17,NaN,28.538694,NaN
2002-08-18,27.769999,28.532016,-0.762017
2002-08-19,29.064999,28.525337,0.539661
2002-08-20,27.852499,28.518659,-0.666160
2002-08-21,28.309999,28.511981,-0.201981
2002-08-22,28.260000,28.505302,-0.245302
2002-08-23,NaN,28.498624,NaN
2002-08-24,28.562500,28.491946,0.070554
2002-08-25,NaN,28.485267,NaN
2002-08-26,28.549999,28.478589,0.071410
2002-08-27,27.535000,28.471911,-0.936911
2002-08-28,NaN,28.465232,NaN
2002-08-29,27.974998,28.458554,-0.483555
2002-08-30,NaN,28.451876,NaN
2002-08-31,NaN,28.445197,NaN
2002-09-01,NaN,28.438519,NaN
2002-09-02,28.109999,28.431841,-0.321842
2002-09-03,NaN,28.425162,NaN
2002-09-04,NaN,28.418484,NaN
2002-09-05,NaN,28.411805,NaN
