Time,mean,climatology,anomaly
1025740800,28.330000,28.972782,-0.642782
1025827200,28.985001,29.001826,-0.016825
1025913600,NaN,29.030869,NaN
1026000000,NaN,29.059913,NaN
1026086400,28.914999,29.088956,-0.173957
1026172800,NaN,29.117999,NaN
1026259200,NaN,29.147043,NaN
1026345600,27.949999,29.176086,-1.226087
1026432000,NaN,29.205130,NaN
1026518400,28.875000,29.234173,-0.359173
1026604800,28.814999,29.263216,-0.448218
1026691200,NaN,29.292260,NaN
1026777600,29.610001,29.310068,0.299932
1026864000,29.029999,29.327877,-0.297878
1026950400,29.894999,29.345685,0.549313
1027036800,29.519999,29.363494,0.156505
1027123200,29.414999,29.381302,0.033697
1027209600,NaN,29.399111,NaN
1027296000,NaN,29.416919,NaN
1027382400,NaN,29.434728,NaN
1027468800,NaN,29.452536,NaN
1027555200,29.144999,29.470345,-0.325346
1027641600,NaN,29.488153,NaN
1027728000,28.789999,29.505962,-0.715963
1027814400,29.035000,29.523770,-0.488770
1027900800,29.250000,29.541579,-0.291579
1028678400,NaN,29.701855,NaN
1028764800,NaN,29.719664,NaN
1028851200,NaN,29.737472,NaN
1028937600,NaN,29.755281,NaN
1029024000,NaN,29.773089,NaN
1029110400,29.410000,29.790898,-0.380898
1029196800,29.699999,29.808706,-0.108707
1029283200,NaN,29.826515,NaN
1029369600,28.709999,29.844323,-1.134324
1029456000,NaN,29.827796,NaN
1029542400,NaN,29.811269,NaN
1029628800,29.219999,29.794741,-0.574742
1029715200,29.817501,29.778214,0.039287
1029801600,29.420000,29.761687,-0.341687
1029888000,NaN,29.745159,NaN
1029974400,29.514999,29.728632,-0.213633
1030060800,NaN,29.712105,NaN
1030147200,NaN,29.695578,NaN
1030233600,NaN,29.679050,NaN
1030320000,29.689999,29.662523,0.027476
1030406400,29.139999,29.645996,-0.505996
1030492800,NaN,29.629468,NaN
1030579200,NaN,29.612941,NaN
1030665600,NaN,29.596414,NaN
1030752000,NaN,29.579886,NaN
1030838400,NaN,29.563359,NaN
1030924800,29.465000,29.546832,-0.081832
1031011200,NaN,29.530305,NaN
1031097600,NaN,29.513777,NaN
1031184000,NaN,29.497250,NaN
1031270400,NaN,29.480723,NaN
1031356800,NaN,29.464195,NaN
1031443200,NaN,29.447668,NaN
1031529600,NaN,29.431141,NaN
1031616000,NaN,29.414614,NaN
1031702400,NaN,29.398086,NaN
1031788800,NaN,29.381559,NaN
1031875200,NaN,29.365032,NaN
1031961600,28.090000,29.348504,-1.258504
1032048000,NaN,29.331977,NaN
