Date,Mean,Climatology,Anomaly
2002-07-04,29.115000,29.617997,-0.502998
2002-07-05,NaN,29.633811,NaN
2002-07-06,29.304998,29.649625,-0.344626
2002-07-07,29.619999,29.665438,-0.045439
2002-07-08,NaN,29.681252,NaN
2002-07-09,NaN,29.697066,NaN
2002-07-10,NaN,29.712879,NaN
2002-07-11,28.135000,29.728693,-1.593693
2002-07-12,NaN,29.744507,NaN
2002-07-13,28.814999,29.760320,-0.945322
2002-07-14,29.290001,29.776134,-0.486133
2002-07-15,29.510000,29.791947,-0.281947
2002-07-16,30.025000,29.801718,0.223282
2002-07-17,NaN,29.811488,NaN
2002-07-18,NaN,29.821258,NaN
2002-07-19,29.507500,29.831028,-0.323529
2002-07-20,30.590000,29.840799,0.749201
2002-07-21,30.795000,29.850569,0.944431
2002-07-22,29.740000,29.860339,-0.120339
2002-07-23,30.654999,29.870110,0.784889
2002-07-24,NaN,29.879880,NaN
2002-07-25,29.375000,29.889650,-0.514650
2002-07-26,NaN,29.899420,NaN
2002-07-27,NaN,29.909191,NaN
2002-07-28,29.792500,29.918961,-0.126461
2002-07-29,29.934999,29.928731,0.006268
2002-08-07,NaN,30.016663,NaN
2002-08-08,30.084999,30.026434,0.058565
2002-08-09,30.150000,30.036204,0.113796
2002-08-10,29.814999,30.045974,-0.230976
2002-08-11,NaN,30.055744,NaN
2002-08-12,29.250000,30.065515,-0.815515
2002-08-13,29.689999,30.075285,-0.385286
2002-08-14,NaN,30.085055,NaN
2002-08-15,NaN,30.094826,NaN
2002-08-16,29.314999,30.069065,-0.754066
2002-08-17,NaN,30.043304,NaN
2002-08-18,29.074999,30.017543,-0.942544
2002-08-19,29.289999,29.991782,-0.701783
2002-08-20,28.764999,29.966021,-1.201021
2002-08-21,28.795000,29.940260,-1.145260
2002-08-22,29.054998,29.914499,-0.859500
2002-08-23,29.054998,29.888738,-0.833739
2002-08-24,NaN,29.862977,NaN
2002-08-25,NaN,29.837216,NaN
2002-08-26,29.820000,29.811455,0.008545
2002-08-27,NaN,29.785694,NaN
2002-08-28,NaN,29.759933,NaN
2002-08-29,29.474998,29.734172,-0.259173
2002-08-30,NaN,29.708411,NaN
2002-08-31,NaN,29.682650,NaN
2002-09-01,NaN,29.656889,NaN
2002-09-02,NaN,29.631128,NaN
2002-09-03,28.724998,29.605367,-0.880369
2002-09-04,NaN,29.579606,NaN
2002-09-05,NaN,29.553845,NaN
2002-09-06,NaN,29.528084,NaN
2002-09-07,NaN,29.502323,NaN
2002-09-08,NaN,29.476562,NaN
2002-09-09,NaN,29.450801,NaN
2002-09-10,NaN,29.425040,NaN
2002-09-11,NaN,29.399279,NaN
2002-09-12,NaN,29.373518,NaN
2002-09-13,NaN,29.347757,NaN
2002-09-14,27.660000,29.321996,-1.661997
2002-09-15,28.469999,29.296235,-0.826236
2002-09-16,28.394999,29.232840,-0.837842
2002-09-17,28.814999,29.169445,-0.354447
2002-09-18,29.045000,29.106050,-0.061050
2002-09-19,NaN,29.042655,NaN
2002-09-20,NaN,28.979260,NaN
2002-09-21,NaN,28.915865,NaN
2002-09-22,NaN,28.852470,NaN
2002-09-23,NaN,28.789075,NaN
2002-09-24,NaN,28.725680,NaN
2002-09-25,NaN,28.662284,NaN
2002-09-26,NaN,28.598889,NaN
2002-09-27,28.754999,28.535494,0.219505
2002-09-28,28.719999,28.472099,0.247900
2002-09-29,28.545000,28.408704,0.136296
2002-09-30,29.105000,28.345309,0.759691
2002-10-01,NaN,28.281914,NaN
2002-10-02,NaN,28.218519,NaN
2002-10-03,28.769999,28.155124,0.614875
2002-10-04,28.920000,28.091728,0.828272
2002-10-05,28.879999,28.028333,0.851666
2002-10-06,28.769999,27.964938,0.805060
2002-10-07,28.840000,27.901543,0.938457
2002-10-08,28.650000,27.838148,0.811852
2002-10-09,28.844999,27.774753,1.070246
2002-10-10,28.647499,27.711358,0.936141
2002-10-11,28.824999,27.647963,1.177036
2002-10-12,29.029999,27.584568,1.445431
2002-10-13,29.260000,27.521172,1.738828
2002-10-14,29.025000,27.457777,1.567222
2002-10-15,NaN,27.394382,NaN
2002-10-16,28.215000,27.271419,0.943581
2002-10-17,27.384998,27.148456,0.236542
2002-10-18,27.490000,27.025493,0.464507
2002-10-19,NaN,26.902530,NaN
2002-10-20,NaN,26.779567,NaN
2002-10-21,NaN,26.656604,NaN
2002-10-22,26.984999,26.533641,0.451358
2002-10-23,27.129999,26.410678,0.719321
2002-10-24,27.465000,26.287715,1.177285
2002-10-25,27.250000,26.164752,1.085248
2002-10-26,NaN,26.041789,NaN
2002-10-27,28.180000,25.918826,2.261174
2002-10-28,28.474998,25.795863,2.679135
2002-10-29,28.549999,25.672900,2.877099
2002-10-30,27.914999,25.549937,2.365062
2002-10-31,28.379999,25.426974,2.953025
2002-11-01,NaN,25.304011,NaN
2002-11-02,28.002499,25.181048,2.821451
2002-11-03,27.590000,25.058085,2.531915
2002-11-04,27.205000,24.935122,2.269878
2002-11-05,27.324999,24.812159,2.512840
2002-11-06,27.080000,24.689196,2.390804
2002-11-07,26.809999,24.566233,2.243766
2002-11-08,25.475000,24.443270,1.031730
2002-11-09,25.414999,24.320307,1.094692
2002-11-10,25.279999,24.197344,1.082655
2002-11-11,25.670000,24.074381,1.595619
2002-11-12,25.775000,23.951418,1.823582
2002-11-13,26.090000,23.828455,2.261545
2002-11-14,24.519999,23.705492,0.814507
2002-11-15,NaN,23.582529,NaN
2002-11-16,NaN,23.517150,NaN
2002-11-17,NaN,23.451772,NaN
2002-11-18,22.442499,23.386394,-0.943894
2002-11-19,NaN,23.321015,NaN
2002-11-20,NaN,23.255637,NaN
