Time,mean,climatology,anomaly
1025740800,27.969999,28.996312,-1.026313
1025827200,28.045000,29.043050,-0.998050
1025913600,NaN,29.089787,NaN
1026000000,29.087498,29.136525,-0.049027
1026086400,NaN,29.183263,NaN
1026172800,NaN,29.230000,NaN
1026259200,27.570000,29.276738,-1.706738
1026345600,NaN,29.323476,NaN
1026432000,NaN,29.370213,NaN
1026518400,NaN,29.416951,NaN
1026604800,NaN,29.463689,NaN
1026691200,NaN,29.510426,NaN
1026777600,NaN,29.524080,NaN
1026864000,29.109999,29.537733,-0.427734
1026950400,29.494999,29.551387,-0.056388
1027036800,29.740000,29.565040,0.174960
1027123200,30.000000,29.578694,0.421306
1027209600,30.139999,29.592347,0.547652
1027296000,30.509998,29.606001,0.903998
1027382400,NaN,29.619654,NaN
1027468800,NaN,29.633308,NaN
1027555200,NaN,29.646961,NaN
1027641600,29.674999,29.660615,0.014385
1027728000,NaN,29.674268,NaN
1027814400,29.955000,29.687922,0.267078
1027900800,29.910000,29.701575,0.208425
1028678400,NaN,29.824457,NaN
1028764800,29.885000,29.838110,0.046890
1028851200,29.889999,29.851764,0.038236
1028937600,NaN,29.865417,NaN
1029024000,NaN,29.879071,NaN
1029110400,NaN,29.892724,NaN
1029196800,29.254999,29.906378,-0.651378
1029283200,NaN,29.920031,NaN
1029369600,NaN,29.933685,NaN
1029456000,28.264999,29.894317,-1.629318
1029542400,29.299999,29.854950,-0.554951
1029628800,29.389999,29.815583,-0.425583
1029715200,NaN,29.776216,NaN
1029801600,29.119999,29.736848,-0.616849
1029888000,NaN,29.697481,NaN
1029974400,29.635000,29.658114,-0.023114
1030060800,29.754999,29.618747,0.136253
1030147200,NaN,29.579379,NaN
1030233600,29.929998,29.540012,0.389986
1030320000,NaN,29.500645,NaN
1030406400,NaN,29.461278,NaN
1030492800,29.789999,29.421910,0.368089
1030579200,29.875000,29.382543,0.492457
1030665600,NaN,29.343176,NaN
1030752000,NaN,29.303809,NaN
1030838400,NaN,29.264441,NaN
1030924800,NaN,29.225074,NaN
1031011200,NaN,29.185707,NaN
1031097600,NaN,29.146340,NaN
1031184000,NaN,29.106972,NaN
1031270400,NaN,29.067605,NaN
1031356800,NaN,29.028238,NaN
1031443200,28.234999,28.988871,-0.753872
1031529600,NaN,28.949503,NaN
1031616000,NaN,28.910136,NaN
1031702400,27.555000,28.870769,-1.315768
1031788800,28.404999,28.831401,-0.426403
1031875200,28.369999,28.792034,-0.422035
1031961600,28.590000,28.752667,-0.162667
1032048000,NaN,28.713300,NaN
1032134400,NaN,28.651669,NaN
1032220800,NaN,28.590038,NaN
1032307200,NaN,28.528407,NaN
1032393600,28.365000,28.466777,-0.101777
1032480000,NaN,28.405146,NaN
1032566400,28.219999,28.343515,-0.123516
1032652800,28.512501,28.281884,0.230616
1032739200,NaN,28.220254,NaN
1032825600,NaN,28.158623,NaN
1032912000,NaN,28.096992,NaN
1032998400,NaN,28.035361,NaN
1033084800,27.744999,27.973730,-0.228731
1033171200,27.875000,27.912100,-0.037100
1033257600,27.740000,27.850469,-0.110469
1033344000,NaN,27.788838,NaN
1033430400,28.135000,27.727207,0.407793
1033516800,NaN,27.665577,NaN
1033603200,NaN,27.603946,NaN
1033689600,NaN,27.542315,NaN
1033776000,27.500000,27.480684,0.019316
1033862400,27.209999,27.419053,-0.209054
1033948800,27.644999,27.357423,0.287576
1034035200,27.305000,27.295792,0.009208
1034121600,NaN,27.234161,NaN
1034208000,NaN,27.172530,NaN
1034294400,NaN,27.110900,NaN
