Date,Mean,Climatology,Anomaly
2002-07-04,27.590000,28.932266,-1.342266
2002-07-05,NaN,28.976201,NaN
2002-07-06,NaN,29.020136,NaN
2002-07-07,NaN,29.064070,NaN
2002-07-08,27.829998,29.108005,-1.278007
2002-07-09,27.980000,29.151939,-1.171940
2002-07-10,28.170000,29.195874,-1.025874
2002-07-11,28.599998,29.239809,-0.639810
2002-07-12,NaN,29.283743,NaN
2002-07-13,NaN,29.327678,NaN
2002-07-14,28.879999,29.371613,-0.491613
2002-07-15,NaN,29.415547,NaN
2002-07-16,29.154999,29.429959,-0.274960
2002-07-17,29.260000,29.444371,-0.184371
2002-07-18,NaN,29.458783,NaN
2002-07-19,29.445000,29.473195,-0.028196
2002-07-20,29.654999,29.487608,0.167391
2002-07-21,29.869999,29.502020,0.367979
2002-07-22,30.474998,29.516432,0.958567
2002-07-23,NaN,29.530844,NaN
2002-07-24,NaN,29.545256,NaN
2002-07-25,NaN,29.559668,NaN
2002-07-26,30.389999,29.574080,0.815919
2002-07-27,30.164999,29.588492,0.576507
2002-07-28,NaN,29.602904,NaN
2002-07-29,NaN,29.617316,NaN
2002-08-07,NaN,29.747025,NaN
2002-08-08,NaN,29.761437,NaN
2002-08-09,NaN,29.775849,NaN
2002-08-10,NaN,29.790261,NaN
2002-08-11,NaN,29.804673,NaN
2002-08-12,NaN,29.819085,NaN
2002-08-13,NaN,29.833497,NaN
2002-08-14,28.555000,29.847909,-1.292909
2002-08-15,28.785000,29.862321,-1.077322
2002-08-16,28.844999,29.828231,-0.983232
2002-08-17,NaN,29.794141,NaN
2002-08-18,29.392498,29.760051,-0.367553
2002-08-19,29.389999,29.725961,-0.335962
2002-08-20,30.014999,29.691871,0.323129
2002-08-21,29.084999,29.657781,-0.572782
2002-08-22,NaN,29.623691,NaN
2002-08-23,29.582500,29.589601,-0.007100
2002-08-24,30.090000,29.555510,0.534490
2002-08-25,29.144999,29.521420,-0.376422
2002-08-26,NaN,29.487330,NaN
2002-08-27,NaN,29.453240,NaN
2002-08-28,NaN,29.419150,NaN
2002-08-29,29.939999,29.385060,0.554939
2002-08-30,29.394999,29.350970,0.044029
2002-08-31,NaN,29.316880,NaN
2002-09-01,NaN,29.282790,NaN
2002-09-02,NaN,29.248700,NaN
2002-09-03,NaN,29.214609,NaN
2002-09-04,NaN,29.180519,NaN
2002-09-05,NaN,29.146429,NaN
2002-09-06,NaN,29.112339,NaN
2002-09-07,NaN,29.078249,NaN
2002-09-08,NaN,29.044159,NaN
2002-09-09,NaN,29.010069,NaN
2002-09-10,NaN,28.975979,NaN
2002-09-11,28.334999,28.941889,-0.606890
2002-09-12,28.494999,28.907799,-0.412800
2002-09-13,28.639999,28.873708,-0.233709
2002-09-14,28.369999,28.839618,-0.469619
2002-09-15,28.609999,28.805528,-0.195530
2002-09-16,NaN,28.751960,NaN
2002-09-17,NaN,28.698391,NaN
2002-09-18,NaN,28.644822,NaN
2002-09-19,28.779999,28.591253,0.188745
2002-09-20,28.609999,28.537685,0.072314
2002-09-21,NaN,28.484116,NaN
2002-09-22,28.910000,28.430547,0.479452
2002-09-23,NaN,28.376979,NaN
2002-09-24,NaN,28.323410,NaN
2002-09-25,NaN,28.269841,NaN
2002-09-26,NaN,28.216273,NaN
2002-09-27,NaN,28.162704,NaN
2002-09-28,28.094999,28.109135,-0.014136
2002-09-29,28.199999,28.055567,0.144432
2002-09-30,NaN,28.001998,NaN
2002-10-01,28.144999,27.948429,0.196569
2002-10-02,NaN,27.894861,NaN
2002-10-03,NaN,27.841292,NaN
2002-10-04,NaN,27.787723,NaN
2002-10-05,NaN,27.734154,NaN
2002-10-06,27.590000,27.680586,-0.090586
2002-10-07,27.609999,27.627017,-0.017018
2002-10-08,27.930000,27.573448,0.356552
2002-10-09,NaN,27.519880,NaN
2002-10-10,NaN,27.466311,NaN
2002-10-11,NaN,27.412742,NaN
2002-10-12,NaN,27.359174,NaN
2002-10-13,NaN,27.305605,NaN
2002-10-14,NaN,27.252036,NaN
2002-10-15,NaN,27.198468,NaN
2002-10-16,26.549999,27.115925,-0.565925
2002-10-17,26.199999,27.033381,-0.833383
2002-10-18,26.394999,26.950838,-0.555840
2002-10-19,NaN,26.868295,NaN
2002-10-20,NaN,26.785752,NaN
2002-10-21,NaN,26.703209,NaN
2002-10-22,NaN,26.620666,NaN
2002-10-23,NaN,26.538123,NaN
2002-10-24,25.359999,26.455580,-1.095581
2002-10-25,NaN,26.373037,NaN
2002-10-26,NaN,26.290494,NaN
2002-10-27,NaN,26.207951,NaN
2002-10-28,NaN,26.125408,NaN
2002-10-29,NaN,26.042865,NaN
2002-10-30,NaN,25.960321,NaN
2002-10-31,25.055000,25.877778,-0.822778
2002-11-01,NaN,25.795235,NaN
2002-11-02,NaN,25.712692,NaN
2002-11-03,NaN,25.630149,NaN
2002-11-04,NaN,25.547606,NaN
2002-11-05,NaN,25.465063,NaN
2002-11-06,NaN,25.382520,NaN
2002-11-07,25.594999,25.299977,0.295023
2002-11-08,25.510000,25.217434,0.292567
2002-11-09,25.084999,25.134891,-0.049892
2002-11-10,NaN,25.052348,NaN
2002-11-11,25.449999,24.969804,0.480194
2002-11-12,NaN,24.887261,NaN
2002-11-13,25.275000,24.804718,0.470281
2002-11-14,24.959999,24.722175,0.237824
2002-11-15,NaN,24.639632,NaN
2002-11-16,NaN,24.562294,NaN
2002-11-17,NaN,24.484955,NaN
2002-11-18,23.660000,24.407617,-0.747617
2002-11-19,NaN,24.330278,NaN
2002-11-20,NaN,24.252939,NaN
2002-11-21,23.285000,24.175601,-0.890601
2002-11-22,23.209999,24.098262,-0.888263
2002-11-23,23.215000,24.020924,-0.805924
2002-11-24,23.445000,23.943585,-0.498586
2002-11-25,NaN,23.866247,NaN
2002-11-26,NaN,23.788908,NaN
2002-11-27,NaN,23.711570,NaN
2002-11-28,NaN,23.634231,NaN
2002-11-29,22.404999,23.556893,-1.151894
2002-11-30,NaN,23.479554,NaN
2002-12-01,NaN,23.402215,NaN
2002-12-02,22.564999,23.324877,-0.759878
2002-12-03,NaN,23.247538,NaN
2002-12-04,NaN,23.170200,NaN
2002-12-05,NaN,23.092861,NaN
2002-12-06,NaN,23.015523,NaN
2002-12-07,NaN,22.938184,NaN
2002-12-08,NaN,22.860846,NaN
2002-12-09,NaN,22.783507,NaN
2002-12-10,NaN,22.706169,NaN
2002-12-11,NaN,22.628830,NaN
2002-12-12,NaN,22.551492,NaN
2002-12-13,NaN,22.474153,NaN
2002-12-14,NaN,22.396814,NaN
2002-12-15,20.779999,22.319476,-1.539477
2002-12-16,21.039999,22.255169,-1.215170
2002-12-17,21.137501,22.190863,-1.053362
2002-12-18,20.895000,22.126556,-1.231556
2002-12-19,NaN,22.062250,NaN
2002-12-20,20.730000,21.997943,-1.267944
2002-12-21,20.295000,21.933637,-1.638637
2002-12-22,NaN,21.869330,NaN
2002-12-23,NaN,21.805024,NaN
2002-12-24,NaN,21.740717,NaN
2002-12-25,NaN,21.676411,NaN
2002-12-26,NaN,21.612104,NaN
2002-12-27,NaN,21.547798,NaN
2002-12-28,20.385000,21.483491,-1.098491
2002-12-29,20.514999,21.419185,-0.904185
2002-12-30,NaN,21.354878,NaN
2002-12-31,NaN,21.290571,NaN
2003-01-01,19.824999,21.226265,-1.401266
2003-01-02,NaN,21.161958,NaN
2003-01-03,19.417500,21.097652,-1.680152
2003-01-04,19.139999,21.033345,-1.893346
2003-01-05,19.160000,20.969039,-1.809039
2003-01-06,18.875000,20.904732,-2.029732
2003-01-07,19.027500,20.840426,-1.812926
2003-01-08,19.215000,20.776119,-1.561119
2003-01-09,19.275000,20.711813,-1.436813
2003-01-10,NaN,20.647506,NaN
2003-01-11,NaN,20.583200,NaN
2003-01-12,NaN,20.518893,NaN
2003-01-13,NaN,20.454587,NaN
2003-01-14,18.625000,20.390280,-1.765280
2003-01-15,NaN,20.325974,NaN
2003-01-16,NaN,20.319846,NaN
2003-01-17,NaN,20.313718,NaN
2003-01-18,NaN,20.307590,NaN
2003-01-19,18.504999,20.301462,-1.796463
2003-01-20,18.424999,20.295334,-1.870335
2003-01-21,18.650000,20.289206,-1.639207
2003-01-22,NaN,20.283079,NaN
2003-01-23,NaN,20.276951,NaN
2003-01-24,18.250000,20.270823,-2.020823
2003-01-25,NaN,20.264695,NaN
2003-01-26,NaN,20.258567,NaN
2003-01-27,NaN,20.252439,NaN
2003-01-28,NaN,20.246311,NaN
2003-01-29,NaN,20.240184,NaN
2003-01-30,NaN,20.234056,NaN
2003-01-31,NaN,20.227928,NaN
2003-02-01,NaN,20.221800,NaN
2003-02-02,18.355000,20.215672,-1.860673
2003-02-03,NaN,20.209544,NaN
2003-02-04,18.145000,20.203416,-2.058416
2003-02-05,NaN,20.197288,NaN
2003-02-06,NaN,20.191161,NaN
2003-02-07,NaN,20.185033,NaN
2003-02-08,NaN,20.178905,NaN
2003-02-09,NaN,20.172777,NaN
2003-02-10,NaN,20.166649,NaN
2003-02-11,NaN,20.160521,NaN
2003-02-12,18.110001,20.154393,-2.044393
2003-02-13,NaN,20.148266,NaN
2003-02-14,NaN,20.142138,NaN
2003-02-15,NaN,20.136010,NaN
2003-02-16,NaN,20.155809,NaN
2003-02-17,NaN,20.175608,NaN
2003-02-18,NaN,20.195406,NaN
2003-02-19,NaN,20.215205,NaN
2003-02-20,NaN,20.235004,NaN
2003-02-21,NaN,20.254803,NaN
2003-02-22,NaN,20.274602,NaN
2003-02-23,NaN,20.294401,NaN
2003-02-24,NaN,20.314199,NaN
2003-02-25,NaN,20.333998,NaN
2003-02-26,NaN,20.353797,NaN
2003-02-27,NaN,20.373596,NaN
2003-02-28,NaN,20.393395,NaN
2003-03-01,NaN,20.413194,NaN
2003-03-02,NaN,20.432993,NaN
2003-03-03,NaN,20.452791,NaN
2003-03-04,NaN,20.472590,NaN
2003-03-05,NaN,20.492389,NaN
2003-03-06,NaN,20.512188,NaN
2003-03-07,NaN,20.531987,NaN
2003-03-08,NaN,20.551786,NaN
2003-03-09,NaN,20.571584,NaN
2003-03-10,NaN,20.591383,NaN
2003-03-11,NaN,20.611182,NaN
2003-03-12,NaN,20.630981,NaN
2003-03-13,NaN,20.650780,NaN
2003-03-15,NaN,20.690378,NaN
2003-03-16,NaN,20.731704,NaN
2003-03-17,19.789999,20.773031,-0.983032
2003-03-18,NaN,20.814358,NaN
2003-03-19,NaN,20.855684,NaN
2003-03-20,20.289999,20.897011,-0.607012
2003-03-21,20.090000,20.938338,-0.848337
2003-03-22,19.920000,20.979664,-1.059664
2003-03-23,NaN,21.020991,NaN
2003-03-24,19.494999,21.062317,-1.567319
2003-03-25,NaN,21.103644,NaN
2003-03-26,NaN,21.144971,NaN
2003-03-27,NaN,21.186297,NaN
2003-03-28,20.795000,21.227624,-0.432624
2003-03-29,NaN,21.268951,NaN
2003-03-30,NaN,21.310277,NaN
2003-03-31,19.529999,21.351604,-1.821605
2003-04-01,NaN,21.392931,NaN
2003-04-02,NaN,21.434257,NaN
2003-04-03,NaN,21.475584,NaN
2003-04-04,19.917500,21.516911,-1.599411
2003-04-05,NaN,21.558237,NaN
2003-04-06,NaN,21.599564,NaN
2003-04-07,NaN,21.640891,NaN
2003-04-08,NaN,21.682217,NaN
2003-04-09,NaN,21.723544,NaN
2003-04-10,19.660000,21.764871,-2.104871
2003-04-11,NaN,21.806197,NaN
2003-04-12,NaN,21.847524,NaN
