Time,mean,climatology,anomaly
1025740800,27.837498,28.736217,-0.898720
1025827200,NaN,28.771661,NaN
1025913600,28.209999,28.807105,-0.597106
1026000000,28.635000,28.842549,-0.207548
1026086400,NaN,28.877992,NaN
1026172800,NaN,28.913436,NaN
1026259200,27.980000,28.948880,-0.968880
1026345600,28.590000,28.984324,-0.394324
1026432000,NaN,29.019767,NaN
1026518400,NaN,29.055211,NaN
1026604800,NaN,29.090655,NaN
1026691200,29.014999,29.126099,-0.111099
1026777600,NaN,29.139757,NaN
1026864000,NaN,29.153415,NaN
1026950400,29.215000,29.167074,0.047926
1027036800,28.859999,29.180732,-0.320734
1027123200,29.719999,29.194391,0.525609
1027209600,28.609999,29.208049,-0.598050
1027296000,30.170000,29.221707,0.948293
1027382400,29.859999,29.235366,0.624633
1027468800,30.365000,29.249024,1.115976
1027555200,NaN,29.262683,NaN
1027641600,NaN,29.276341,NaN
1027728000,29.697498,29.289999,0.407499
1027814400,NaN,29.303658,NaN
1027900800,29.692499,29.317316,0.375183
1028678400,NaN,29.440242,NaN
1028764800,NaN,29.453900,NaN
1028851200,NaN,29.467559,NaN
1028937600,NaN,29.481217,NaN
1029024000,NaN,29.494875,NaN
1029110400,NaN,29.508534,NaN
1029196800,NaN,29.522192,NaN
1029283200,NaN,29.535851,NaN
1029369600,NaN,29.549509,NaN
1029456000,NaN,29.527143,NaN
1029542400,29.029999,29.504776,-0.474778
1029628800,29.049999,29.482410,-0.432411
1029715200,29.420000,29.460044,-0.040044
1029801600,28.564999,29.437678,-0.872679
1029888000,29.207499,29.415311,-0.207813
1029974400,29.490000,29.392945,0.097055
1030060800,29.847500,29.370579,0.476921
1030147200,29.459999,29.348212,0.111787
1030233600,30.320000,29.325846,0.994154
1030320000,29.980000,29.303480,0.676520
1030406400,NaN,29.281114,NaN
1030492800,NaN,29.258747,NaN
1030579200,NaN,29.236381,NaN
1030665600,NaN,29.214015,NaN
1030752000,NaN,29.191648,NaN
1030838400,29.144999,29.169282,-0.024283
1030924800,NaN,29.146916,NaN
1031011200,NaN,29.124549,NaN
1031097600,29.275000,29.102183,0.172816
1031184000,NaN,29.079817,NaN
1031270400,NaN,29.057451,NaN
1031356800,NaN,29.035084,NaN
1031443200,29.109999,29.012718,0.097281
1031529600,NaN,28.990352,NaN
1031616000,NaN,28.967985,NaN
1031702400,28.959999,28.945619,0.014380
1031788800,28.580000,28.923253,-0.343253
1031875200,NaN,28.900887,NaN
1031961600,29.379999,28.878520,0.501479
1032048000,28.945000,28.856154,0.088846
1032134400,NaN,28.807997,NaN
1032220800,NaN,28.759839,NaN
1032307200,NaN,28.711682,NaN
1032393600,28.330000,28.663524,-0.333525
1032480000,NaN,28.615367,NaN
1032566400,28.474998,28.567210,-0.092211
1032652800,28.135000,28.519052,-0.384052
