Time,mean,climatology,anomaly
1025740800,29.035000,29.093856,-0.058856
1025827200,29.627499,29.119207,0.508292
1025913600,NaN,29.144558,NaN
1026000000,NaN,29.169909,NaN
1026086400,NaN,29.195260,NaN
1026172800,NaN,29.220611,NaN
1026259200,NaN,29.245962,NaN
1026345600,NaN,29.271313,NaN
1026432000,NaN,29.296664,NaN
1026518400,28.809999,29.322015,-0.512016
1026604800,29.382500,29.347366,0.035134
1026691200,29.205000,29.372717,-0.167717
1026777600,29.459999,29.389913,0.070086
1026864000,29.769999,29.407108,0.362890
1026950400,NaN,29.424304,NaN
1027036800,28.844999,29.441499,-0.596500
1027123200,NaN,29.458694,NaN
1027209600,28.035000,29.475890,-1.440890
1027296000,NaN,29.493085,NaN
1027382400,NaN,29.510281,NaN
1027468800,NaN,29.527476,NaN
1027555200,28.635000,29.544672,-0.909672
1027641600,NaN,29.561867,NaN
1027728000,NaN,29.579063,NaN
1027814400,28.875000,29.596258,-0.721258
1027900800,NaN,29.613454,NaN
1028678400,NaN,29.768213,NaN
1028764800,29.567499,29.785408,-0.217909
1028851200,NaN,29.802604,NaN
1028937600,29.295000,29.819799,-0.524799
1029024000,NaN,29.836995,NaN
1029110400,29.045000,29.854190,-0.809190
1029196800,29.947498,29.871386,0.076113
1029283200,NaN,29.888581,NaN
1029369600,NaN,29.905777,NaN
1029456000,NaN,29.886560,NaN
1029542400,NaN,29.867343,NaN
1029628800,29.195000,29.848126,-0.653126
1029715200,29.355000,29.828909,-0.473909
1029801600,28.635000,29.809692,-1.174692
1029888000,NaN,29.790475,NaN
1029974400,NaN,29.771258,NaN
1030060800,NaN,29.752041,NaN
1030147200,29.195000,29.732824,-0.537824
1030233600,NaN,29.713607,NaN
1030320000,29.562500,29.694390,-0.131890
1030406400,29.712500,29.675173,0.037326
1030492800,NaN,29.655956,NaN
1030579200,NaN,29.636739,NaN
1030665600,NaN,29.617522,NaN
1030752000,NaN,29.598305,NaN
1030838400,NaN,29.579088,NaN
1030924800,28.779999,29.559871,-0.779873
1031011200,NaN,29.540654,NaN
1031097600,NaN,29.521437,NaN
1031184000,NaN,29.502220,NaN
1031270400,NaN,29.483004,NaN
1031356800,NaN,29.463787,NaN
1031443200,NaN,29.444570,NaN
1031529600,NaN,29.425353,NaN
1031616000,NaN,29.406136,NaN
1031702400,NaN,29.386919,NaN
1031788800,NaN,29.367702,NaN
1031875200,NaN,29.348485,NaN
1031961600,28.985001,29.329268,-0.344267
1032048000,NaN,29.310051,NaN
1032134400,NaN,29.272626,NaN
1032220800,29.224998,29.235200,-0.010202
1032307200,29.337500,29.197775,0.139725
1032393600,28.939999,29.160350,-0.220351
1032480000,NaN,29.122924,NaN
1032566400,NaN,29.085499,NaN
1032652800,NaN,29.048074,NaN
1032739200,NaN,29.010649,NaN
1032825600,NaN,28.973223,NaN
1032912000,NaN,28.935798,NaN
1032998400,NaN,28.898373,NaN
1033084800,28.394999,28.860948,-0.465949
1033171200,28.734999,28.823522,-0.088524
1033257600,NaN,28.786097,NaN
1033344000,28.602499,28.748672,-0.146173
1033430400,NaN,28.711247,NaN
1033516800,NaN,28.673821,NaN
1033603200,27.889999,28.636396,-0.746397
1033689600,28.457500,28.598971,-0.141470
1033776000,28.250000,28.561545,-0.311545
1033862400,28.555000,28.524120,0.030880
1033948800,28.379999,28.486695,-0.106696
1034035200,28.359999,28.449270,-0.089271
1034121600,28.639999,28.411844,0.228155
1034208000,28.664999,28.374419,0.290580
