Date,Mean,Climatology,Anomaly
2002-07-04,29.035000,29.093856,-0.058856
2002-07-05,29.627499,29.119207,0.508292
2002-07-06,NaN,29.144558,NaN
2002-07-07,NaN,29.169909,NaN
2002-07-08,NaN,29.195260,NaN
2002-07-09,NaN,29.220611,NaN
2002-07-10,NaN,29.245962,NaN
2002-07-11,NaN,29.271313,NaN
2002-07-12,NaN,29.296664,NaN
2002-07-13,28.809999,29.322015,-0.512016
2002-07-14,29.382500,29.347366,0.035134
2002-07-15,29.205000,29.372717,-0.167717
2002-07-16,29.459999,29.389913,0.070086
2002-07-17,29.769999,29.407108,0.362890
2002-07-18,NaN,29.424304,NaN
2002-07-19,28.844999,29.441499,-0.596500
2002-07-20,NaN,29.458694,NaN
2002-07-21,28.035000,29.475890,-1.440890
2002-07-22,NaN,29.493085,NaN
2002-07-23,NaN,29.510281,NaN
2002-07-24,NaN,29.527476,NaN
2002-07-25,28.635000,29.544672,-0.909672
2002-07-26,NaN,29.561867,NaN
2002-07-27,NaN,29.579063,NaN
2002-07-28,28.875000,29.596258,-0.721258
2002-07-29,NaN,29.613454,NaN
2002-08-07,NaN,29.768213,NaN
2002-08-08,29.567499,29.785408,-0.217909
2002-08-09,NaN,29.802604,NaN
2002-08-10,29.295000,29.819799,-0.524799
2002-08-11,NaN,29.836995,NaN
2002-08-12,29.045000,29.854190,-0.809190
2002-08-13,29.947498,29.871386,0.076113
2002-08-14,NaN,29.888581,NaN
2002-08-15,NaN,29.905777,NaN
2002-08-16,NaN,29.886560,NaN
2002-08-17,NaN,29.867343,NaN
2002-08-18,29.195000,29.848126,-0.653126
2002-08-19,29.355000,29.828909,-0.473909
2002-08-20,28.635000,29.809692,-1.174692
2002-08-21,NaN,29.790475,NaN
2002-08-22,NaN,29.771258,NaN
2002-08-23,NaN,29.752041,NaN
2002-08-24,29.195000,29.732824,-0.537824
2002-08-25,NaN,29.713607,NaN
2002-08-26,29.562500,29.694390,-0.131890
2002-08-27,29.712500,29.675173,0.037326
2002-08-28,NaN,29.655956,NaN
2002-08-29,NaN,29.636739,NaN
2002-08-30,NaN,29.617522,NaN
2002-08-31,NaN,29.598305,NaN
2002-09-01,NaN,29.579088,NaN
2002-09-02,28.779999,29.559871,-0.779873
2002-09-03,NaN,29.540654,NaN
2002-09-04,NaN,29.521437,NaN
2002-09-05,NaN,29.502220,NaN
2002-09-06,NaN,29.483004,NaN
2002-09-07,NaN,29.463787,NaN
2002-09-08,NaN,29.444570,NaN
2002-09-09,NaN,29.425353,NaN
2002-09-10,NaN,29.406136,NaN
2002-09-11,NaN,29.386919,NaN
2002-09-12,NaN,29.367702,NaN
2002-09-13,NaN,29.348485,NaN
2002-09-14,28.985001,29.329268,-0.344267
2002-09-15,NaN,29.310051,NaN
2002-09-16,NaN,29.272626,NaN
2002-09-17,29.224998,29.235200,-0.010202
2002-09-18,29.337500,29.197775,0.139725
2002-09-19,28.939999,29.160350,-0.220351
2002-09-20,NaN,29.122924,NaN
2002-09-21,NaN,29.085499,NaN
2002-09-22,NaN,29.048074,NaN
2002-09-23,NaN,29.010649,NaN
2002-09-24,NaN,28.973223,NaN
2002-09-25,NaN,28.935798,NaN
2002-09-26,NaN,28.898373,NaN
2002-09-27,28.394999,28.860948,-0.465949
2002-09-28,28.734999,28.823522,-0.088524
2002-09-29,NaN,28.786097,NaN
2002-09-30,28.602499,28.748672,-0.146173
2002-10-01,NaN,28.711247,NaN
2002-10-02,NaN,28.673821,NaN
2002-10-03,27.889999,28.636396,-0.746397
2002-10-04,28.457500,28.598971,-0.141470
2002-10-05,28.250000,28.561545,-0.311545
2002-10-06,28.555000,28.524120,0.030880
2002-10-07,28.379999,28.486695,-0.106696
2002-10-08,28.359999,28.449270,-0.089271
2002-10-09,28.639999,28.411844,0.228155
2002-10-10,28.664999,28.374419,0.290580
2002-10-11,28.539999,28.336994,0.203005
2002-10-12,28.775000,28.299569,0.475431
