Time,mean,climatology,anomaly
1025740800,NaN,28.808039,NaN
1025827200,27.587500,28.850730,-1.263230
1025913600,NaN,28.893421,NaN
1026000000,NaN,28.936112,NaN
1026086400,NaN,28.978803,NaN
1026172800,27.789999,29.021494,-1.231495
1026259200,27.474998,29.064186,-1.589187
1026345600,28.635000,29.106877,-0.471877
1026432000,NaN,29.149568,NaN
1026518400,NaN,29.192259,NaN
1026604800,NaN,29.234950,NaN
1026691200,29.119999,29.277641,-0.157642
1026777600,NaN,29.294121,NaN
1026864000,29.252499,29.310601,-0.058102
1026950400,29.250000,29.327081,-0.077081
1027036800,29.599998,29.343561,0.256438
1027123200,NaN,29.360041,NaN
1027209600,NaN,29.376520,NaN
1027296000,30.139999,29.393000,0.746999
1027382400,NaN,29.409480,NaN
1027468800,NaN,29.425960,NaN
1027555200,NaN,29.442440,NaN
1027641600,NaN,29.458920,NaN
1027728000,NaN,29.475399,NaN
1027814400,NaN,29.491879,NaN
1027900800,30.129999,29.508359,0.621640
1028678400,NaN,29.656678,NaN
1028764800,NaN,29.673157,NaN
1028851200,NaN,29.689637,NaN
1028937600,NaN,29.706117,NaN
1029024000,NaN,29.722597,NaN
1029110400,NaN,29.739077,NaN
1029196800,NaN,29.755557,NaN
1029283200,NaN,29.772037,NaN
1029369600,NaN,29.788516,NaN
1029456000,NaN,29.764013,NaN
1029542400,NaN,29.739509,NaN
1029628800,29.504999,29.715005,-0.210006
1029715200,28.764999,29.690502,-0.925502
1029801600,28.664999,29.665998,-1.000999
1029888000,NaN,29.641494,NaN
1029974400,29.459999,29.616991,-0.156992
1030060800,29.709999,29.592487,0.117512
1030147200,29.680000,29.567983,0.112017
1030233600,30.115000,29.543480,0.571520
1030320000,29.814999,29.518976,0.296023
1030406400,NaN,29.494472,NaN
1030492800,NaN,29.469969,NaN
1030579200,NaN,29.445465,NaN
1030665600,28.904999,29.420961,-0.515962
1030752000,29.594999,29.396457,0.198542
1030838400,NaN,29.371954,NaN
1030924800,NaN,29.347450,NaN
1031011200,NaN,29.322946,NaN
1031097600,NaN,29.298443,NaN
1031184000,NaN,29.273939,NaN
1031270400,NaN,29.249435,NaN
1031356800,NaN,29.224932,NaN
1031443200,NaN,29.200428,NaN
1031529600,NaN,29.175924,NaN
1031616000,NaN,29.151421,NaN
1031702400,28.357498,29.126917,-0.769419
1031788800,28.654999,29.102413,-0.447415
1031875200,28.884998,29.077910,-0.192911
1031961600,28.980000,29.053406,-0.073406
1032048000,NaN,29.028902,NaN
1032134400,NaN,28.980473,NaN
1032220800,NaN,28.932044,NaN
1032307200,28.639999,28.883616,-0.243616
1032393600,28.587500,28.835187,-0.247687
1032480000,28.769999,28.786758,-0.016759
1032566400,NaN,28.738329,NaN
1032652800,28.869999,28.689900,0.180099
1032739200,NaN,28.641471,NaN
1032825600,NaN,28.593042,NaN
1032912000,NaN,28.544613,NaN
1032998400,NaN,28.496184,NaN
1033084800,28.135000,28.447755,-0.312755
1033171200,NaN,28.399327,NaN
1033257600,NaN,28.350898,NaN
1033344000,27.934999,28.302469,-0.367469
1033430400,NaN,28.254040,NaN
1033516800,26.740000,28.205611,-1.465611
1033603200,NaN,28.157182,NaN
1033689600,NaN,28.108753,NaN
1033776000,NaN,28.060324,NaN
1033862400,26.945000,28.011895,-1.066896
1033948800,28.019999,27.963466,0.056532
