Date,Mean,Climatology,Anomaly
2002-07-04,NaN,28.845688,NaN
2002-07-05,27.480000,28.888451,-1.408452
2002-07-06,NaN,28.931215,NaN
2002-07-07,28.305000,28.973978,-0.668978
2002-07-08,28.384998,29.016742,-0.631743
2002-07-09,NaN,29.059505,NaN
2002-07-10,27.952499,29.102269,-1.149769
2002-07-11,28.705000,29.145032,-0.440032
2002-07-12,NaN,29.187796,NaN
2002-07-13,NaN,29.230559,NaN
2002-07-14,NaN,29.273322,NaN
2002-07-15,28.875000,29.316086,-0.441086
2002-07-16,NaN,29.333080,NaN
2002-07-17,29.139999,29.350075,-0.210075
2002-07-18,29.254999,29.367069,-0.112070
2002-07-19,29.455000,29.384063,0.070937
2002-07-20,29.769999,29.401058,0.368941
2002-07-21,NaN,29.418052,NaN
2002-07-22,30.262499,29.435046,0.827452
2002-07-23,30.179998,29.452041,0.727958
2002-07-24,NaN,29.469035,NaN
2002-07-25,NaN,29.486030,NaN
2002-07-26,NaN,29.503024,NaN
2002-07-27,NaN,29.520018,NaN
2002-07-28,29.825001,29.537013,0.287988
2002-07-29,29.809999,29.554007,0.255992
2002-08-07,NaN,29.706956,NaN
2002-08-08,29.400000,29.723951,-0.323951
2002-08-09,29.299999,29.740945,-0.440946
2002-08-10,NaN,29.757939,NaN
2002-08-11,NaN,29.774934,NaN
2002-08-12,NaN,29.791928,NaN
2002-08-13,NaN,29.808923,NaN
2002-08-14,NaN,29.825917,NaN
2002-08-15,NaN,29.842911,NaN
2002-08-16,28.469999,29.808298,-1.338299
2002-08-17,NaN,29.773685,NaN
2002-08-18,29.379999,29.739071,-0.359072
2002-08-19,29.320000,29.704458,-0.384458
2002-08-20,28.760000,29.669845,-0.909845
2002-08-21,NaN,29.635232,NaN
2002-08-22,NaN,29.600618,NaN
2002-08-23,29.904999,29.566005,0.338994
2002-08-24,30.064999,29.531392,0.533607
2002-08-25,30.154999,29.496778,0.658220
2002-08-26,30.144999,29.462165,0.682833
2002-08-27,NaN,29.427552,NaN
2002-08-28,NaN,29.392939,NaN
2002-08-29,29.884998,29.358325,0.526673
2002-08-30,29.289999,29.323712,-0.033713
2002-08-31,NaN,29.289099,NaN
2002-09-01,NaN,29.254485,NaN
2002-09-02,NaN,29.219872,NaN
2002-09-03,NaN,29.185259,NaN
2002-09-04,NaN,29.150646,NaN
2002-09-05,NaN,29.116032,NaN
2002-09-06,NaN,29.081419,NaN
2002-09-07,NaN,29.046806,NaN
2002-09-08,28.375000,29.012192,-0.637192
2002-09-09,NaN,28.977579,NaN
2002-09-10,NaN,28.942966,NaN
2002-09-11,NaN,28.908353,NaN
2002-09-12,28.689999,28.873739,-0.183741
2002-09-13,28.805000,28.839126,-0.034126
2002-09-14,28.769999,28.804513,-0.034514
2002-09-15,28.205000,28.769899,-0.564899
2002-09-16,27.930000,28.721430,-0.791429
2002-09-17,NaN,28.672960,NaN
2002-09-18,27.974998,28.624490,-0.649492
2002-09-19,28.362499,28.576021,-0.213522
2002-09-20,28.635000,28.527551,0.107449
2002-09-21,NaN,28.479081,NaN
2002-09-22,NaN,28.430612,NaN
2002-09-23,NaN,28.382142,NaN
2002-09-24,NaN,28.333672,NaN
2002-09-25,NaN,28.285203,NaN
2002-09-26,NaN,28.236733,NaN
2002-09-27,27.889999,28.188263,-0.298264
2002-09-28,27.965000,28.139794,-0.174794
2002-09-29,27.934999,28.091324,-0.156325
2002-09-30,NaN,28.042854,NaN
2002-10-01,28.269999,27.994385,0.275614
2002-10-02,NaN,27.945915,NaN
2002-10-03,NaN,27.897446,NaN
2002-10-04,NaN,27.848976,NaN
2002-10-05,NaN,27.800506,NaN
2002-10-06,27.580000,27.752037,-0.172037
2002-10-07,27.984999,27.703567,0.281432
2002-10-08,28.059999,27.655097,0.404902
2002-10-09,NaN,27.606628,NaN
2002-10-10,NaN,27.558158,NaN
2002-10-11,NaN,27.509688,NaN
2002-10-12,27.074999,27.461219,-0.386220
2002-10-13,NaN,27.412749,NaN
2002-10-14,NaN,27.364279,NaN
2002-10-15,NaN,27.315810,NaN
