Date,Mean,Climatology,Anomaly
2002-07-04,27.880001,28.771741,-0.891740
2002-07-05,NaN,28.810861,NaN
2002-07-06,NaN,28.849981,NaN
2002-07-07,28.625000,28.889102,-0.264102
2002-07-08,28.525000,28.928222,-0.403222
2002-07-09,NaN,28.967342,NaN
2002-07-10,NaN,29.006462,NaN
2002-07-11,NaN,29.045583,NaN
2002-07-12,NaN,29.084703,NaN
2002-07-13,NaN,29.123823,NaN
2002-07-14,NaN,29.162943,NaN
2002-07-15,29.099998,29.202064,-0.102065
2002-07-16,NaN,29.214669,NaN
2002-07-17,NaN,29.227275,NaN
2002-07-18,29.234999,29.239881,-0.004882
2002-07-19,28.869999,29.252486,-0.382487
2002-07-20,29.849998,29.265092,0.584907
2002-07-21,NaN,29.277697,NaN
2002-07-22,30.169998,29.290303,0.879695
2002-07-23,30.584999,29.302909,1.282090
2002-07-24,30.404999,29.315514,1.089485
2002-07-25,NaN,29.328120,NaN
2002-07-26,NaN,29.340725,NaN
2002-07-27,NaN,29.353331,NaN
2002-07-28,30.054998,29.365937,0.689062
2002-07-29,30.049999,29.378542,0.671457
2002-08-07,NaN,29.491993,NaN
2002-08-08,NaN,29.504598,NaN
2002-08-09,NaN,29.517204,NaN
2002-08-10,NaN,29.529810,NaN
2002-08-11,NaN,29.542415,NaN
2002-08-12,NaN,29.555021,NaN
2002-08-13,NaN,29.567626,NaN
2002-08-14,NaN,29.580232,NaN
2002-08-15,NaN,29.592838,NaN
2002-08-16,NaN,29.574011,NaN
2002-08-17,29.019999,29.555183,-0.535185
2002-08-18,29.309999,29.536356,-0.226357
2002-08-19,29.289999,29.517529,-0.227530
2002-08-20,NaN,29.498702,NaN
2002-08-21,29.170000,29.479875,-0.309875
2002-08-22,29.469999,29.461048,0.008951
2002-08-23,29.490000,29.442221,0.047779
2002-08-24,29.420000,29.423394,-0.003394
2002-08-25,30.119999,29.404567,0.715432
2002-08-26,29.865000,29.385740,0.479260
2002-08-27,NaN,29.366912,NaN
2002-08-28,NaN,29.348085,NaN
2002-08-29,29.660000,29.329258,0.330742
2002-08-30,NaN,29.310431,NaN
2002-08-31,NaN,29.291604,NaN
2002-09-01,29.584999,29.272777,0.312222
2002-09-02,NaN,29.253950,NaN
2002-09-03,29.439999,29.235123,0.204876
2002-09-04,NaN,29.216296,NaN
2002-09-05,NaN,29.197469,NaN
2002-09-06,NaN,29.178641,NaN
2002-09-07,NaN,29.159814,NaN
2002-09-08,29.384998,29.140987,0.244011
2002-09-09,NaN,29.122160,NaN
2002-09-10,NaN,29.103333,NaN
2002-09-11,NaN,29.084506,NaN
2002-09-12,28.539999,29.065679,-0.525680
2002-09-13,28.907499,29.046852,-0.139352
2002-09-14,29.054998,29.028025,0.026974
2002-09-15,NaN,29.009198,NaN
2002-09-16,NaN,28.964244,NaN
2002-09-17,NaN,28.919289,NaN
2002-09-18,28.150000,28.874335,-0.724336
2002-09-19,28.584999,28.829381,-0.244382
2002-09-20,NaN,28.784427,NaN
2002-09-21,28.414999,28.739473,-0.324474
2002-09-22,28.639999,28.694519,-0.054520
2002-09-23,NaN,28.649565,NaN
2002-09-24,NaN,28.604611,NaN
2002-09-25,NaN,28.559657,NaN
2002-09-26,NaN,28.514703,NaN
2002-09-27,27.934999,28.469749,-0.534750
2002-09-28,28.090000,28.424795,-0.334795
2002-09-29,27.859999,28.379841,-0.519842
2002-09-30,27.730000,28.334887,-0.604887
2002-10-01,28.000000,28.289933,-0.289933
2002-10-02,NaN,28.244979,NaN
2002-10-03,NaN,28.200025,NaN
2002-10-04,NaN,28.155071,NaN
2002-10-05,NaN,28.110117,NaN
2002-10-06,27.404999,28.065163,-0.660164
2002-10-07,28.019999,28.020209,-0.000210
2002-10-08,28.010000,27.975255,0.034746
2002-10-09,NaN,27.930301,NaN
2002-10-10,NaN,27.885347,NaN
2002-10-11,NaN,27.840393,NaN
2002-10-12,27.209999,27.795438,-0.585439
2002-10-13,27.779999,27.750484,0.029514
2002-10-14,NaN,27.705530,NaN
2002-10-15,NaN,27.660576,NaN
2002-10-16,27.334999,27.577402,-0.242403
2002-10-17,NaN,27.494227,NaN
2002-10-18,NaN,27.411052,NaN
2002-10-19,NaN,27.327878,NaN
2002-10-20,NaN,27.244703,NaN
2002-10-21,26.469999,27.161528,-0.691529
2002-10-22,27.045000,27.078353,-0.033353
2002-10-23,26.639999,26.995179,-0.355179
2002-10-24,25.849998,26.912004,-1.062005
2002-10-25,NaN,26.828829,NaN
2002-10-26,NaN,26.745655,NaN
2002-10-27,NaN,26.662480,NaN
2002-10-28,NaN,26.579305,NaN
2002-10-29,NaN,26.496130,NaN
2002-10-30,26.349998,26.412956,-0.062957
2002-10-31,NaN,26.329781,NaN
2002-11-01,NaN,26.246606,NaN
2002-11-02,NaN,26.163432,NaN
2002-11-03,NaN,26.080257,NaN
2002-11-04,NaN,25.997082,NaN
2002-11-05,NaN,25.913907,NaN
2002-11-06,26.049999,25.830733,0.219267
2002-11-07,25.660000,25.747558,-0.087558
2002-11-08,NaN,25.664383,NaN
2002-11-09,NaN,25.581209,NaN
2002-11-10,NaN,25.498034,NaN
2002-11-11,26.160000,25.414859,0.745141
2002-11-12,NaN,25.331684,NaN
2002-11-13,NaN,25.248510,NaN
2002-11-14,NaN,25.165335,NaN
2002-11-15,25.070000,25.082160,-0.012161
2002-11-16,NaN,25.013964,NaN
2002-11-17,NaN,24.945768,NaN
2002-11-18,NaN,24.877572,NaN
2002-11-19,NaN,24.809377,NaN
2002-11-20,NaN,24.741181,NaN
2002-11-21,24.779999,24.672985,0.107014
2002-11-22,24.340000,24.604789,-0.264789
2002-11-23,24.289999,24.536593,-0.246594
2002-11-24,23.924999,24.468397,-0.543398
2002-11-25,24.080000,24.400201,-0.320201
2002-11-26,23.939999,24.332005,-0.392006
2002-11-27,NaN,24.263809,NaN
2002-11-28,NaN,24.195613,NaN
2002-11-29,NaN,24.127417,NaN
2002-11-30,NaN,24.059221,NaN
2002-12-01,23.439999,23.991025,-0.551027
2002-12-02,23.094999,23.922829,-0.827830
2002-12-03,NaN,23.854633,NaN
2002-12-04,NaN,23.786438,NaN
2002-12-05,NaN,23.718242,NaN
2002-12-06,NaN,23.650046,NaN
2002-12-07,NaN,23.581850,NaN
2002-12-08,NaN,23.513654,NaN
2002-12-09,NaN,23.445458,NaN
2002-12-10,NaN,23.377262,NaN
2002-12-11,NaN,23.309066,NaN
2002-12-12,NaN,23.240870,NaN
2002-12-13,22.555000,23.172674,-0.617674
2002-12-14,NaN,23.104478,NaN
2002-12-15,22.519999,23.036282,-0.516284
2002-12-16,22.445000,22.983095,-0.538095
2002-12-17,NaN,22.929907,NaN
2002-12-18,22.859999,22.876719,-0.016721
2002-12-19,NaN,22.823532,NaN
2002-12-20,21.779999,22.770344,-0.990345
2002-12-21,NaN,22.717156,NaN
2002-12-22,NaN,22.663968,NaN
2002-12-23,NaN,22.610781,NaN
2002-12-24,NaN,22.557593,NaN
2002-12-25,NaN,22.504405,NaN
2002-12-26,NaN,22.451218,NaN
2002-12-27,NaN,22.398030,NaN
2002-12-28,NaN,22.344842,NaN
2002-12-29,21.424999,22.291655,-0.866655
2002-12-30,NaN,22.238467,NaN
2002-12-31,NaN,22.185279,NaN
2003-01-01,20.549999,22.132092,-1.582092
2003-01-02,NaN,22.078904,NaN
2003-01-03,20.420000,22.025716,-1.605716
2003-01-04,19.879999,21.972528,-2.092529
2003-01-05,NaN,21.919341,NaN
2003-01-06,NaN,21.866153,NaN
2003-01-07,NaN,21.812965,NaN
2003-01-08,20.289999,21.759778,-1.469779
2003-01-09,19.880001,21.706590,-1.826589
2003-01-10,NaN,21.653402,NaN
2003-01-11,NaN,21.600215,NaN
2003-01-12,NaN,21.547027,NaN
2003-01-13,NaN,21.493839,NaN
2003-01-14,NaN,21.440652,NaN
2003-01-15,NaN,21.387464,NaN
2003-01-16,NaN,21.370165,NaN
2003-01-17,NaN,21.352866,NaN
2003-01-18,NaN,21.335567,NaN
2003-01-19,19.445000,21.318267,-1.873268
2003-01-20,19.555000,21.300968,-1.745968
2003-01-21,19.850000,21.283669,-1.433669
2003-01-22,NaN,21.266370,NaN
2003-01-23,NaN,21.249071,NaN
2003-01-24,NaN,21.231772,NaN
2003-01-25,NaN,21.214473,NaN
2003-01-26,NaN,21.197174,NaN
2003-01-27,NaN,21.179875,NaN
2003-01-28,NaN,21.162576,NaN
2003-01-29,NaN,21.145276,NaN
2003-01-30,NaN,21.127977,NaN
2003-01-31,NaN,21.110678,NaN
2003-02-01,20.080000,21.093379,-1.013379
2003-02-02,20.215000,21.076080,-0.861080
2003-02-03,NaN,21.058781,NaN
2003-02-04,20.084999,21.041482,-0.956483
2003-02-05,NaN,21.024183,NaN
2003-02-06,NaN,21.006884,NaN
2003-02-07,NaN,20.989584,NaN
2003-02-08,NaN,20.972285,NaN
2003-02-09,NaN,20.954986,NaN
2003-02-10,NaN,20.937687,NaN
2003-02-11,19.719999,20.920388,-1.200389
2003-02-12,NaN,20.903089,NaN
2003-02-13,NaN,20.885790,NaN
2003-02-14,NaN,20.868491,NaN
2003-02-15,19.709999,20.851192,-1.141193
2003-02-16,NaN,20.869037,NaN
2003-02-17,NaN,20.886883,NaN
2003-02-18,19.844999,20.904729,-1.059730
2003-02-19,19.469999,20.922575,-1.452576
2003-02-20,NaN,20.940421,NaN
2003-02-21,NaN,20.958267,NaN
2003-02-22,NaN,20.976113,NaN
2003-02-23,NaN,20.993959,NaN
2003-02-24,19.670000,21.011804,-1.341804
2003-02-25,NaN,21.029650,NaN
2003-02-26,NaN,21.047496,NaN
2003-02-27,NaN,21.065342,NaN
2003-02-28,NaN,21.083188,NaN
2003-03-01,NaN,21.101034,NaN
2003-03-02,NaN,21.118880,NaN
2003-03-03,NaN,21.136725,NaN
2003-03-04,NaN,21.154571,NaN
2003-03-05,NaN,21.172417,NaN
2003-03-06,NaN,21.190263,NaN
2003-03-07,NaN,21.208109,NaN
2003-03-08,NaN,21.225955,NaN
2003-03-09,NaN,21.243801,NaN
2003-03-10,20.094999,21.261647,-1.166647
2003-03-11,NaN,21.279492,NaN
2003-03-12,NaN,21.297338,NaN
2003-03-13,21.064999,21.315184,-0.250186
2003-03-15,NaN,21.350876,NaN
2003-03-16,NaN,21.389593,NaN
2003-03-17,NaN,21.428311,NaN
2003-03-18,NaN,21.467029,NaN
2003-03-19,NaN,21.505746,NaN
2003-03-20,22.045000,21.544464,0.500536
2003-03-21,22.035000,21.583181,0.451818
2003-03-22,21.734999,21.621899,0.113100
2003-03-23,21.230000,21.660617,-0.430617
2003-03-24,21.260000,21.699334,-0.439334
2003-03-25,NaN,21.738052,NaN
2003-03-26,NaN,21.776769,NaN
2003-03-27,NaN,21.815487,NaN
2003-03-28,21.859999,21.854205,0.005794
2003-03-29,NaN,21.892922,NaN
2003-03-30,20.674999,21.931640,-1.256640
2003-03-31,20.379999,21.970357,-1.590358
2003-04-01,NaN,22.009075,NaN
2003-04-02,NaN,22.047792,NaN
2003-04-03,NaN,22.086510,NaN
2003-04-04,20.795000,22.125228,-1.330228
2003-04-05,NaN,22.163945,NaN
2003-04-06,NaN,22.202663,NaN
2003-04-07,NaN,22.241380,NaN
2003-04-08,NaN,22.280098,NaN
2003-04-09,20.779999,22.318816,-1.538817
2003-04-10,NaN,22.357533,NaN
2003-04-11,NaN,22.396251,NaN
2003-04-12,NaN,22.434968,NaN
2003-04-13,20.430000,22.473686,-2.043686
2003-04-14,20.439999,22.512403,-2.072405
2003-04-15,20.615000,22.551121,-1.936121
2003-04-16,20.805000,22.635340,-1.830339
2003-04-17,21.145000,22.719558,-1.574558
2003-04-18,21.237499,22.803777,-1.566278
2003-04-19,NaN,22.887996,NaN
2003-04-20,22.324999,22.972214,-0.647215
2003-04-21,NaN,23.056433,NaN
2003-04-22,NaN,23.140651,NaN
2003-04-23,NaN,23.224870,NaN
2003-04-24,NaN,23.309089,NaN
2003-04-25,NaN,23.393307,NaN
2003-04-26,22.914999,23.477526,-0.562527
2003-04-27,23.119999,23.561744,-0.441746
2003-04-28,NaN,23.645963,NaN
2003-04-29,NaN,23.730182,NaN
2003-04-30,NaN,23.814400,NaN
2003-05-01,23.369999,23.898619,-0.528620
2003-05-02,NaN,23.982838,NaN
2003-05-03,NaN,24.067056,NaN
2003-05-04,NaN,24.151275,NaN
2003-05-05,23.959999,24.235493,-0.275494
2003-05-06,24.219999,24.319712,-0.099713
2003-05-07,NaN,24.403931,NaN
2003-05-08,23.474998,24.488149,-1.013151
2003-05-09,NaN,24.572368,NaN
2003-05-10,NaN,24.656587,NaN
2003-05-11,NaN,24.740805,NaN
2003-05-12,NaN,24.825024,NaN
2003-05-13,NaN,24.909242,NaN
2003-05-14,NaN,24.993461,NaN
2003-05-15,NaN,25.077680,NaN
2003-05-16,24.984999,25.172866,-0.187867
2003-05-17,NaN,25.268052,NaN
2003-05-18,NaN,25.363239,NaN
2003-05-19,26.070000,25.458425,0.611575
2003-05-20,25.737499,25.553611,0.183888
2003-05-21,NaN,25.648798,NaN
2003-05-22,26.869999,25.743984,1.126015
2003-05-23,26.789999,25.839170,0.950829
2003-05-24,26.529999,25.934356,0.595642
2003-05-25,NaN,26.029543,NaN
2003-05-26,NaN,26.124729,NaN
2003-05-27,NaN,26.219915,NaN
2003-05-28,NaN,26.315102,NaN
2003-05-29,NaN,26.410288,NaN
2003-05-30,NaN,26.505474,NaN
2003-05-31,26.715000,26.600661,0.114339
2003-06-01,26.539999,26.695847,-0.155848
2003-06-02,NaN,26.791033,NaN
2003-06-03,NaN,26.886220,NaN
2003-06-04,NaN,26.981406,NaN
2003-06-05,NaN,27.076592,NaN
2003-06-06,NaN,27.171779,NaN
2003-06-07,27.445000,27.266965,0.178035
2003-06-08,28.164999,27.362151,0.802848
