Time,mean,climatology,anomaly
1326931200,20.545000,21.653623,-1.108623
1327017600,21.049999,21.647847,-0.597848
1327104000,NaN,21.642071,NaN
1327190400,NaN,21.636295,NaN
1327276800,NaN,21.630519,NaN
1327363200,NaN,21.624743,NaN
1327449600,21.850000,21.618967,0.231034
1327536000,NaN,21.613191,NaN
1327622400,21.389999,21.607415,-0.217415
1327708800,NaN,21.601639,NaN
1327795200,21.109999,21.595863,-0.485864
1327881600,20.492500,21.590087,-1.097586
1327968000,NaN,21.584311,NaN
1328054400,NaN,21.578535,NaN
1328140800,NaN,21.572759,NaN
1328227200,NaN,21.566983,NaN
1328313600,22.254999,21.561207,0.693792
1328400000,NaN,21.555431,NaN
1328486400,NaN,21.549655,NaN
1328572800,NaN,21.543879,NaN
1328659200,NaN,21.538103,NaN
1328745600,NaN,21.532327,NaN
1328832000,NaN,21.526551,NaN
1328918400,NaN,21.520775,NaN
1329004800,NaN,21.514999,NaN
1329091200,NaN,21.509223,NaN
1329264000,NaN,21.497671,NaN
1329350400,NaN,21.495980,NaN
1329436800,NaN,21.494288,NaN
1329609600,NaN,21.490906,NaN
1329696000,NaN,21.489215,NaN
1329782400,NaN,21.487523,NaN
1329868800,NaN,21.485832,NaN
1329955200,21.814999,21.484141,0.330858
1330041600,NaN,21.482450,NaN
1330128000,NaN,21.480758,NaN
1330214400,NaN,21.479067,NaN
1330300800,NaN,21.477376,NaN
1330387200,NaN,21.475685,NaN
1330473600,NaN,21.473993,NaN
1330560000,21.930000,21.472302,0.457698
1330646400,NaN,21.470611,NaN
1330732800,21.875000,21.468919,0.406081
1330819200,21.109999,21.467228,-0.357230
1330905600,20.939999,21.465537,-0.525538
1330992000,20.270000,21.463846,-1.193845
1331078400,20.852501,21.462154,-0.609654
1331164800,21.094999,21.460463,-0.365464
1331251200,NaN,21.458772,NaN
1331424000,NaN,21.455389,NaN
1331510400,NaN,21.453698,NaN
1331596800,22.314999,21.452007,0.862992
1331683200,22.865000,21.450316,1.414684
1331769600,23.352499,21.483712,1.868787
1331856000,NaN,21.517108,NaN
1331942400,NaN,21.550503,NaN
1332028800,NaN,21.583899,NaN
1332115200,NaN,21.617295,NaN
1332201600,23.424999,21.650691,1.774308
1332288000,NaN,21.684087,NaN
1332374400,NaN,21.717483,NaN
1332460800,NaN,21.750879,NaN
1332547200,22.424999,21.784275,0.640724
1332806400,22.615000,21.884463,0.730537
1332892800,NaN,21.917859,NaN
1332979200,23.920000,21.951255,1.968746
1333065600,NaN,21.984650,NaN
1333152000,NaN,22.018046,NaN
1333238400,NaN,22.051442,NaN
1333324800,NaN,22.084838,NaN
1333411200,23.669998,22.118234,1.551764
1333497600,NaN,22.151630,NaN
1333584000,NaN,22.185026,NaN
1333670400,23.812500,22.218422,1.594078
1333756800,23.665001,22.251818,1.413183
