Date,Mean,Climatology,Anomaly
2012-01-19,20.545000,21.653623,-1.108623
2012-01-20,21.049999,21.647847,-0.597848
2012-01-21,NaN,21.642071,NaN
2012-01-22,NaN,21.636295,NaN
2012-01-23,NaN,21.630519,NaN
2012-01-24,NaN,21.624743,NaN
2012-01-25,21.850000,21.618967,0.231034
2012-01-26,NaN,21.613191,NaN
2012-01-27,21.389999,21.607415,-0.217415
2012-01-28,NaN,21.601639,NaN
2012-01-29,21.109999,21.595863,-0.485864
2012-01-30,20.492500,21.590087,-1.097586
2012-01-31,NaN,21.584311,NaN
2012-02-01,NaN,21.578535,NaN
2012-02-02,NaN,21.572759,NaN
2012-02-03,NaN,21.566983,NaN
2012-02-04,22.254999,21.561207,0.693792
2012-02-05,NaN,21.555431,NaN
2012-02-06,NaN,21.549655,NaN
2012-02-07,NaN,21.543879,NaN
2012-02-08,NaN,21.538103,NaN
2012-02-09,NaN,21.532327,NaN
2012-02-10,NaN,21.526551,NaN
2012-02-11,NaN,21.520775,NaN
2012-02-12,NaN,21.514999,NaN
2012-02-13,NaN,21.509223,NaN
2012-02-15,NaN,21.497671,NaN
2012-02-16,NaN,21.495980,NaN
2012-02-17,NaN,21.494288,NaN
2012-02-19,NaN,21.490906,NaN
2012-02-20,NaN,21.489215,NaN
2012-02-21,NaN,21.487523,NaN
2012-02-22,NaN,21.485832,NaN
2012-02-23,21.814999,21.484141,0.330858
2012-02-24,NaN,21.482450,NaN
2012-02-25,NaN,21.480758,NaN
2012-02-26,NaN,21.479067,NaN
2012-02-27,NaN,21.477376,NaN
2012-02-28,NaN,21.475685,NaN
2012-02-29,NaN,21.473993,NaN
2012-03-01,21.930000,21.472302,0.457698
2012-03-02,NaN,21.470611,NaN
2012-03-03,21.875000,21.468919,0.406081
2012-03-04,21.109999,21.467228,-0.357230
2012-03-05,20.939999,21.465537,-0.525538
2012-03-06,20.270000,21.463846,-1.193845
2012-03-07,20.852501,21.462154,-0.609654
