Date,Mean,Climatology,Anomaly
2012-01-19,15.065000,14.617292,0.447707
2012-01-20,16.017500,14.666011,1.351489
2012-01-21,16.555000,14.714729,1.840271
2012-01-22,NaN,14.763448,NaN
2012-01-23,NaN,14.812166,NaN
2012-01-24,16.695000,14.860885,1.834115
2012-01-25,NaN,14.909603,NaN
2012-01-26,15.809999,14.958321,0.851678
2012-01-27,16.480000,15.007040,1.472960
2012-01-28,15.770000,15.055758,0.714241
2012-01-29,16.430000,15.104477,1.325524
2012-01-30,NaN,15.153195,NaN
2012-01-31,16.244999,15.201914,1.043085
2012-02-01,NaN,15.250632,NaN
2012-02-02,16.664999,15.299350,1.365649
2012-02-03,17.190001,15.348069,1.841932
2012-02-04,NaN,15.396787,NaN
2012-02-05,NaN,15.445506,NaN
2012-02-06,NaN,15.494224,NaN
2012-02-07,NaN,15.542943,NaN
2012-02-08,NaN,15.591661,NaN
2012-02-09,16.187500,15.640379,0.547121
2012-02-10,NaN,15.689098,NaN
2012-02-11,NaN,15.737816,NaN
2012-02-12,NaN,15.786535,NaN
2012-02-13,NaN,15.835253,NaN
2012-02-15,NaN,15.932690,NaN
2012-02-16,14.349999,16.020483,-1.670483
2012-02-17,NaN,16.108276,NaN
2012-02-19,15.065000,16.283861,-1.218862
2012-02-20,NaN,16.371654,NaN
2012-02-21,NaN,16.459447,NaN
2012-02-22,NaN,16.547240,NaN
2012-02-23,NaN,16.635033,NaN
2012-02-24,NaN,16.722826,NaN
2012-02-25,NaN,16.810619,NaN
2012-02-26,15.620000,16.898411,-1.278412
2012-02-27,NaN,16.986204,NaN
2012-02-28,NaN,17.073997,NaN
2012-02-29,NaN,17.161790,NaN
2012-03-01,NaN,17.249583,NaN
2012-03-02,NaN,17.337376,NaN
2012-03-03,18.264999,17.425168,0.839831
2012-03-04,17.065001,17.512961,-0.447961
2012-03-05,17.305000,17.600754,-0.295754
2012-03-06,17.199999,17.688547,-0.488548
2012-03-07,17.934999,17.776340,0.158660
2012-03-08,18.619999,17.864133,0.755866
2012-03-09,18.645000,17.951926,0.693075
2012-03-11,NaN,18.127511,NaN
2012-03-12,18.230000,18.215304,0.014695
2012-03-13,NaN,18.303097,NaN
2012-03-14,19.744999,18.390890,1.354109
2012-03-15,20.010000,18.476675,1.533325
2012-03-16,NaN,18.562460,NaN
2012-03-17,NaN,18.648246,NaN
2012-03-18,21.480000,18.734031,2.745968
2012-03-19,21.902500,18.819816,3.082684
2012-03-20,21.674999,18.905602,2.769397
2012-03-21,NaN,18.991387,NaN
2012-03-22,20.619999,19.077172,1.542826
